Timestamp,['1cda76d3-51bd6c23 0014-TALMAGE BLDG Power Meter Current B']
2017-05-26T00:00:00-06:00,89.88965428670248 A
2017-05-27T00:00:00-06:00,87.23250116242303 A
2017-05-28T00:00:00-06:00,101.86166820526122 A
2017-05-29T00:00:00-06:00,96.47958500120374 A
2017-05-30T00:00:00-06:00,104.48034881485833 A
2017-05-31T00:00:00-06:00,106.40868242581685 A
2017-06-01T00:00:00-06:00,105.41736268997192 A
2017-06-02T00:00:00-06:00,105.12326545185513 A
2017-06-03T00:00:00-06:00,99.1423624197642 A
2017-06-04T00:00:00-06:00,101.59972377353245 A
2017-06-05T00:00:00-06:00,110.03097379472521 A
2017-06-06T00:00:00-06:00,109.89770995246039 A
2017-06-07T00:00:00-06:00,112.21125150786506 A
2017-06-08T00:00:00-06:00,113.55680697229174 A
2017-06-09T00:00:00-06:00,112.07555704116821 A
2017-06-10T00:00:00-06:00,102.25035141097916 A
2017-06-11T00:00:00-06:00,106.28791837162441 A
2017-06-12T00:00:00-06:00,104.43062694867452 A
2017-06-13T00:00:00-06:00,86.52743185891046 A
2017-06-14T00:00:00-06:00,106.76736288600497 A
2017-06-15T00:00:00-06:00,103.91666836208768 A
2017-06-16T00:00:00-06:00,103.70486275355022 A
2017-06-17T00:00:00-06:00,105.68194606569078 A
2017-06-18T00:00:00-06:00,100.92291837268405 A
2017-06-19T00:00:00-06:00,110.86222378942702 A
2017-06-20T00:00:00-06:00,111.110279390547 A
2017-06-21T00:00:00-06:00,115.02083482212491 A
2017-06-22T00:00:00-06:00,115.18541798061794 A
2017-06-23T00:00:00-06:00,113.37250167528788 A
2017-06-24T00:00:00-06:00,109.31875201331245 A
2017-06-25T00:00:00-06:00,109.63291835784912 A
2017-06-26T00:00:00-06:00,116.03416816923354 A
2017-06-27T00:00:00-06:00,116.07375184165107 A
2017-06-28T00:00:00-06:00,115.50152954525417 A
2017-06-29T00:00:00-06:00,115.59944624370999 A
2017-06-30T00:00:00-06:00,110.70097363260058 A
2017-07-01T00:00:00-06:00,108.2728489557902 A
2017-07-02T00:00:00-06:00,106.9468070295122 A
2017-07-03T00:00:00-06:00,111.27007111443413 A
2017-07-04T00:00:00-06:00,110.04152948061625 A
2017-07-05T00:00:00-06:00,116.29375166363187 A
2017-07-06T00:00:00-06:00,116.01493242581685 A
2017-07-07T00:00:00-06:00,115.36889055040147 A
2017-07-08T00:00:00-06:00,111.16139044231839 A
2017-07-09T00:00:00-06:00,110.28847406175402 A
2017-07-10T00:00:00-06:00,119.12652914259169 A
2017-07-11T00:00:00-06:00,118.56284986601935 A
2017-07-12T00:00:00-06:00,119.21979358461168 A
2017-07-13T00:00:00-06:00,118.97291821903653 A
2017-07-14T00:00:00-06:00,115.19027927186754 A
2017-07-15T00:00:00-06:00,111.29305715031094 A
2017-07-16T00:00:00-06:00,110.42812673250835 A
2017-07-17T00:00:00-06:00,118.8593771510654 A
2017-07-18T00:00:00-06:00,119.85264091491699 A
2017-07-19T00:00:00-06:00,122.20500186284383 A
2017-07-20T00:00:00-06:00,124.51569645139907 A
2017-07-21T00:00:00-06:00,118.5008350690206 A
2017-07-22T00:00:00-06:00,106.51736256281535 A
2017-07-23T00:00:00-06:00,105.20430705282423 A
2017-07-24T00:00:00-06:00,108.33382076687283 A
2017-07-25T00:00:00-06:00,124.56764100922479 A
2017-07-26T00:00:00-06:00,121.00451606644525 A
2017-07-27T00:00:00-06:00,117.56896042823792 A
2017-07-28T00:00:00-06:00,114.93479320738051 A
2017-07-29T00:00:00-06:00,109.0108349694146 A
2017-07-30T00:00:00-06:00,110.16944584316677 A
2017-07-31T00:00:00-06:00,114.97194680107964 A
2017-08-01T00:00:00-06:00,113.07222371631198 A
2017-08-02T00:00:00-06:00,114.64777941173978 A
2017-08-03T00:00:00-06:00,110.50645981894598 A
2017-08-04T00:00:00-06:00,112.39245857312841 A
2017-08-05T00:00:00-06:00,108.99805700514051 A
2017-08-06T00:00:00-06:00,109.10583493444655 A
2017-08-07T00:00:00-06:00,115.02083517710368 A
2017-08-08T00:00:00-06:00,113.459098455641 A
2017-08-09T00:00:00-06:00,114.98604323069254 A
2017-08-10T00:00:00-06:00,108.17744423877234 A
2017-08-11T00:00:00-06:00,109.6061125172509 A
2017-08-12T00:00:00-06:00,104.36305746502346 A
2017-08-13T00:00:00-06:00,107.77111271752251 A
2017-08-14T00:00:00-06:00,108.86229346593221 A
2017-08-15T00:00:00-06:00,110.14007113774618 A
2017-08-16T00:00:00-06:00,108.11812645594279 A
2017-08-17T00:00:00-06:00,107.83361310958863 A
2017-08-18T00:00:00-06:00,112.31666830910576 A
2017-08-19T00:00:00-06:00,106.97576537662083 A
2017-08-20T00:00:00-06:00,105.5409738752577 A
2017-08-21T00:00:00-06:00,116.03333547380235 A
2017-08-22T00:00:00-06:00,120.92014100816515 A
2017-08-23T00:00:00-06:00,121.25208510292902 A
2017-08-24T00:00:00-06:00,123.71479391521878 A
2017-08-25T00:00:00-06:00,115.59916862911648 A
2017-08-26T00:00:00-06:00,105.55895998213026 A
2017-08-27T00:00:00-06:00,106.64833471510146 A
2017-08-28T00:00:00-06:00,132.07003274983177 A
2017-08-29T00:00:00-06:00,149.94592512188197 A
2017-08-30T00:00:00-06:00,149.10430866877238 A
2017-08-31T00:00:00-06:00,157.20284974839953 A
2017-09-01T00:00:00-06:00,144.1904202249315 A
2017-09-02T00:00:00-06:00,133.0552810721927 A
2017-09-03T00:00:00-06:00,133.42528104252284 A
2017-09-04T00:00:00-06:00,133.88910014894273 A
2017-09-05T00:00:00-06:00,147.41500282287598 A
2017-09-06T00:00:00-06:00,150.56986435784233 A
2017-09-07T00:00:00-06:00,153.45889197455512 A
2017-09-08T00:00:00-06:00,147.1751117678616 A
2017-09-09T00:00:00-06:00,135.98105124093436 A
2017-09-10T00:00:00-06:00,134.91437795427112 A
2017-09-11T00:00:00-06:00,149.7397949112786 A
2017-09-12T00:00:00-06:00,149.6102106942071 A
2017-09-13T00:00:00-06:00,150.6245861477322 A
2017-09-14T00:00:00-06:00,152.75166992611355 A
2017-09-15T00:00:00-06:00,121.10264109505547 A
2017-09-16T00:00:00-06:00,107.0988905482822 A
2017-09-17T00:00:00-06:00,110.2926407178243 A
2017-09-18T00:00:00-06:00,143.71389193005032 A
2017-09-19T00:00:00-06:00,121.6868073410458 A
2017-09-20T00:00:00-06:00,123.97083565923903 A
2017-09-21T00:00:00-06:00,111.20034906599257 A
2017-09-22T00:00:00-06:00,94.42541823916964 A
2017-09-23T00:00:00-06:00,88.62472399605645 A
2017-09-24T00:00:00-06:00,88.6505572213067 A
2017-09-25T00:00:00-06:00,102.54750145806207 A
2017-09-26T00:00:00-06:00,112.47777949439154 A
2017-09-27T00:00:00-06:00,122.10173825687832 A
2017-09-28T00:00:00-06:00,136.58298844231498 A
2017-09-29T00:00:00-06:00,130.3740295092265 A
2017-09-30T00:00:00-06:00,117.37694606251186 A
2017-10-01T00:00:00-06:00,89.17125160959031 A
2017-10-02T00:00:00-06:00,95.21277933120727 A
2017-10-03T00:00:00-06:00,102.36347381803725 A
2017-10-04T00:00:00-06:00,121.27764098909167 A
2017-10-05T00:00:00-06:00,114.30291879442004 A
2017-10-06T00:00:00-06:00,110.26368251376682 A
2017-10-07T00:00:00-06:00,112.02646004888746 A
2017-10-08T00:00:00-06:00,94.23632077111138 A
2017-10-09T00:00:00-06:00,96.98222373856439 A
2017-10-10T00:00:00-06:00,106.13680772781372 A
2017-10-11T00:00:00-06:00,116.43875239690145 A
2017-10-12T00:00:00-06:00,96.79166788525052 A
2017-10-13T00:00:00-06:00,102.34791882832845 A
2017-10-14T00:00:00-06:00,96.46389044655695 A
2017-10-15T00:00:00-06:00,92.8569458855523 A
2017-10-16T00:00:00-06:00,110.72701622115241 A
2017-10-17T00:00:00-06:00,117.95069599151611 A
2017-10-18T00:00:00-06:00,127.137155034807 A
2017-10-19T00:00:00-06:00,132.03243311776055 A
2017-10-20T00:00:00-06:00,115.45729383362664 A
2017-10-21T00:00:00-06:00,90.65236253738404 A
2017-10-22T00:00:00-06:00,105.74430695639717 A
2017-10-23T00:00:00-06:00,115.77347382439507 A
2017-10-24T00:00:00-06:00,116.44354402224222 A
2017-10-25T00:00:00-06:00,118.56875189675225 A
2017-10-26T00:00:00-06:00,116.60416836208768 A
2017-10-27T00:00:00-06:00,105.80986284150018 A
2017-10-28T00:00:00-06:00,100.50298813184102 A
2017-10-29T00:00:00-06:00,109.56486266454061 A
2017-10-30T00:00:00-06:00,108.76632108688355 A
2017-10-31T00:00:00-06:00,96.65625165303548 A
2017-11-01T00:00:00-06:00,121.09764104419284 A
2017-11-02T00:00:00-06:00,132.95736343595718 A
2017-11-03T00:00:00-06:00,130.95125239690145 A
2017-11-04T00:00:00-06:00,96.74645952648586 A
2017-11-05T00:00:00-06:00,93.85700134277344 A
2017-11-06T00:00:00-07:00,106.60590460565355 A
2017-11-07T00:00:00-07:00,107.11319586965773 A
2017-11-08T00:00:00-07:00,107.78159883287218 A
2017-11-09T00:00:00-07:00,114.98889070087009 A
2017-11-10T00:00:00-07:00,98.72514040735032 A
2017-11-11T00:00:00-07:00,91.44791810777453 A
2017-11-12T00:00:00-07:00,89.87333488464355 A
2017-11-13T00:00:00-07:00,105.99389078352186 A
2017-11-14T00:00:00-07:00,108.91916845639547 A
2017-11-15T00:00:00-07:00,114.86284927792019 A
2017-11-16T00:00:00-07:00,132.75548834270901 A
2017-11-17T00:00:00-07:00,97.55493205388387 A
2017-11-18T00:00:00-07:00,92.77083490159777 A
2017-11-19T00:00:00-07:00,90.39194560580783 A
2017-11-20T00:00:00-07:00,98.27375151316325 A
2017-11-21T00:00:00-07:00,112.3037522315979 A
2017-11-22T00:00:00-07:00,112.64972432454427 A
2017-11-23T00:00:00-07:00,111.53083528942533 A
2017-11-24T00:00:00-07:00,106.60333487722609 A
2017-11-25T00:00:00-07:00,96.74909874598185 A
2017-11-26T00:00:00-07:00,105.95666826566061 A
2017-11-27T00:00:00-07:00,119.33652946684096 A
2017-11-28T00:00:00-07:00,109.64548807144165 A
2017-11-29T00:00:00-07:00,105.79312676853604 A
2017-11-30T00:00:00-07:00,107.32049830551689 A
2017-12-01T00:00:00-07:00,101.4304615463803 A
2017-12-02T00:00:00-07:00,91.71701569027371 A
2017-12-03T00:00:00-07:00,97.12652929623921 A
2017-12-04T00:00:00-07:00,95.93819584846497 A
2017-12-05T00:00:00-07:00,80.21222375233968 A
2017-12-06T00:00:00-07:00,81.40222366650899 A
2017-12-07T00:00:00-07:00,80.65486280123393 A
2017-12-08T00:00:00-07:00,72.3391679763794 A
2017-12-09T00:00:00-07:00,68.05076566802131 A
2017-12-10T00:00:00-07:00,67.80312654177348 A
2017-12-11T00:00:00-07:00,77.41771002875434 A
2017-12-12T00:00:00-07:00,80.44354314274258 A
2017-12-13T00:00:00-07:00,78.48993227746752 A
2017-12-14T00:00:00-07:00,76.00250128640069 A
2017-12-15T00:00:00-07:00,72.5701404677497 A
2017-12-16T00:00:00-07:00,68.35861245791118 A
2017-12-17T00:00:00-07:00,68.66139036284552 A
2017-12-18T00:00:00-07:00,72.00686774800693 A
2017-12-19T00:00:00-07:00,72.4013213104672 A
2017-12-20T00:00:00-07:00,74.293960152732 A
2017-12-21T00:00:00-07:00,70.42180738449096 A
2017-12-22T00:00:00-07:00,70.2513905207316 A
2017-12-23T00:00:00-07:00,68.27055723932054 A
2017-12-24T00:00:00-07:00,68.86389051543341 A
2017-12-25T00:00:00-07:00,69.1555571185218 A
2017-12-26T00:00:00-07:00,67.69361274507311 A
2017-12-27T00:00:00-07:00,71.68673779699537 A
2017-12-28T00:00:00-07:00,70.05152912404802 A
2017-12-29T00:00:00-07:00,67.084168182479 A
2017-12-30T00:00:00-07:00,67.27458482848273 A
2017-12-31T00:00:00-07:00,67.57361255751715 A
