Timestamp,['1fa6235d-e06147c3 0003-GARDNER HALL Power Meter (300015) Current A']
2017-02-16T00:00:00-07:00,214.11266311009726 A
2017-02-17T00:00:00-07:00,208.96217997868857 A
2017-02-18T00:00:00-07:00,214.1221454938253 A
2017-02-19T00:00:00-07:00,172.24878104527792 A
2017-02-20T00:00:00-07:00,189.83339405059814 A
2017-02-21T00:00:00-07:00,215.94638554255167 A
2017-02-22T00:00:00-07:00,216.05372540156046 A
2017-02-23T00:00:00-07:00,216.09394852320352 A
2017-02-24T00:00:00-07:00,197.50713454620748 A
2017-02-25T00:00:00-07:00,200.4049752553304 A
2017-02-26T00:00:00-07:00,198.49561580022177 A
2017-02-27T00:00:00-07:00,230.2659371693929 A
2017-02-28T00:00:00-07:00,215.20432043075562 A
2017-03-01T00:00:00-07:00,219.10838540395102 A
2017-03-02T00:00:00-07:00,221.0570453008016 A
2017-03-03T00:00:00-07:00,221.44883314768472 A
2017-03-04T00:00:00-07:00,218.40606816609701 A
2017-03-05T00:00:00-07:00,197.2532122929891 A
2017-03-06T00:00:00-07:00,217.12807528177896 A
2017-03-07T00:00:00-07:00,212.0585673650106 A
2017-03-08T00:00:00-07:00,196.9611848195394 A
2017-03-09T00:00:00-07:00,220.56554317474365 A
2017-03-10T00:00:00-07:00,208.4692219098409 A
2017-03-11T00:00:00-07:00,204.04174518585205 A
2017-03-12T00:00:00-07:00,182.4589422474737 A
2017-03-13T00:00:00-06:00,177.24798965454102 A
2017-03-14T00:00:00-06:00,195.01854292551675 A
2017-03-15T00:00:00-06:00,179.19448248545328 A
2017-03-16T00:00:00-06:00,197.00139300028482 A
2017-03-17T00:00:00-06:00,204.21920204162598 A
2017-03-18T00:00:00-06:00,185.74475526809692 A
2017-03-19T00:00:00-06:00,167.9341778755188 A
2017-03-20T00:00:00-06:00,196.2723274230957 A
2017-03-21T00:00:00-06:00,222.0882166226705 A
2017-03-22T00:00:00-06:00,194.72096474965414 A
2017-03-23T00:00:00-06:00,211.03790267308554 A
2017-03-24T00:00:00-06:00,201.36974557240805 A
2017-03-25T00:00:00-06:00,219.12082783381143 A
2017-03-26T00:00:00-06:00,181.87801122665405 A
2017-03-27T00:00:00-06:00,202.39972146352133 A
2017-03-28T00:00:00-06:00,199.30391136805216 A
2017-03-29T00:00:00-06:00,202.23255920410156 A
2017-03-30T00:00:00-06:00,226.4135016547309 A
2017-03-31T00:00:00-06:00,206.4735608100891 A
2017-04-01T00:00:00-06:00,172.5218629837036 A
2017-04-02T00:00:00-06:00,167.72978973388672 A
2017-04-03T00:00:00-06:00,207.88026650746664 A
2017-04-04T00:00:00-06:00,189.84965244928995 A
2017-04-05T00:00:00-06:00,205.60663016637167 A
2017-04-06T00:00:00-06:00,193.9047214190165 A
2017-04-07T00:00:00-06:00,197.1745661099752 A
2017-04-08T00:00:00-06:00,166.2759871482849 A
2017-04-09T00:00:00-06:00,172.595601717631 A
2017-04-10T00:00:00-06:00,199.38588857650757 A
2017-04-11T00:00:00-06:00,192.77316315968832 A
2017-04-12T00:00:00-06:00,201.17493549982706 A
2017-04-13T00:00:00-06:00,209.42331171035767 A
2017-04-14T00:00:00-06:00,209.2800464630127 A
2017-04-15T00:00:00-06:00,196.44724877675375 A
2017-04-16T00:00:00-06:00,164.1696523030599 A
2017-04-17T00:00:00-06:00,212.82413148880005 A
2017-04-18T00:00:00-06:00,201.1800014177958 A
2017-04-19T00:00:00-06:00,210.22193892796835 A
2017-04-20T00:00:00-06:00,199.87384764353433 A
2017-04-21T00:00:00-06:00,205.49190425872803 A
2017-04-22T00:00:00-06:00,207.19692627588907 A
