Timestamp,['1cc971fe-145d2faf 0051-STERLING SILL CNTR Power Meter Current B']
2017-03-30T00:00:00-06:00,66.4555553012424 A
2017-03-31T00:00:00-06:00,63.41249998410543 A
2017-04-01T00:00:00-06:00,51.31354180971781 A
2017-04-02T00:00:00-06:00,55.751041531562805 A
2017-04-03T00:00:00-06:00,56.47499986489614 A
2017-04-04T00:00:00-06:00,52.62708334128062 A
2017-04-05T00:00:00-06:00,55.387499968210854 A
2017-04-06T00:00:00-06:00,59.049999952316284 A
2017-04-07T00:00:00-06:00,66.737499833107 A
2017-04-08T00:00:00-06:00,50.666666746139526 A
2017-04-09T00:00:00-06:00,48.17812490463257 A
2017-04-10T00:00:00-06:00,55.947916547457375 A
2017-04-11T00:00:00-06:00,63.12916680177053 A
2017-04-12T00:00:00-06:00,60.28854167461395 A
2017-04-13T00:00:00-06:00,59.49166667461395 A
2017-04-14T00:00:00-06:00,59.18645826975504 A
2017-04-15T00:00:00-06:00,50.62083339691162 A
2017-04-16T00:00:00-06:00,52.71666649977366 A
2017-04-17T00:00:00-06:00,64.20520794391632 A
2017-04-18T00:00:00-06:00,63.64374967416128 A
2017-04-19T00:00:00-06:00,59.78854191303253 A
2017-04-20T00:00:00-06:00,60.29479165871938 A
2017-04-21T00:00:00-06:00,57.61145846048991 A
2017-04-22T00:00:00-06:00,46.25 A
2017-04-23T00:00:00-06:00,49.36770832538605 A
2017-04-24T00:00:00-06:00,61.31041661898295 A
2017-04-25T00:00:00-06:00,61.49062490463257 A
2017-04-26T00:00:00-06:00,62.268750031789146 A
2017-04-27T00:00:00-06:00,56.48437507947286 A
2017-04-28T00:00:00-06:00,60.495833357175194 A
2017-04-29T00:00:00-06:00,45.79479159911474 A
2017-04-30T00:00:00-06:00,49.10729149977366 A
2017-05-01T00:00:00-06:00,61.011458357175194 A
2017-05-02T00:00:00-06:00,64.7645833492279 A
2017-05-03T00:00:00-06:00,57.81354137261709 A
2017-05-04T00:00:00-06:00,58.228125055631004 A
2017-05-05T00:00:00-06:00,57.55416679382324 A
2017-05-06T00:00:00-06:00,57.007291992505394 A
2017-05-07T00:00:00-06:00,54.65833330154419 A
2017-05-08T00:00:00-06:00,61.494791527589165 A
2017-05-09T00:00:00-06:00,61.48541661103567 A
2017-05-10T00:00:00-06:00,63.08437474568685 A
2017-05-11T00:00:00-06:00,65.69583352406819 A
2017-05-12T00:00:00-06:00,62.03124996026357 A
2017-05-13T00:00:00-06:00,50.39895816644033 A
2017-05-14T00:00:00-06:00,49.524999936421715 A
2017-05-15T00:00:00-06:00,61.18645842870077 A
2017-05-16T00:00:00-06:00,66.76770830154419 A
2017-05-17T00:00:00-06:00,62.76770830154419 A
2017-05-18T00:00:00-06:00,62.02708331743876 A
2017-05-19T00:00:00-06:00,61.01250000794729 A
2017-05-20T00:00:00-06:00,49.19895827770233 A
2017-05-21T00:00:00-06:00,52.96875007947286 A
2017-05-22T00:00:00-06:00,60.32187501589457 A
2017-05-23T00:00:00-06:00,61.415624817212425 A
2017-05-24T00:00:00-06:00,62.67604168256124 A
2017-05-25T00:00:00-06:00,64.54166662693024 A
2017-05-26T00:00:00-06:00,61.78020826975504 A
2017-05-27T00:00:00-06:00,49.69687485694885 A
2017-05-28T00:00:00-06:00,50.93750003973643 A
2017-05-29T00:00:00-06:00,51.383333245913185 A
2017-05-30T00:00:00-06:00,60.54062525431315 A
2017-05-31T00:00:00-06:00,66.96562488873799 A
2017-06-01T00:00:00-06:00,66.29687492052715 A
2017-06-02T00:00:00-06:00,59.35000010331472 A
2017-06-03T00:00:00-06:00,56.528124928474426 A
2017-06-04T00:00:00-06:00,57.10312497615814 A
2017-06-05T00:00:00-06:00,62.237500150998436 A
2017-06-06T00:00:00-06:00,63.17395814259847 A
2017-06-07T00:00:00-06:00,60.390625 A
2017-06-08T00:00:00-06:00,62.20104173819224 A
2017-06-09T00:00:00-06:00,58.57708326975504 A
2017-06-10T00:00:00-06:00,52.35000002384186 A
2017-06-11T00:00:00-06:00,51.694791634877525 A
2017-06-12T00:00:00-06:00,64.12291669845581 A
2017-06-13T00:00:00-06:00,65.0447918176651 A
2017-06-14T00:00:00-06:00,60.27916646003723 A
2017-06-15T00:00:00-06:00,60.59374972184499 A
2017-06-16T00:00:00-06:00,59.626041412353516 A
2017-06-17T00:00:00-06:00,55.94895827770233 A
2017-06-18T00:00:00-06:00,54.961458126703896 A
2017-06-19T00:00:00-06:00,59.48854148387909 A
2017-06-20T00:00:00-06:00,60.23333354791006 A
2017-06-21T00:00:00-06:00,59.99270816644033 A
2017-06-22T00:00:00-06:00,59.60208364327749 A
2017-06-23T00:00:00-06:00,58.42499991257986 A
2017-06-24T00:00:00-06:00,55.161458134651184 A
2017-06-25T00:00:00-06:00,55.399999817212425 A
2017-06-26T00:00:00-06:00,60.86874985694885 A
2017-06-27T00:00:00-06:00,60.16979189713796 A
2017-06-28T00:00:00-06:00,60.09166661898295 A
2017-06-29T00:00:00-06:00,59.12291646003723 A
2017-06-30T00:00:00-06:00,56.243749817212425 A
2017-07-01T00:00:00-06:00,50.32812503973643 A
2017-07-02T00:00:00-06:00,50.49583339691162 A
2017-07-03T00:00:00-06:00,54.74583327770233 A
2017-07-04T00:00:00-06:00,55.33750001589457 A
2017-07-05T00:00:00-06:00,60.02395820617676 A
2017-07-06T00:00:00-06:00,60.27083309491476 A
2017-07-07T00:00:00-06:00,59.65520842870077 A
2017-07-08T00:00:00-06:00,55.704166769981384 A
2017-07-09T00:00:00-06:00,56.11458337306976 A
2017-07-10T00:00:00-06:00,60.989583214124046 A
2017-07-11T00:00:00-06:00,61.64062519868215 A
2017-07-12T00:00:00-06:00,61.28854159514109 A
2017-07-13T00:00:00-06:00,61.57291662693024 A
2017-07-14T00:00:00-06:00,59.40729169050852 A
2017-07-15T00:00:00-06:00,55.67395842075348 A
2017-07-16T00:00:00-06:00,55.59583342075348 A
2017-07-17T00:00:00-06:00,62.364583253860474 A
2017-07-18T00:00:00-06:00,60.41041680177053 A
2017-07-19T00:00:00-06:00,63.97499986489614 A
2017-07-20T00:00:00-06:00,62.29895826180776 A
2017-07-21T00:00:00-06:00,58.806249936421715 A
2017-07-22T00:00:00-06:00,56.12187508742014 A
2017-07-23T00:00:00-06:00,56.11875021457672 A
2017-07-24T00:00:00-06:00,56.51354169845581 A
2017-07-25T00:00:00-06:00,62.380208214124046 A
2017-07-26T00:00:00-06:00,61.82395819822947 A
2017-07-27T00:00:00-06:00,62.48229177792867 A
2017-07-28T00:00:00-06:00,61.49062458674113 A
2017-07-29T00:00:00-06:00,55.694791634877525 A
2017-07-30T00:00:00-06:00,55.52916646003723 A
2017-07-31T00:00:00-06:00,60.38333356380463 A
2017-08-01T00:00:00-06:00,61.16770843664805 A
2017-08-02T00:00:00-06:00,61.435416420300804 A
2017-08-03T00:00:00-06:00,60.23645834128062 A
2017-08-04T00:00:00-06:00,60.331868014492834 A
2017-08-05T00:00:00-06:00,55.71354162693024 A
2017-08-06T00:00:00-06:00,56.688541650772095 A
2017-08-07T00:00:00-06:00,62.572916666666664 A
2017-08-08T00:00:00-06:00,62.59479169050852 A
2017-08-09T00:00:00-06:00,61.55416655540466 A
2017-08-10T00:00:00-06:00,60.748936348773064 A
2017-08-11T00:00:00-06:00,58.270833253860474 A
2017-08-12T00:00:00-06:00,56.18020844459534 A
2017-08-13T00:00:00-06:00,57.568749944368996 A
2017-08-14T00:00:00-06:00,63.815625111262 A
2017-08-15T00:00:00-06:00,62.45208354791006 A
2017-08-16T00:00:00-06:00,61.59062508742014 A
2017-08-17T00:00:00-06:00,60.70208354791006 A
2017-08-18T00:00:00-06:00,60.727083245913185 A
2017-08-19T00:00:00-06:00,56.432291666666664 A
2017-08-20T00:00:00-06:00,56.73437507947286 A
2017-08-21T00:00:00-06:00,61.95520814259847 A
2017-08-22T00:00:00-06:00,63.379166762034096 A
2017-08-23T00:00:00-06:00,61.81041669845581 A
2017-08-24T00:00:00-06:00,61.52291671435038 A
2017-08-25T00:00:00-06:00,62.045833468437195 A
2017-08-26T00:00:00-06:00,51.831250111262 A
2017-08-27T00:00:00-06:00,51.37291665871938 A
2017-08-28T00:00:00-06:00,59.3739130185998 A
2017-08-29T00:00:00-06:00,63.35806438487063 A
2017-08-30T00:00:00-06:00,62.04895842075348 A
2017-08-31T00:00:00-06:00,60.785416642824806 A
2017-09-01T00:00:00-06:00,59.76874991257986 A
2017-09-02T00:00:00-06:00,52.42083319028219 A
2017-09-03T00:00:00-06:00,52.20833317438761 A
2017-09-04T00:00:00-06:00,52.081250031789146 A
2017-09-05T00:00:00-06:00,61.77291671435038 A
2017-09-06T00:00:00-06:00,61.98749975363413 A
2017-09-07T00:00:00-06:00,61.85520819822947 A
2017-09-08T00:00:00-06:00,63.66947378861277 A
2017-09-09T00:00:00-06:00,58.800000071525574 A
2017-09-10T00:00:00-06:00,56.328125 A
2017-09-11T00:00:00-06:00,62.94374970595042 A
2017-09-12T00:00:00-06:00,61.818750421206154 A
2017-09-13T00:00:00-06:00,62.5489581823349 A
2017-09-14T00:00:00-06:00,65.72916646798451 A
2017-09-15T00:00:00-06:00,63.58020842075348 A
2017-09-16T00:00:00-06:00,50.18958330154419 A
2017-09-17T00:00:00-06:00,50.670833349227905 A
2017-09-18T00:00:00-06:00,59.18854171037674 A
2017-09-19T00:00:00-06:00,64.54479149977367 A
2017-09-20T00:00:00-06:00,61.297916849454246 A
2017-09-21T00:00:00-06:00,63.215624729792275 A
2017-09-22T00:00:00-06:00,56.005208214124046 A
2017-09-23T00:00:00-06:00,52.103124817212425 A
