Timestamp,['1ed6298b-4c920d9d 0012-SUTTON BLDG POWER METER 208V (316602) Current B']
2017-05-05T00:00:00-06:00,126.7578947368421 A
2017-05-06T00:00:00-06:00,103.65625 A
2017-05-07T00:00:00-06:00,103.07291666666667 A
2017-05-08T00:00:00-06:00,132.30208333333334 A
2017-05-09T00:00:00-06:00,141.21875 A
2017-05-10T00:00:00-06:00,140.90625 A
2017-05-11T00:00:00-06:00,139.375 A
2017-05-12T00:00:00-06:00,137.58333333333334 A
2017-05-13T00:00:00-06:00,125.5 A
2017-05-14T00:00:00-06:00,125.95833333333333 A
2017-05-15T00:00:00-06:00,133.91666666666666 A
2017-05-16T00:00:00-06:00,140.76041666666666 A
2017-05-17T00:00:00-06:00,141.53125 A
2017-05-18T00:00:00-06:00,147.69791666666666 A
2017-05-19T00:00:00-06:00,148.75 A
2017-05-20T00:00:00-06:00,135.47916666666666 A
2017-05-21T00:00:00-06:00,133.03125 A
2017-05-22T00:00:00-06:00,146.97916666666666 A
2017-05-23T00:00:00-06:00,151.79166666666666 A
2017-05-24T00:00:00-06:00,150.45833333333334 A
2017-05-25T00:00:00-06:00,145.83333333333334 A
2017-05-26T00:00:00-06:00,132.14583333333334 A
2017-05-27T00:00:00-06:00,104.38947368421053 A
2017-05-28T00:00:00-06:00,103.0421052631579 A
2017-05-29T00:00:00-06:00,102.86458333333333 A
2017-05-30T00:00:00-06:00,129.81052631578947 A
2017-05-31T00:00:00-06:00,143.65625 A
2017-06-01T00:00:00-06:00,137.46875 A
2017-06-02T00:00:00-06:00,133.47916666666666 A
2017-06-03T00:00:00-06:00,120.29166666666667 A
2017-06-04T00:00:00-06:00,121.82291666666667 A
2017-06-05T00:00:00-06:00,126.875 A
2017-06-06T00:00:00-06:00,134.53125 A
2017-06-07T00:00:00-06:00,142.98958333333334 A
2017-06-08T00:00:00-06:00,149.625 A
2017-06-09T00:00:00-06:00,142.92708333333334 A
2017-06-10T00:00:00-06:00,133.16666666666666 A
2017-06-11T00:00:00-06:00,133.20833333333334 A
2017-06-12T00:00:00-06:00,150.15625 A
2017-06-13T00:00:00-06:00,148.125 A
2017-06-14T00:00:00-06:00,146.16666666666666 A
2017-06-15T00:00:00-06:00,144.80208333333334 A
2017-06-16T00:00:00-06:00,138.42708333333334 A
2017-06-17T00:00:00-06:00,141.8125 A
2017-06-18T00:00:00-06:00,135.10416666666666 A
2017-06-19T00:00:00-06:00,141.75 A
2017-06-20T00:00:00-06:00,150.42708333333334 A
2017-06-21T00:00:00-06:00,153.89583333333334 A
2017-06-22T00:00:00-06:00,154.1875 A
2017-06-23T00:00:00-06:00,151.11458333333334 A
2017-06-24T00:00:00-06:00,137.44791666666666 A
2017-06-25T00:00:00-06:00,130.75 A
2017-06-26T00:00:00-06:00,140.22916666666666 A
2017-06-27T00:00:00-06:00,146.40625 A
2017-06-28T00:00:00-06:00,140.96875 A
2017-06-29T00:00:00-06:00,136.40625 A
2017-06-30T00:00:00-06:00,134.70833333333334 A
2017-07-01T00:00:00-06:00,105.42708333333333 A
2017-07-02T00:00:00-06:00,96.55208333333333 A
2017-07-03T00:00:00-06:00,118.40625 A
2017-07-04T00:00:00-06:00,128.36458333333334 A
2017-07-05T00:00:00-06:00,124.84375 A
2017-07-06T00:00:00-06:00,133.60416666666666 A
2017-07-07T00:00:00-06:00,136.35416666666666 A
2017-07-08T00:00:00-06:00,126.51041666666667 A
2017-07-09T00:00:00-06:00,125.94791666666667 A
2017-07-10T00:00:00-06:00,137.96875 A
2017-07-11T00:00:00-06:00,137.09375 A
2017-07-12T00:00:00-06:00,137.125 A
2017-07-13T00:00:00-06:00,135.69791666666666 A
2017-07-14T00:00:00-06:00,127.01041666666667 A
2017-07-15T00:00:00-06:00,117.73958333333333 A
2017-07-16T00:00:00-06:00,115.27083333333333 A
2017-07-17T00:00:00-06:00,120.61458333333333 A
2017-07-18T00:00:00-06:00,125.75 A
2017-07-19T00:00:00-06:00,128.96875 A
2017-07-20T00:00:00-06:00,137.61458333333334 A
2017-07-21T00:00:00-06:00,146.54166666666666 A
2017-07-22T00:00:00-06:00,133.3125 A
2017-07-23T00:00:00-06:00,132.15625 A
2017-07-24T00:00:00-06:00,132.3125 A
2017-07-25T00:00:00-06:00,138.08333333333334 A
2017-07-26T00:00:00-06:00,135.66666666666666 A
2017-07-27T00:00:00-06:00,141.625 A
2017-07-28T00:00:00-06:00,138.7263157894737 A
2017-07-29T00:00:00-06:00,103.05208333333333 A
2017-07-30T00:00:00-06:00,105.03125 A
2017-07-31T00:00:00-06:00,120.63541666666667 A
2017-08-01T00:00:00-06:00,123.1875 A
2017-08-02T00:00:00-06:00,129.52083333333334 A
2017-08-03T00:00:00-06:00,156.76041666666666 A
2017-08-04T00:00:00-06:00,155.13333333333333 A
2017-08-05T00:00:00-06:00,131.72916666666666 A
2017-08-06T00:00:00-06:00,133.21875 A
2017-08-07T00:00:00-06:00,141.17708333333334 A
2017-08-08T00:00:00-06:00,139.26041666666666 A
2017-08-09T00:00:00-06:00,143.26041666666666 A
2017-08-10T00:00:00-06:00,131.27659574468086 A
2017-08-11T00:00:00-06:00,110.42708333333333 A
2017-08-12T00:00:00-06:00,99.10416666666667 A
2017-08-13T00:00:00-06:00,100.22105263157894 A
2017-08-14T00:00:00-06:00,139.22916666666666 A
2017-08-15T00:00:00-06:00,149.38541666666666 A
2017-08-16T00:00:00-06:00,147.68421052631578 A
2017-08-17T00:00:00-06:00,145.59375 A
2017-08-18T00:00:00-06:00,143.96842105263158 A
2017-08-19T00:00:00-06:00,122.67708333333333 A
2017-08-20T00:00:00-06:00,123.45833333333333 A
2017-08-21T00:00:00-06:00,147.95833333333334 A
2017-08-22T00:00:00-06:00,154.23958333333334 A
2017-08-23T00:00:00-06:00,143.63541666666666 A
2017-08-24T00:00:00-06:00,148.9375 A
2017-08-25T00:00:00-06:00,139.78125 A
2017-08-26T00:00:00-06:00,102.03125 A
2017-08-27T00:00:00-06:00,100.8125 A
2017-08-28T00:00:00-06:00,137.77173913043478 A
2017-08-29T00:00:00-06:00,152.51612903225808 A
2017-08-30T00:00:00-06:00,150.82291666666666 A
2017-08-31T00:00:00-06:00,147.53125 A
2017-09-01T00:00:00-06:00,143.55208333333334 A
2017-09-02T00:00:00-06:00,124.29473684210527 A
2017-09-03T00:00:00-06:00,128.95833333333334 A
2017-09-04T00:00:00-06:00,137.0625 A
2017-09-05T00:00:00-06:00,150.33333333333334 A
2017-09-06T00:00:00-06:00,154.10526315789474 A
2017-09-07T00:00:00-06:00,148.65625 A
2017-09-08T00:00:00-06:00,150.12765957446808 A
2017-09-09T00:00:00-06:00,128.32291666666666 A
