Timestamp,"['1fa24757-6c41502c 0002-VOICE & OPERA CNTR Power Meter (301411) Watts, 3-Ph total']"
2017-04-25T00:00:00-06:00,7.517548084259033 kW
2017-04-26T00:00:00-06:00,5.49554443359375 kW
2017-04-27T00:00:00-06:00,4.677751541137695 kW
2017-04-28T00:00:00-06:00,5.673742771148682 kW
2017-04-29T00:00:00-06:00,4.744233131408691 kW
2017-04-30T00:00:00-06:00,4.591731548309326 kW
2017-05-01T00:00:00-06:00,5.696855545043945 kW
2017-05-02T00:00:00-06:00,5.636514186859131 kW
2017-05-03T00:00:00-06:00,5.424880504608154 kW
2017-05-04T00:00:00-06:00,4.84096097946167 kW
2017-05-05T00:00:00-06:00,5.442824363708496 kW
2017-05-06T00:00:00-06:00,4.56565523147583 kW
2017-05-07T00:00:00-06:00,4.581473350524902 kW
2017-05-08T00:00:00-06:00,8.869471549987793 kW
2017-05-09T00:00:00-06:00,9.094239234924316 kW
2017-05-10T00:00:00-06:00,5.442030429840088 kW
2017-05-11T00:00:00-06:00,5.3085198402404785 kW
2017-05-12T00:00:00-06:00,5.339811325073242 kW
2017-05-13T00:00:00-06:00,4.644382953643799 kW
2017-05-14T00:00:00-06:00,4.591801643371582 kW
2017-05-15T00:00:00-06:00,5.499118804931641 kW
2017-05-16T00:00:00-06:00,5.414169788360596 kW
2017-05-17T00:00:00-06:00,5.327783107757568 kW
2017-05-18T00:00:00-06:00,5.858072757720947 kW
2017-05-19T00:00:00-06:00,5.7548441886901855 kW
2017-05-20T00:00:00-06:00,4.688928127288818 kW
2017-05-21T00:00:00-06:00,4.562919616699219 kW
2017-05-22T00:00:00-06:00,4.741896629333496 kW
2017-05-23T00:00:00-06:00,5.119274616241455 kW
2017-05-24T00:00:00-06:00,5.7069807052612305 kW
2017-05-25T00:00:00-06:00,5.390137672424316 kW
2017-05-26T00:00:00-06:00,5.888683795928955 kW
2017-05-27T00:00:00-06:00,5.044480800628662 kW
2017-05-28T00:00:00-06:00,0.8148304224014282 kW
2017-05-29T00:00:00-06:00,9.584939002990723 kW
2017-05-30T00:00:00-06:00,5.725735664367676 kW
2017-05-31T00:00:00-06:00,5.859800338745117 kW
2017-06-01T00:00:00-06:00,9.030146598815918 kW
2017-06-02T00:00:00-06:00,5.582627296447754 kW
2017-06-03T00:00:00-06:00,4.689695835113525 kW
2017-06-04T00:00:00-06:00,4.8691277503967285 kW
2017-06-05T00:00:00-06:00,5.57526969909668 kW
2017-06-06T00:00:00-06:00,6.0680742263793945 kW
2017-06-07T00:00:00-06:00,5.726489067077637 kW
2017-06-08T00:00:00-06:00,5.531578063964844 kW
2017-06-09T00:00:00-06:00,5.86995267868042 kW
2017-06-10T00:00:00-06:00,4.578397750854492 kW
2017-06-11T00:00:00-06:00,4.62592887878418 kW
2017-06-12T00:00:00-06:00,4.600592136383057 kW
2017-06-13T00:00:00-06:00,4.545241832733154 kW
2017-06-14T00:00:00-06:00,5.054440975189209 kW
2017-06-15T00:00:00-06:00,5.317380428314209 kW
