Timestamp,['1fd1b0ac-bc81afd9 0082-SKAGGS BIOLOGY BLDG Power Meter kW demand']
2017-05-27T00:00:00-06:00,466 kW
2017-05-28T00:00:00-06:00,453 kW
2017-05-29T00:00:00-06:00,491 kW
2017-05-30T00:00:00-06:00,606 kW
2017-05-31T00:00:00-06:00,582 kW
2017-06-01T00:00:00-06:00,770 kW
2017-06-02T00:00:00-06:00,752 kW
2017-06-03T00:00:00-06:00,619 kW
2017-06-04T00:00:00-06:00,652 kW
2017-06-05T00:00:00-06:00,810 kW
2017-06-06T00:00:00-06:00,738 kW
2017-06-07T00:00:00-06:00,707 kW
2017-06-08T00:00:00-06:00,709 kW
2017-06-09T00:00:00-06:00,714 kW
2017-06-10T00:00:00-06:00,657 kW
2017-06-11T00:00:00-06:00,636 kW
2017-06-12T00:00:00-06:00,592 kW
2017-06-13T00:00:00-06:00,603 kW
2017-06-14T00:00:00-06:00,741 kW
2017-06-15T00:00:00-06:00,780 kW
2017-06-16T00:00:00-06:00,743 kW
2017-06-17T00:00:00-06:00,639 kW
2017-06-18T00:00:00-06:00,580 kW
2017-06-19T00:00:00-06:00,746 kW
2017-06-20T00:00:00-06:00,846 kW
2017-06-21T00:00:00-06:00,795 kW
2017-06-22T00:00:00-06:00,746 kW
2017-06-23T00:00:00-06:00,745 kW
2017-06-24T00:00:00-06:00,665 kW
2017-06-25T00:00:00-06:00,689 kW
2017-06-26T00:00:00-06:00,797 kW
2017-06-27T00:00:00-06:00,794 kW
2017-06-28T00:00:00-06:00,735 kW
2017-06-29T00:00:00-06:00,719 kW
2017-06-30T00:00:00-06:00,738 kW
2017-07-01T00:00:00-06:00,652 kW
2017-07-02T00:00:00-06:00,648 kW
2017-07-03T00:00:00-06:00,735 kW
2017-07-04T00:00:00-06:00,667 kW
2017-07-05T00:00:00-06:00,840 kW
2017-07-06T00:00:00-06:00,779 kW
2017-07-07T00:00:00-06:00,873 kW
2017-07-08T00:00:00-06:00,711 kW
2017-07-09T00:00:00-06:00,708 kW
2017-07-10T00:00:00-06:00,796 kW
2017-07-11T00:00:00-06:00,781 kW
2017-07-12T00:00:00-06:00,776 kW
2017-07-13T00:00:00-06:00,765 kW
2017-07-14T00:00:00-06:00,825 kW
2017-07-15T00:00:00-06:00,706 kW
2017-07-16T00:00:00-06:00,723 kW
2017-07-17T00:00:00-06:00,850 kW
2017-07-18T00:00:00-06:00,806 kW
2017-07-19T00:00:00-06:00,824 kW
2017-07-20T00:00:00-06:00,807 kW
2017-07-21T00:00:00-06:00,852 kW
2017-07-22T00:00:00-06:00,742 kW
2017-07-23T00:00:00-06:00,707 kW
2017-07-24T00:00:00-06:00,747 kW
2017-07-25T00:00:00-06:00,845 kW
2017-07-26T00:00:00-06:00,765 kW
2017-07-27T00:00:00-06:00,765 kW
2017-07-28T00:00:00-06:00,740 kW
2017-07-29T00:00:00-06:00,655 kW
2017-07-30T00:00:00-06:00,666 kW
2017-07-31T00:00:00-06:00,742 kW
2017-08-01T00:00:00-06:00,805 kW
2017-08-02T00:00:00-06:00,848 kW
2017-08-03T00:00:00-06:00,800 kW
2017-08-04T00:00:00-06:00,754 kW
2017-08-05T00:00:00-06:00,651 kW
2017-08-06T00:00:00-06:00,621 kW
2017-08-07T00:00:00-06:00,765 kW
2017-08-08T00:00:00-06:00,764 kW
2017-08-09T00:00:00-06:00,758 kW
2017-08-10T00:00:00-06:00,775 kW
2017-08-11T00:00:00-06:00,695 kW
2017-08-12T00:00:00-06:00,669 kW
2017-08-13T00:00:00-06:00,705 kW
2017-08-14T00:00:00-06:00,759 kW
