Timestamp,['1cdb9c50-68bcc28f 0086-MARRIOTT LIBRARY Power Meter 2 KWH Received']
2017-07-01T00:00:00-06:00,5634 kWh
2017-07-02T00:00:00-06:00,5272 kWh
2017-07-03T00:00:00-06:00,8676 kWh
2017-07-04T00:00:00-06:00,4424 kWh
2017-07-05T00:00:00-06:00,7124 kWh
2017-07-06T00:00:00-06:00,9536 kWh
2017-07-07T00:00:00-06:00,7836 kWh
2017-07-08T00:00:00-06:00,5648 kWh
2017-07-09T00:00:00-06:00,5352 kWh
2017-07-10T00:00:00-06:00,8564 kWh
2017-07-11T00:00:00-06:00,8492 kWh
2017-07-12T00:00:00-06:00,7028 kWh
2017-07-13T00:00:00-06:00,6942 kWh
2017-07-14T00:00:00-06:00,6240 kWh
2017-07-15T00:00:00-06:00,5342 kWh
2017-07-16T00:00:00-06:00,4956 kWh
2017-07-17T00:00:00-06:00,6896 kWh
2017-07-18T00:00:00-06:00,6980 kWh
2017-07-19T00:00:00-06:00,6804 kWh
2017-07-20T00:00:00-06:00,6900 kWh
2017-07-21T00:00:00-06:00,6356 kWh
2017-07-22T00:00:00-06:00,5448 kWh
2017-07-23T00:00:00-06:00,4164 kWh
2017-07-24T00:00:00-06:00,4208 kWh
2017-07-25T00:00:00-06:00,6958 kWh
2017-07-26T00:00:00-06:00,6930 kWh
2017-07-27T00:00:00-06:00,6980 kWh
2017-07-28T00:00:00-06:00,6424 kWh
2017-07-29T00:00:00-06:00,5536 kWh
2017-07-30T00:00:00-06:00,5012 kWh
2017-07-31T00:00:00-06:00,6932 kWh
2017-08-01T00:00:00-06:00,6878 kWh
2017-08-02T00:00:00-06:00,6934 kWh
2017-08-03T00:00:00-06:00,6986 kWh
2017-08-04T00:00:00-06:00,6410 kWh
2017-08-05T00:00:00-06:00,5142 kWh
2017-08-06T00:00:00-06:00,4190 kWh
2017-08-07T00:00:00-06:00,6426 kWh
2017-08-08T00:00:00-06:00,6410 kWh
2017-08-09T00:00:00-06:00,6616 kWh
2017-08-10T00:00:00-06:00,6580 kWh
2017-08-11T00:00:00-06:00,6518 kWh
2017-08-12T00:00:00-06:00,5218 kWh
2017-08-13T00:00:00-06:00,4306 kWh
2017-08-14T00:00:00-06:00,6622 kWh
2017-08-15T00:00:00-06:00,6592 kWh
2017-08-16T00:00:00-06:00,6530 kWh
