Timestamp,['1cbae83c-b206e0a0 0038-ART BLDG Power Meter 300086 KWH Received']
2017-04-11T00:00:00-06:00,709.78125 kWh
2017-04-12T00:00:00-06:00,858.859375 kWh
2017-04-13T00:00:00-06:00,811.515625 kWh
2017-04-14T00:00:00-06:00,682.09375 kWh
2017-04-15T00:00:00-06:00,638.90625 kWh
2017-04-16T00:00:00-06:00,605.453125 kWh
2017-04-17T00:00:00-06:00,896.78125 kWh
2017-04-18T00:00:00-06:00,887.21875 kWh
2017-04-19T00:00:00-06:00,1107.75 kWh
2017-04-20T00:00:00-06:00,956.25 kWh
2017-04-21T00:00:00-06:00,732.59375 kWh
2017-04-22T00:00:00-06:00,755.625 kWh
2017-04-23T00:00:00-06:00,631.390625 kWh
2017-04-24T00:00:00-06:00,926.15625 kWh
2017-04-25T00:00:00-06:00,1048.984375 kWh
2017-04-26T00:00:00-06:00,890.0625 kWh
2017-04-27T00:00:00-06:00,1052.21875 kWh
2017-04-28T00:00:00-06:00,873.625 kWh
2017-04-29T00:00:00-06:00,944.296875 kWh
2017-04-30T00:00:00-06:00,964.4375 kWh
2017-05-01T00:00:00-06:00,812.265625 kWh
2017-05-02T00:00:00-06:00,794.703125 kWh
2017-05-03T00:00:00-06:00,926.984375 kWh
2017-05-04T00:00:00-06:00,815.53125 kWh
2017-05-05T00:00:00-06:00,827.265625 kWh
2017-05-06T00:00:00-06:00,535.9375 kWh
2017-05-07T00:00:00-06:00,665.59375 kWh
2017-05-08T00:00:00-06:00,760.6875 kWh
2017-05-09T00:00:00-06:00,588.25 kWh
2017-05-10T00:00:00-06:00,627.703125 kWh
2017-05-11T00:00:00-06:00,563.515625 kWh
2017-05-12T00:00:00-06:00,653.671875 kWh
2017-05-13T00:00:00-06:00,695.140625 kWh
2017-05-14T00:00:00-06:00,670.890625 kWh
2017-05-15T00:00:00-06:00,812.28125 kWh
2017-05-16T00:00:00-06:00,793.5 kWh
2017-05-17T00:00:00-06:00,653.40625 kWh
2017-05-18T00:00:00-06:00,624.09375 kWh
2017-05-19T00:00:00-06:00,615 kWh
2017-05-20T00:00:00-06:00,561.34375 kWh
2017-05-21T00:00:00-06:00,562.984375 kWh
2017-05-22T00:00:00-06:00,647.9375 kWh
2017-05-23T00:00:00-06:00,655.140625 kWh
2017-05-24T00:00:00-06:00,640.828125 kWh
2017-05-25T00:00:00-06:00,584.078125 kWh
2017-05-26T00:00:00-06:00,525.28125 kWh
2017-05-27T00:00:00-06:00,508.5625 kWh
2017-05-28T00:00:00-06:00,551.5 kWh
2017-05-29T00:00:00-06:00,553.609375 kWh
2017-05-30T00:00:00-06:00,665.28125 kWh
2017-05-31T00:00:00-06:00,534.96875 kWh
2017-06-01T00:00:00-06:00,539.515625 kWh
2017-06-02T00:00:00-06:00,484.84375 kWh
2017-06-03T00:00:00-06:00,429.6875 kWh
