Timestamp,"['1e6891be-df586fea 0004-KINGSBURY HALL Power Meter 1 (301210) W-hours, Received']"
2017-05-02T00:00:00-06:00,4810.5625 kWh
2017-05-03T00:00:00-06:00,5463.8125 kWh
2017-05-04T00:00:00-06:00,6160.3125 kWh
2017-05-05T00:00:00-06:00,7085.8125 kWh
2017-05-06T00:00:00-06:00,7963.75 kWh
2017-05-07T00:00:00-06:00,7579 kWh
2017-05-08T00:00:00-06:00,6496.8125 kWh
2017-05-09T00:00:00-06:00,6772.875 kWh
2017-05-10T00:00:00-06:00,6851.6875 kWh
2017-05-11T00:00:00-06:00,6831.125 kWh
2017-05-12T00:00:00-06:00,7864.625 kWh
2017-05-13T00:00:00-06:00,4688.75 kWh
2017-05-14T00:00:00-06:00,5145.0625 kWh
2017-05-15T00:00:00-06:00,5405.875 kWh
2017-05-16T00:00:00-06:00,4704.375 kWh
2017-05-17T00:00:00-06:00,4552.6875 kWh
2017-05-18T00:00:00-06:00,4516.0625 kWh
2017-05-19T00:00:00-06:00,4566.9375 kWh
2017-05-20T00:00:00-06:00,5569.6875 kWh
2017-05-21T00:00:00-06:00,4732.6875 kWh
2017-05-22T00:00:00-06:00,6270.125 kWh
2017-05-23T00:00:00-06:00,6957.5625 kWh
2017-05-24T00:00:00-06:00,7794.3125 kWh
2017-05-25T00:00:00-06:00,6457.9375 kWh
2017-05-26T00:00:00-06:00,5564.625 kWh
2017-05-27T00:00:00-06:00,5644.375 kWh
2017-05-28T00:00:00-06:00,6052.6875 kWh
2017-05-29T00:00:00-06:00,7102.625 kWh
2017-05-30T00:00:00-06:00,7730.9375 kWh
2017-05-31T00:00:00-06:00,7851.25 kWh
2017-06-01T00:00:00-06:00,7892 kWh
2017-06-02T00:00:00-06:00,7745.5625 kWh
2017-06-03T00:00:00-06:00,7660.625 kWh
2017-06-04T00:00:00-06:00,7455.3125 kWh
2017-06-05T00:00:00-06:00,7937.9375 kWh
2017-06-06T00:00:00-06:00,8003.5 kWh
2017-06-07T00:00:00-06:00,7948.375 kWh
2017-06-08T00:00:00-06:00,7977.375 kWh
2017-06-09T00:00:00-06:00,7989.25 kWh
2017-06-10T00:00:00-06:00,7563 kWh
2017-06-11T00:00:00-06:00,7607.1875 kWh
2017-06-12T00:00:00-06:00,7054.5625 kWh
2017-06-13T00:00:00-06:00,5620.4375 kWh
2017-06-14T00:00:00-06:00,5396.625 kWh
2017-06-15T00:00:00-06:00,5833.5 kWh
2017-06-16T00:00:00-06:00,5946.6875 kWh
2017-06-17T00:00:00-06:00,5942.375 kWh
2017-06-18T00:00:00-06:00,5833.8299560546875 kWh
2017-06-19T00:00:00-06:00,7046.9503173828125 kWh
2017-06-20T00:00:00-06:00,8060.7705078125 kWh
2017-06-21T00:00:00-06:00,8303.580078125 kWh
2017-06-22T00:00:00-06:00,7988.099609375 kWh
