Timestamp,['1cd3e136-796cbb0f 0049-LANGUAGE & COMMUNICATION BLDG Power Meter Volts AN']
2017-10-20T00:00:00-06:00,279.6208388010661 V
2017-10-21T00:00:00-06:00,279.9843810399373 V
2017-10-22T00:00:00-06:00,279.8031317392985 V
2017-10-23T00:00:00-06:00,280.04896386464435 V
2017-10-24T00:00:00-06:00,279.8010473251343 V
2017-10-25T00:00:00-06:00,279.8578992341694 V
2017-10-26T00:00:00-06:00,279.70000680287677 V
2017-10-27T00:00:00-06:00,279.81042162577313 V
2017-10-28T00:00:00-06:00,279.7479238510132 V
2017-10-29T00:00:00-06:00,279.59687995910645 V
2017-10-30T00:00:00-06:00,279.91146246592206 V
2017-10-31T00:00:00-06:00,280.09167289733887 V
2017-11-01T00:00:00-06:00,279.4395891825358 V
2017-11-02T00:00:00-06:00,279.79896386464435 V
2017-11-03T00:00:00-06:00,279.95313199361163 V
2017-11-04T00:00:00-06:00,279.76875432332355 V
2017-11-05T00:00:00-06:00,280.0720056152344 V
2017-11-06T00:00:00-07:00,280.0927146275838 V
2017-11-07T00:00:00-07:00,280.1739632288615 V
2017-11-08T00:00:00-07:00,279.83646392822266 V
2017-11-09T00:00:00-07:00,279.7447986602783 V
2017-11-10T00:00:00-07:00,280.2885459264119 V
2017-11-11T00:00:00-07:00,280.17500559488934 V
2017-11-12T00:00:00-07:00,280.23750527699787 V
2017-11-13T00:00:00-07:00,279.8802137374878 V
2017-11-14T00:00:00-07:00,280.28750546773273 V
2017-11-15T00:00:00-07:00,279.9489634831746 V
2017-11-16T00:00:00-07:00,279.60208861033124 V
2017-11-17T00:00:00-07:00,279.6312567392985 V
2017-11-18T00:00:00-07:00,280.1885477701823 V
2017-11-19T00:00:00-07:00,280.2583392461141 V
2017-11-20T00:00:00-07:00,280.03750705718994 V
2017-11-21T00:00:00-07:00,280.14792188008624 V
2017-11-22T00:00:00-07:00,280.0385459264119 V
2017-11-23T00:00:00-07:00,280.02396329243976 V
2017-11-24T00:00:00-07:00,280.19583829243976 V
2017-11-25T00:00:00-07:00,279.90209039052326 V
2017-11-26T00:00:00-07:00,280.14271450042725 V
2017-11-27T00:00:00-07:00,280.04583899180096 V
2017-11-28T00:00:00-07:00,280.0885473887126 V
2017-11-29T00:00:00-07:00,279.8635473251343 V
2017-11-30T00:00:00-07:00,280.15937995910645 V
2017-12-01T00:00:00-07:00,279.7927134831746 V
2017-12-02T00:00:00-07:00,279.82396443684894 V
2017-12-03T00:00:00-07:00,280.1343822479248 V
