Timestamp,['1eb2a063-7d8aa9ee 0074-BUSINESS CLASSROOM BLDG Power Meter (480V) Current C']
2017-11-10T00:00:00-07:00,92.75143694877625 A
2017-11-11T00:00:00-07:00,90.74129684766133 A
2017-11-12T00:00:00-07:00,90.54176823298137 A
2017-11-13T00:00:00-07:00,92.86127456029256 A
2017-11-14T00:00:00-07:00,94.23953127861023 A
2017-11-15T00:00:00-07:00,95.98480749130249 A
2017-11-16T00:00:00-07:00,93.4065408706665 A
2017-11-17T00:00:00-07:00,89.93770027160645 A
2017-11-18T00:00:00-07:00,89.25240564346313 A
2017-11-19T00:00:00-07:00,88.43863614400227 A
2017-11-20T00:00:00-07:00,95.78068939844768 A
2017-11-21T00:00:00-07:00,94.77264889081319 A
2017-11-22T00:00:00-07:00,91.36904613176982 A
2017-11-23T00:00:00-07:00,89.15943932533264 A
2017-11-24T00:00:00-07:00,89.22558927536011 A
2017-11-25T00:00:00-07:00,89.04317911465962 A
2017-11-26T00:00:00-07:00,88.38083028793335 A
2017-11-27T00:00:00-07:00,92.18076213200887 A
2017-11-28T00:00:00-07:00,95.60151394208272 A
2017-11-29T00:00:00-07:00,96.3087317943573 A
2017-11-30T00:00:00-07:00,95.5421114762624 A
2017-12-01T00:00:00-07:00,91.98864499727885 A
2017-12-02T00:00:00-07:00,88.1574194431305 A
2017-12-03T00:00:00-07:00,88.66082946459453 A
2017-12-04T00:00:00-07:00,96.57115650177002 A
2017-12-05T00:00:00-07:00,96.47969778378804 A
2017-12-06T00:00:00-07:00,98.3144617875417 A
2017-12-07T00:00:00-07:00,97.26535725593567 A
2017-12-08T00:00:00-07:00,93.5455596446991 A
2017-12-09T00:00:00-07:00,92.87109279632568 A
2017-12-10T00:00:00-07:00,92.36914865175883 A
2017-12-11T00:00:00-07:00,93.50112517674764 A
2017-12-12T00:00:00-07:00,95.36478590965271 A
2017-12-13T00:00:00-07:00,98.07671888669331 A
2017-12-14T00:00:00-07:00,97.01439539591472 A
2017-12-15T00:00:00-07:00,95.33572514851888 A
