Timestamp,['1cd68446-a3dcfaf3 Power Meter (HV) (316610) Real Power Total']
2017-03-05T00:00:00-07:00,78 kW
2017-03-06T00:00:00-07:00,89 kW
2017-03-07T00:00:00-07:00,91 kW
2017-03-08T00:00:00-07:00,91 kW
2017-03-09T00:00:00-07:00,73 kW
2017-03-10T00:00:00-07:00,77 kW
2017-03-11T00:00:00-07:00,95 kW
2017-03-12T00:00:00-07:00,94 kW
2017-03-13T00:00:00-06:00,100 kW
2017-03-14T00:00:00-06:00,112 kW
2017-03-15T00:00:00-06:00,116 kW
2017-03-16T00:00:00-06:00,117 kW
2017-03-17T00:00:00-06:00,116 kW
2017-03-18T00:00:00-06:00,92 kW
2017-03-19T00:00:00-06:00,112 kW
2017-03-20T00:00:00-06:00,117 kW
2017-03-21T00:00:00-06:00,96 kW
2017-03-22T00:00:00-06:00,118 kW
2017-03-23T00:00:00-06:00,107 kW
2017-03-24T00:00:00-06:00,120 kW
2017-03-25T00:00:00-06:00,90 kW
2017-03-26T00:00:00-06:00,95 kW
2017-03-27T00:00:00-06:00,97 kW
2017-03-28T00:00:00-06:00,93 kW
2017-03-29T00:00:00-06:00,115 kW
2017-03-30T00:00:00-06:00,92 kW
2017-03-31T00:00:00-06:00,119 kW
2017-04-01T00:00:00-06:00,114 kW
2017-04-02T00:00:00-06:00,94 kW
2017-04-03T00:00:00-06:00,101 kW
2017-04-04T00:00:00-06:00,115 kW
2017-04-05T00:00:00-06:00,138 kW
2017-04-06T00:00:00-06:00,141 kW
2017-04-07T00:00:00-06:00,144 kW
2017-04-08T00:00:00-06:00,154 kW
2017-04-09T00:00:00-06:00,131 kW
2017-04-10T00:00:00-06:00,135 kW
2017-04-11T00:00:00-06:00,138 kW
2017-04-12T00:00:00-06:00,142 kW
2017-04-13T00:00:00-06:00,136 kW
2017-04-14T00:00:00-06:00,133 kW
2017-04-15T00:00:00-06:00,133 kW
2017-04-16T00:00:00-06:00,135 kW
2017-04-17T00:00:00-06:00,133 kW
2017-04-18T00:00:00-06:00,137 kW
2017-04-19T00:00:00-06:00,137 kW
2017-04-20T00:00:00-06:00,133 kW
2017-04-21T00:00:00-06:00,143 kW
2017-04-22T00:00:00-06:00,143 kW
2017-04-23T00:00:00-06:00,155 kW
2017-04-24T00:00:00-06:00,153 kW
2017-04-25T00:00:00-06:00,152 kW
2017-04-26T00:00:00-06:00,155 kW
2017-04-27T00:00:00-06:00,149 kW
2017-04-28T00:00:00-06:00,150 kW
2017-04-29T00:00:00-06:00,126 kW
2017-04-30T00:00:00-06:00,129 kW
2017-05-01T00:00:00-06:00,147 kW
2017-05-02T00:00:00-06:00,150 kW
2017-05-03T00:00:00-06:00,151 kW
2017-05-04T00:00:00-06:00,128 kW
2017-05-05T00:00:00-06:00,141 kW
2017-05-06T00:00:00-06:00,129 kW
2017-05-07T00:00:00-06:00,105 kW
2017-05-08T00:00:00-06:00,106 kW
2017-05-09T00:00:00-06:00,104 kW
2017-05-10T00:00:00-06:00,103 kW
2017-05-11T00:00:00-06:00,116 kW
2017-05-12T00:00:00-06:00,119 kW
2017-05-13T00:00:00-06:00,102 kW
2017-05-14T00:00:00-06:00,101 kW
2017-05-15T00:00:00-06:00,102 kW
2017-05-16T00:00:00-06:00,102 kW
2017-05-17T00:00:00-06:00,98 kW
2017-05-18T00:00:00-06:00,92 kW
2017-05-19T00:00:00-06:00,115 kW
2017-05-20T00:00:00-06:00,110 kW
2017-05-21T00:00:00-06:00,116 kW
2017-05-22T00:00:00-06:00,104 kW
2017-05-23T00:00:00-06:00,119 kW
2017-05-24T00:00:00-06:00,135 kW
2017-05-25T00:00:00-06:00,129 kW
2017-05-26T00:00:00-06:00,113 kW
2017-05-27T00:00:00-06:00,112 kW
2017-05-28T00:00:00-06:00,123 kW
2017-05-29T00:00:00-06:00,104 kW
2017-05-30T00:00:00-06:00,125 kW
2017-05-31T00:00:00-06:00,113 kW
2017-06-01T00:00:00-06:00,116 kW
2017-06-02T00:00:00-06:00,112 kW
2017-06-03T00:00:00-06:00,135 kW
2017-06-04T00:00:00-06:00,134 kW
2017-06-05T00:00:00-06:00,114 kW
2017-06-06T00:00:00-06:00,138 kW
2017-06-07T00:00:00-06:00,119 kW
2017-06-08T00:00:00-06:00,135 kW
2017-06-09T00:00:00-06:00,141 kW
2017-06-10T00:00:00-06:00,114 kW
2017-06-11T00:00:00-06:00,118 kW
2017-06-12T00:00:00-06:00,113 kW
2017-06-13T00:00:00-06:00,112 kW
2017-06-14T00:00:00-06:00,135 kW
2017-06-15T00:00:00-06:00,131 kW
2017-06-16T00:00:00-06:00,135 kW
2017-06-17T00:00:00-06:00,130 kW
2017-06-18T00:00:00-06:00,97 kW
2017-06-19T00:00:00-06:00,139 kW
2017-06-20T00:00:00-06:00,158 kW
2017-06-21T00:00:00-06:00,141 kW
2017-06-22T00:00:00-06:00,140 kW
2017-06-23T00:00:00-06:00,135 kW
2017-06-24T00:00:00-06:00,137 kW
2017-06-25T00:00:00-06:00,133 kW
2017-06-26T00:00:00-06:00,145 kW
2017-06-27T00:00:00-06:00,165 kW
2017-06-28T00:00:00-06:00,138 kW
2017-06-29T00:00:00-06:00,134 kW
2017-06-30T00:00:00-06:00,140 kW
2017-07-01T00:00:00-06:00,137 kW
2017-07-02T00:00:00-06:00,139 kW
2017-07-03T00:00:00-06:00,137 kW
2017-07-04T00:00:00-06:00,137 kW
2017-07-05T00:00:00-06:00,140 kW
2017-07-06T00:00:00-06:00,141 kW
2017-07-07T00:00:00-06:00,138 kW
2017-07-08T00:00:00-06:00,130 kW
2017-07-09T00:00:00-06:00,129 kW
2017-07-10T00:00:00-06:00,124 kW
2017-07-11T00:00:00-06:00,130 kW
2017-07-12T00:00:00-06:00,118 kW
2017-07-14T00:00:00-06:00,142 kW
2017-07-15T00:00:00-06:00,137 kW
2017-07-16T00:00:00-06:00,135 kW
2017-07-17T00:00:00-06:00,137 kW
2017-07-18T00:00:00-06:00,130 kW
2017-07-19T00:00:00-06:00,134 kW
2017-07-20T00:00:00-06:00,141 kW
2017-07-21T00:00:00-06:00,133 kW
2017-07-22T00:00:00-06:00,134 kW
2017-07-23T00:00:00-06:00,132 kW
2017-07-24T00:00:00-06:00,131 kW
2017-07-25T00:00:00-06:00,132 kW
2017-07-26T00:00:00-06:00,136 kW
2017-07-27T00:00:00-06:00,135 kW
2017-07-28T00:00:00-06:00,133 kW
2017-07-29T00:00:00-06:00,151 kW
2017-07-30T00:00:00-06:00,130 kW
2017-07-31T00:00:00-06:00,134 kW
2017-08-01T00:00:00-06:00,142 kW
2017-08-02T00:00:00-06:00,125 kW
2017-08-03T00:00:00-06:00,140 kW
2017-08-04T00:00:00-06:00,142 kW
2017-08-05T00:00:00-06:00,129 kW
2017-08-06T00:00:00-06:00,131 kW
2017-08-07T00:00:00-06:00,131 kW
2017-08-08T00:00:00-06:00,132 kW
2017-08-09T00:00:00-06:00,142 kW
2017-08-10T00:00:00-06:00,135 kW
2017-08-11T00:00:00-06:00,131 kW
2017-08-12T00:00:00-06:00,133 kW
2017-08-13T00:00:00-06:00,125 kW
2017-08-14T00:00:00-06:00,137 kW
2017-08-15T00:00:00-06:00,126 kW
2017-08-16T00:00:00-06:00,135 kW
2017-08-17T00:00:00-06:00,130 kW
2017-08-18T00:00:00-06:00,133 kW
2017-08-19T00:00:00-06:00,130 kW
2017-08-20T00:00:00-06:00,132 kW
2017-08-21T00:00:00-06:00,145 kW
2017-08-22T00:00:00-06:00,136 kW
2017-08-23T00:00:00-06:00,137 kW
2017-08-24T00:00:00-06:00,128 kW
2017-08-25T00:00:00-06:00,140 kW
2017-08-26T00:00:00-06:00,135 kW
2017-08-27T00:00:00-06:00,130 kW
2017-08-28T00:00:00-06:00,144 kW
2017-08-29T00:00:00-06:00,135 kW
2017-08-30T00:00:00-06:00,127 kW
2017-08-31T00:00:00-06:00,124 kW
2017-09-01T00:00:00-06:00,115 kW
2017-09-02T00:00:00-06:00,108 kW
2017-09-03T00:00:00-06:00,114 kW
2017-09-04T00:00:00-06:00,112 kW
2017-09-05T00:00:00-06:00,111 kW
2017-09-06T00:00:00-06:00,107 kW
2017-09-07T00:00:00-06:00,112 kW
2017-09-08T00:00:00-06:00,113 kW
2017-09-09T00:00:00-06:00,101 kW
2017-09-10T00:00:00-06:00,100 kW
2017-09-11T00:00:00-06:00,106 kW
