Timestamp,['1cf2343d-2e7779d6 0086-MARRIOTT LIBRARY Power Meter 3 KWH Received']
2017-07-01T00:00:00-06:00,1090 kWh
2017-07-02T00:00:00-06:00,1058 kWh
2017-07-03T00:00:00-06:00,1149 kWh
2017-07-04T00:00:00-06:00,1041 kWh
2017-07-05T00:00:00-06:00,1188 kWh
2017-07-06T00:00:00-06:00,1216 kWh
2017-07-07T00:00:00-06:00,1206 kWh
2017-07-08T00:00:00-06:00,1111 kWh
2017-07-09T00:00:00-06:00,1074 kWh
2017-07-10T00:00:00-06:00,1208 kWh
2017-07-11T00:00:00-06:00,1202 kWh
2017-07-12T00:00:00-06:00,1208 kWh
2017-07-13T00:00:00-06:00,1218 kWh
2017-07-14T00:00:00-06:00,1217 kWh
2017-07-15T00:00:00-06:00,1102 kWh
2017-07-16T00:00:00-06:00,1067 kWh
2017-07-17T00:00:00-06:00,1190 kWh
2017-07-18T00:00:00-06:00,1267 kWh
2017-07-19T00:00:00-06:00,1218 kWh
2017-07-20T00:00:00-06:00,1203 kWh
2017-07-21T00:00:00-06:00,1166 kWh
2017-07-22T00:00:00-06:00,1112 kWh
2017-07-23T00:00:00-06:00,1043 kWh
2017-07-24T00:00:00-06:00,1040 kWh
2017-07-25T00:00:00-06:00,1204 kWh
2017-07-26T00:00:00-06:00,1225 kWh
2017-07-27T00:00:00-06:00,1218 kWh
2017-07-28T00:00:00-06:00,1180 kWh
2017-07-29T00:00:00-06:00,1096 kWh
2017-07-30T00:00:00-06:00,1064 kWh
2017-07-31T00:00:00-06:00,1203 kWh
2017-08-01T00:00:00-06:00,1215 kWh
2017-08-02T00:00:00-06:00,1246 kWh
2017-08-03T00:00:00-06:00,1191 kWh
2017-08-04T00:00:00-06:00,1187 kWh
2017-08-05T00:00:00-06:00,1083 kWh
2017-08-06T00:00:00-06:00,1052 kWh
2017-08-07T00:00:00-06:00,1170 kWh
2017-08-08T00:00:00-06:00,1193 kWh
2017-08-09T00:00:00-06:00,1208 kWh
2017-08-10T00:00:00-06:00,1174 kWh
2017-08-11T00:00:00-06:00,1166 kWh
2017-08-12T00:00:00-06:00,1091 kWh
2017-08-13T00:00:00-06:00,1059 kWh
2017-08-14T00:00:00-06:00,1196 kWh
2017-08-15T00:00:00-06:00,1186 kWh
2017-08-16T00:00:00-06:00,1197 kWh
2017-08-17T00:00:00-06:00,1177 kWh
2017-08-18T00:00:00-06:00,1158 kWh
2017-08-19T00:00:00-06:00,1089 kWh
2017-08-20T00:00:00-06:00,1053 kWh
2017-08-21T00:00:00-06:00,1240 kWh
2017-08-22T00:00:00-06:00,1288 kWh
2017-08-23T00:00:00-06:00,1270 kWh
2017-08-24T00:00:00-06:00,1295 kWh
2017-08-25T00:00:00-06:00,1238 kWh
2017-08-26T00:00:00-06:00,1100 kWh
2017-08-27T00:00:00-06:00,1085 kWh
2017-08-28T00:00:00-06:00,1291 kWh
2017-08-29T00:00:00-06:00,1271 kWh
2017-08-30T00:00:00-06:00,1276 kWh
2017-08-31T00:00:00-06:00,1283 kWh
2017-09-01T00:00:00-06:00,1217 kWh
2017-09-02T00:00:00-06:00,1108 kWh
2017-09-03T00:00:00-06:00,1068 kWh
