Timestamp,['1d0b1bb7-eca233e9 0084-BIOLOGY BLDG Power Meter 316500 Current A']
2017-08-04T00:00:00-06:00,197.16423377562106 A
2017-08-05T00:00:00-06:00,191.23224290211996 A
2017-08-06T00:00:00-06:00,190.05172411600748 A
2017-08-07T00:00:00-06:00,201.64951499303183 A
2017-08-08T00:00:00-06:00,198.81444525467722 A
2017-08-09T00:00:00-06:00,194.4006978670756 A
2017-08-10T00:00:00-06:00,195.4266005806301 A
2017-08-11T00:00:00-06:00,195.625847975413 A
2017-08-12T00:00:00-06:00,186.31623109181723 A
2017-08-13T00:00:00-06:00,191.02862977981567 A
2017-08-14T00:00:00-06:00,200.69175910949707 A
2017-08-15T00:00:00-06:00,200.40733671188354 A
2017-08-16T00:00:00-06:00,200.9908205807864 A
2017-08-17T00:00:00-06:00,201.4624597231547 A
2017-08-18T00:00:00-06:00,197.52330207824707 A
2017-08-19T00:00:00-06:00,190.00952514012656 A
2017-08-20T00:00:00-06:00,189.65911992390951 A
2017-08-21T00:00:00-06:00,201.17583481470743 A
2017-08-22T00:00:00-06:00,205.26592016220093 A
2017-08-23T00:00:00-06:00,198.61191097895303 A
2017-08-24T00:00:00-06:00,200.19263771458677 A
2017-08-25T00:00:00-06:00,203.6377035776774 A
2017-08-26T00:00:00-06:00,191.23780212402343 A
2017-08-27T00:00:00-06:00,191.47643507920301 A
2017-08-28T00:00:00-06:00,204.3299446105957 A
2017-08-29T00:00:00-06:00,209.06028210675274 A
2017-08-30T00:00:00-06:00,204.78612314860027 A
2017-08-31T00:00:00-06:00,202.03172561357607 A
2017-09-01T00:00:00-06:00,201.44786024093628 A
2017-09-02T00:00:00-06:00,189.4845210484096 A
2017-09-03T00:00:00-06:00,190.35689080930223 A
2017-09-04T00:00:00-06:00,191.30263095431857 A
2017-09-05T00:00:00-06:00,202.04354271521936 A
2017-09-06T00:00:00-06:00,191.98529649817425 A
2017-09-07T00:00:00-06:00,192.66175638834636 A
2017-09-08T00:00:00-06:00,193.85236140659876 A
2017-09-09T00:00:00-06:00,181.7561514718192 A
2017-09-10T00:00:00-06:00,181.2786063454368 A
2017-09-11T00:00:00-06:00,189.72385844246287 A
2017-09-12T00:00:00-06:00,188.7124699559705 A
2017-09-13T00:00:00-06:00,189.07671651532573 A
2017-09-14T00:00:00-06:00,190.61054282352842 A
2017-09-15T00:00:00-06:00,186.86664503447864 A
2017-09-16T00:00:00-06:00,176.65819600423177 A
2017-09-17T00:00:00-06:00,177.89937727791923 A
2017-09-18T00:00:00-06:00,186.89382030345774 A
2017-09-19T00:00:00-06:00,190.7643553268078 A
2017-09-20T00:00:00-06:00,189.0172268902814 A
2017-09-21T00:00:00-06:00,182.9653525612571 A
2017-09-22T00:00:00-06:00,169.67588888632284 A
2017-09-23T00:00:00-06:00,159.81429652163857 A
2017-09-24T00:00:00-06:00,159.4505292107077 A
2017-09-25T00:00:00-06:00,184.5477949289175 A
2017-09-26T00:00:00-06:00,183.06390606915508 A
2017-09-27T00:00:00-06:00,187.47815579501065 A
2017-09-28T00:00:00-06:00,187.22339830900492 A
2017-09-29T00:00:00-06:00,191.09292749258188 A
2017-09-30T00:00:00-06:00,177.8047923212466 A
2017-10-01T00:00:00-06:00,171.16099900465744 A
2017-10-02T00:00:00-06:00,171.87253164737783 A
2017-10-03T00:00:00-06:00,181.8907988264754 A
2017-10-04T00:00:00-06:00,190.92770560843044 A
2017-10-05T00:00:00-06:00,186.80546276385968 A
2017-10-06T00:00:00-06:00,179.62660305999046 A
2017-10-07T00:00:00-06:00,168.82552425986842 A
2017-10-08T00:00:00-06:00,167.57291666666666 A
2017-10-09T00:00:00-06:00,169.62219848632813 A
2017-10-10T00:00:00-06:00,178.3434315133602 A
2017-10-11T00:00:00-06:00,179.89710621167254 A
2017-10-12T00:00:00-06:00,180.01132361094156 A
2017-10-13T00:00:00-06:00,173.91233237584433 A
2017-10-14T00:00:00-06:00,159.40717002467105 A
2017-10-15T00:00:00-06:00,159.30004978179932 A
2017-10-16T00:00:00-06:00,179.47069279352823 A
2017-10-17T00:00:00-06:00,186.66511042912802 A
2017-10-18T00:00:00-06:00,186.62274281183878 A
2017-10-19T00:00:00-06:00,185.67316830283718 A
2017-10-20T00:00:00-06:00,181.91742769877115 A
2017-10-21T00:00:00-06:00,160.6345330874125 A
2017-10-22T00:00:00-06:00,166.6966781616211 A
2017-10-23T00:00:00-06:00,189.07610591252646 A
2017-10-24T00:00:00-06:00,190.31245101125617 A
2017-10-25T00:00:00-06:00,189.51618480682373 A
2017-10-26T00:00:00-06:00,184.58271349890757 A
