Timestamp,['1fe6f7d8-1dd123e6 Power Meter 085220 (300186) Current C']
2017-05-01T00:00:00-06:00,93.63932534550013 A
2017-05-02T00:00:00-06:00,88.30384611472105 A
2017-05-03T00:00:00-06:00,88.47307684482672 A
2017-05-04T00:00:00-06:00,87.14868425068103 A
2017-05-05T00:00:00-06:00,88.87439020668587 A
2017-05-06T00:00:00-06:00,79.53870957897556 A
2017-05-07T00:00:00-06:00,84.95581400671671 A
2017-05-08T00:00:00-06:00,90.80740752043548 A
2017-05-09T00:00:00-06:00,86.88117586023667 A
2017-05-10T00:00:00-06:00,101.10749969482421 A
2017-05-11T00:00:00-06:00,112.23928560529437 A
2017-05-12T00:00:00-06:00,101.62386391379617 A
2017-05-13T00:00:00-06:00,80.97499986128373 A
2017-05-14T00:00:00-06:00,85.6081393042276 A
2017-05-15T00:00:00-06:00,91.4160920066395 A
2017-05-16T00:00:00-06:00,94.39647037281709 A
2017-05-17T00:00:00-06:00,91.81547628130231 A
2017-05-18T00:00:00-06:00,90.45476141430083 A
2017-05-19T00:00:00-06:00,89.78064539099252 A
2017-05-20T00:00:00-06:00,85.11058816348805 A
2017-05-21T00:00:00-06:00,81.46506059026143 A
2017-05-22T00:00:00-06:00,87.5850574888032 A
2017-05-23T00:00:00-06:00,89.14731212328839 A
2017-05-24T00:00:00-06:00,88.61511629681254 A
2017-05-25T00:00:00-06:00,90.18735618152837 A
2017-05-26T00:00:00-06:00,90.43294121237362 A
2017-05-27T00:00:00-06:00,84.71052639609889 A
2017-05-28T00:00:00-06:00,83.26075957093057 A
2017-05-29T00:00:00-06:00,85.79999993064187 A
2017-05-30T00:00:00-06:00,87.55698928012643 A
2017-05-31T00:00:00-06:00,87.24731199202999 A
2017-06-01T00:00:00-06:00,87.99883758190066 A
2017-06-02T00:00:00-06:00,84.27228886248118 A
2017-06-03T00:00:00-06:00,76.6337075394191 A
2017-06-04T00:00:00-06:00,84.09891327567722 A
2017-06-05T00:00:00-06:00,89.60609715159346 A
2017-06-06T00:00:00-06:00,87.89302346872729 A
2017-06-07T00:00:00-06:00,87.54736880252236 A
2017-06-08T00:00:00-06:00,86.69764727424173 A
2017-06-09T00:00:00-06:00,87.00384609515851 A
2017-06-10T00:00:00-06:00,85.50847457627118 A
2017-06-11T00:00:00-06:00,89.3925372451099 A
2017-06-12T00:00:00-06:00,91.03902463215154 A
2017-06-13T00:00:00-06:00,124.94886459003796 A
2017-06-14T00:00:00-06:00,149.6742856706892 A
2017-06-15T00:00:00-06:00,127.94623729746829 A
2017-06-16T00:00:00-06:00,118.53209902916426 A
2017-06-17T00:00:00-06:00,142.70459756083872 A
2017-06-18T00:00:00-06:00,142.66913501127266 A
2017-06-19T00:00:00-06:00,153.66666627541568 A
2017-06-20T00:00:00-06:00,151.62499959845292 A
2017-06-21T00:00:00-06:00,152.7567170555912 A
2017-06-22T00:00:00-06:00,152.157333984375 A
2017-06-23T00:00:00-06:00,148.52000056675502 A
2017-06-24T00:00:00-06:00,147.01764693914674 A
2017-06-25T00:00:00-06:00,147.5285704476493 A
2017-06-26T00:00:00-06:00,155.54571380615235 A
2017-06-27T00:00:00-06:00,152.95600036621093 A
2017-06-28T00:00:00-06:00,152.74999977560606 A
2017-06-29T00:00:00-06:00,153.91052587408768 A
2017-06-30T00:00:00-06:00,152.65057478279903 A
2017-07-01T00:00:00-06:00,145.09569853095599 A
2017-07-02T00:00:00-06:00,148.26989253874748 A
2017-07-03T00:00:00-06:00,155.4220004272461 A
2017-07-04T00:00:00-06:00,150.91132052439565 A
2017-07-05T00:00:00-06:00,159.98620640546426 A
2017-07-06T00:00:00-06:00,156.18684266742906 A
2017-07-07T00:00:00-06:00,167.63333384195963 A
2017-07-08T00:00:00-06:00,146.15714590890067 A
2017-07-09T00:00:00-06:00,150.22500228881836 A
2017-07-10T00:00:00-06:00,151 A
2017-07-11T00:00:00-06:00,148.8299987792969 A
2017-07-12T00:00:00-06:00,149.5800018310547 A
2017-07-14T00:00:00-06:00,158.23125076293945 A
2017-07-15T00:00:00-06:00,138.00000272478377 A
2017-07-16T00:00:00-06:00,150.88750076293945 A
2017-07-17T00:00:00-06:00,158.84285845075334 A
2017-07-18T00:00:00-06:00,145.20000076293945 A
2017-07-19T00:00:00-06:00,153.01667022705078 A
2017-07-20T00:00:00-06:00,158.84545343572444 A
2017-07-21T00:00:00-06:00,157.6631582159745 A
2017-07-22T00:00:00-06:00,149.7948714036208 A
2017-07-23T00:00:00-06:00,143.6500015258789 A
2017-07-24T00:00:00-06:00,147.72857230050224 A
2017-07-25T00:00:00-06:00,160.84000244140626 A
2017-07-26T00:00:00-06:00,155.66666497124567 A
2017-07-27T00:00:00-06:00,153.7142835344587 A
2017-07-28T00:00:00-06:00,148.0749969482422 A
2017-07-29T00:00:00-06:00,150.07500076293945 A
2017-07-30T00:00:00-06:00,159.55000178019205 A
2017-07-31T00:00:00-06:00,162.2699996948242 A
2017-08-01T00:00:00-06:00,162.05861953209185 A
2017-08-02T00:00:00-06:00,152.52857317243303 A
2017-08-03T00:00:00-06:00,157.4499969482422 A
2017-08-04T00:00:00-06:00,158.8500010172526 A
2017-08-05T00:00:00-06:00,155.70833206176758 A
2017-08-06T00:00:00-06:00,150.01666514078775 A
2017-08-07T00:00:00-06:00,159.95000076293945 A
2017-08-08T00:00:00-06:00,153.23750114440918 A
2017-08-09T00:00:00-06:00,153.27692237267127 A
2017-08-10T00:00:00-06:00,157.0999984741211 A
2017-08-11T00:00:00-06:00,171.0999984741211 A
2017-08-12T00:00:00-06:00,151.64705882352942 A
2017-08-13T00:00:00-06:00,151.1142861502511 A
2017-08-14T00:00:00-06:00,159.3000030517578 A
2017-08-15T00:00:00-06:00,156.26000061035157 A
2017-08-16T00:00:00-06:00,149.42499923706055 A
2017-08-17T00:00:00-06:00,169.63332875569662 A
2017-08-18T00:00:00-06:00,152.3499984741211 A
2017-08-19T00:00:00-06:00,140.95714242117745 A
2017-08-20T00:00:00-06:00,142.3066670735677 A
2017-08-21T00:00:00-06:00,154.8300018310547 A
2017-08-22T00:00:00-06:00,158.12000122070313 A
2017-08-23T00:00:00-06:00,158.1999969482422 A
2017-08-24T00:00:00-06:00,165.37777709960938 A
2017-08-25T00:00:00-06:00,162.86000061035156 A
2017-08-26T00:00:00-06:00,156.36666870117188 A
