Timestamp,['1ee9af99-071a9129 0053-OLPIN UNION Power Meter (53-1) Current B']
2017-04-30T00:00:00-06:00,53.17787782351176 A
2017-05-01T00:00:00-06:00,57.86882074673971 A
2017-05-02T00:00:00-06:00,58.778561313947044 A
2017-05-03T00:00:00-06:00,58.513367335001625 A
2017-05-04T00:00:00-06:00,56.90277755901378 A
2017-05-05T00:00:00-06:00,104.39615694681804 A
2017-05-06T00:00:00-06:00,57.10257753071032 A
2017-05-07T00:00:00-06:00,50.36321338017782 A
2017-05-08T00:00:00-06:00,93.06770445171155 A
2017-05-09T00:00:00-06:00,97.6021992332057 A
2017-05-10T00:00:00-06:00,61.465745170911156 A
2017-05-11T00:00:00-06:00,93.38456388314565 A
2017-05-12T00:00:00-06:00,54.99309289455414 A
2017-05-13T00:00:00-06:00,47.57637917995453 A
2017-05-14T00:00:00-06:00,45.71301090717316 A
2017-05-15T00:00:00-06:00,50.443087206388775 A
2017-05-16T00:00:00-06:00,52.401582996050514 A
2017-05-17T00:00:00-06:00,55.87447249889374 A
2017-05-18T00:00:00-06:00,55.22167490908974 A
2017-05-19T00:00:00-06:00,55.97186168034872 A
2017-05-20T00:00:00-06:00,51.11323901017507 A
2017-05-21T00:00:00-06:00,46.198512514432274 A
2017-05-22T00:00:00-06:00,53.22015849749247 A
2017-05-23T00:00:00-06:00,86.86154123147328 A
2017-05-24T00:00:00-06:00,99.98909612496693 A
2017-05-25T00:00:00-06:00,98.2739770412445 A
2017-05-26T00:00:00-06:00,55.66688060760498 A
2017-05-27T00:00:00-06:00,46.65733846028646 A
2017-05-28T00:00:00-06:00,47.054236919321916 A
2017-05-29T00:00:00-06:00,48.456581155459084 A
2017-05-30T00:00:00-06:00,103.99437737464905 A
2017-05-31T00:00:00-06:00,105.50277332464854 A
2017-06-01T00:00:00-06:00,104.11769382158916 A
2017-06-02T00:00:00-06:00,103.17082417011261 A
2017-06-03T00:00:00-06:00,98.43069930871327 A
2017-06-04T00:00:00-06:00,96.64206214745839 A
2017-06-05T00:00:00-06:00,102.9909454981486 A
2017-06-06T00:00:00-06:00,105.61830973625183 A
2017-06-07T00:00:00-06:00,108.35042389233907 A
2017-06-08T00:00:00-06:00,108.28106959660848 A
2017-06-09T00:00:00-06:00,104.39241786797841 A
2017-06-10T00:00:00-06:00,96.82273320357005 A
2017-06-11T00:00:00-06:00,95.45544286568959 A
2017-06-12T00:00:00-06:00,71.35848828156789 A
2017-06-13T00:00:00-06:00,56.54070762793223 A
2017-06-14T00:00:00-06:00,88.4193461338679 A
2017-06-15T00:00:00-06:00,103.26599872112274 A
2017-06-16T00:00:00-06:00,104.68556348482768 A
2017-06-17T00:00:00-06:00,98.1840608517329 A
2017-06-18T00:00:00-06:00,93.2629603544871 A
2017-06-19T00:00:00-06:00,98.68134808540344 A
2017-06-20T00:00:00-06:00,107.86222509543101 A
2017-06-21T00:00:00-06:00,108.36695039272308 A
2017-06-22T00:00:00-06:00,107.3499477704366 A
2017-06-23T00:00:00-06:00,105.03150204817454 A
2017-06-24T00:00:00-06:00,100.38421821594238 A
2017-06-25T00:00:00-06:00,95.83233646551768 A
2017-06-26T00:00:00-06:00,105.97656551996867 A
2017-06-27T00:00:00-06:00,108.08930325508118 A
2017-06-28T00:00:00-06:00,106.57835682233174 A
2017-06-29T00:00:00-06:00,102.40250551030877 A
2017-06-30T00:00:00-06:00,99.89286119392119 A
2017-07-01T00:00:00-06:00,97.8224816719691 A
2017-07-02T00:00:00-06:00,96.85853401819865 A
2017-07-03T00:00:00-06:00,106.37977266311646 A
2017-07-04T00:00:00-06:00,100.56290058294933 A
2017-07-05T00:00:00-06:00,100.78315944948058 A
2017-07-06T00:00:00-06:00,111.47841687997182 A
2017-07-07T00:00:00-06:00,103.0990966348087 A
2017-07-08T00:00:00-06:00,107.13087062040965 A
2017-07-09T00:00:00-06:00,102.34445079167683 A
2017-07-10T00:00:00-06:00,107.9800926208496 A
2017-07-11T00:00:00-06:00,111.85018058617909 A
2017-07-12T00:00:00-06:00,110.36579910914104 A
2017-07-13T00:00:00-06:00,111.62700235843658 A
2017-07-14T00:00:00-06:00,110.0315528313319 A
2017-07-15T00:00:00-06:00,106.06042206287384 A
2017-07-16T00:00:00-06:00,101.93474666277568 A
2017-07-17T00:00:00-06:00,111.2745331923167 A
2017-07-18T00:00:00-06:00,112.50199580192566 A
2017-07-19T00:00:00-06:00,113.22520613670349 A
2017-07-20T00:00:00-06:00,111.08303276697795 A
2017-07-21T00:00:00-06:00,111.73474923769633 A
2017-07-22T00:00:00-06:00,101.86120398839314 A
2017-07-23T00:00:00-06:00,100.0670839548111 A
2017-07-24T00:00:00-06:00,101.24533859888713 A
2017-07-25T00:00:00-06:00,109.69305030504863 A
2017-07-26T00:00:00-06:00,109.63275484244029 A
2017-07-27T00:00:00-06:00,108.03235566616058 A
