Timestamp,"['1cf8d79a-b6d88143 0064-MERRILL ENGINEERING BLDG Power Meter (300154, 064-802) Current B']"
2017-05-01T00:00:00-06:00,6.7664794921875 A
2017-05-02T00:00:00-06:00,6.506917317708333 A
2017-05-03T00:00:00-06:00,6.571818033854167 A
2017-05-04T00:00:00-06:00,6.627848307291667 A
2017-05-05T00:00:00-06:00,6.596883138020833 A
2017-05-06T00:00:00-06:00,5.990501644736842 A
2017-05-07T00:00:00-06:00,6.174601236979167 A
2017-05-08T00:00:00-06:00,6.615109707446808 A
2017-05-09T00:00:00-06:00,6.648030598958333 A
2017-05-10T00:00:00-06:00,6.7176513671875 A
2017-05-11T00:00:00-06:00,7.260335286458333 A
2017-05-12T00:00:00-06:00,7.128865559895833 A
2017-05-13T00:00:00-06:00,6.175984700520833 A
2017-05-14T00:00:00-06:00,6.353597005208333 A
2017-05-15T00:00:00-06:00,6.897013346354167 A
2017-05-16T00:00:00-06:00,6.952921549479167 A
2017-05-17T00:00:00-06:00,6.7779541015625 A
2017-05-18T00:00:00-06:00,6.639200846354167 A
2017-05-19T00:00:00-06:00,6.468465169270833 A
2017-05-20T00:00:00-06:00,6.111328125 A
2017-05-21T00:00:00-06:00,6.234619140625 A
2017-05-22T00:00:00-06:00,6.929931640625 A
2017-05-23T00:00:00-06:00,6.436930338541667 A
2017-05-24T00:00:00-06:00,6.498575846354167 A
2017-05-25T00:00:00-06:00,6.481282552083333 A
2017-05-26T00:00:00-06:00,6.454060872395833 A
2017-05-27T00:00:00-06:00,5.7620849609375 A
2017-05-28T00:00:00-06:00,5.790953947368421 A
2017-05-29T00:00:00-06:00,6.303019205729167 A
2017-05-30T00:00:00-06:00,6.435343424479167 A
2017-05-31T00:00:00-06:00,6.6307373046875 A
2017-06-01T00:00:00-06:00,6.401163736979167 A
2017-06-02T00:00:00-06:00,6.443033854166667 A
2017-06-03T00:00:00-06:00,5.973714192708333 A
2017-06-04T00:00:00-06:00,5.739339192708333 A
2017-06-05T00:00:00-06:00,6.4462890625 A
2017-06-06T00:00:00-06:00,6.797688802083333 A
2017-06-07T00:00:00-06:00,6.606486002604167 A
2017-06-08T00:00:00-06:00,6.5045166015625 A
2017-06-09T00:00:00-06:00,6.382364908854167 A
2017-06-10T00:00:00-06:00,6.1116943359375 A
2017-06-11T00:00:00-06:00,6.0135498046875 A
2017-06-12T00:00:00-06:00,6.603597005208333 A
2017-06-13T00:00:00-06:00,6.650634765625 A
2017-06-14T00:00:00-06:00,6.479654947916667 A
2017-06-15T00:00:00-06:00,6.54248046875 A
2017-06-16T00:00:00-06:00,6.526529947916667 A
2017-06-17T00:00:00-06:00,6.001993815104167 A
2017-06-18T00:00:00-06:00,5.914021809895833 A
2017-06-19T00:00:00-06:00,6.9639892578125 A
2017-06-20T00:00:00-06:00,6.701497395833333 A
2017-06-21T00:00:00-06:00,6.488688151041667 A
2017-06-22T00:00:00-06:00,6.4638671875 A
2017-06-23T00:00:00-06:00,6.308349609375 A
