Timestamp,['1fd1b095-c234b320 0082-SKAGGS BIOLOGY BLDG Power Meter Current B']
2017-05-20T00:00:00-06:00,597.4458465576172 A
2017-05-21T00:00:00-06:00,590.0198033650717 A
2017-05-22T00:00:00-06:00,644.9500090281168 A
2017-05-23T00:00:00-06:00,699.1281350453695 A
2017-05-24T00:00:00-06:00,693.7427196502686 A
2017-05-25T00:00:00-06:00,696.6135511398315 A
2017-05-26T00:00:00-06:00,651.3333428700765 A
2017-05-27T00:00:00-06:00,575.2284298545436 A
2017-05-28T00:00:00-06:00,576.9452745939556 A
2017-05-29T00:00:00-06:00,576.3114697138468 A
2017-05-30T00:00:00-06:00,631.5135539372762 A
2017-05-31T00:00:00-06:00,637.1281372706095 A
2017-06-01T00:00:00-06:00,673.9604307810465 A
2017-06-02T00:00:00-06:00,729.9000148773193 A
2017-06-03T00:00:00-06:00,776.7145970662435 A
2017-06-04T00:00:00-06:00,794.7073813990543 A
2017-06-05T00:00:00-06:00,850.5250136057535 A
2017-06-06T00:00:00-06:00,779.9104309082031 A
2017-06-07T00:00:00-06:00,768.3437633514404 A
2017-06-08T00:00:00-06:00,753.4395968119303 A
2017-06-09T00:00:00-06:00,739.1562627156576 A
2017-06-10T00:00:00-06:00,671.4843883514404 A
2017-06-11T00:00:00-06:00,693.6698042551676 A
2017-06-12T00:00:00-06:00,684.5187632242838 A
2017-06-13T00:00:00-06:00,705.9208424886068 A
2017-06-14T00:00:00-06:00,770.0364685058594 A
2017-06-15T00:00:00-06:00,806.7718880971273 A
2017-06-16T00:00:00-06:00,816.8948052724203 A
2017-06-17T00:00:00-06:00,735.716677347819 A
2017-06-18T00:00:00-06:00,676.6239700317383 A
2017-06-19T00:00:00-06:00,809.9406331380209 A
2017-06-20T00:00:00-06:00,843.0708459218343 A
2017-06-21T00:00:00-06:00,868.3343887329102 A
2017-06-22T00:00:00-06:00,818.0687618255615 A
2017-06-23T00:00:00-06:00,775.4729290008545 A
2017-06-24T00:00:00-06:00,760.4270947774252 A
2017-06-25T00:00:00-06:00,796.7375119527181 A
2017-06-26T00:00:00-06:00,875.8458506266276 A
2017-06-27T00:00:00-06:00,857.840638478597 A
2017-06-28T00:00:00-06:00,811.8125120798746 A
2017-06-29T00:00:00-06:00,777.0843868255615 A
2017-06-30T00:00:00-06:00,785.0979296366373 A
2017-07-01T00:00:00-06:00,758.1906388600668 A
2017-07-02T00:00:00-06:00,769.4031352996826 A
2017-07-03T00:00:00-06:00,800.8531379699707 A
2017-07-04T00:00:00-06:00,792.5698006947836 A
2017-07-05T00:00:00-06:00,855.5510533650717 A
2017-07-06T00:00:00-06:00,882.7385552724203 A
2017-07-07T00:00:00-06:00,917.6614735921224 A
2017-07-08T00:00:00-06:00,958.9948062896729 A
2017-07-09T00:00:00-06:00,943.3552239735922 A
2017-07-10T00:00:00-06:00,954.7729326883951 A
2017-07-11T00:00:00-06:00,911.1489721934 A
2017-07-12T00:00:00-06:00,877.8812637329102 A
2017-07-13T00:00:00-06:00,883.6270949045817 A
2017-07-14T00:00:00-06:00,935.5041834513346 A
2017-07-15T00:00:00-06:00,926.9916814168295 A
2017-07-16T00:00:00-06:00,915.7166798909506 A
2017-07-17T00:00:00-06:00,971.579179763794 A
2017-07-18T00:00:00-06:00,944.4406407674154 A
2017-07-19T00:00:00-06:00,939.962516784668 A
2017-07-20T00:00:00-06:00,927.4895979563395 A
2017-07-21T00:00:00-06:00,897.8552220662435 A
2017-07-22T00:00:00-06:00,858.9520982106527 A
2017-07-23T00:00:00-06:00,819.1531352996826 A
2017-07-24T00:00:00-06:00,861.9635518391927 A
2017-07-25T00:00:00-06:00,915.2166792551676 A
2017-07-26T00:00:00-06:00,857.9114723205566 A
2017-07-27T00:00:00-06:00,814.5854276021322 A
2017-07-28T00:00:00-06:00,806.110429763794 A
2017-07-29T00:00:00-06:00,771.154182434082 A
2017-07-30T00:00:00-06:00,778.8614711761475 A
2017-07-31T00:00:00-06:00,816.8500130971273 A
2017-08-01T00:00:00-06:00,876.503137588501 A
2017-08-02T00:00:00-06:00,933.1177234649658 A
2017-08-03T00:00:00-06:00,914.3291816711426 A
2017-08-04T00:00:00-06:00,861.458253965273 A
2017-08-05T00:00:00-06:00,786.1656379699707 A
2017-08-06T00:00:00-06:00,760.2823028564453 A
2017-08-07T00:00:00-06:00,816.102097829183 A
2017-08-08T00:00:00-06:00,822.3760534922282 A
2017-08-09T00:00:00-06:00,824.9770946502686 A
2017-08-10T00:00:00-06:00,816.8383120273022 A
2017-08-11T00:00:00-06:00,807.6083463033041 A
2017-08-12T00:00:00-06:00,776.0614706675211 A
2017-08-13T00:00:00-06:00,782.1448052724203 A
2017-08-14T00:00:00-06:00,813.1781374613444 A
2017-08-15T00:00:00-06:00,799.6666825612386 A
2017-08-16T00:00:00-06:00,837.2854299545288 A
2017-08-17T00:00:00-06:00,888.2864710489908 A
2017-08-18T00:00:00-06:00,913.2125155131022 A
