Timestamp,['1ce63d7d-1ec2ea15 0028-MARRIOTT CENTER FOR DANCE Power Meter Current C']
2017-04-30T00:00:00-06:00,189.4809686342875 A
2017-05-01T00:00:00-06:00,205.25502141316733 A
2017-05-02T00:00:00-06:00,208.23287979761758 A
2017-05-03T00:00:00-06:00,229.93977880477905 A
2017-05-04T00:00:00-06:00,201.08935324350992 A
2017-05-05T00:00:00-06:00,195.50475231806436 A
2017-05-06T00:00:00-06:00,229.2282198270162 A
2017-05-07T00:00:00-06:00,187.88868300120035 A
2017-05-08T00:00:00-06:00,196.92767446417557 A
2017-05-09T00:00:00-06:00,192.4240377744039 A
2017-05-10T00:00:00-06:00,205.0191733042399 A
2017-05-11T00:00:00-06:00,201.96235942840576 A
2017-05-12T00:00:00-06:00,206.11816183725992 A
2017-05-13T00:00:00-06:00,202.29619471232095 A
2017-05-14T00:00:00-06:00,191.18028132120767 A
2017-05-15T00:00:00-06:00,191.05333598454794 A
2017-05-16T00:00:00-06:00,202.64608097076416 A
2017-05-17T00:00:00-06:00,234.85751994450888 A
2017-05-18T00:00:00-06:00,235.1590665181478 A
2017-05-19T00:00:00-06:00,214.7515107790629 A
2017-05-20T00:00:00-06:00,205.41792488098145 A
2017-05-21T00:00:00-06:00,185.841015179952 A
2017-05-22T00:00:00-06:00,204.46042601267496 A
2017-05-23T00:00:00-06:00,234.43619012832642 A
2017-05-24T00:00:00-06:00,214.43493525187174 A
2017-05-25T00:00:00-06:00,208.90902423858643 A
2017-05-26T00:00:00-06:00,207.2584743499756 A
2017-05-27T00:00:00-06:00,197.34033107757568 A
2017-05-28T00:00:00-06:00,181.25277280807495 A
2017-05-29T00:00:00-06:00,196.58532746632895 A
2017-05-30T00:00:00-06:00,197.89444478352866 A
2017-05-31T00:00:00-06:00,210.87972275416055 A
2017-06-01T00:00:00-06:00,206.12297296524048 A
2017-06-02T00:00:00-06:00,209.87936194737753 A
2017-06-03T00:00:00-06:00,206.58650302886963 A
2017-06-04T00:00:00-06:00,193.59404261906943 A
2017-06-05T00:00:00-06:00,224.92269722620645 A
2017-06-06T00:00:00-06:00,228.82089694341025 A
2017-06-07T00:00:00-06:00,231.47779687245688 A
2017-06-08T00:00:00-06:00,224.019859790802 A
2017-06-09T00:00:00-06:00,231.05429728825888 A
2017-06-10T00:00:00-06:00,219.26918077468872 A
2017-06-11T00:00:00-06:00,194.62280368804932 A
2017-06-12T00:00:00-06:00,226.53735001881918 A
2017-06-13T00:00:00-06:00,211.0227835973104 A
2017-06-14T00:00:00-06:00,221.66604216893515 A
2017-06-15T00:00:00-06:00,217.10395606358847 A
2017-06-16T00:00:00-06:00,209.96130275726318 A
2017-06-17T00:00:00-06:00,204.54608376820883 A
2017-06-18T00:00:00-06:00,198.99547958374023 A
2017-06-19T00:00:00-06:00,235.47822745641074 A
2017-06-20T00:00:00-06:00,245.87252553304037 A
2017-06-21T00:00:00-06:00,242.05427964528403 A
2017-06-22T00:00:00-06:00,251.84031518300375 A
