Timestamp,"['1cf8d7a5-ca84657f 0064-MERRILL ENGINEERING BLDG Power Meter (300154, 064-802) Current C']"
2017-05-01T00:00:00-06:00,7.782023111979167 A
2017-05-02T00:00:00-06:00,7.693115234375 A
2017-05-03T00:00:00-06:00,7.602498372395833 A
2017-05-04T00:00:00-06:00,7.678914388020833 A
2017-05-05T00:00:00-06:00,7.426554361979167 A
2017-05-06T00:00:00-06:00,6.921546052631579 A
2017-05-07T00:00:00-06:00,7.005533854166667 A
2017-05-08T00:00:00-06:00,7.4943484042553195 A
2017-05-09T00:00:00-06:00,7.506510416666667 A
2017-05-10T00:00:00-06:00,7.505045572916667 A
2017-05-11T00:00:00-06:00,7.7335205078125 A
2017-05-12T00:00:00-06:00,7.629842122395833 A
2017-05-13T00:00:00-06:00,7.1346435546875 A
2017-05-14T00:00:00-06:00,6.9482421875 A
2017-05-15T00:00:00-06:00,7.569620768229167 A
2017-05-16T00:00:00-06:00,7.336140950520833 A
2017-05-17T00:00:00-06:00,7.522867838541667 A
2017-05-18T00:00:00-06:00,7.613810221354167 A
2017-05-19T00:00:00-06:00,7.284261067708333 A
2017-05-20T00:00:00-06:00,6.700439453125 A
2017-05-21T00:00:00-06:00,6.854166666666667 A
2017-05-22T00:00:00-06:00,7.933430989583333 A
2017-05-23T00:00:00-06:00,7.632283528645833 A
2017-05-24T00:00:00-06:00,7.4559326171875 A
2017-05-25T00:00:00-06:00,7.4405517578125 A
2017-05-26T00:00:00-06:00,7.072713216145833 A
2017-05-27T00:00:00-06:00,6.706298828125 A
2017-05-28T00:00:00-06:00,6.697532894736842 A
2017-05-29T00:00:00-06:00,7.051920572916667 A
2017-05-30T00:00:00-06:00,7.4918212890625 A
2017-05-31T00:00:00-06:00,7.735188802083333 A
2017-06-01T00:00:00-06:00,7.77587890625 A
2017-06-02T00:00:00-06:00,7.6478271484375 A
2017-06-03T00:00:00-06:00,6.973714192708333 A
2017-06-04T00:00:00-06:00,6.991495768229167 A
2017-06-05T00:00:00-06:00,7.901774088541667 A
2017-06-06T00:00:00-06:00,8.2421875 A
2017-06-07T00:00:00-06:00,7.877482096354167 A
2017-06-08T00:00:00-06:00,7.819010416666667 A
2017-06-09T00:00:00-06:00,7.532511393229167 A
2017-06-10T00:00:00-06:00,6.783365885416667 A
2017-06-11T00:00:00-06:00,6.903849283854167 A
2017-06-12T00:00:00-06:00,7.569173177083333 A
2017-06-13T00:00:00-06:00,7.401774088541667 A
2017-06-14T00:00:00-06:00,7.592732747395833 A
2017-06-15T00:00:00-06:00,7.706380208333333 A
2017-06-16T00:00:00-06:00,7.4306640625 A
2017-06-17T00:00:00-06:00,6.751668294270833 A
2017-06-18T00:00:00-06:00,6.812337239583333 A
2017-06-19T00:00:00-06:00,7.941609700520833 A
2017-06-20T00:00:00-06:00,7.649658203125 A
2017-06-21T00:00:00-06:00,7.80029296875 A
2017-06-22T00:00:00-06:00,7.6884765625 A
2017-06-23T00:00:00-06:00,7.288167317708333 A
2017-06-24T00:00:00-06:00,6.422810872395833 A
2017-06-25T00:00:00-06:00,6.466227213541667 A
2017-06-26T00:00:00-06:00,7.735485197368421 A
2017-06-27T00:00:00-06:00,7.211669921875 A
2017-06-28T00:00:00-06:00,7.3431396484375 A
2017-06-29T00:00:00-06:00,7.54248046875 A
2017-06-30T00:00:00-06:00,7.330810546875 A
2017-07-01T00:00:00-06:00,6.886149088541667 A
2017-07-02T00:00:00-06:00,6.932413736979167 A
2017-07-03T00:00:00-06:00,7.34423828125 A
2017-07-04T00:00:00-06:00,6.834228515625 A
2017-07-05T00:00:00-06:00,7.6973876953125 A
2017-07-06T00:00:00-06:00,7.8858642578125 A
2017-07-07T00:00:00-06:00,7.643391927083333 A
2017-07-08T00:00:00-06:00,7.095458984375 A
2017-07-09T00:00:00-06:00,7.148518880208333 A
2017-07-10T00:00:00-06:00,7.919637044270833 A
2017-07-11T00:00:00-06:00,7.6669921875 A
2017-07-12T00:00:00-06:00,7.553304036458333 A
2017-07-13T00:00:00-06:00,7.586222330729167 A
2017-07-14T00:00:00-06:00,7.488321940104167 A
2017-07-15T00:00:00-06:00,6.865885416666667 A
2017-07-16T00:00:00-06:00,6.910359700520833 A
2017-07-17T00:00:00-06:00,7.7711181640625 A
2017-07-18T00:00:00-06:00,7.683675130208333 A
2017-07-19T00:00:00-06:00,7.770345052083333 A
2017-07-20T00:00:00-06:00,7.82373046875 A
2017-07-21T00:00:00-06:00,7.3731689453125 A
2017-07-22T00:00:00-06:00,6.915608723958333 A
2017-07-23T00:00:00-06:00,6.9249267578125 A
2017-07-24T00:00:00-06:00,7.3948974609375 A
2017-07-25T00:00:00-06:00,7.879069010416667 A
2017-07-26T00:00:00-06:00,7.892740885416667 A
2017-07-27T00:00:00-06:00,8.008138020833334 A
2017-07-28T00:00:00-06:00,7.8372802734375 A
2017-07-29T00:00:00-06:00,7.046630859375 A
2017-07-30T00:00:00-06:00,7.0662841796875 A
2017-07-31T00:00:00-06:00,7.774373372395833 A
2017-08-01T00:00:00-06:00,8.051106770833334 A
2017-08-02T00:00:00-06:00,7.865275065104167 A
2017-08-03T00:00:00-06:00,7.706827799479167 A
2017-08-04T00:00:00-06:00,7.376779513888889 A
2017-08-05T00:00:00-06:00,6.811564127604167 A
2017-08-06T00:00:00-06:00,6.625081380208333 A
2017-08-07T00:00:00-06:00,7.5228271484375 A
2017-08-08T00:00:00-06:00,7.2176513671875 A
2017-08-09T00:00:00-06:00,7.3770751953125 A
2017-08-10T00:00:00-06:00,7.453804347826087 A
2017-08-11T00:00:00-06:00,7.44970703125 A
2017-08-12T00:00:00-06:00,6.781209309895833 A
2017-08-13T00:00:00-06:00,6.774506578947369 A
2017-08-14T00:00:00-06:00,7.442708333333333 A
2017-08-15T00:00:00-06:00,7.343098958333333 A
2017-08-16T00:00:00-06:00,7.463053385416667 A
2017-08-17T00:00:00-06:00,7.494669596354167 A
2017-08-18T00:00:00-06:00,7.962483723958333 A
2017-08-19T00:00:00-06:00,7.6756591796875 A
2017-08-20T00:00:00-06:00,7.5201416015625 A
2017-08-21T00:00:00-06:00,7.827555338541667 A
2017-08-22T00:00:00-06:00,8.054158528645834 A
