Timestamp,['1cd3e177-a25a35af 0049-LANGUAGE & COMMUNICATION BLDG Power Meter Current B']
2017-10-20T00:00:00-06:00,141.95312778155008 A
2017-10-21T00:00:00-06:00,117.88125165303548 A
2017-10-22T00:00:00-06:00,118.54791808128357 A
2017-10-23T00:00:00-06:00,148.0541694164276 A
2017-10-24T00:00:00-06:00,150.57708621025085 A
2017-10-25T00:00:00-06:00,150.7494759007504 A
2017-10-26T00:00:00-06:00,147.0729192097982 A
2017-10-27T00:00:00-06:00,140.49583514531454 A
2017-10-28T00:00:00-06:00,118.98750185966492 A
2017-10-29T00:00:00-06:00,121.13541841506958 A
2017-10-30T00:00:00-06:00,144.8645859559377 A
2017-10-31T00:00:00-06:00,130.45625273386636 A
2017-11-01T00:00:00-06:00,145.70625241597494 A
2017-11-02T00:00:00-06:00,156.17604422569275 A
2017-11-03T00:00:00-06:00,141.85312779744467 A
2017-11-04T00:00:00-06:00,118.01354360580444 A
2017-11-05T00:00:00-06:00,117.08100158691406 A
2017-11-06T00:00:00-07:00,140.995836019516 A
2017-11-07T00:00:00-07:00,147.26771108309427 A
2017-11-08T00:00:00-07:00,145.76250290870667 A
2017-11-09T00:00:00-07:00,145.43229413032532 A
2017-11-10T00:00:00-07:00,139.55937735239664 A
2017-11-11T00:00:00-07:00,119.78020962079366 A
2017-11-12T00:00:00-07:00,120.88229354222615 A
2017-11-13T00:00:00-07:00,142.65937741597494 A
2017-11-14T00:00:00-07:00,145.21562759081522 A
2017-11-15T00:00:00-07:00,141.945835908254 A
2017-11-16T00:00:00-07:00,148.47083624204 A
2017-11-17T00:00:00-07:00,142.2020858923594 A
2017-11-18T00:00:00-07:00,130.8770858446757 A
2017-11-19T00:00:00-07:00,126.88646054267883 A
2017-11-20T00:00:00-07:00,150.35000332196554 A
2017-11-21T00:00:00-07:00,149.27396043141684 A
2017-11-22T00:00:00-07:00,142.54375235239664 A
2017-11-23T00:00:00-07:00,124.01145998636882 A
2017-11-24T00:00:00-07:00,124.8760437965393 A
2017-11-25T00:00:00-07:00,119.80104335149129 A
2017-11-26T00:00:00-07:00,119.0833346048991 A
2017-11-27T00:00:00-07:00,150.71562719345093 A
2017-11-28T00:00:00-07:00,150.14479446411133 A
2017-11-29T00:00:00-07:00,151.90104413032532 A
2017-11-30T00:00:00-07:00,152.16458694140115 A
2017-12-01T00:00:00-07:00,143.80416870117188 A
2017-12-02T00:00:00-07:00,124.96875198682149 A
2017-12-03T00:00:00-07:00,123.85000189145406 A
2017-12-04T00:00:00-07:00,149.27812695503235 A
2017-12-05T00:00:00-07:00,154.1864607334137 A
2017-12-06T00:00:00-07:00,149.1791694164276 A
2017-12-07T00:00:00-07:00,153.47916976610819 A
2017-12-08T00:00:00-07:00,146.69166938463846 A
2017-12-09T00:00:00-07:00,129.8031272093455 A
2017-12-10T00:00:00-07:00,128.24583514531454 A
2017-12-11T00:00:00-07:00,141.4072949886322 A
2017-12-12T00:00:00-07:00,143.93750349680582 A
2017-12-13T00:00:00-07:00,140.9354194800059 A
2017-12-14T00:00:00-07:00,139.15000263849893 A
2017-12-15T00:00:00-07:00,137.75312757492065 A
2017-12-16T00:00:00-07:00,121.9645852247874 A
2017-12-17T00:00:00-07:00,119.85416873296101 A
2017-12-18T00:00:00-07:00,134.17444695366754 A
2017-12-19T00:00:00-07:00,130.61458508173624 A
2017-12-20T00:00:00-07:00,129.16354386011758 A
2017-12-21T00:00:00-07:00,131.0718775590261 A
2017-12-22T00:00:00-07:00,130.99271098772684 A
2017-12-23T00:00:00-07:00,124.70104376475017 A
2017-12-24T00:00:00-07:00,123.74687679608662 A
2017-12-25T00:00:00-07:00,121.67708492279053 A
2017-12-26T00:00:00-07:00,125.75729441642761 A
2017-12-27T00:00:00-07:00,130.45312786102295 A
2017-12-28T00:00:00-07:00,127.86250241597493 A
2017-12-29T00:00:00-07:00,124.50104371706645 A
2017-12-30T00:00:00-07:00,118.29896012941997 A
2017-12-31T00:00:00-07:00,121.35312755902608 A
