Timestamp,Museum of Natural History Temp,Museum of Natural History Humidity,0011-BROWNING BLDG Power Meter 300033 Current C,"0011-BROWNING BLDG Power Meter 300033 Watts, 3-Ph total",0011-BROWNING BLDG Power Meter 300033 Current B,0011-BROWNING BLDG Power Meter 300033 Current A,"0011-BROWNING BLDG Power Meter 300033 W-hours, Received"
2017-04-01T01:50:00-06:00 Denver,44.88800048828125°F,53.60%,,,,,
2017-04-01T01:55:00-06:00 Denver,44.72600173950195°F,53.94%,,,,,
2017-04-01T02:00:00-06:00 Denver,44.56399917602539°F,53.65%,,,,,
2017-04-01T02:05:00-06:00 Denver,44.70800018310547°F,53.21%,,,,,
2017-04-01T02:10:00-06:00 Denver,44.70800018310547°F,53.96%,,,,,
2017-04-01T02:15:00-06:00 Denver,44.65399932861328°F,53.27%,,,,,
2017-04-01T02:20:00-06:00 Denver,44.4379997253418°F,54.86%,,,,,
2017-04-01T02:25:00-06:00 Denver,44.09600067138672°F,55.19%,,,,,
2017-04-01T02:30:00-06:00 Denver,44.077999114990234°F,54.26%,,,,,
2017-04-01T02:35:00-06:00 Denver,44.41999816894531°F,53.33%,,,,,
2017-04-01T02:40:00-06:00 Denver,44.492000579833984°F,53.44%,,,,,
2017-04-01T02:45:00-06:00 Denver,44.4379997253418°F,52.36%,,,,,
2017-04-01T02:50:00-06:00 Denver,44.65399932861328°F,51.93%,,,,,
2017-04-01T02:55:00-06:00 Denver,44.65399932861328°F,52.74%,,,,,
2017-04-01T03:00:00-06:00 Denver,44.52799987792969°F,51.71%,,,,,
2017-04-01T03:05:00-06:00 Denver,44.762001037597656°F,51.74%,,,,,
2017-04-01T03:10:00-06:00 Denver,44.92399978637695°F,50.89%,,,,,
2017-04-01T03:15:00-06:00 Denver,45.08599853515625°F,50.27%,,,,,
2017-04-01T03:20:00-06:00 Denver,45.06800079345703°F,50.41%,,,,,
2017-04-01T03:25:00-06:00 Denver,44.99599838256836°F,50.88%,,,,,
2017-04-01T03:30:00-06:00 Denver,44.99599838256836°F,50.26%,,,,,
2017-04-01T03:35:00-06:00 Denver,44.99599838256836°F,50.02%,,,,,
2017-04-01T03:40:00-06:00 Denver,45.04999923706055°F,49.51%,,,,,
2017-04-01T03:45:00-06:00 Denver,44.97800064086914°F,50.33%,,,,,
2017-04-01T03:50:00-06:00 Denver,44.85200119018555°F,51.01%,,,,,
2017-04-01T03:55:00-06:00 Denver,44.52799987792969°F,51.27%,,,,,
2017-04-01T04:00:00-06:00 Denver,44.45600128173828°F,50.58%,,,,,
2017-04-01T04:05:00-06:00 Denver,44.599998474121094°F,50.88%,,,,,
2017-04-01T04:10:00-06:00 Denver,44.492000579833984°F,50.99%,,,,,
2017-04-01T04:15:00-06:00 Denver,44.38399887084961°F,50.93%,,,,,
2017-04-01T04:20:00-06:00 Denver,44.492000579833984°F,50.73%,,,,,
2017-04-01T04:25:00-06:00 Denver,44.38399887084961°F,51.17%,,,,,
2017-04-01T04:30:00-06:00 Denver,44.33000183105469°F,51.22%,,,,,
2017-04-01T04:35:00-06:00 Denver,44.29399871826172°F,51.05%,,,,,
2017-04-01T04:40:00-06:00 Denver,44.257999420166016°F,51.37%,,,,,
2017-04-01T04:45:00-06:00 Denver,44.33000183105469°F,50.60%,,,,,
2017-04-01T04:50:00-06:00 Denver,44.45600128173828°F,50.10%,,,,,
2017-04-01T04:55:00-06:00 Denver,44.72600173950195°F,49.51%,,,,,
2017-04-01T05:00:00-06:00 Denver,44.3120002746582°F,51.15%,,,,,
2017-04-01T05:05:00-06:00 Denver,44.22200012207031°F,49.79%,,,,,
2017-04-01T05:10:00-06:00 Denver,44.45600128173828°F,50.71%,,,,,
2017-04-01T05:15:00-06:00 Denver,44.18600082397461°F,50.14%,,,,,
2017-04-01T05:20:00-06:00 Denver,44.167999267578125°F,50.93%,,,,,
2017-04-01T05:25:00-06:00 Denver,44.2400016784668°F,49.73%,,,,,
2017-04-01T05:30:00-06:00 Denver,44.402000427246094°F,49.46%,,,,,
2017-04-01T05:35:00-06:00 Denver,44.52799987792969°F,48.95%,,,,,
2017-04-01T05:40:00-06:00 Denver,44.4739990234375°F,48.86%,,,,,
2017-04-01T05:45:00-06:00 Denver,44.97800064086914°F,46.52%,,,,,
2017-04-01T05:50:00-06:00 Denver,45.608001708984375°F,45.62%,,,,,
2017-04-01T05:55:00-06:00 Denver,45.55400085449219°F,45.98%,,,,,
2017-04-01T06:00:00-06:00 Denver,45.73400115966797°F,44.10%,,,,,
2017-04-01T06:05:00-06:00 Denver,46.07600021362305°F,44.14%,,,,,
2017-04-01T06:10:00-06:00 Denver,46.02199935913086°F,44.08%,,,,,
2017-04-01T06:15:00-06:00 Denver,45.96799850463867°F,44.31%,,,,,
2017-04-01T06:20:00-06:00 Denver,45.84199905395508°F,44.28%,,,,,
2017-04-01T06:25:00-06:00 Denver,45.698001861572266°F,44.88%,,,,,
2017-04-01T06:30:00-06:00 Denver,45.571998596191406°F,45.06%,,,,,
2017-04-01T06:35:00-06:00 Denver,45.518001556396484°F,45.27%,,,,,
2017-04-01T06:40:00-06:00 Denver,45.428001403808594°F,45.59%,,,,,
2017-04-01T06:45:00-06:00 Denver,45.15800094604492°F,45.80%,,,,,
2017-04-01T06:50:00-06:00 Denver,45.301998138427734°F,45%,,,,,
2017-04-01T06:55:00-06:00 Denver,45.518001556396484°F,44.93%,,,,,
2017-04-01T07:00:00-06:00 Denver,45.4640007019043°F,44.47%,,,,,
2017-04-01T07:05:00-06:00 Denver,45.698001861572266°F,44%,,,,,
2017-04-01T07:10:00-06:00 Denver,45.78799819946289°F,44.52%,,,,,
2017-04-01T07:15:00-06:00 Denver,45.698001861572266°F,44.51%,,,,,
2017-04-01T07:20:00-06:00 Denver,45.6619987487793°F,43.91%,,,,,
2017-04-01T07:25:00-06:00 Denver,45.91400146484375°F,44.33%,,,,,
2017-04-01T07:30:00-06:00 Denver,45.715999603271484°F,44.24%,,,,,
2017-04-01T07:35:00-06:00 Denver,45.805999755859375°F,43.79%,,,,,
2017-04-01T07:40:00-06:00 Denver,45.91400146484375°F,44.16%,,,,,
2017-04-01T07:45:00-06:00 Denver,45.73400115966797°F,44.54%,,,,,
2017-04-01T07:50:00-06:00 Denver,45.64400100708008°F,44.39%,,,,,
2017-04-01T07:55:00-06:00 Denver,45.77000045776367°F,44.19%,,,,,
2017-04-01T08:00:00-06:00 Denver,45.75199890136719°F,44.63%,,,,,
2017-04-01T08:05:00-06:00 Denver,45.518001556396484°F,45.23%,,,,,
2017-04-01T08:10:00-06:00 Denver,45.571998596191406°F,45.03%,,,,,
2017-04-01T08:15:00-06:00 Denver,45.75199890136719°F,44.59%,,,,,
2017-04-01T08:20:00-06:00 Denver,46.040000915527344°F,43.44%,,,,,
2017-04-01T08:25:00-06:00 Denver,46.237998962402344°F,44.61%,,,,,
2017-04-01T08:30:00-06:00 Denver,45.698001861572266°F,46.40%,,,,,
2017-04-01T08:35:00-06:00 Denver,45.59000015258789°F,45.74%,,,,,
2017-04-01T08:40:00-06:00 Denver,45.5359992980957°F,46.83%,,,,,
2017-04-01T08:45:00-06:00 Denver,45.3380012512207°F,46.94%,,,,,
2017-04-01T08:50:00-06:00 Denver,45.391998291015625°F,46.95%,,,,,
2017-04-01T08:55:00-06:00 Denver,45.391998291015625°F,47.92%,,,,,
2017-04-01T09:00:00-06:00 Denver,45.301998138427734°F,47.73%,,,,,
2017-04-01T09:05:00-06:00 Denver,45.5359992980957°F,46.50%,,,,,
2017-04-01T09:10:00-06:00 Denver,45.805999755859375°F,46.80%,,,,,
2017-04-01T09:15:00-06:00 Denver,45.91400146484375°F,47.59%,,,,,
2017-04-01T09:20:00-06:00 Denver,45.87799835205078°F,48.44%,,,,,
2017-04-01T09:25:00-06:00 Denver,46.07600021362305°F,47.08%,,,,,
2017-04-01T09:30:00-06:00 Denver,46.507999420166016°F,46.43%,,,,,
2017-04-01T09:35:00-06:00 Denver,46.88600158691406°F,45.51%,,,,,
2017-04-01T09:40:00-06:00 Denver,47.28200149536133°F,44.94%,,,,,
2017-04-01T09:45:00-06:00 Denver,47.7859992980957°F,43.78%,,,,,
2017-04-01T09:50:00-06:00 Denver,48.055999755859375°F,44.06%,,,,,
2017-04-01T09:55:00-06:00 Denver,48.59600067138672°F,42.71%,,,,,
2017-04-01T10:00:00-06:00 Denver,49.11800003051758°F,43.13%,,,,,
2017-04-01T10:05:00-06:00 Denver,49.928001403808594°F,40.77%,,,,,
2017-04-01T10:10:00-06:00 Denver,49.784000396728516°F,42.38%,,,,,
2017-04-01T10:15:00-06:00 Denver,50.41400146484375°F,39.25%,,,,,
2017-04-01T10:20:00-06:00 Denver,50.97200012207031°F,38.53%,,,,,
2017-04-01T10:25:00-06:00 Denver,51.78200149536133°F,38%,,,,,
2017-04-01T10:30:00-06:00 Denver,52.2140007019043°F,37.48%,,,,,
2017-04-01T10:35:00-06:00 Denver,52.736000061035156°F,36.47%,,,,,
2017-04-01T10:40:00-06:00 Denver,52.77199935913086°F,37.51%,,,,,
2017-04-01T10:45:00-06:00 Denver,52.91600036621094°F,36.48%,,,,,
2017-04-01T10:50:00-06:00 Denver,52.86199951171875°F,36.04%,,,,,
2017-04-01T10:55:00-06:00 Denver,52.57400131225586°F,38.46%,,,,,
2017-04-01T11:00:00-06:00 Denver,52.66400146484375°F,41.05%,,,,,
2017-04-01T11:05:00-06:00 Denver,51.11600112915039°F,41.35%,,,,,
2017-04-01T11:10:00-06:00 Denver,51.16999816894531°F,42.14%,,,,,
2017-04-01T11:15:00-06:00 Denver,51.45800018310547°F,40.78%,,,,,
2017-04-01T11:20:00-06:00 Denver,51.58399963378906°F,40.72%,,,,,
2017-04-01T11:25:00-06:00 Denver,51.63800048828125°F,40.54%,,,,,
2017-04-01T11:30:00-06:00 Denver,51.763999938964844°F,40.34%,,,,,
