Timestamp,Museum of Natural History Temp,Museum of Natural History Humidity,0011-BROWNING BLDG Power Meter 300033 Current C,"0011-BROWNING BLDG Power Meter 300033 Watts, 3-Ph total",0011-BROWNING BLDG Power Meter 300033 Current B,0011-BROWNING BLDG Power Meter 300033 Current A,"0011-BROWNING BLDG Power Meter 300033 W-hours, Received"
2017-04-19T14:40:00-06:00 Denver,55.38199996948242°F,,,,,,
2017-04-19T14:45:00-06:00 Denver,55.95800018310547°F,,,,,,
2017-04-19T14:50:00-06:00 Denver,56.17399978637695°F,,,,,,
2017-04-19T14:55:00-06:00 Denver,56.31800079345703°F,,,,,,
2017-04-19T15:00:00-06:00 Denver,55.652000427246094°F,,,,,,
2017-04-19T15:05:00-06:00 Denver,55.20199966430664°F,,,,,,
2017-04-19T15:10:00-06:00 Denver,54.6619987487793°F,,,,,,
2017-04-19T15:15:00-06:00 Denver,55.327999114990234°F,,,,,,
2017-04-19T15:20:00-06:00 Denver,56.84000015258789°F,,,,,,
2017-04-19T15:25:00-06:00 Denver,56.948001861572266°F,,,,,,
2017-04-19T15:30:00-06:00 Denver,56.69599914550781°F,,,,,,
2017-04-19T15:35:00-06:00 Denver,56.40800094604492°F,,,,,,
2017-04-19T15:40:00-06:00 Denver,56.75°F,,,,,,
2017-04-19T15:45:00-06:00 Denver,57.20000076293945°F,,,,,,
2017-04-19T15:50:00-06:00 Denver,57.61399841308594°F,,,,,,
2017-04-19T15:55:00-06:00 Denver,57.145999908447266°F,,,,,,
2017-04-19T16:00:00-06:00 Denver,57.54199981689453°F,,,,,,
2017-04-19T16:05:00-06:00 Denver,59.125999450683594°F,,,,,,
2017-04-19T16:10:00-06:00 Denver,59.45000076293945°F,,,,,,
2017-04-19T16:15:00-06:00 Denver,59.79199981689453°F,,,,,,
2017-04-19T16:20:00-06:00 Denver,57.61399841308594°F,,,,,,
2017-04-19T16:25:00-06:00 Denver,58.85599899291992°F,,,,,,
2017-04-19T16:30:00-06:00 Denver,58.513999938964844°F,,,,,,
2017-04-19T16:35:00-06:00 Denver,57.7760009765625°F,,,,,,
2017-04-19T16:40:00-06:00 Denver,57.86600112915039°F,,,,,,
2017-04-19T16:45:00-06:00 Denver,58.42399978637695°F,,,,,,
2017-04-19T16:50:00-06:00 Denver,58.85599899291992°F,,,,,,
2017-04-19T16:55:00-06:00 Denver,59.09000015258789°F,,,,,,
2017-04-19T17:00:00-06:00 Denver,59.28799819946289°F,,,,,,
2017-04-19T17:05:00-06:00 Denver,58.316001892089844°F,,,,,,
2017-04-19T17:10:00-06:00 Denver,57.27199935913086°F,,,,,,
2017-04-19T17:15:00-06:00 Denver,58.85599899291992°F,,,,,,
2017-04-19T17:20:00-06:00 Denver,60.2239990234375°F,,,,,,
2017-04-19T17:25:00-06:00 Denver,59.64799880981445°F,,,,,,
2017-04-19T17:30:00-06:00 Denver,57.847999572753906°F,,,,,,
2017-04-19T17:35:00-06:00 Denver,58.44200134277344°F,,,,,,
2017-04-19T17:40:00-06:00 Denver,60.92599868774414°F,,,,,,
2017-04-19T17:45:00-06:00 Denver,60.097999572753906°F,,,,,,
2017-04-19T17:50:00-06:00 Denver,57.7400016784668°F,,,,,,
2017-04-19T17:55:00-06:00 Denver,58.8380012512207°F,,,,,,
2017-04-19T18:00:00-06:00 Denver,57.52399826049805°F,,,,,,
2017-04-19T18:05:00-06:00 Denver,59.540000915527344°F,,,,,,
2017-04-19T18:10:00-06:00 Denver,59.34199905395508°F,,,,,,
2017-04-19T18:15:00-06:00 Denver,58.49599838256836°F,,,,,,
2017-04-19T18:20:00-06:00 Denver,57.39799880981445°F,,,,,,
2017-04-19T18:25:00-06:00 Denver,57.09199905395508°F,,,,,,
2017-04-19T18:30:00-06:00 Denver,57.433998107910156°F,,,,,,
2017-04-19T18:35:00-06:00 Denver,57.41600036621094°F,,,,,,
2017-04-19T18:40:00-06:00 Denver,56.80400085449219°F,,,,,,
2017-04-19T18:45:00-06:00 Denver,56.821998596191406°F,,,,,,
2017-04-19T18:50:00-06:00 Denver,57.11000061035156°F,,,,,,
2017-04-19T18:55:00-06:00 Denver,56.60599899291992°F,,,,,,
2017-04-19T19:00:00-06:00 Denver,56.98400115966797°F,,,,,,
2017-04-19T19:05:00-06:00 Denver,57.34400177001953°F,,,,,,
2017-04-19T19:10:00-06:00 Denver,56.49800109863281°F,,,,,,
2017-04-19T19:15:00-06:00 Denver,56.354000091552734°F,,,,,,
2017-04-19T19:20:00-06:00 Denver,56.444000244140625°F,,,,,,
2017-04-19T19:25:00-06:00 Denver,56.10200119018555°F,,,,,,
2017-04-19T19:30:00-06:00 Denver,55.88600158691406°F,,,,,,
2017-04-19T19:35:00-06:00 Denver,55.97600173950195°F,,,,,,
2017-04-19T19:40:00-06:00 Denver,55.327999114990234°F,,,,,,
2017-04-19T19:45:00-06:00 Denver,55.05799865722656°F,,,,,,
2017-04-19T19:50:00-06:00 Denver,54.571998596191406°F,,,,,,
2017-04-19T19:55:00-06:00 Denver,53.779998779296875°F,,,,,,
2017-04-19T20:00:00-06:00 Denver,53.20399856567383°F,,,,,,
2017-04-19T20:05:00-06:00 Denver,52.19599914550781°F,,,,,,
2017-04-19T20:10:00-06:00 Denver,51.11600112915039°F,,,,,,
2017-04-19T20:15:00-06:00 Denver,50.77399826049805°F,,,,,,
2017-04-19T20:20:00-06:00 Denver,50.018001556396484°F,,,,,,
2017-04-19T20:25:00-06:00 Denver,49.74800109863281°F,,,,,,
2017-04-19T20:30:00-06:00 Denver,49.67599868774414°F,,,,,,
2017-04-19T20:35:00-06:00 Denver,49.189998626708984°F,,,,,,
2017-04-19T20:40:00-06:00 Denver,48.45199966430664°F,,,,,,
2017-04-19T20:45:00-06:00 Denver,48.09199905395508°F,,,,,,
2017-04-19T20:50:00-06:00 Denver,48.41600036621094°F,,,,,,
2017-04-19T20:55:00-06:00 Denver,48.577999114990234°F,,,,,,
2017-04-19T21:00:00-06:00 Denver,49.04600143432617°F,,,,,,
2017-04-19T21:05:00-06:00 Denver,48.45199966430664°F,,,,,,
2017-04-19T21:10:00-06:00 Denver,48.236000061035156°F,,,,,,
2017-04-19T21:15:00-06:00 Denver,47.89400100708008°F,,,,,,
2017-04-19T21:20:00-06:00 Denver,47.5880012512207°F,,,,,,
2017-04-19T21:25:00-06:00 Denver,46.97600173950195°F,,,,,,
2017-04-19T21:30:00-06:00 Denver,46.27399826049805°F,,,,,,
2017-04-19T21:35:00-06:00 Denver,46.14799880981445°F,,,,,,
2017-04-19T21:40:00-06:00 Denver,45.77000045776367°F,,,,,,
2017-04-19T21:45:00-06:00 Denver,45.805999755859375°F,,,,,,
2017-04-19T21:50:00-06:00 Denver,45.481998443603516°F,,,,,,
2017-04-19T21:55:00-06:00 Denver,44.83399963378906°F,,,,,,
2017-04-19T22:00:00-06:00 Denver,44.52799987792969°F,,,,,,
2017-04-19T22:05:00-06:00 Denver,44.582000732421875°F,,,,,,
2017-04-19T22:10:00-06:00 Denver,44.02399826049805°F,,,,,,
2017-04-19T22:15:00-06:00 Denver,44.04199981689453°F,,,,,,
2017-04-19T22:20:00-06:00 Denver,44.11399841308594°F,,,,,,
2017-04-19T22:25:00-06:00 Denver,43.77199935913086°F,,,,,,
2017-04-19T22:30:00-06:00 Denver,43.95199966430664°F,,,,,,
2017-04-19T22:35:00-06:00 Denver,44.38399887084961°F,,,,,,
2017-04-19T22:40:00-06:00 Denver,44.20399856567383°F,,,,,,
2017-04-19T22:45:00-06:00 Denver,44.45600128173828°F,,,,,,
2017-04-19T22:50:00-06:00 Denver,44.167999267578125°F,,,,,,
2017-04-19T22:55:00-06:00 Denver,44.18600082397461°F,,,,,,
2017-04-19T23:00:00-06:00 Denver,44.85200119018555°F,,,,,,
2017-04-19T23:05:00-06:00 Denver,44.70800018310547°F,,,,,,
2017-04-19T23:10:00-06:00 Denver,44.492000579833984°F,,,,,,
2017-04-19T23:15:00-06:00 Denver,44.22200012207031°F,,,,,,
2017-04-19T23:20:00-06:00 Denver,44.257999420166016°F,,,,,,
2017-04-19T23:25:00-06:00 Denver,43.645999908447266°F,,,,,,
2017-04-19T23:30:00-06:00 Denver,44.4379997253418°F,,,,,,
2017-04-19T23:35:00-06:00 Denver,46.040000915527344°F,,,,,,
2017-04-19T23:40:00-06:00 Denver,47.7859992980957°F,,,,,,
2017-04-19T23:45:00-06:00 Denver,48.18199920654297°F,,,,,,
2017-04-19T23:50:00-06:00 Denver,49.279998779296875°F,,,,,,
2017-04-19T23:55:00-06:00 Denver,49.874000549316406°F,,,,,,
2017-04-20T00:00:00-06:00 Denver,49.85599899291992°F,,252.9354658126831A,4.355955600738525kW,271.9785410563151A,260.3848644892375A,17.16998291015625kWh
2017-04-20T00:05:00-06:00 Denver,50.28799819946289°F,,,,,,
2017-04-20T00:10:00-06:00 Denver,50.32400131225586°F,,,,,,
2017-04-20T00:15:00-06:00 Denver,50.32400131225586°F,,,,,,
2017-04-20T00:20:00-06:00 Denver,50.486000061035156°F,,,,,,
2017-04-20T00:25:00-06:00 Denver,50.36000061035156°F,,,,,,
2017-04-20T00:30:00-06:00 Denver,50.32400131225586°F,,,,,,
2017-04-20T00:35:00-06:00 Denver,50.34199905395508°F,,,,,,
2017-04-20T00:40:00-06:00 Denver,50.23400115966797°F,,,,,,
2017-04-20T00:45:00-06:00 Denver,50.198001861572266°F,,,,,,
2017-04-20T00:50:00-06:00 Denver,50.37799835205078°F,,,,,,
2017-04-20T00:55:00-06:00 Denver,50.59400177001953°F,,,,,,
2017-04-20T01:00:00-06:00 Denver,50.14400100708008°F,,,,,,
2017-04-20T01:05:00-06:00 Denver,50.0359992980957°F,,,,,,
2017-04-20T01:10:00-06:00 Denver,50.108001708984375°F,,,,,,
2017-04-20T01:15:00-06:00 Denver,50.14400100708008°F,,,,,,
2017-04-20T01:20:00-06:00 Denver,49.981998443603516°F,,,,,,
2017-04-20T01:25:00-06:00 Denver,49.85599899291992°F,,,,,,
2017-04-20T01:30:00-06:00 Denver,49.801998138427734°F,,,,,,
2017-04-20T01:35:00-06:00 Denver,49.891998291015625°F,,,,,,
2017-04-20T01:40:00-06:00 Denver,49.71200180053711°F,,,,,,
2017-04-20T01:45:00-06:00 Denver,49.62200164794922°F,,,,,,
2017-04-20T01:50:00-06:00 Denver,49.54999923706055°F,,,,,,
2017-04-20T01:55:00-06:00 Denver,49.49599838256836°F,,,,,,
2017-04-20T02:00:00-06:00 Denver,49.513999938964844°F,,,,,,
2017-04-20T02:05:00-06:00 Denver,48.70399856567383°F,,,,,,
2017-04-20T02:10:00-06:00 Denver,48.433998107910156°F,,,,,,
2017-04-20T02:15:00-06:00 Denver,49.40599822998047°F,,,,,,
2017-04-20T02:20:00-06:00 Denver,48.667999267578125°F,,,,,,
2017-04-20T02:25:00-06:00 Denver,48.30799865722656°F,,,,,,
2017-04-20T02:30:00-06:00 Denver,48.00199890136719°F,,,,,,
2017-04-20T02:35:00-06:00 Denver,48.21799850463867°F,,,,,,
2017-04-20T02:40:00-06:00 Denver,48.79399871826172°F,,,,,,
2017-04-20T02:45:00-06:00 Denver,48.34400177001953°F,,,,,,
2017-04-20T02:50:00-06:00 Denver,48.45199966430664°F,,,,,,
2017-04-20T02:55:00-06:00 Denver,48.650001525878906°F,,,,,,
2017-04-20T03:00:00-06:00 Denver,48.61399841308594°F,,,,,,
2017-04-20T03:05:00-06:00 Denver,48.54199981689453°F,,,,,,
2017-04-20T03:10:00-06:00 Denver,48.59600067138672°F,,,,,,
2017-04-20T03:15:00-06:00 Denver,48.79399871826172°F,,,,,,
2017-04-20T03:20:00-06:00 Denver,48.50600051879883°F,,,,,,
2017-04-20T03:25:00-06:00 Denver,48.20000076293945°F,,,,,,
2017-04-20T03:30:00-06:00 Denver,47.858001708984375°F,,,,,,
2017-04-20T03:35:00-06:00 Denver,47.768001556396484°F,,,,,,
2017-04-20T03:40:00-06:00 Denver,47.965999603271484°F,,,,,,
2017-04-20T03:45:00-06:00 Denver,48.50600051879883°F,,,,,,
2017-04-20T03:50:00-06:00 Denver,48.50600051879883°F,,,,,,
2017-04-20T03:55:00-06:00 Denver,48.30799865722656°F,,,,,,
2017-04-20T04:00:00-06:00 Denver,48.236000061035156°F,,,,,,
2017-04-20T04:05:00-06:00 Denver,48.32600021362305°F,,,,,,
2017-04-20T04:10:00-06:00 Denver,48.86600112915039°F,,,,,,
2017-04-20T04:15:00-06:00 Denver,49.20800018310547°F,,,,,,
2017-04-20T04:20:00-06:00 Denver,49.40599822998047°F,,,,,,
2017-04-20T04:25:00-06:00 Denver,49.38800048828125°F,,,,,,
2017-04-20T04:30:00-06:00 Denver,49.24399948120117°F,,,,,,
2017-04-20T04:35:00-06:00 Denver,49.06399917602539°F,,,,,,
2017-04-20T04:40:00-06:00 Denver,48.577999114990234°F,,,,,,
2017-04-20T04:45:00-06:00 Denver,48.50600051879883°F,,,,,,
2017-04-20T04:50:00-06:00 Denver,48.07400131225586°F,,,,,,
2017-04-20T04:55:00-06:00 Denver,48.757999420166016°F,,,,,,
2017-04-20T05:00:00-06:00 Denver,48.992000579833984°F,,,,,,
2017-04-20T05:05:00-06:00 Denver,49.262001037597656°F,,,,,,
2017-04-20T05:10:00-06:00 Denver,48.83000183105469°F,,,,,,
2017-04-20T05:15:00-06:00 Denver,48.16400146484375°F,,,,,,
2017-04-20T05:20:00-06:00 Denver,47.7859992980957°F,,,,,,
2017-04-20T05:25:00-06:00 Denver,47.75°F,,,,,,
2017-04-20T05:30:00-06:00 Denver,47.965999603271484°F,,,,,,
2017-04-20T05:35:00-06:00 Denver,48.30799865722656°F,,,,,,
2017-04-20T05:40:00-06:00 Denver,48.41600036621094°F,,,,,,
2017-04-20T05:45:00-06:00 Denver,48.32600021362305°F,,,,,,
2017-04-20T05:50:00-06:00 Denver,48.290000915527344°F,,,,,,
2017-04-20T05:55:00-06:00 Denver,47.9119987487793°F,,,,,,
2017-04-20T06:00:00-06:00 Denver,48.27199935913086°F,,,,,,
2017-04-20T06:05:00-06:00 Denver,48.88399887084961°F,,,,,,
2017-04-20T06:10:00-06:00 Denver,49.316001892089844°F,,,,,,
2017-04-20T06:15:00-06:00 Denver,49.38800048828125°F,,,,,,
2017-04-20T06:20:00-06:00 Denver,49.58599853515625°F,,,,,,
2017-04-20T06:25:00-06:00 Denver,49.604000091552734°F,,,,,,
2017-04-20T06:30:00-06:00 Denver,49.40599822998047°F,,,,,,
2017-04-20T06:35:00-06:00 Denver,49.369998931884766°F,,,,,,
2017-04-20T06:40:00-06:00 Denver,49.42399978637695°F,,,,,,
2017-04-20T06:45:00-06:00 Denver,49.67599868774414°F,,,,,,
2017-04-20T06:50:00-06:00 Denver,49.58599853515625°F,,,,,,
2017-04-20T06:55:00-06:00 Denver,49.262001037597656°F,,,,,,
2017-04-20T07:00:00-06:00 Denver,49.33399963378906°F,,,,,,
2017-04-20T07:05:00-06:00 Denver,49.604000091552734°F,,,,,,
2017-04-20T07:10:00-06:00 Denver,49.56800079345703°F,,,,,,
2017-04-20T07:15:00-06:00 Denver,49.38800048828125°F,,,,,,
2017-04-20T07:20:00-06:00 Denver,49.47800064086914°F,,,,,,
2017-04-20T07:25:00-06:00 Denver,49.38800048828125°F,,,,,,
2017-04-20T07:30:00-06:00 Denver,49.35200119018555°F,,,,,,
2017-04-20T07:35:00-06:00 Denver,49.47800064086914°F,,,,,,
2017-04-20T07:40:00-06:00 Denver,49.35200119018555°F,,,,,,
2017-04-20T07:45:00-06:00 Denver,49.53200149536133°F,,,,,,
2017-04-20T07:50:00-06:00 Denver,49.58599853515625°F,,,,,,
2017-04-20T07:55:00-06:00 Denver,49.58599853515625°F,,,,,,
2017-04-20T08:00:00-06:00 Denver,49.62200164794922°F,,,,,,
2017-04-20T08:05:00-06:00 Denver,49.694000244140625°F,,,,,,
2017-04-20T08:10:00-06:00 Denver,49.65800094604492°F,,,,,,
2017-04-20T08:15:00-06:00 Denver,49.71200180053711°F,,,,,,
2017-04-20T08:20:00-06:00 Denver,49.801998138427734°F,,,,,,
2017-04-20T08:25:00-06:00 Denver,49.8380012512207°F,,,,,,
2017-04-20T08:30:00-06:00 Denver,49.94599914550781°F,,,,,,
2017-04-20T08:35:00-06:00 Denver,50.25199890136719°F,,,,,,
2017-04-20T08:40:00-06:00 Denver,50.57600021362305°F,,,,,,
2017-04-20T08:45:00-06:00 Denver,51.2239990234375°F,,,,,,
2017-04-20T08:50:00-06:00 Denver,52.48400115966797°F,,,,,,
2017-04-20T08:55:00-06:00 Denver,53.257999420166016°F,,,,,,
2017-04-20T09:00:00-06:00 Denver,54.194000244140625°F,,,,,,
2017-04-20T09:05:00-06:00 Denver,54.895999908447266°F,,,,,,
2017-04-20T09:10:00-06:00 Denver,55.43600082397461°F,,,,,,
2017-04-20T09:15:00-06:00 Denver,55.742000579833984°F,,,,,,
2017-04-20T09:20:00-06:00 Denver,55.43600082397461°F,,,,,,
2017-04-20T09:25:00-06:00 Denver,53.4739990234375°F,,,,,,
2017-04-20T09:30:00-06:00 Denver,51.20600128173828°F,,,,,,
2017-04-20T09:35:00-06:00 Denver,50.395999908447266°F,,,,,,
2017-04-20T09:40:00-06:00 Denver,50.215999603271484°F,,,,,,
2017-04-20T09:45:00-06:00 Denver,49.85599899291992°F,,,,,,
2017-04-20T09:50:00-06:00 Denver,49.891998291015625°F,,,,,,
2017-04-20T09:55:00-06:00 Denver,49.71200180053711°F,,,,,,
2017-04-20T10:00:00-06:00 Denver,49.35200119018555°F,,,,,,
2017-04-20T10:05:00-06:00 Denver,49.65800094604492°F,,,,,,
2017-04-20T10:10:00-06:00 Denver,49.85599899291992°F,,,,,,
2017-04-20T10:15:00-06:00 Denver,50.14400100708008°F,,,,,,
2017-04-20T10:20:00-06:00 Denver,50.41400146484375°F,,,,,,
2017-04-20T10:25:00-06:00 Denver,51.0260009765625°F,,,,,,
2017-04-20T10:30:00-06:00 Denver,51.38600158691406°F,,,,,,
2017-04-20T10:35:00-06:00 Denver,51.31399917602539°F,,,,,,
2017-04-20T10:40:00-06:00 Denver,51.40399932861328°F,,,,,,
2017-04-20T10:45:00-06:00 Denver,50.97200012207031°F,,,,,,
2017-04-20T10:50:00-06:00 Denver,50.77399826049805°F,,,,,,
2017-04-20T10:55:00-06:00 Denver,50.50400161743164°F,,,,,,
2017-04-20T11:00:00-06:00 Denver,49.981998443603516°F,,,,,,
2017-04-20T11:05:00-06:00 Denver,49.22600173950195°F,,,,,,
2017-04-20T11:10:00-06:00 Denver,49.22600173950195°F,,,,,,
2017-04-20T11:15:00-06:00 Denver,49.20800018310547°F,,,,,,
2017-04-20T11:20:00-06:00 Denver,48.8120002746582°F,,,,,,
2017-04-20T11:25:00-06:00 Denver,48.70399856567383°F,,,,,,
2017-04-20T11:30:00-06:00 Denver,49.33399963378906°F,,,,,,
2017-04-20T11:35:00-06:00 Denver,50.32400131225586°F,,,,,,
2017-04-20T11:40:00-06:00 Denver,50.09000015258789°F,,,,,,
2017-04-20T11:45:00-06:00 Denver,49.24399948120117°F,,,,,,
2017-04-20T11:50:00-06:00 Denver,48.7760009765625°F,,,,,,
2017-04-20T11:55:00-06:00 Denver,47.678001403808594°F,,,,,,
2017-04-20T12:00:00-06:00 Denver,47.33599853515625°F,,,,,,
2017-04-20T12:05:00-06:00 Denver,46.86800003051758°F,,,,,,
2017-04-20T12:10:00-06:00 Denver,46.4900016784668°F,,,,,,
2017-04-20T12:15:00-06:00 Denver,45.6619987487793°F,,,,,,
2017-04-20T12:20:00-06:00 Denver,44.779998779296875°F,,,,,,
2017-04-20T12:25:00-06:00 Denver,42.92599868774414°F,,,,,,
2017-04-20T12:30:00-06:00 Denver,41.486000061035156°F,,,,,,
2017-04-20T12:35:00-06:00 Denver,41.108001708984375°F,,,,,,
2017-04-20T12:40:00-06:00 Denver,40.8380012512207°F,,,,,,
2017-04-20T12:45:00-06:00 Denver,41.071998596191406°F,,,,,,
2017-04-20T12:50:00-06:00 Denver,41.215999603271484°F,,,,,,
2017-04-20T12:55:00-06:00 Denver,42.47600173950195°F,,,,,,
2017-04-20T13:00:00-06:00 Denver,44.20399856567383°F,,,,,,
2017-04-20T13:05:00-06:00 Denver,46.61600112915039°F,,,,,,
2017-04-20T13:10:00-06:00 Denver,48.20000076293945°F,,,,,,
2017-04-20T13:15:00-06:00 Denver,47.31800079345703°F,,,,,,
2017-04-20T13:20:00-06:00 Denver,48.32600021362305°F,,,,,,
2017-04-20T13:25:00-06:00 Denver,49.11800003051758°F,,,,,,
2017-04-20T13:30:00-06:00 Denver,48.902000427246094°F,,,,,,
2017-04-20T13:35:00-06:00 Denver,49.694000244140625°F,,,,,,
2017-04-20T13:40:00-06:00 Denver,50.86399841308594°F,,,,,,
2017-04-20T13:45:00-06:00 Denver,50.61199951171875°F,,,,,,
2017-04-20T13:50:00-06:00 Denver,51.40399932861328°F,,,,,,
2017-04-20T13:55:00-06:00 Denver,52.268001556396484°F,,,,,,
2017-04-20T14:00:00-06:00 Denver,51.67399978637695°F,,,,,,
2017-04-20T14:05:00-06:00 Denver,52.66400146484375°F,,,,,,
2017-04-20T14:10:00-06:00 Denver,52.268001556396484°F,,,,,,
2017-04-20T14:15:00-06:00 Denver,51.13399887084961°F,,,,,,
2017-04-20T14:20:00-06:00 Denver,51.31399917602539°F,,,,,,
2017-04-20T14:25:00-06:00 Denver,51.854000091552734°F,,,,,,
2017-04-20T14:30:00-06:00 Denver,51.20600128173828°F,,,,,,
2017-04-20T14:35:00-06:00 Denver,50.88199996948242°F,,,,,,
2017-04-20T14:40:00-06:00 Denver,52.231998443603516°F,,,,,,
2017-04-20T14:45:00-06:00 Denver,51.512001037597656°F,,,,,,
2017-04-20T14:50:00-06:00 Denver,51.60200119018555°F,,,,,,
2017-04-20T14:55:00-06:00 Denver,51.04399871826172°F,,,,,,
2017-04-20T15:00:00-06:00 Denver,48.7400016784668°F,,,,,,
2017-04-20T15:05:00-06:00 Denver,48.61399841308594°F,,,,,,
2017-04-20T15:10:00-06:00 Denver,48.21799850463867°F,,,,,,
2017-04-20T15:15:00-06:00 Denver,48.52399826049805°F,,,,,,
2017-04-20T15:20:00-06:00 Denver,48.88399887084961°F,,,,,,
2017-04-20T15:25:00-06:00 Denver,49.172000885009766°F,,,,,,
2017-04-20T15:30:00-06:00 Denver,48.847999572753906°F,,,,,,
2017-04-20T15:35:00-06:00 Denver,48.39799880981445°F,,,,,,
2017-04-20T15:40:00-06:00 Denver,48.577999114990234°F,,,,,,
2017-04-20T15:45:00-06:00 Denver,49.65800094604492°F,,,,,,
2017-04-20T15:50:00-06:00 Denver,50.09000015258789°F,,,,,,
2017-04-20T15:55:00-06:00 Denver,49.35200119018555°F,,,,,,
2017-04-20T16:00:00-06:00 Denver,48.61399841308594°F,,,,,,
2017-04-20T16:05:00-06:00 Denver,47.7859992980957°F,,,,,,
2017-04-20T16:10:00-06:00 Denver,47.641998291015625°F,,,,,,
2017-04-20T16:15:00-06:00 Denver,47.49800109863281°F,,,,,,
2017-04-20T16:20:00-06:00 Denver,47.40800094604492°F,,,,,,
2017-04-20T16:25:00-06:00 Denver,47.641998291015625°F,,,,,,
2017-04-20T16:30:00-06:00 Denver,47.47999954223633°F,,,,,,
2017-04-20T16:35:00-06:00 Denver,47.641998291015625°F,,,,,,
2017-04-20T16:40:00-06:00 Denver,46.97600173950195°F,,,,,,
2017-04-20T16:45:00-06:00 Denver,45.608001708984375°F,,,,,,
2017-04-20T16:50:00-06:00 Denver,44.63600158691406°F,,,,,,
2017-04-20T16:55:00-06:00 Denver,43.82600021362305°F,,,,,,
2017-04-20T17:00:00-06:00 Denver,43.59199905395508°F,,,,,,
2017-04-20T17:05:00-06:00 Denver,42.0260009765625°F,,,,,,
2017-04-20T17:10:00-06:00 Denver,41.28799819946289°F,,,,,,
2017-04-20T17:15:00-06:00 Denver,40.694000244140625°F,,,,,,
2017-04-20T17:20:00-06:00 Denver,40.891998291015625°F,,,,,,
2017-04-20T17:25:00-06:00 Denver,41.50400161743164°F,,,,,,
2017-04-20T17:30:00-06:00 Denver,41.683998107910156°F,,,,,,
2017-04-20T17:35:00-06:00 Denver,41.720001220703125°F,,,,,,
2017-04-20T17:40:00-06:00 Denver,42.29600143432617°F,,,,,,
2017-04-20T17:45:00-06:00 Denver,42.74599838256836°F,,,,,,
2017-04-20T17:50:00-06:00 Denver,43.19599914550781°F,,,,,,
2017-04-20T17:55:00-06:00 Denver,43.555999755859375°F,,,,,,
2017-04-20T18:00:00-06:00 Denver,43.91600036621094°F,,,,,,
2017-04-20T18:05:00-06:00 Denver,44.45600128173828°F,,,,,,
2017-04-20T18:10:00-06:00 Denver,44.689998626708984°F,,,,,,
2017-04-20T18:20:00-06:00 Denver,45.40999984741211°F,,,,,,
2017-04-20T18:25:00-06:00 Denver,46.09400177001953°F,,,,,,
2017-04-20T18:30:00-06:00 Denver,47.821998596191406°F,,,,,,
2017-04-20T18:35:00-06:00 Denver,49.369998931884766°F,,,,,,
2017-04-20T18:40:00-06:00 Denver,49.53200149536133°F,,,,,,
2017-04-20T18:45:00-06:00 Denver,50.50400161743164°F,,,,,,
2017-04-20T18:50:00-06:00 Denver,49.71200180053711°F,,,,,,
2017-04-20T18:55:00-06:00 Denver,47.28200149536133°F,,,,,,
2017-04-20T19:00:00-06:00 Denver,45.805999755859375°F,,,,,,
2017-04-20T19:05:00-06:00 Denver,45.04999923706055°F,,,,,,
2017-04-20T19:10:00-06:00 Denver,44.72600173950195°F,,,,,,
2017-04-20T19:15:00-06:00 Denver,44.492000579833984°F,,,,,,
2017-04-20T19:20:00-06:00 Denver,44.33000183105469°F,,,,,,
2017-04-20T19:25:00-06:00 Denver,44.18600082397461°F,,,,,,
2017-04-20T19:30:00-06:00 Denver,44.00600051879883°F,,,,,,
2017-04-20T19:35:00-06:00 Denver,42.69200134277344°F,,,,,,
2017-04-20T19:40:00-06:00 Denver,41.23400115966797°F,,,,,,
2017-04-20T19:45:00-06:00 Denver,39.63199996948242°F,,,,,,
2017-04-20T19:50:00-06:00 Denver,39.30799865722656°F,,,,,,
2017-04-20T19:55:00-06:00 Denver,39.7760009765625°F,,,,,,
2017-04-20T20:00:00-06:00 Denver,39.34400177001953°F,,,,,,
2017-04-20T20:05:00-06:00 Denver,38.84000015258789°F,,,,,,
2017-04-20T20:10:00-06:00 Denver,38.624000549316406°F,,,,,,
2017-04-20T20:20:00-06:00 Denver,38.22800064086914°F,,,,,,
2017-04-20T20:25:00-06:00 Denver,37.99399948120117°F,,,,,,
2017-04-20T20:30:00-06:00 Denver,37.742000579833984°F,,,,,,
2017-04-20T20:35:00-06:00 Denver,37.742000579833984°F,,,,,,
2017-04-20T20:40:00-06:00 Denver,37.7599983215332°F,,,,,,
2017-04-20T20:45:00-06:00 Denver,37.66999816894531°F,,,,,,
2017-04-20T20:50:00-06:00 Denver,37.237998962402344°F,,,,,,
2017-04-20T20:55:00-06:00 Denver,37.742000579833984°F,,,,,,
2017-04-20T21:00:00-06:00 Denver,38.10200119018555°F,,,,,,
2017-04-20T21:05:00-06:00 Denver,38.08399963378906°F,,,,,,
2017-04-20T21:10:00-06:00 Denver,38.31800079345703°F,,,,,,
2017-04-20T21:15:00-06:00 Denver,38.47999954223633°F,,,,,,
2017-04-20T21:20:00-06:00 Denver,38.69599914550781°F,,,,,,
2017-04-20T21:25:00-06:00 Denver,38.75°F,,,,,,
2017-04-20T21:30:00-06:00 Denver,38.768001556396484°F,,,,,,
2017-04-20T21:35:00-06:00 Denver,38.69599914550781°F,,,,,,
2017-04-20T21:40:00-06:00 Denver,38.7859992980957°F,,,,,,
2017-04-20T21:45:00-06:00 Denver,38.9119987487793°F,,,,,,
