Timestamp,"Layton, UT Sunrise/Sunset","Layton, UT Humidity","Layton, UT Cond","Layton, UT Temp",Museum of Natural History Temp,Museum of Natural History Humidity,"Salt Lake City, UT Temp","Salt Lake City, UT Cond","Salt Lake City, UT Sunrise/Sunset","Salt Lake City, UT Humidity"
2017-04-01T04:35:00-06:00 Denver,"","","","",44.29399871826172°F,51.04999923706055%,"","","",""
2017-04-01T04:40:00-06:00 Denver,"","","","",44.257999420166016°F,51.369998931884766%,"","","",""
2017-04-01T04:45:00-06:00 Denver,"","","","",44.33000183105469°F,50.599998474121094%,"","","",""
2017-04-01T04:50:00-06:00 Denver,"","","","",44.45600128173828°F,50.099998474121094%,"","","",""
2017-04-01T04:55:00-06:00 Denver,"","","","",44.72600173950195°F,49.5099983215332%,"","","",""
2017-04-01T05:00:00-06:00 Denver,"",59%,1,42°F,44.3120002746582°F,51.150001525878906%,42°F,1_unknown,"",72%
2017-04-01T05:05:00-06:00 Denver,"","","","",44.22200012207031°F,49.790000915527344%,"","","",""
2017-04-01T05:10:00-06:00 Denver,"","","","",44.45600128173828°F,50.709999084472656%,"","","",""
2017-04-01T05:15:00-06:00 Denver,"","","","",44.18600082397461°F,50.13999938964844%,"","","",""
2017-04-01T05:20:00-06:00 Denver,"","","","",44.167999267578125°F,50.93000030517578%,"","","",""
2017-04-01T05:25:00-06:00 Denver,"","","","",44.2400016784668°F,49.72999954223633%,"","","",""
2017-04-01T05:30:00-06:00 Denver,"","","","",44.402000427246094°F,49.459999084472656%,"","","",""
2017-04-01T05:35:00-06:00 Denver,"","","","",44.52799987792969°F,48.95000076293945%,"","","",""
2017-04-01T05:40:00-06:00 Denver,"","","","",44.4739990234375°F,48.86000061035156%,"","","",""
2017-04-01T05:45:00-06:00 Denver,"","","","",44.97800064086914°F,46.52000045776367%,"","","",""
2017-04-01T05:50:00-06:00 Denver,"","","","",45.608001708984375°F,45.619998931884766%,"","","",""
2017-04-01T05:55:00-06:00 Denver,"","","","",45.55400085449219°F,45.97999954223633%,"","","",""
2017-04-01T06:00:00-06:00 Denver,"",59%,1,41°F,45.73400115966797°F,44.099998474121094%,41°F,1_unknown,"",75%
2017-04-01T06:05:00-06:00 Denver,"","","","",46.07600021362305°F,44.13999938964844%,"","","",""
2017-04-01T06:10:00-06:00 Denver,"","","","",46.02199935913086°F,44.08000183105469%,"","","",""
2017-04-01T06:15:00-06:00 Denver,"","","","",45.96799850463867°F,44.310001373291016%,"","","",""
2017-04-01T06:20:00-06:00 Denver,"","","","",45.84199905395508°F,44.279998779296875%,"","","",""
2017-04-01T06:25:00-06:00 Denver,"","","","",45.698001861572266°F,44.880001068115234%,"","","",""
2017-04-01T06:30:00-06:00 Denver,"","","","",45.571998596191406°F,45.060001373291016%,"","","",""
2017-04-01T06:35:00-06:00 Denver,"","","","",45.518001556396484°F,45.27000045776367%,"","","",""
2017-04-01T06:40:00-06:00 Denver,"","","","",45.428001403808594°F,45.59000015258789%,"","","",""
2017-04-01T06:45:00-06:00 Denver,"","","","",45.15800094604492°F,45.79999923706055%,"","","",""
2017-04-01T06:50:00-06:00 Denver,"","","","",45.301998138427734°F,45%,"","","",""
2017-04-01T06:55:00-06:00 Denver,"","","","",45.518001556396484°F,44.93000030517578%,"","","",""
2017-04-01T07:00:00-06:00 Denver,"",61%,1,42°F,45.4640007019043°F,44.470001220703125%,43°F,1_unknown,"",71%
2017-04-01T07:05:00-06:00 Denver,"","","","",45.698001861572266°F,44%,"","","",""
2017-04-01T07:10:00-06:00 Denver,"","","","",45.78799819946289°F,44.52000045776367%,"","","",""
2017-04-01T07:11:00-06:00 Denver,true,"","","","","","","",true,""
2017-04-01T07:15:00-06:00 Denver,"","","","",45.698001861572266°F,44.5099983215332%,"","","",""
2017-04-01T07:20:00-06:00 Denver,"","","","",45.6619987487793°F,43.90999984741211%,"","","",""
2017-04-01T07:25:00-06:00 Denver,"","","","",45.91400146484375°F,44.33000183105469%,"","","",""
2017-04-01T07:30:00-06:00 Denver,"","","","",45.715999603271484°F,44.2400016784668%,"","","",""
2017-04-01T07:35:00-06:00 Denver,"","","","",45.805999755859375°F,43.790000915527344%,"","","",""
2017-04-01T07:40:00-06:00 Denver,"","","","",45.91400146484375°F,44.15999984741211%,"","","",""
2017-04-01T07:45:00-06:00 Denver,"","","","",45.73400115966797°F,44.540000915527344%,"","","",""
2017-04-01T07:50:00-06:00 Denver,"","","","",45.64400100708008°F,44.38999938964844%,"","","",""
2017-04-01T07:55:00-06:00 Denver,"","","","",45.77000045776367°F,44.189998626708984%,"","","",""
2017-04-01T08:00:00-06:00 Denver,"",64%,1,43°F,45.75199890136719°F,44.630001068115234%,44°F,1_unknown,"",68%
2017-04-01T08:05:00-06:00 Denver,"","","","",45.518001556396484°F,45.22999954223633%,"","","",""
2017-04-01T08:10:00-06:00 Denver,"","","","",45.571998596191406°F,45.029998779296875%,"","","",""
2017-04-01T08:15:00-06:00 Denver,"","","","",45.75199890136719°F,44.59000015258789%,"","","",""
2017-04-01T08:20:00-06:00 Denver,"","","","",46.040000915527344°F,43.439998626708984%,"","","",""
2017-04-01T08:25:00-06:00 Denver,"","","","",46.237998962402344°F,44.61000061035156%,"","","",""
2017-04-01T08:30:00-06:00 Denver,"","","","",45.698001861572266°F,46.400001525878906%,"","","",""
2017-04-01T08:35:00-06:00 Denver,"","","","",45.59000015258789°F,45.7400016784668%,"","","",""
2017-04-01T08:40:00-06:00 Denver,"","","","",45.5359992980957°F,46.83000183105469%,"","","",""
2017-04-01T08:45:00-06:00 Denver,"","","","",45.3380012512207°F,46.939998626708984%,"","","",""
2017-04-01T08:50:00-06:00 Denver,"","","","",45.391998291015625°F,46.95000076293945%,"","","",""
2017-04-01T08:55:00-06:00 Denver,"","","","",45.391998291015625°F,47.91999816894531%,"","","",""
2017-04-01T09:00:00-06:00 Denver,"",66%,1,43°F,45.301998138427734°F,47.72999954223633%,45°F,1_unknown,"",64%
2017-04-01T09:05:00-06:00 Denver,"","","","",45.5359992980957°F,46.5%,"","","",""
2017-04-01T09:10:00-06:00 Denver,"","","","",45.805999755859375°F,46.79999923706055%,"","","",""
2017-04-01T09:15:00-06:00 Denver,"","","","",45.91400146484375°F,47.59000015258789%,"","","",""
2017-04-01T09:20:00-06:00 Denver,"","","","",45.87799835205078°F,48.439998626708984%,"","","",""
2017-04-01T09:25:00-06:00 Denver,"","","","",46.07600021362305°F,47.08000183105469%,"","","",""
2017-04-01T09:30:00-06:00 Denver,"","","","",46.507999420166016°F,46.43000030517578%,"","","",""
2017-04-01T09:35:00-06:00 Denver,"","","","",46.88600158691406°F,45.5099983215332%,"","","",""
2017-04-01T09:40:00-06:00 Denver,"","","","",47.28200149536133°F,44.939998626708984%,"","","",""
2017-04-01T09:45:00-06:00 Denver,"","","","",47.7859992980957°F,43.779998779296875%,"","","",""
2017-04-01T09:50:00-06:00 Denver,"","","","",48.055999755859375°F,44.060001373291016%,"","","",""
2017-04-01T09:55:00-06:00 Denver,"","","","",48.59600067138672°F,42.709999084472656%,"","","",""
2017-04-01T10:00:00-06:00 Denver,"",58%,1,46°F,49.11800003051758°F,43.130001068115234%,47°F,1_unknown,"",62%
2017-04-01T10:05:00-06:00 Denver,"","","","",49.928001403808594°F,40.77000045776367%,"","","",""
2017-04-01T10:10:00-06:00 Denver,"","","","",49.784000396728516°F,42.380001068115234%,"","","",""
2017-04-01T10:15:00-06:00 Denver,"","","","",50.41400146484375°F,39.25%,"","","",""
2017-04-01T10:20:00-06:00 Denver,"","","","",50.97200012207031°F,38.529998779296875%,"","","",""
2017-04-01T10:25:00-06:00 Denver,"","","","",51.78200149536133°F,38%,"","","",""
2017-04-01T10:30:00-06:00 Denver,"","","","",52.2140007019043°F,37.47999954223633%,"","","",""
2017-04-01T10:35:00-06:00 Denver,"","","","",52.736000061035156°F,36.470001220703125%,"","","",""
2017-04-01T10:40:00-06:00 Denver,"","","","",52.77199935913086°F,37.5099983215332%,"","","",""
2017-04-01T10:45:00-06:00 Denver,"","","","",52.91600036621094°F,36.47999954223633%,"","","",""
2017-04-01T10:50:00-06:00 Denver,"","","","",52.86199951171875°F,36.040000915527344%,"","","",""
2017-04-01T10:55:00-06:00 Denver,"","","","",52.57400131225586°F,38.459999084472656%,"","","",""
2017-04-01T11:00:00-06:00 Denver,"",50%,1,49°F,52.66400146484375°F,41.04999923706055%,49°F,1_unknown,"",59%
2017-04-01T11:05:00-06:00 Denver,"","","","",51.11600112915039°F,41.349998474121094%,"","","",""
2017-04-01T11:10:00-06:00 Denver,"","","","",51.16999816894531°F,42.13999938964844%,"","","",""
2017-04-01T11:15:00-06:00 Denver,"","","","",51.45800018310547°F,40.779998779296875%,"","","",""
2017-04-01T11:20:00-06:00 Denver,"","","","",51.58399963378906°F,40.720001220703125%,"","","",""
2017-04-01T11:25:00-06:00 Denver,"","","","",51.63800048828125°F,40.540000915527344%,"","","",""
2017-04-01T11:30:00-06:00 Denver,"","","","",51.763999938964844°F,40.34000015258789%,"","","",""
2017-04-01T11:35:00-06:00 Denver,"","","","",52.0880012512207°F,39.43000030517578%,"","","",""
2017-04-01T11:40:00-06:00 Denver,"","","","",53.36600112915039°F,37.79999923706055%,"","","",""
2017-04-01T11:45:00-06:00 Denver,"","","","",53.20399856567383°F,38.43000030517578%,"","","",""
2017-04-01T11:50:00-06:00 Denver,"","","","",54.03200149536133°F,37.63999938964844%,"","","",""
2017-04-01T11:55:00-06:00 Denver,"","","","",54.698001861572266°F,37.540000915527344%,"","","",""
2017-04-01T12:00:00-06:00 Denver,"",42%,1,52°F,55.652000427246094°F,36.59000015258789%,50°F,1_unknown,"",57%
2017-04-01T12:05:00-06:00 Denver,"","","","",55.81399917602539°F,35.77000045776367%,"","","",""
2017-04-01T12:10:00-06:00 Denver,"","","","",56.80400085449219°F,35.36000061035156%,"","","",""
2017-04-01T12:15:00-06:00 Denver,"","","","",55.99399948120117°F,37.2599983215332%,"","","",""
2017-04-01T12:20:00-06:00 Denver,"","","","",57.07400131225586°F,33.900001525878906%,"","","",""
2017-04-01T12:25:00-06:00 Denver,"","","","",57.45199966430664°F,34.630001068115234%,"","","",""
2017-04-01T12:30:00-06:00 Denver,"","","","",58.29800033569336°F,34.380001068115234%,"","","",""
2017-04-01T12:35:00-06:00 Denver,"","","","",59.018001556396484°F,33.04999923706055%,"","","",""
2017-04-01T12:40:00-06:00 Denver,"","","","",59.198001861572266°F,32.93000030517578%,"","","",""
2017-04-01T12:45:00-06:00 Denver,"","","","",59.108001708984375°F,35.529998779296875%,"","","",""
2017-04-01T12:50:00-06:00 Denver,"","","","",58.082000732421875°F,33.40999984741211%,"","","",""
2017-04-01T12:55:00-06:00 Denver,"","","","",56.768001556396484°F,34.65999984741211%,"","","",""
2017-04-01T13:00:00-06:00 Denver,"",43%,1,53°F,56.98400115966797°F,34.5%,53°F,1_unknown,"",55%
2017-04-01T13:05:00-06:00 Denver,"","","","",57.7400016784668°F,33.459999084472656%,"","","",""
2017-04-01T13:10:00-06:00 Denver,"","","","",58.38800048828125°F,32.45000076293945%,"","","",""
2017-04-01T13:15:00-06:00 Denver,"","","","",58.85599899291992°F,31.639999389648438%,"","","",""
2017-04-01T13:20:00-06:00 Denver,"","","","",59.071998596191406°F,32.79999923706055%,"","","",""
2017-04-01T13:25:00-06:00 Denver,"","","","",59.486000061035156°F,32.16999816894531%,"","","",""
2017-04-01T13:30:00-06:00 Denver,"","","","",60.619998931884766°F,31.6299991607666%,"","","",""
2017-04-01T13:35:00-06:00 Denver,"","","","",60.0260009765625°F,32.380001068115234%,"","","",""
2017-04-01T13:40:00-06:00 Denver,"","","","",60.007999420166016°F,31.709999084472656%,"","","",""
2017-04-01T13:45:00-06:00 Denver,"","","","",61.50199890136719°F,31.6200008392334%,"","","",""
2017-04-01T13:50:00-06:00 Denver,"","","","",61.141998291015625°F,32.939998626708984%,"","","",""
2017-04-01T13:55:00-06:00 Denver,"","","","",61.66400146484375°F,31.360000610351562%,"","","",""
2017-04-01T14:00:00-06:00 Denver,"",44%,1,53°F,61.89799880981445°F,31.030000686645508%,55°F,1_unknown,"",52%
2017-04-01T14:05:00-06:00 Denver,"","","","",60.36800003051758°F,36.189998626708984%,"","","",""
2017-04-01T14:10:00-06:00 Denver,"","","","",58.72999954223633°F,37.150001525878906%,"","","",""
2017-04-01T14:15:00-06:00 Denver,"","","","",58.33399963378906°F,37.650001525878906%,"","","",""
2017-04-01T14:20:00-06:00 Denver,"","","","",57.30799865722656°F,38.15999984741211%,"","","",""
2017-04-01T14:25:00-06:00 Denver,"","","","",56.9119987487793°F,40.2400016784668%,"","","",""
2017-04-01T14:30:00-06:00 Denver,"","","","",57.50600051879883°F,39.34000015258789%,"","","",""
2017-04-01T14:35:00-06:00 Denver,"","","","",57.63199996948242°F,40.619998931884766%,"","","",""
2017-04-01T14:40:00-06:00 Denver,"","","","",57.650001525878906°F,42.52000045776367%,"","","",""
2017-04-01T14:45:00-06:00 Denver,"","","","",57.09199905395508°F,42.47999954223633%,"","","",""
2017-04-01T14:50:00-06:00 Denver,"","","","",56.42599868774414°F,42.939998626708984%,"","","",""
2017-04-01T14:55:00-06:00 Denver,"","","","",56.65999984741211°F,42.369998931884766%,"","","",""
2017-04-01T15:00:00-06:00 Denver,"",45%,1,54°F,57.20000076293945°F,39.970001220703125%,57°F,1_unknown,"",47%
2017-04-01T15:05:00-06:00 Denver,"","","","",57.145999908447266°F,43.900001525878906%,"","","",""
2017-04-01T15:10:00-06:00 Denver,"","","","",56.65999984741211°F,44.59000015258789%,"","","",""
2017-04-01T15:15:00-06:00 Denver,"","","","",56.965999603271484°F,44.040000915527344%,"","","",""
2017-04-01T15:20:00-06:00 Denver,"","","","",56.80400085449219°F,44.560001373291016%,"","","",""
2017-04-01T15:25:00-06:00 Denver,"","","","",56.60599899291992°F,43.720001220703125%,"","","",""
2017-04-01T15:30:00-06:00 Denver,"","","","",56.98400115966797°F,43.08000183105469%,"","","",""
2017-04-01T15:35:00-06:00 Denver,"","","","",57.145999908447266°F,42.279998779296875%,"","","",""
2017-04-01T15:40:00-06:00 Denver,"","","","",56.119998931884766°F,43.29999923706055%,"","","",""
2017-04-01T15:45:00-06:00 Denver,"","","","",57.16400146484375°F,42.279998779296875%,"","","",""
2017-04-01T15:50:00-06:00 Denver,"","","","",56.69599914550781°F,43.20000076293945%,"","","",""
2017-04-01T15:55:00-06:00 Denver,"","","","",56.93000030517578°F,44.84000015258789%,"","","",""
2017-04-01T16:00:00-06:00 Denver,"",43%,1,54°F,56.47999954223633°F,45.40999984741211%,56°F,1_unknown,"",45%
2017-04-01T16:05:00-06:00 Denver,"","","","",56.13800048828125°F,44.970001220703125%,"","","",""
2017-04-01T16:10:00-06:00 Denver,"","","","",55.652000427246094°F,47.20000076293945%,"","","",""
2017-04-01T16:15:00-06:00 Denver,"","","","",55.05799865722656°F,47.290000915527344%,"","","",""
2017-04-01T16:20:00-06:00 Denver,"","","","",55.81399917602539°F,47.09000015258789%,"","","",""
2017-04-01T16:25:00-06:00 Denver,"","","","",56.37200164794922°F,47.900001525878906%,"","","",""
2017-04-01T16:30:00-06:00 Denver,"","","","",56.13800048828125°F,47.119998931884766%,"","","",""
2017-04-01T16:35:00-06:00 Denver,"","","","",55.7599983215332°F,47.540000915527344%,"","","",""
2017-04-01T16:40:00-06:00 Denver,"","","","",55.81399917602539°F,47.2599983215332%,"","","",""
2017-04-01T16:45:00-06:00 Denver,"","","","",56.22800064086914°F,49.09000015258789%,"","","",""
2017-04-01T16:50:00-06:00 Denver,"","","","",56.37200164794922°F,48.16999816894531%,"","","",""
2017-04-01T16:55:00-06:00 Denver,"","","","",55.90399932861328°F,47.79999923706055%,"","","",""
2017-04-01T17:00:00-06:00 Denver,"",42%,1,54°F,55.79600143432617°F,47.560001373291016%,56°F,1_unknown,"",43%
2017-04-01T17:05:00-06:00 Denver,"","","","",55.832000732421875°F,46.86000061035156%,"","","",""
2017-04-01T17:10:00-06:00 Denver,"","","","",55.95800018310547°F,46.810001373291016%,"","","",""
2017-04-01T17:15:00-06:00 Denver,"","","","",56.534000396728516°F,47.560001373291016%,"","","",""
2017-04-01T17:20:00-06:00 Denver,"","","","",56.15599822998047°F,47.869998931884766%,"","","",""
2017-04-01T17:25:00-06:00 Denver,"","","","",56.22800064086914°F,48.06999969482422%,"","","",""
2017-04-01T17:30:00-06:00 Denver,"","","","",55.34600067138672°F,48.790000915527344%,"","","",""
2017-04-01T17:35:00-06:00 Denver,"","","","",55.20199966430664°F,48.380001068115234%,"","","",""
2017-04-01T17:40:00-06:00 Denver,"","","","",55.4900016784668°F,48.349998474121094%,"","","",""
2017-04-01T17:45:00-06:00 Denver,"","","","",55.99399948120117°F,47.40999984741211%,"","","",""
2017-04-01T17:50:00-06:00 Denver,"","","","",55.7239990234375°F,46.83000183105469%,"","","",""
2017-04-01T17:55:00-06:00 Denver,"","","","",55.507999420166016°F,47.22999954223633%,"","","",""
2017-04-01T18:00:00-06:00 Denver,"",40%,1,54°F,55.61600112915039°F,43.470001220703125%,56°F,1_unknown,"",41%
2017-04-01T18:05:00-06:00 Denver,"","","","",55.922000885009766°F,44.38999938964844%,"","","",""
2017-04-01T18:10:00-06:00 Denver,"","","","",55.7599983215332°F,44.65999984741211%,"","","",""
2017-04-01T18:15:00-06:00 Denver,"","","","",54.91400146484375°F,50.41999816894531%,"","","",""
2017-04-01T18:20:00-06:00 Denver,"","","","",55.38199996948242°F,49.29999923706055%,"","","",""
