Timestamp,"Layton, UT Sunrise/Sunset","Layton, UT Humidity","Layton, UT Cond","Layton, UT Temp",Museum of Natural History Temp,Museum of Natural History Humidity,"Salt Lake City, UT Temp","Salt Lake City, UT Cond","Salt Lake City, UT Sunrise/Sunset","Salt Lake City, UT Humidity"
2017-04-06T00:55:00-06:00 Denver,"","","","",51.11600112915039°F,30.729999542236328%,"","","",""
2017-04-06T01:00:00-06:00 Denver,"",46%,1,44°F,50.9900016784668°F,31.229999542236328%,45°F,1_unknown,"",50%
2017-04-06T01:05:00-06:00 Denver,"","","","",50.737998962402344°F,31.09000015258789%,"","","",""
2017-04-06T01:10:00-06:00 Denver,"","","","",50.630001068115234°F,30.770000457763672%,"","","",""
2017-04-06T01:15:00-06:00 Denver,"","","","",50.720001220703125°F,30.579999923706055%,"","","",""
2017-04-06T01:20:00-06:00 Denver,"","","","",50.59400177001953°F,31.100000381469727%,"","","",""
2017-04-06T01:25:00-06:00 Denver,"","","","",50.810001373291016°F,30.639999389648438%,"","","",""
2017-04-06T01:30:00-06:00 Denver,"","","","",50.737998962402344°F,31.610000610351562%,"","","",""
2017-04-06T01:35:00-06:00 Denver,"","","","",50.59400177001953°F,31.670000076293945%,"","","",""
2017-04-06T01:40:00-06:00 Denver,"","","","",50.630001068115234°F,32.189998626708984%,"","","",""
2017-04-06T01:45:00-06:00 Denver,"","","","",50.46799850463867°F,33.63999938964844%,"","","",""
2017-04-06T01:50:00-06:00 Denver,"","","","",50.215999603271484°F,32.83000183105469%,"","","",""
2017-04-06T01:55:00-06:00 Denver,"","","","",50.36000061035156°F,32.880001068115234%,"","","",""
2017-04-06T02:00:00-06:00 Denver,"",48%,1,44°F,50.683998107910156°F,33.099998474121094%,45°F,1_unknown,"",51%
2017-04-06T02:05:00-06:00 Denver,"","","","",50.70199966430664°F,32.7599983215332%,"","","",""
2017-04-06T02:10:00-06:00 Denver,"","","","",50.071998596191406°F,34.88999938964844%,"","","",""
2017-04-06T02:15:00-06:00 Denver,"","","","",49.22600173950195°F,35.33000183105469%,"","","",""
2017-04-06T02:20:00-06:00 Denver,"","","","",49.04600143432617°F,35.619998931884766%,"","","",""
2017-04-06T02:25:00-06:00 Denver,"","","","",48.95600128173828°F,35.2599983215332%,"","","",""
2017-04-06T02:30:00-06:00 Denver,"","","","",49.06399917602539°F,35.54999923706055%,"","","",""
2017-04-06T02:35:00-06:00 Denver,"","","","",49.04600143432617°F,34.86000061035156%,"","","",""
2017-04-06T02:40:00-06:00 Denver,"","","","",49.38800048828125°F,34.5099983215332%,"","","",""
2017-04-06T02:45:00-06:00 Denver,"","","","",49.53200149536133°F,34.33000183105469%,"","","",""
2017-04-06T02:50:00-06:00 Denver,"","","","",49.67599868774414°F,34.0099983215332%,"","","",""
2017-04-06T02:55:00-06:00 Denver,"","","","",49.67599868774414°F,34.83000183105469%,"","","",""
2017-04-06T03:00:00-06:00 Denver,"",49%,1,43°F,48.8120002746582°F,35.52000045776367%,45°F,1_unknown,"",51%
2017-04-06T03:05:00-06:00 Denver,"","","","",48.86600112915039°F,35.560001373291016%,"","","",""
2017-04-06T03:10:00-06:00 Denver,"","","","",49.082000732421875°F,34.79999923706055%,"","","",""
2017-04-06T03:15:00-06:00 Denver,"","","","",49.04600143432617°F,35.2599983215332%,"","","",""
2017-04-06T03:20:00-06:00 Denver,"","","","",49.316001892089844°F,33.7599983215332%,"","","",""
2017-04-06T03:25:00-06:00 Denver,"","","","",50.1619987487793°F,33.720001220703125%,"","","",""
2017-04-06T03:30:00-06:00 Denver,"","","","",49.981998443603516°F,34.11000061035156%,"","","",""
2017-04-06T03:35:00-06:00 Denver,"","","","",49.85599899291992°F,32.619998931884766%,"","","",""
2017-04-06T03:40:00-06:00 Denver,"","","","",50.486000061035156°F,32.38999938964844%,"","","",""
2017-04-06T03:45:00-06:00 Denver,"","","","",50.77399826049805°F,32.189998626708984%,"","","",""
2017-04-06T03:50:00-06:00 Denver,"","","","",50.108001708984375°F,34.369998931884766%,"","","",""
2017-04-06T03:55:00-06:00 Denver,"","","","",48.95600128173828°F,35.33000183105469%,"","","",""
2017-04-06T04:00:00-06:00 Denver,"",49%,1,43°F,48.9379997253418°F,34.36000061035156%,45°F,1_unknown,"",51%
2017-04-06T04:05:00-06:00 Denver,"","","","",49.13600158691406°F,34.709999084472656%,"","","",""
2017-04-06T04:10:00-06:00 Denver,"","","","",49.784000396728516°F,34.38999938964844%,"","","",""
2017-04-06T04:15:00-06:00 Denver,"","","","",49.67599868774414°F,33.560001373291016%,"","","",""
2017-04-06T04:20:00-06:00 Denver,"","","","",50.14400100708008°F,31.989999771118164%,"","","",""
2017-04-06T04:25:00-06:00 Denver,"","","","",51.08000183105469°F,30.389999389648438%,"","","",""
2017-04-06T04:30:00-06:00 Denver,"","","","",51.60200119018555°F,29.90999984741211%,"","","",""
2017-04-06T04:35:00-06:00 Denver,"","","","",51.87200164794922°F,29.979999542236328%,"","","",""
2017-04-06T04:40:00-06:00 Denver,"","","","",52.0880012512207°F,29.09000015258789%,"","","",""
2017-04-06T04:45:00-06:00 Denver,"","","","",51.58399963378906°F,31.040000915527344%,"","","",""
2017-04-06T04:50:00-06:00 Denver,"","","","",50.720001220703125°F,31.610000610351562%,"","","",""
2017-04-06T04:55:00-06:00 Denver,"","","","",50.827999114990234°F,32.150001525878906%,"","","",""
2017-04-06T05:00:00-06:00 Denver,"",50%,2,42°F,50.59400177001953°F,32.150001525878906%,45°F,1_unknown,"",52%
2017-04-06T05:05:00-06:00 Denver,"","","","",50.018001556396484°F,33.369998931884766%,"","","",""
2017-04-06T05:10:00-06:00 Denver,"","","","",49.40599822998047°F,34.04999923706055%,"","","",""
2017-04-06T05:15:00-06:00 Denver,"","","","",48.055999755859375°F,38.060001373291016%,"","","",""
2017-04-06T05:20:00-06:00 Denver,"","","","",46.77799987792969°F,39.59000015258789%,"","","",""
2017-04-06T05:25:00-06:00 Denver,"","","","",46.09400177001953°F,40.349998474121094%,"","","",""
2017-04-06T05:30:00-06:00 Denver,"","","","",45.87799835205078°F,40.91999816894531%,"","","",""
2017-04-06T05:35:00-06:00 Denver,"","","","",45.715999603271484°F,41.38999938964844%,"","","",""
2017-04-06T05:40:00-06:00 Denver,"","","","",45.571998596191406°F,42.150001525878906%,"","","",""
2017-04-06T05:45:00-06:00 Denver,"","","","",45.391998291015625°F,41.95000076293945%,"","","",""
2017-04-06T05:50:00-06:00 Denver,"","","","",45.428001403808594°F,40.97999954223633%,"","","",""
2017-04-06T05:55:00-06:00 Denver,"","","","",45.4640007019043°F,40.79999923706055%,"","","",""
2017-04-06T06:00:00-06:00 Denver,"",50%,2,41°F,45.986000061035156°F,40.72999954223633%,45°F,1_unknown,"",52%
2017-04-06T06:05:00-06:00 Denver,"","","","",46.88600158691406°F,37.59000015258789%,"","","",""
2017-04-06T06:10:00-06:00 Denver,"","","","",47.80400085449219°F,39.470001220703125%,"","","",""
2017-04-06T06:15:00-06:00 Denver,"","","","",46.54399871826172°F,40.75%,"","","",""
2017-04-06T06:20:00-06:00 Denver,"","","","",46.45399856567383°F,40.86000061035156%,"","","",""
2017-04-06T06:25:00-06:00 Denver,"","","","",46.5260009765625°F,41.40999984741211%,"","","",""
2017-04-06T06:30:00-06:00 Denver,"","","","",46.54399871826172°F,37.279998779296875%,"","","",""
2017-04-06T06:35:00-06:00 Denver,"","","","",48.39799880981445°F,33.939998626708984%,"","","",""
2017-04-06T06:40:00-06:00 Denver,"","","","",48.91999816894531°F,36.11000061035156%,"","","",""
2017-04-06T06:45:00-06:00 Denver,"","","","",49.279998779296875°F,33.61000061035156%,"","","",""
2017-04-06T06:50:00-06:00 Denver,"","","","",49.71200180053711°F,30.739999771118164%,"","","",""
2017-04-06T06:55:00-06:00 Denver,"","","","",51.11600112915039°F,28.360000610351562%,"","","",""
2017-04-06T07:00:00-06:00 Denver,"",49%,2,43°F,52.555999755859375°F,28.25%,47°F,1_unknown,"",50%
2017-04-06T07:02:00-06:00 Denver,true,"","","","","","","",true,""
2017-04-06T07:05:00-06:00 Denver,"","","","",52.448001861572266°F,28.239999771118164%,"","","",""
2017-04-06T07:10:00-06:00 Denver,"","","","",52.66400146484375°F,27.700000762939453%,"","","",""
2017-04-06T07:15:00-06:00 Denver,"","","","",51.422000885009766°F,32.849998474121094%,"","","",""
2017-04-06T07:20:00-06:00 Denver,"","","","",49.02799987792969°F,36.790000915527344%,"","","",""
2017-04-06T07:25:00-06:00 Denver,"","","","",47.731998443603516°F,38.119998931884766%,"","","",""
2017-04-06T07:30:00-06:00 Denver,"","","","",47.56999969482422°F,38.79999923706055%,"","","",""
2017-04-06T07:35:00-06:00 Denver,"","","","",47.066001892089844°F,40.97999954223633%,"","","",""
2017-04-06T07:40:00-06:00 Denver,"","","","",46.20199966430664°F,43.16999816894531%,"","","",""
2017-04-06T07:45:00-06:00 Denver,"","","","",45.82400131225586°F,41.20000076293945%,"","","",""
2017-04-06T07:50:00-06:00 Denver,"","","","",47.066001892089844°F,39.220001220703125%,"","","",""
2017-04-06T07:55:00-06:00 Denver,"","","","",47.51599884033203°F,38.349998474121094%,"","","",""
2017-04-06T08:00:00-06:00 Denver,"",48%,1,45°F,48.09199905395508°F,39.880001068115234%,50°F,2_unknown,"",48%
2017-04-06T08:05:00-06:00 Denver,"","","","",47.551998138427734°F,43.209999084472656%,"","","",""
2017-04-06T08:10:00-06:00 Denver,"","","","",47.551998138427734°F,42.119998931884766%,"","","",""
2017-04-06T08:15:00-06:00 Denver,"","","","",47.89400100708008°F,40.810001373291016%,"","","",""
2017-04-06T08:20:00-06:00 Denver,"","","","",47.93000030517578°F,41.369998931884766%,"","","",""
2017-04-06T08:25:00-06:00 Denver,"","","","",46.97600173950195°F,44.54999923706055%,"","","",""
2017-04-06T08:30:00-06:00 Denver,"","","","",46.14799880981445°F,44.97999954223633%,"","","",""
2017-04-06T08:35:00-06:00 Denver,"","","","",46.16600036621094°F,43.689998626708984%,"","","",""
2017-04-06T08:40:00-06:00 Denver,"","","","",46.742000579833984°F,41.7599983215332%,"","","",""
2017-04-06T08:45:00-06:00 Denver,"","","","",47.75°F,41.13999938964844%,"","","",""
2017-04-06T08:50:00-06:00 Denver,"","","","",48.63199996948242°F,38.720001220703125%,"","","",""
2017-04-06T08:55:00-06:00 Denver,"","","","",48.902000427246094°F,38.29999923706055%,"","","",""
2017-04-06T09:00:00-06:00 Denver,"",47%,1,47°F,49.35200119018555°F,38.38999938964844%,52°F,2_unknown,"",46%
2017-04-06T09:05:00-06:00 Denver,"","","","",49.65800094604492°F,38.31999969482422%,"","","",""
2017-04-06T09:10:00-06:00 Denver,"","","","",49.42399978637695°F,41.06999969482422%,"","","",""
2017-04-06T09:15:00-06:00 Denver,"","","","",48.902000427246094°F,41.310001373291016%,"","","",""
2017-04-06T09:20:00-06:00 Denver,"","","","",49.172000885009766°F,40.880001068115234%,"","","",""
2017-04-06T09:25:00-06:00 Denver,"","","","",49.74800109863281°F,40.029998779296875%,"","","",""
2017-04-06T09:30:00-06:00 Denver,"","","","",50.737998962402344°F,40.279998779296875%,"","","",""
2017-04-06T09:35:00-06:00 Denver,"","","","",51.27799987792969°F,39.08000183105469%,"","","",""
2017-04-06T09:40:00-06:00 Denver,"","","","",51.58399963378906°F,38.689998626708984%,"","","",""
2017-04-06T09:45:00-06:00 Denver,"","","","",52.30400085449219°F,38.52000045776367%,"","","",""
2017-04-06T09:50:00-06:00 Denver,"","","","",53.45600128173828°F,38.27000045776367%,"","","",""
2017-04-06T09:55:00-06:00 Denver,"","","","",54.12200164794922°F,37.02000045776367%,"","","",""
2017-04-06T10:00:00-06:00 Denver,"",44%,1,50°F,54.03200149536133°F,35.959999084472656%,55°F,2_unknown,"",41%
2017-04-06T10:05:00-06:00 Denver,"","","","",53.70800018310547°F,35.4900016784668%,"","","",""
2017-04-06T10:10:00-06:00 Denver,"","","","",54.194000244140625°F,34.779998779296875%,"","","",""
2017-04-06T10:15:00-06:00 Denver,"","","","",54.698001861572266°F,36.02000045776367%,"","","",""
2017-04-06T10:20:00-06:00 Denver,"","","","",54.5359992980957°F,34.869998931884766%,"","","",""
2017-04-06T10:25:00-06:00 Denver,"","","","",55.417999267578125°F,33.31999969482422%,"","","",""
2017-04-06T10:30:00-06:00 Denver,"","","","",56.10200119018555°F,31.440000534057617%,"","","",""
2017-04-06T10:35:00-06:00 Denver,"","","","",56.40800094604492°F,31.5%,"","","",""
2017-04-06T10:40:00-06:00 Denver,"","","","",57.380001068115234°F,31.1200008392334%,"","","",""
2017-04-06T10:45:00-06:00 Denver,"","","","",58.47800064086914°F,31.290000915527344%,"","","",""
2017-04-06T10:50:00-06:00 Denver,"","","","",58.85599899291992°F,31.040000915527344%,"","","",""
2017-04-06T10:55:00-06:00 Denver,"","","","",59.57600021362305°F,30.399999618530273%,"","","",""
2017-04-06T11:00:00-06:00 Denver,"",40%,1,53°F,59.827999114990234°F,31%,58°F,1_unknown,"",37%
2017-04-06T11:05:00-06:00 Denver,"","","","",58.694000244140625°F,30%,"","","",""
2017-04-06T11:10:00-06:00 Denver,"","","","",59.05400085449219°F,30.889999389648438%,"","","",""
2017-04-06T11:15:00-06:00 Denver,"","","","",58.22600173950195°F,31.670000076293945%,"","","",""
2017-04-06T11:20:00-06:00 Denver,"","","","",58.316001892089844°F,30.799999237060547%,"","","",""
2017-04-06T11:25:00-06:00 Denver,"","","","",58.15399932861328°F,31.110000610351562%,"","","",""
2017-04-06T11:30:00-06:00 Denver,"","","","",58.44200134277344°F,31.190000534057617%,"","","",""
2017-04-06T11:35:00-06:00 Denver,"","","","",58.33399963378906°F,30.90999984741211%,"","","",""
2017-04-06T11:40:00-06:00 Denver,"","","","",59.32400131225586°F,29.34000015258789%,"","","",""
2017-04-06T11:45:00-06:00 Denver,"","","","",61.59199905395508°F,27.360000610351562%,"","","",""
2017-04-06T11:50:00-06:00 Denver,"","","","",61.880001068115234°F,28.5%,"","","",""
2017-04-06T11:55:00-06:00 Denver,"","","","",62.61800003051758°F,27.389999389648438%,"","","",""
2017-04-06T12:00:00-06:00 Denver,"",37%,1,56°F,63.608001708984375°F,28.360000610351562%,61°F,1_unknown,"",32%
2017-04-06T12:05:00-06:00 Denver,"","","","",62.36600112915039°F,28.65999984741211%,"","","",""
2017-04-06T12:10:00-06:00 Denver,"","","","",62.347999572753906°F,27.719999313354492%,"","","",""
2017-04-06T12:15:00-06:00 Denver,"","","","",62.83399963378906°F,27.68000030517578%,"","","",""
2017-04-06T12:20:00-06:00 Denver,"","","","",63.301998138427734°F,26%,"","","",""
2017-04-06T12:25:00-06:00 Denver,"","","","",62.38399887084961°F,27.34000015258789%,"","","",""
2017-04-06T12:30:00-06:00 Denver,"","","","",62.689998626708984°F,25.770000457763672%,"","","",""
2017-04-06T12:35:00-06:00 Denver,"","","","",63.698001861572266°F,26.690000534057617%,"","","",""
2017-04-06T12:40:00-06:00 Denver,"","","","",63.26599884033203°F,27%,"","","",""
2017-04-06T12:45:00-06:00 Denver,"","","","",62.65399932861328°F,25.899999618530273%,"","","",""
2017-04-06T12:50:00-06:00 Denver,"","","","",62.33000183105469°F,26.170000076293945%,"","","",""
2017-04-06T12:55:00-06:00 Denver,"","","","",62.92399978637695°F,27.649999618530273%,"","","",""
2017-04-06T13:00:00-06:00 Denver,"",34%,1,58°F,63.518001556396484°F,26.149999618530273%,62°F,1_unknown,"",31%
2017-04-06T13:05:00-06:00 Denver,"","","","",64.5260009765625°F,25.209999084472656%,"","","",""
2017-04-06T13:10:00-06:00 Denver,"","","","",64.90399932861328°F,25.3700008392334%,"","","",""
2017-04-06T13:15:00-06:00 Denver,"","","","",65.4260025024414°F,24.799999237060547%,"","","",""
2017-04-06T13:20:00-06:00 Denver,"","","","",65.4800033569336°F,25.329999923706055%,"","","",""
2017-04-06T13:25:00-06:00 Denver,"","","","",66.99199676513672°F,24.040000915527344%,"","","",""
2017-04-06T13:30:00-06:00 Denver,"","","","",66.14600372314453°F,24.469999313354492%,"","","",""
2017-04-06T13:35:00-06:00 Denver,"","","","",66.9020004272461°F,23.829999923706055%,"","","",""
2017-04-06T13:40:00-06:00 Denver,"","","","",66.37999725341797°F,23.5%,"","","",""
2017-04-06T13:45:00-06:00 Denver,"","","","",68.28800201416016°F,21.770000457763672%,"","","",""
2017-04-06T13:50:00-06:00 Denver,"","","","",68.43199920654297°F,21.899999618530273%,"","","",""
2017-04-06T13:55:00-06:00 Denver,"","","","",68.0719985961914°F,21.979999542236328%,"","","",""
2017-04-06T14:00:00-06:00 Denver,"",32%,1,61°F,69.08000183105469°F,21.18000030517578%,62°F,1_unknown,"",31%
2017-04-06T14:05:00-06:00 Denver,"","","","",69.72799682617188°F,21.239999771118164%,"","","",""
2017-04-06T14:10:00-06:00 Denver,"","","","",70.19599914550781°F,21.43000030517578%,"","","",""
2017-04-06T14:15:00-06:00 Denver,"","","","",68.9000015258789°F,21.229999542236328%,"","","",""
2017-04-06T14:20:00-06:00 Denver,"","","","",68.62999725341797°F,21.270000457763672%,"","","",""
2017-04-06T14:25:00-06:00 Denver,"","","","",70.59200286865234°F,18.270000457763672%,"","","",""
2017-04-06T14:30:00-06:00 Denver,"","","","",72.03199768066406°F,18.079999923706055%,"","","",""
2017-04-06T14:35:00-06:00 Denver,"","","","",71.6719970703125°F,18.68000030517578%,"","","",""
2017-04-06T14:40:00-06:00 Denver,"","","","",72.10399627685547°F,16.850000381469727%,"","","",""
2017-04-06T14:45:00-06:00 Denver,"","","","",71.51000213623047°F,16.110000610351562%,"","","",""
2017-04-06T14:50:00-06:00 Denver,"","","","",71.25800323486328°F,15.850000381469727%,"","","",""
2017-04-06T14:55:00-06:00 Denver,"","","","",71.5459976196289°F,15.359999656677246%,"","","",""
2017-04-06T15:00:00-06:00 Denver,"",29%,1,63°F,72.28399658203125°F,15.5%,63°F,1_unknown,"",30%
2017-04-06T15:05:00-06:00 Denver,"","","","",71.36599731445312°F,16.68000030517578%,"","","",""
2017-04-06T15:10:00-06:00 Denver,"","","","",70.55599975585938°F,16.200000762939453%,"","","",""
2017-04-06T15:15:00-06:00 Denver,"","","","",71.1500015258789°F,15.319999694824219%,"","","",""
2017-04-06T15:20:00-06:00 Denver,"","","","",72.75199890136719°F,15.109999656677246%,"","","",""
2017-04-06T15:25:00-06:00 Denver,"","","","",73.25599670410156°F,15.539999961853027%,"","","",""
2017-04-06T15:30:00-06:00 Denver,"","","","",72.87799835205078°F,15.359999656677246%,"","","",""
2017-04-06T15:35:00-06:00 Denver,"","","","",71.5999984741211°F,16.170000076293945%,"","","",""
2017-04-06T15:40:00-06:00 Denver,"","","","",71.97799682617188°F,15.640000343322754%,"","","",""
2017-04-06T15:45:00-06:00 Denver,"","","","",72.80599975585938°F,15.789999961853027%,"","","",""
2017-04-06T15:50:00-06:00 Denver,"","","","",72.78800201416016°F,15.710000038146973%,"","","",""
2017-04-06T15:55:00-06:00 Denver,"","","","",72.94999694824219°F,16.260000228881836%,"","","",""
2017-04-06T16:00:00-06:00 Denver,"",29%,1,61°F,73.56199645996094°F,15.0600004196167%,61°F,1_unknown,"",28%
2017-04-06T16:05:00-06:00 Denver,"","","","",72.24800109863281°F,16.3700008392334%,"","","",""
2017-04-06T16:10:00-06:00 Denver,"","","","",70.50199890136719°F,16.81999969482422%,"","","",""
2017-04-06T16:15:00-06:00 Denver,"","","","",69.9260025024414°F,16.950000762939453%,"","","",""
2017-04-06T16:20:00-06:00 Denver,"","","","",70.59200286865234°F,16.790000915527344%,"","","",""
2017-04-06T16:25:00-06:00 Denver,"","","","",71.90599822998047°F,17.1200008392334%,"","","",""
2017-04-06T16:30:00-06:00 Denver,"","","","",73.00399780273438°F,16.350000381469727%,"","","",""
2017-04-06T16:35:00-06:00 Denver,"","","","",73.56199645996094°F,15.680000305175781%,"","","",""
2017-04-06T16:40:00-06:00 Denver,"","","","",73.47200012207031°F,16.979999542236328%,"","","",""
2017-04-06T16:45:00-06:00 Denver,"","","","",71.70800018310547°F,17.270000457763672%,"","","",""
2017-04-06T16:50:00-06:00 Denver,"","","","",71.16799926757812°F,17.270000457763672%,"","","",""
2017-04-06T16:55:00-06:00 Denver,"","","","",70.97000122070312°F,18.479999542236328%,"","","",""
2017-04-06T17:00:00-06:00 Denver,"",29%,2,59°F,"","",58°F,2_unknown,"",27%
2017-04-06T17:05:00-06:00 Denver,"","","","",70.28600311279297°F,18.350000381469727%,"","","",""
2017-04-06T17:10:00-06:00 Denver,"","","","",69.9260025024414°F,18.1299991607666%,"","","",""
2017-04-06T17:15:00-06:00 Denver,"","","","",69.74600219726562°F,18.260000228881836%,"","","",""
2017-04-06T17:20:00-06:00 Denver,"","","","",69.74600219726562°F,18.81999969482422%,"","","",""
2017-04-06T17:25:00-06:00 Denver,"","","","",69.49400329589844°F,19.020000457763672%,"","","",""
2017-04-06T17:30:00-06:00 Denver,"","","","",69.24199676513672°F,18.600000381469727%,"","","",""
2017-04-06T17:35:00-06:00 Denver,"","","","",69.18800354003906°F,19.700000762939453%,"","","",""
2017-04-06T17:40:00-06:00 Denver,"","","","",69.36799621582031°F,19.700000762939453%,"","","",""
2017-04-06T17:45:00-06:00 Denver,"","","","",69.47599792480469°F,20.079999923706055%,"","","",""
2017-04-06T17:50:00-06:00 Denver,"","","","",69.51200103759766°F,19.780000686645508%,"","","",""
2017-04-06T17:55:00-06:00 Denver,"","","","",69.36799621582031°F,20.110000610351562%,"","","",""
2017-04-06T18:00:00-06:00 Denver,"",29%,2,58°F,69.13400268554688°F,19.6200008392334%,56°F,2_unknown,"",25%
2017-04-06T18:05:00-06:00 Denver,"","","","",68.93599700927734°F,19.959999084472656%,"","","",""
2017-04-06T18:10:00-06:00 Denver,"","","","",68.84600067138672°F,19.989999771118164%,"","","",""
2017-04-06T18:15:00-06:00 Denver,"","","","",68.77400207519531°F,19.75%,"","","",""
2017-04-06T18:20:00-06:00 Denver,"","","","",68.75599670410156°F,19.690000534057617%,"","","",""
2017-04-06T18:25:00-06:00 Denver,"","","","",68.66600036621094°F,20.09000015258789%,"","","",""
2017-04-06T18:30:00-06:00 Denver,"","","","",68.44999694824219°F,20.6299991607666%,"","","",""
2017-04-06T18:35:00-06:00 Denver,"","","","",68.3239974975586°F,20.350000381469727%,"","","",""
2017-04-06T18:40:00-06:00 Denver,"","","","",68.14399719238281°F,20.690000534057617%,"","","",""
2017-04-06T18:45:00-06:00 Denver,"","","","",68.14399719238281°F,19.8700008392334%,"","","",""
2017-04-06T18:50:00-06:00 Denver,"","","","",68.0719985961914°F,20.209999084472656%,"","","",""
2017-04-06T18:55:00-06:00 Denver,"","","","",67.8740005493164°F,20.40999984741211%,"","","",""
2017-04-06T19:00:00-06:00 Denver,"",32%,2,57°F,67.8740005493164°F,20.610000610351562%,52°F,2_unknown,"",29%
2017-04-06T19:05:00-06:00 Denver,"","","","",67.74800109863281°F,20.809999465942383%,"","","",""
2017-04-06T19:10:00-06:00 Denver,"","","","",67.56800079345703°F,21.350000381469727%,"","","",""
2017-04-06T19:15:00-06:00 Denver,"","","","",67.44200134277344°F,21.280000686645508%,"","","",""
2017-04-06T19:20:00-06:00 Denver,"","","","",67.2979965209961°F,21.649999618530273%,"","","",""
2017-04-06T19:25:00-06:00 Denver,"","","","",67.15399932861328°F,21.81999969482422%,"","","",""
2017-04-06T19:30:00-06:00 Denver,"","","","",67.11799621582031°F,22.020000457763672%,"","","",""
2017-04-06T19:35:00-06:00 Denver,"","","","",67.11799621582031°F,21.81999969482422%,"","","",""
2017-04-06T19:40:00-06:00 Denver,"","","","",67.08200073242188°F,22.31999969482422%,"","","",""
2017-04-06T19:45:00-06:00 Denver,"","","","",66.83000183105469°F,22.350000381469727%,"","","",""
2017-04-06T19:50:00-06:00 Denver,"","","","",66.73999786376953°F,22.850000381469727%,"","","",""
2017-04-06T19:55:00-06:00 Denver,"","","","",66.5780029296875°F,23.09000015258789%,"","","",""
2017-04-06T19:58:00-06:00 Denver,"","","","","","","","",false,""
2017-04-06T19:59:00-06:00 Denver,false,"","","","","","","","",""
2017-04-06T20:00:00-06:00 Denver,"",35%,2,56°F,66.50599670410156°F,23.520000457763672%,49°F,2_unknown,"",32%
2017-04-06T20:05:00-06:00 Denver,"","","","",66.18199920654297°F,23.75%,"","","",""
2017-04-06T20:10:00-06:00 Denver,"","","","",65.89399719238281°F,24.139999389648438%,"","","",""
2017-04-06T20:15:00-06:00 Denver,"","","","",65.6780014038086°F,24.34000015258789%,"","","",""
2017-04-06T20:20:00-06:00 Denver,"","","","",65.56999969482422°F,24.34000015258789%,"","","",""
2017-04-06T20:25:00-06:00 Denver,"","","","",65.58799743652344°F,24.709999084472656%,"","","",""
2017-04-06T20:30:00-06:00 Denver,"","","","",65.552001953125°F,24.610000610351562%,"","","",""
2017-04-06T20:35:00-06:00 Denver,"","","","",65.78600311279297°F,24.989999771118164%,"","","",""
2017-04-06T20:40:00-06:00 Denver,"","","","",65.71399688720703°F,25.6200008392334%,"","","",""
2017-04-06T20:45:00-06:00 Denver,"","","","",65.69599914550781°F,25.020000457763672%,"","","",""
2017-04-06T20:50:00-06:00 Denver,"","","","",65.73200225830078°F,25.290000915527344%,"","","",""
2017-04-06T20:55:00-06:00 Denver,"","","","",65.73200225830078°F,25.420000076293945%,"","","",""
2017-04-06T21:00:00-06:00 Denver,"",38%,2,56°F,65.6240005493164°F,25.079999923706055%,45°F,2_unknown,"",36%
2017-04-06T21:05:00-06:00 Denver,"","","","",65.71399688720703°F,24.780000686645508%,"","","",""
2017-04-06T21:10:00-06:00 Denver,"","","","",65.71399688720703°F,25.010000228881836%,"","","",""
2017-04-06T21:15:00-06:00 Denver,"","","","",65.76799774169922°F,23.90999984741211%,"","","",""
2017-04-06T21:20:00-06:00 Denver,"","","","",65.80400085449219°F,23.809999465942383%,"","","",""
2017-04-06T21:25:00-06:00 Denver,"","","","",65.947998046875°F,23.399999618530273%,"","","",""
2017-04-06T21:30:00-06:00 Denver,"","","","",66.00199890136719°F,23.34000015258789%,"","","",""
2017-04-06T21:35:00-06:00 Denver,"","","","",65.93000030517578°F,22.799999237060547%,"","","",""
2017-04-06T21:40:00-06:00 Denver,"","","","",66.05599975585938°F,22.459999084472656%,"","","",""
2017-04-06T21:45:00-06:00 Denver,"","","","",65.8759994506836°F,22.790000915527344%,"","","",""
2017-04-06T21:50:00-06:00 Denver,"","","","",65.64199829101562°F,23.389999389648438%,"","","",""
2017-04-06T21:55:00-06:00 Denver,"","","","",65.44400024414062°F,23.25%,"","","",""
2017-04-06T22:00:00-06:00 Denver,"",39%,2,55°F,65.37200164794922°F,23.510000228881836%,50°F,2_unknown,"",37%
2017-04-06T22:05:00-06:00 Denver,"","","","",65.24600219726562°F,23.450000762939453%,"","","",""
2017-04-06T22:10:00-06:00 Denver,"","","","",65.15599822998047°F,23.84000015258789%,"","","",""
2017-04-06T22:15:00-06:00 Denver,"","","","",64.8499984741211°F,24.84000015258789%,"","","",""
2017-04-06T22:20:00-06:00 Denver,"","","","",64.61599731445312°F,25.440000534057617%,"","","",""
2017-04-06T22:25:00-06:00 Denver,"","","","",64.4540023803711°F,25.739999771118164%,"","","",""
2017-04-06T22:30:00-06:00 Denver,"","","","",64.23799896240234°F,26.299999237060547%,"","","",""
2017-04-06T22:35:00-06:00 Denver,"","","","",64.00399780273438°F,26.829999923706055%,"","","",""
2017-04-06T22:40:00-06:00 Denver,"","","","",63.82400131225586°F,26.760000228881836%,"","","",""
2017-04-06T22:45:00-06:00 Denver,"","","","",63.82400131225586°F,26.420000076293945%,"","","",""
2017-04-06T22:50:00-06:00 Denver,"","","","",63.805999755859375°F,27.010000228881836%,"","","",""
