Timestamp,"['1e689184-f3e1c64d 0004-KINGSBURY HALL Power Meter 1 (301210) Watts, 3-Ph total']"
2017-04-26T00:00:00-06:00,166.55905151367188 kW
2017-04-27T00:00:00-06:00,215.559814453125 kW
2017-04-28T00:00:00-06:00,204.2131805419922 kW
2017-04-29T00:00:00-06:00,219.54110717773438 kW
2017-04-30T00:00:00-06:00,190.9592742919922 kW
2017-05-01T00:00:00-06:00,208.34837341308594 kW
2017-05-02T00:00:00-06:00,358.4788818359375 kW
2017-05-03T00:00:00-06:00,357.1280212402344 kW
2017-05-04T00:00:00-06:00,384.00408935546875 kW
2017-05-05T00:00:00-06:00,412.5811767578125 kW
2017-05-06T00:00:00-06:00,405.55096435546875 kW
2017-05-07T00:00:00-06:00,375.3013916015625 kW
2017-05-08T00:00:00-06:00,445.5733642578125 kW
2017-05-09T00:00:00-06:00,421.1713562011719 kW
2017-05-10T00:00:00-06:00,498.750732421875 kW
2017-05-11T00:00:00-06:00,407.1980895996094 kW
2017-05-12T00:00:00-06:00,412.1505126953125 kW
2017-05-13T00:00:00-06:00,219.0156707763672 kW
2017-05-14T00:00:00-06:00,367.7330627441406 kW
2017-05-15T00:00:00-06:00,432.5518798828125 kW
2017-05-16T00:00:00-06:00,225.4886474609375 kW
2017-05-17T00:00:00-06:00,219.1757354736328 kW
2017-05-18T00:00:00-06:00,198.7895050048828 kW
2017-05-19T00:00:00-06:00,201.88694763183594 kW
2017-05-20T00:00:00-06:00,379.8987121582031 kW
2017-05-21T00:00:00-06:00,464.6999206542969 kW
2017-05-22T00:00:00-06:00,401.3789367675781 kW
2017-05-23T00:00:00-06:00,542.9058227539062 kW
2017-05-24T00:00:00-06:00,393.4736633300781 kW
2017-05-25T00:00:00-06:00,465.71136474609375 kW
2017-05-26T00:00:00-06:00,363.4783020019531 kW
2017-05-27T00:00:00-06:00,392.0950622558594 kW
2017-05-28T00:00:00-06:00,419.0016784667969 kW
2017-05-29T00:00:00-06:00,376.541748046875 kW
2017-05-30T00:00:00-06:00,399.88226318359375 kW
2017-05-31T00:00:00-06:00,405.2187194824219 kW
2017-06-01T00:00:00-06:00,405.4353332519531 kW
2017-06-02T00:00:00-06:00,405.3014831542969 kW
2017-06-03T00:00:00-06:00,374.2657165527344 kW
2017-06-04T00:00:00-06:00,348.4862060546875 kW
2017-06-05T00:00:00-06:00,408.55645751953125 kW
2017-06-06T00:00:00-06:00,407.9412536621094 kW
2017-06-07T00:00:00-06:00,385.9153137207031 kW
2017-06-08T00:00:00-06:00,402.076904296875 kW
2017-06-09T00:00:00-06:00,402.376220703125 kW
2017-06-10T00:00:00-06:00,403.93255615234375 kW
2017-06-11T00:00:00-06:00,415.8247985839844 kW
2017-06-12T00:00:00-06:00,437.3236083984375 kW
2017-06-13T00:00:00-06:00,392.8422546386719 kW
2017-06-14T00:00:00-06:00,292.9391784667969 kW
2017-06-15T00:00:00-06:00,328.7143859863281 kW
2017-06-16T00:00:00-06:00,321.43731689453125 kW
2017-06-17T00:00:00-06:00,322.5231628417969 kW
2017-06-18T00:00:00-06:00,311.439208984375 kW
2017-06-19T00:00:00-06:00,439.8528747558594 kW
2017-06-20T00:00:00-06:00,412.76849365234375 kW
2017-06-21T00:00:00-06:00,430.07037353515625 kW
2017-06-22T00:00:00-06:00,402.78985595703125 kW
2017-06-23T00:00:00-06:00,429.07940673828125 kW
2017-06-24T00:00:00-06:00,383.46942138671875 kW
2017-06-25T00:00:00-06:00,376.3525695800781 kW
2017-06-26T00:00:00-06:00,391.5036315917969 kW
2017-06-27T00:00:00-06:00,392.6581726074219 kW
2017-06-28T00:00:00-06:00,380.8890686035156 kW
2017-06-29T00:00:00-06:00,398.03485107421875 kW
2017-06-30T00:00:00-06:00,443.5155029296875 kW
2017-07-01T00:00:00-06:00,409.4620666503906 kW
2017-07-02T00:00:00-06:00,400.1194152832031 kW
2017-07-03T00:00:00-06:00,391.583251953125 kW
2017-07-04T00:00:00-06:00,393.92059326171875 kW
2017-07-05T00:00:00-06:00,429.323974609375 kW
2017-07-06T00:00:00-06:00,411.3311462402344 kW
2017-07-07T00:00:00-06:00,448.7695617675781 kW
2017-07-08T00:00:00-06:00,413.64190673828125 kW
2017-07-09T00:00:00-06:00,410.2611999511719 kW
2017-07-10T00:00:00-06:00,427.3809814453125 kW
2017-07-11T00:00:00-06:00,399.9397888183594 kW
2017-07-12T00:00:00-06:00,434.3785400390625 kW
2017-07-13T00:00:00-06:00,383.7154235839844 kW
2017-07-14T00:00:00-06:00,435.471923828125 kW
2017-07-15T00:00:00-06:00,424.65692138671875 kW
2017-07-16T00:00:00-06:00,395.1700744628906 kW
2017-07-17T00:00:00-06:00,391.49908447265625 kW
2017-07-18T00:00:00-06:00,394.8724060058594 kW
2017-07-19T00:00:00-06:00,415.0452575683594 kW
2017-07-20T00:00:00-06:00,426.2249450683594 kW
2017-07-21T00:00:00-06:00,374.8439025878906 kW
2017-07-22T00:00:00-06:00,409.7078857421875 kW
2017-07-23T00:00:00-06:00,413.6720886230469 kW
2017-07-24T00:00:00-06:00,389.37255859375 kW
2017-07-25T00:00:00-06:00,390.85418701171875 kW
2017-07-26T00:00:00-06:00,390.5954895019531 kW
2017-07-27T00:00:00-06:00,410.6314392089844 kW
2017-07-28T00:00:00-06:00,375.77728271484375 kW
2017-07-29T00:00:00-06:00,385.4339294433594 kW
2017-07-30T00:00:00-06:00,362.0325927734375 kW
2017-07-31T00:00:00-06:00,397.79541015625 kW
2017-08-01T00:00:00-06:00,391.14691162109375 kW
2017-08-02T00:00:00-06:00,373.6875305175781 kW
2017-08-03T00:00:00-06:00,409.219482421875 kW
2017-08-04T00:00:00-06:00,405.70819091796875 kW
2017-08-05T00:00:00-06:00,389.5299987792969 kW
2017-08-06T00:00:00-06:00,346.64874267578125 kW
2017-08-07T00:00:00-06:00,379.5833740234375 kW
2017-08-08T00:00:00-06:00,368.6997985839844 kW
2017-08-09T00:00:00-06:00,391.34454345703125 kW
2017-08-10T00:00:00-06:00,417.9135437011719 kW
2017-08-11T00:00:00-06:00,390.2119140625 kW
2017-08-12T00:00:00-06:00,458.68597412109375 kW
2017-08-13T00:00:00-06:00,380.9288635253906 kW
2017-08-14T00:00:00-06:00,389.1033020019531 kW
2017-08-15T00:00:00-06:00,364.1815185546875 kW
2017-08-16T00:00:00-06:00,376.3956298828125 kW
2017-08-17T00:00:00-06:00,390.7356872558594 kW
2017-08-18T00:00:00-06:00,386.8188171386719 kW
2017-08-19T00:00:00-06:00,412.89794921875 kW
2017-08-20T00:00:00-06:00,389.6798095703125 kW
2017-08-21T00:00:00-06:00,405.0054626464844 kW
2017-08-22T00:00:00-06:00,385.7149658203125 kW
2017-08-23T00:00:00-06:00,420.2322998046875 kW
2017-08-24T00:00:00-06:00,400.7271423339844 kW
2017-08-25T00:00:00-06:00,395.6671142578125 kW
2017-08-26T00:00:00-06:00,392.8252258300781 kW
2017-08-27T00:00:00-06:00,402.56512451171875 kW
2017-08-28T00:00:00-06:00,392.8072814941406 kW
2017-08-29T00:00:00-06:00,390.0476379394531 kW
2017-08-30T00:00:00-06:00,411.2787170410156 kW
2017-08-31T00:00:00-06:00,422.27850341796875 kW
2017-09-01T00:00:00-06:00,423.46710205078125 kW
2017-09-02T00:00:00-06:00,402.6210632324219 kW
2017-09-03T00:00:00-06:00,390.1491394042969 kW
2017-09-04T00:00:00-06:00,391.50360107421875 kW
2017-09-05T00:00:00-06:00,387.0301818847656 kW
2017-09-06T00:00:00-06:00,395.0458679199219 kW
2017-09-07T00:00:00-06:00,419.25201416015625 kW
2017-09-08T00:00:00-06:00,422.2376708984375 kW
2017-09-09T00:00:00-06:00,405.5478210449219 kW
2017-09-10T00:00:00-06:00,404.3524169921875 kW
2017-09-11T00:00:00-06:00,432.40057373046875 kW
2017-09-12T00:00:00-06:00,444.30865478515625 kW
2017-09-13T00:00:00-06:00,454.54180908203125 kW
2017-09-14T00:00:00-06:00,378.1380920410156 kW
2017-09-15T00:00:00-06:00,375.4069519042969 kW
2017-09-16T00:00:00-06:00,378.5827331542969 kW
2017-09-17T00:00:00-06:00,326.32977294921875 kW
2017-09-18T00:00:00-06:00,396.5441589355469 kW
2017-09-19T00:00:00-06:00,378.8874206542969 kW
2017-09-20T00:00:00-06:00,345.93035888671875 kW
2017-09-21T00:00:00-06:00,347.41802978515625 kW
2017-09-22T00:00:00-06:00,195.98690795898438 kW
2017-09-23T00:00:00-06:00,189.80587768554688 kW
2017-09-24T00:00:00-06:00,177.8451385498047 kW
