Timestamp,"['1eb2a10a-281d787f 0074-BUSINESS CLASSROOM BLDG Power Meter (208V) W-hours, Received']"
2017-05-02T00:00:00-06:00,89.7734375 kWh
2017-05-03T00:00:00-06:00,89.8671875 kWh
2017-05-04T00:00:00-06:00,90.5234375 kWh
2017-05-05T00:00:00-06:00,86.1640625 kWh
2017-05-06T00:00:00-06:00,81.359375 kWh
2017-05-07T00:00:00-06:00,80.1171875 kWh
2017-05-08T00:00:00-06:00,84.515625 kWh
2017-05-09T00:00:00-06:00,84.8671875 kWh
2017-05-10T00:00:00-06:00,86.359375 kWh
2017-05-11T00:00:00-06:00,85.6875 kWh
2017-05-12T00:00:00-06:00,81.5234375 kWh
2017-05-13T00:00:00-06:00,72.9921875 kWh
2017-05-14T00:00:00-06:00,72.296875 kWh
2017-05-15T00:00:00-06:00,81.171875 kWh
2017-05-16T00:00:00-06:00,79.6875 kWh
2017-05-17T00:00:00-06:00,82.25 kWh
2017-05-18T00:00:00-06:00,82.5078125 kWh
2017-05-19T00:00:00-06:00,84.140625 kWh
2017-05-20T00:00:00-06:00,76.359375 kWh
2017-05-21T00:00:00-06:00,76.7265625 kWh
2017-05-22T00:00:00-06:00,86.125 kWh
2017-05-23T00:00:00-06:00,86.7890625 kWh
2017-05-24T00:00:00-06:00,86.765625 kWh
2017-05-25T00:00:00-06:00,84.125 kWh
2017-05-26T00:00:00-06:00,77.921875 kWh
2017-05-27T00:00:00-06:00,68.9609375 kWh
2017-05-28T00:00:00-06:00,69.0390625 kWh
2017-05-29T00:00:00-06:00,69.703125 kWh
2017-05-30T00:00:00-06:00,81.46875 kWh
2017-05-31T00:00:00-06:00,85.125 kWh
2017-06-01T00:00:00-06:00,86.7421875 kWh
2017-06-02T00:00:00-06:00,84.421875 kWh
2017-06-03T00:00:00-06:00,74.8359375 kWh
2017-06-04T00:00:00-06:00,74.9765625 kWh
2017-06-05T00:00:00-06:00,90.0625 kWh
2017-06-06T00:00:00-06:00,88.7421875 kWh
2017-06-07T00:00:00-06:00,87.78125 kWh
2017-06-08T00:00:00-06:00,88.2734375 kWh
2017-06-09T00:00:00-06:00,82.859375 kWh
2017-06-10T00:00:00-06:00,71.1875 kWh
2017-06-11T00:00:00-06:00,70.9375 kWh
2017-06-12T00:00:00-06:00,81.71875 kWh
2017-06-13T00:00:00-06:00,83.3515625 kWh
2017-06-14T00:00:00-06:00,85.5390625 kWh
2017-06-15T00:00:00-06:00,85.6640625 kWh
2017-06-16T00:00:00-06:00,80.2421875 kWh
2017-06-17T00:00:00-06:00,70.84375 kWh
2017-06-18T00:00:00-06:00,71.1953125 kWh
2017-06-19T00:00:00-06:00,83.78125 kWh
2017-06-20T00:00:00-06:00,84.859375 kWh
2017-06-21T00:00:00-06:00,81.265625 kWh
2017-06-22T00:00:00-06:00,84.7421875 kWh
2017-06-23T00:00:00-06:00,81.890625 kWh
2017-06-24T00:00:00-06:00,73.71875 kWh
2017-06-25T00:00:00-06:00,73.640625 kWh
2017-06-26T00:00:00-06:00,86.546875 kWh
2017-06-27T00:00:00-06:00,84.65625 kWh
2017-06-28T00:00:00-06:00,86.40625 kWh
2017-06-29T00:00:00-06:00,88.5078125 kWh
2017-06-30T00:00:00-06:00,86.8203125 kWh
2017-07-01T00:00:00-06:00,78.1796875 kWh
2017-07-02T00:00:00-06:00,78.6640625 kWh
2017-07-03T00:00:00-06:00,85.3203125 kWh
2017-07-04T00:00:00-06:00,76.578125 kWh
2017-07-05T00:00:00-06:00,89.2578125 kWh
2017-07-06T00:00:00-06:00,89.6328125 kWh
2017-07-07T00:00:00-06:00,92.1484375 kWh
2017-07-08T00:00:00-06:00,81.171875 kWh
2017-07-09T00:00:00-06:00,80.96875 kWh
2017-07-10T00:00:00-06:00,92.4375 kWh
2017-07-11T00:00:00-06:00,93.90625 kWh
2017-07-12T00:00:00-06:00,91.5546875 kWh
2017-07-13T00:00:00-06:00,91.53125 kWh
2017-07-14T00:00:00-06:00,91.8203125 kWh
2017-07-15T00:00:00-06:00,81.6875 kWh
2017-07-16T00:00:00-06:00,83.3125 kWh
2017-07-17T00:00:00-06:00,94.109375 kWh
2017-07-18T00:00:00-06:00,94.921875 kWh
2017-07-19T00:00:00-06:00,90.5078125 kWh
2017-07-20T00:00:00-06:00,91.703125 kWh
2017-07-21T00:00:00-06:00,87.984375 kWh
2017-07-22T00:00:00-06:00,76.15625 kWh
2017-07-23T00:00:00-06:00,76.4453125 kWh
2017-07-24T00:00:00-06:00,77.2890625 kWh
2017-07-25T00:00:00-06:00,89.4921875 kWh
2017-07-26T00:00:00-06:00,92.2109375 kWh
2017-07-27T00:00:00-06:00,91.8671875 kWh
2017-07-28T00:00:00-06:00,87.3203125 kWh
2017-07-29T00:00:00-06:00,78.9609375 kWh
2017-07-30T00:00:00-06:00,79.8984375 kWh
2017-07-31T00:00:00-06:00,89.6953125 kWh
2017-08-01T00:00:00-06:00,93.0546875 kWh
2017-08-02T00:00:00-06:00,89.3125 kWh
2017-08-03T00:00:00-06:00,86.9140625 kWh
2017-08-04T00:00:00-06:00,84.125 kWh
2017-08-05T00:00:00-06:00,73.2890625 kWh
2017-08-06T00:00:00-06:00,72.953125 kWh
2017-08-07T00:00:00-06:00,83.640625 kWh
2017-08-08T00:00:00-06:00,87.109375 kWh
2017-08-09T00:00:00-06:00,91.609375 kWh
2017-08-10T00:00:00-06:00,89.390625 kWh
2017-08-11T00:00:00-06:00,85.609375 kWh
2017-08-12T00:00:00-06:00,77.890625 kWh
2017-08-13T00:00:00-06:00,76.28125 kWh
2017-08-14T00:00:00-06:00,88.3359375 kWh
2017-08-15T00:00:00-06:00,87.3984375 kWh
2017-08-16T00:00:00-06:00,90.6640625 kWh
2017-08-17T00:00:00-06:00,89.515625 kWh
2017-08-18T00:00:00-06:00,88.5234375 kWh
2017-08-19T00:00:00-06:00,78.203125 kWh
2017-08-20T00:00:00-06:00,75.9140625 kWh
2017-08-21T00:00:00-06:00,90.84375 kWh
2017-08-22T00:00:00-06:00,91.4296875 kWh
2017-08-23T00:00:00-06:00,95.2265625 kWh
2017-08-24T00:00:00-06:00,92.9765625 kWh
2017-08-25T00:00:00-06:00,89.9296875 kWh
2017-08-26T00:00:00-06:00,77.140625 kWh
2017-08-27T00:00:00-06:00,76.9296875 kWh
2017-08-28T00:00:00-06:00,91.5 kWh
2017-08-29T00:00:00-06:00,88.1796875 kWh
2017-08-30T00:00:00-06:00,93.859375 kWh
2017-08-31T00:00:00-06:00,89.234375 kWh
2017-09-01T00:00:00-06:00,85.1640625 kWh
2017-09-02T00:00:00-06:00,77.46875 kWh
2017-09-03T00:00:00-06:00,76.7265625 kWh
2017-09-04T00:00:00-06:00,77.7265625 kWh
2017-09-05T00:00:00-06:00,92.0078125 kWh
2017-09-06T00:00:00-06:00,91.25 kWh
2017-09-07T00:00:00-06:00,91.6015625 kWh
2017-09-08T00:00:00-06:00,86.6796875 kWh
2017-09-09T00:00:00-06:00,74.328125 kWh
2017-09-10T00:00:00-06:00,73.53125 kWh
2017-09-11T00:00:00-06:00,85.8984375 kWh
2017-09-12T00:00:00-06:00,90.1875 kWh
2017-09-13T00:00:00-06:00,89.5546875 kWh
2017-09-14T00:00:00-06:00,89.5859375 kWh
2017-09-15T00:00:00-06:00,82.7421875 kWh
2017-09-16T00:00:00-06:00,75.3125 kWh
2017-09-17T00:00:00-06:00,74.9609375 kWh
2017-09-18T00:00:00-06:00,86.4375 kWh
2017-09-19T00:00:00-06:00,89.75 kWh
