Timestamp,['1e8432ce-6ad141f3 0110-ECCLES STUDENT LIFE CNTR Power Meter (HLM2) Real power']
2017-03-16T00:00:00-06:00,19.066028594970703 kW
2017-03-17T00:00:00-06:00,18.98238182067871 kW
2017-03-18T00:00:00-06:00,20.347129821777344 kW
2017-03-19T00:00:00-06:00,19.173748016357422 kW
2017-03-20T00:00:00-06:00,19.288005828857422 kW
2017-03-21T00:00:00-06:00,20.309202194213867 kW
2017-03-22T00:00:00-06:00,19.204553604125977 kW
2017-03-23T00:00:00-06:00,19.754528045654297 kW
2017-03-24T00:00:00-06:00,19.62755584716797 kW
2017-03-25T00:00:00-06:00,18.69953155517578 kW
2017-03-26T00:00:00-06:00,19.52328872680664 kW
2017-03-27T00:00:00-06:00,18.57749366760254 kW
2017-03-28T00:00:00-06:00,20.845928192138672 kW
2017-03-29T00:00:00-06:00,17.45610237121582 kW
2017-03-30T00:00:00-06:00,17.60909080505371 kW
2017-03-31T00:00:00-06:00,20.417917251586914 kW
2017-04-01T00:00:00-06:00,19.367332458496094 kW
2017-04-02T00:00:00-06:00,18.000995635986328 kW
2017-04-03T00:00:00-06:00,17.25751304626465 kW
2017-04-04T00:00:00-06:00,21.529733657836914 kW
2017-04-05T00:00:00-06:00,19.858898162841797 kW
2017-04-06T00:00:00-06:00,18.75322723388672 kW
2017-04-07T00:00:00-06:00,18.0133113861084 kW
2017-04-08T00:00:00-06:00,18.30447006225586 kW
2017-04-09T00:00:00-06:00,16.897096633911133 kW
2017-04-10T00:00:00-06:00,18.304271697998047 kW
2017-04-11T00:00:00-06:00,18.32785415649414 kW
2017-04-12T00:00:00-06:00,18.764774322509766 kW
2017-04-13T00:00:00-06:00,23.094388961791992 kW
2017-04-14T00:00:00-06:00,18.802087783813477 kW
2017-04-15T00:00:00-06:00,18.088703155517578 kW
2017-04-16T00:00:00-06:00,18.470760345458984 kW
2017-04-17T00:00:00-06:00,18.342893600463867 kW
2017-04-18T00:00:00-06:00,18.341331481933594 kW
2017-04-19T00:00:00-06:00,18.536108016967773 kW
2017-04-20T00:00:00-06:00,18.60862922668457 kW
2017-04-21T00:00:00-06:00,18.402599334716797 kW
2017-04-22T00:00:00-06:00,18.33916473388672 kW
2017-04-23T00:00:00-06:00,21.128549575805664 kW
2017-04-24T00:00:00-06:00,18.463130950927734 kW
2017-04-25T00:00:00-06:00,18.273542404174805 kW
2017-04-26T00:00:00-06:00,18.319591522216797 kW
2017-04-27T00:00:00-06:00,18.22429656982422 kW
2017-04-28T00:00:00-06:00,18.662254333496094 kW
2017-04-29T00:00:00-06:00,18.537927627563477 kW
2017-04-30T00:00:00-06:00,18.345928192138672 kW
2017-05-01T00:00:00-06:00,18.286510467529297 kW
2017-05-02T00:00:00-06:00,18.496673583984375 kW
2017-05-03T00:00:00-06:00,19.919322967529297 kW
2017-05-04T00:00:00-06:00,19.537826538085938 kW
2017-05-05T00:00:00-06:00,20.08521842956543 kW
2017-05-06T00:00:00-06:00,23.211822509765625 kW
2017-05-07T00:00:00-06:00,20.838306427001953 kW
2017-05-08T00:00:00-06:00,20.427379608154297 kW
2017-05-09T00:00:00-06:00,19.24363899230957 kW
2017-05-10T00:00:00-06:00,18.14145278930664 kW
2017-05-11T00:00:00-06:00,18.352439880371094 kW
2017-05-12T00:00:00-06:00,20.43173599243164 kW
2017-05-13T00:00:00-06:00,17.858366012573242 kW
2017-05-14T00:00:00-06:00,17.850950241088867 kW
2017-05-15T00:00:00-06:00,17.748001098632812 kW
2017-05-16T00:00:00-06:00,17.67923355102539 kW
2017-05-17T00:00:00-06:00,17.907238006591797 kW
2017-05-18T00:00:00-06:00,17.87087631225586 kW
2017-05-19T00:00:00-06:00,17.75990867614746 kW
2017-05-20T00:00:00-06:00,17.70915412902832 kW
2017-05-21T00:00:00-06:00,19.463516235351562 kW
2017-05-22T00:00:00-06:00,17.889894485473633 kW
2017-05-23T00:00:00-06:00,19.184314727783203 kW
2017-05-24T00:00:00-06:00,17.801891326904297 kW
2017-05-25T00:00:00-06:00,17.572383880615234 kW
2017-05-26T00:00:00-06:00,17.68976593017578 kW
2017-05-27T00:00:00-06:00,17.487686157226562 kW
2017-05-28T00:00:00-06:00,17.321643829345703 kW
2017-05-29T00:00:00-06:00,17.710792541503906 kW
2017-05-30T00:00:00-06:00,18.556903839111328 kW
2017-05-31T00:00:00-06:00,18.971006393432617 kW
2017-06-01T00:00:00-06:00,17.927860260009766 kW
2017-06-02T00:00:00-06:00,18.3431453704834 kW
2017-06-03T00:00:00-06:00,19.436195373535156 kW
2017-06-04T00:00:00-06:00,18.91299819946289 kW
2017-06-05T00:00:00-06:00,18.988916397094727 kW
2017-06-06T00:00:00-06:00,19.376161575317383 kW
2017-06-07T00:00:00-06:00,19.134883880615234 kW
2017-06-08T00:00:00-06:00,19.948707580566406 kW
2017-06-09T00:00:00-06:00,21.237110137939453 kW
2017-06-10T00:00:00-06:00,18.026994705200195 kW
2017-06-11T00:00:00-06:00,18.148929595947266 kW
2017-06-12T00:00:00-06:00,17.463232040405273 kW
2017-06-13T00:00:00-06:00,18.330394744873047 kW
2017-06-14T00:00:00-06:00,17.544326782226562 kW
2017-06-15T00:00:00-06:00,17.775102615356445 kW
2017-06-16T00:00:00-06:00,18.537578582763672 kW
2017-06-17T00:00:00-06:00,17.717334747314453 kW
2017-06-18T00:00:00-06:00,17.936355590820312 kW
2017-06-19T00:00:00-06:00,18.76577377319336 kW
2017-06-20T00:00:00-06:00,18.930889129638672 kW
