Timestamp,['1cdb9cb6-acafe61e 0086-MARRIOTT LIBRARY Power Meter 3 KW Total']
2017-06-19T00:00:00-06:00,56 kW
2017-06-20T00:00:00-06:00,63.099998474121094 kW
2017-06-21T00:00:00-06:00,70.5999984741211 kW
2017-06-22T00:00:00-06:00,66.0999984741211 kW
2017-06-23T00:00:00-06:00,56.70000076293945 kW
2017-06-24T00:00:00-06:00,50.70000076293945 kW
2017-06-25T00:00:00-06:00,48.79999923706055 kW
2017-06-26T00:00:00-06:00,55.79999923706055 kW
2017-06-27T00:00:00-06:00,56.29999923706055 kW
2017-06-28T00:00:00-06:00,67.0999984741211 kW
2017-06-29T00:00:00-06:00,55.70000076293945 kW
2017-06-30T00:00:00-06:00,52.599998474121094 kW
2017-07-01T00:00:00-06:00,54.29999923706055 kW
2017-07-02T00:00:00-06:00,49.5 kW
2017-07-03T00:00:00-06:00,55.400001525878906 kW
2017-07-04T00:00:00-06:00,47.900001525878906 kW
2017-07-05T00:00:00-06:00,56.5 kW
2017-07-06T00:00:00-06:00,61.70000076293945 kW
2017-07-07T00:00:00-06:00,63.29999923706055 kW
2017-07-08T00:00:00-06:00,51.20000076293945 kW
2017-07-09T00:00:00-06:00,49.29999923706055 kW
2017-07-10T00:00:00-06:00,64.69999694824219 kW
2017-07-11T00:00:00-06:00,56.599998474121094 kW
2017-07-12T00:00:00-06:00,58 kW
2017-07-13T00:00:00-06:00,60.5 kW
2017-07-14T00:00:00-06:00,58.79999923706055 kW
2017-07-15T00:00:00-06:00,52.5 kW
2017-07-16T00:00:00-06:00,49.400001525878906 kW
2017-07-17T00:00:00-06:00,56.70000076293945 kW
2017-07-18T00:00:00-06:00,62.20000076293945 kW
2017-07-19T00:00:00-06:00,61.400001525878906 kW
2017-07-20T00:00:00-06:00,56.79999923706055 kW
2017-07-21T00:00:00-06:00,56.20000076293945 kW
2017-07-22T00:00:00-06:00,51.70000076293945 kW
2017-07-23T00:00:00-06:00,50.099998474121094 kW
2017-07-24T00:00:00-06:00,50.599998474121094 kW
2017-07-25T00:00:00-06:00,64.0999984741211 kW
2017-07-26T00:00:00-06:00,63.400001525878906 kW
2017-07-27T00:00:00-06:00,61.599998474121094 kW
2017-07-28T00:00:00-06:00,60.20000076293945 kW
2017-07-29T00:00:00-06:00,51.70000076293945 kW
2017-07-30T00:00:00-06:00,50.599998474121094 kW
2017-07-31T00:00:00-06:00,61.599998474121094 kW
2017-08-01T00:00:00-06:00,60.29999923706055 kW
2017-08-02T00:00:00-06:00,61.400001525878906 kW
2017-08-03T00:00:00-06:00,57.29999923706055 kW
2017-08-04T00:00:00-06:00,56.29999923706055 kW
2017-08-05T00:00:00-06:00,52.5 kW
2017-08-06T00:00:00-06:00,49.400001525878906 kW
2017-08-07T00:00:00-06:00,55.400001525878906 kW
2017-08-08T00:00:00-06:00,58.70000076293945 kW
2017-08-09T00:00:00-06:00,62.400001525878906 kW
2017-08-10T00:00:00-06:00,54.5 kW
2017-08-11T00:00:00-06:00,55 kW
2017-08-12T00:00:00-06:00,52.599998474121094 kW
2017-08-13T00:00:00-06:00,50.900001525878906 kW
2017-08-14T00:00:00-06:00,58.29999923706055 kW
2017-08-15T00:00:00-06:00,60.5 kW
2017-08-16T00:00:00-06:00,61.400001525878906 kW
2017-08-17T00:00:00-06:00,65.0999984741211 kW
2017-08-18T00:00:00-06:00,62.5 kW
2017-08-19T00:00:00-06:00,54.400001525878906 kW
2017-08-20T00:00:00-06:00,49.099998474121094 kW
2017-08-21T00:00:00-06:00,67.19999694824219 kW
2017-08-22T00:00:00-06:00,70.5 kW
2017-08-23T00:00:00-06:00,76.30000305175781 kW
2017-08-24T00:00:00-06:00,69.19999694824219 kW
2017-08-25T00:00:00-06:00,64.80000305175781 kW
2017-08-26T00:00:00-06:00,52.70000076293945 kW
2017-08-27T00:00:00-06:00,52.400001525878906 kW
2017-08-28T00:00:00-06:00,65.5999984741211 kW
2017-08-29T00:00:00-06:00,65.80000305175781 kW
2017-08-30T00:00:00-06:00,66.0999984741211 kW
2017-08-31T00:00:00-06:00,64.5999984741211 kW
2017-09-01T00:00:00-06:00,63.900001525878906 kW
2017-09-02T00:00:00-06:00,51.599998474121094 kW
2017-09-03T00:00:00-06:00,51.79999923706055 kW
2017-09-04T00:00:00-06:00,48.29999923706055 kW
2017-09-05T00:00:00-06:00,65 kW
2017-09-06T00:00:00-06:00,69.80000305175781 kW
2017-09-07T00:00:00-06:00,65.5 kW
2017-09-08T00:00:00-06:00,61.79999923706055 kW
2017-09-09T00:00:00-06:00,52.400001525878906 kW
2017-09-10T00:00:00-06:00,53.5 kW
2017-09-11T00:00:00-06:00,72.19999694824219 kW
2017-09-12T00:00:00-06:00,71.80000305175781 kW
2017-09-13T00:00:00-06:00,75.30000305175781 kW
2017-09-14T00:00:00-06:00,70.0999984741211 kW
2017-09-15T00:00:00-06:00,67.0999984741211 kW
2017-09-16T00:00:00-06:00,53.70000076293945 kW
2017-09-17T00:00:00-06:00,52.70000076293945 kW
2017-09-18T00:00:00-06:00,69.4000015258789 kW
2017-09-19T00:00:00-06:00,69.5999984741211 kW
2017-09-20T00:00:00-06:00,65.9000015258789 kW
2017-09-21T00:00:00-06:00,70.5 kW
2017-09-22T00:00:00-06:00,65.5 kW
2017-09-23T00:00:00-06:00,51.900001525878906 kW
2017-09-24T00:00:00-06:00,53.099998474121094 kW
2017-09-25T00:00:00-06:00,64.19999694824219 kW
2017-09-26T00:00:00-06:00,76.30000305175781 kW
2017-09-27T00:00:00-06:00,76.69999694824219 kW
2017-09-28T00:00:00-06:00,72.5999984741211 kW
2017-09-29T00:00:00-06:00,70.5999984741211 kW
2017-09-30T00:00:00-06:00,52.099998474121094 kW
2017-10-01T00:00:00-06:00,54.099998474121094 kW
2017-10-02T00:00:00-06:00,69.0999984741211 kW
2017-10-03T00:00:00-06:00,62.70000076293945 kW
2017-10-04T00:00:00-06:00,62 kW
2017-10-05T00:00:00-06:00,63.400001525878906 kW
2017-10-06T00:00:00-06:00,59.5 kW
2017-10-07T00:00:00-06:00,51.29999923706055 kW
2017-10-08T00:00:00-06:00,48.20000076293945 kW
2017-10-09T00:00:00-06:00,65.5999984741211 kW
2017-10-10T00:00:00-06:00,57.900001525878906 kW
2017-10-11T00:00:00-06:00,55.5 kW
2017-10-12T00:00:00-06:00,59.400001525878906 kW
2017-10-13T00:00:00-06:00,52.5 kW
2017-10-14T00:00:00-06:00,51 kW
2017-10-15T00:00:00-06:00,51.29999923706055 kW
2017-10-16T00:00:00-06:00,71.5999984741211 kW
2017-10-17T00:00:00-06:00,78.69999694824219 kW
