Timestamp,['1cca7546-e1f685ca 0062-WARNOCK ENGR BLDG Power Meter 316607 Current A']
2017-05-06T00:00:00-06:00,459.6145833333333 A
2017-05-07T00:00:00-06:00,455.1041666666667 A
2017-05-08T00:00:00-06:00,454.6875 A
2017-05-09T00:00:00-06:00,461.7604166666667 A
2017-05-10T00:00:00-06:00,475.5104166666667 A
2017-05-11T00:00:00-06:00,469.8854166666667 A
2017-05-12T00:00:00-06:00,465.0625 A
2017-05-13T00:00:00-06:00,421.375 A
2017-05-14T00:00:00-06:00,427.03125 A
2017-05-15T00:00:00-06:00,458.6458333333333 A
2017-05-16T00:00:00-06:00,447.6145833333333 A
2017-05-17T00:00:00-06:00,392.0833333333333 A
2017-05-18T00:00:00-06:00,389.3020833333333 A
2017-05-19T00:00:00-06:00,394.6770833333333 A
2017-05-20T00:00:00-06:00,383.53125 A
2017-05-21T00:00:00-06:00,389.5625 A
2017-05-22T00:00:00-06:00,398.4479166666667 A
2017-05-23T00:00:00-06:00,404.5625 A
2017-05-24T00:00:00-06:00,439.28125 A
2017-05-25T00:00:00-06:00,431.6770833333333 A
2017-05-26T00:00:00-06:00,432.4895833333333 A
2017-05-27T00:00:00-06:00,407.1458333333333 A
2017-05-28T00:00:00-06:00,425.8333333333333 A
2017-05-29T00:00:00-06:00,438.6354166666667 A
2017-05-30T00:00:00-06:00,455.6458333333333 A
2017-05-31T00:00:00-06:00,449.3541666666667 A
2017-06-01T00:00:00-06:00,460.53125 A
2017-06-02T00:00:00-06:00,459.3645833333333 A
2017-06-03T00:00:00-06:00,458.25 A
2017-06-04T00:00:00-06:00,459.9166666666667 A
2017-06-05T00:00:00-06:00,467.3020833333333 A
2017-06-06T00:00:00-06:00,479.125 A
2017-06-07T00:00:00-06:00,479.3541666666667 A
2017-06-08T00:00:00-06:00,487.75 A
2017-06-09T00:00:00-06:00,490.7395833333333 A
2017-06-10T00:00:00-06:00,469.5473684210526 A
2017-06-11T00:00:00-06:00,475.0729166666667 A
2017-06-12T00:00:00-06:00,459.4166666666667 A
2017-06-13T00:00:00-06:00,459.6145833333333 A
2017-06-14T00:00:00-06:00,472.5416666666667 A
2017-06-15T00:00:00-06:00,476.7083333333333 A
2017-06-16T00:00:00-06:00,462.5104166666667 A
2017-06-17T00:00:00-06:00,432.03125 A
2017-06-18T00:00:00-06:00,425.0520833333333 A
2017-06-19T00:00:00-06:00,464.3854166666667 A
2017-06-20T00:00:00-06:00,486.75 A
2017-06-21T00:00:00-06:00,501.3854166666667 A
2017-06-22T00:00:00-06:00,480.71875 A
2017-06-23T00:00:00-06:00,454.8854166666667 A
2017-06-24T00:00:00-06:00,451.1145833333333 A
2017-06-25T00:00:00-06:00,455.0208333333333 A
2017-06-26T00:00:00-06:00,461.0520833333333 A
2017-06-27T00:00:00-06:00,481.8854166666667 A
2017-06-28T00:00:00-06:00,464.625 A
2017-06-29T00:00:00-06:00,461.625 A
2017-06-30T00:00:00-06:00,437.9375 A
2017-07-01T00:00:00-06:00,431.875 A
2017-07-02T00:00:00-06:00,439.1354166666667 A
2017-07-03T00:00:00-06:00,467.65625 A
2017-07-04T00:00:00-06:00,476.1354166666667 A
2017-07-05T00:00:00-06:00,487.59375 A
2017-07-06T00:00:00-06:00,491.8333333333333 A
2017-07-07T00:00:00-06:00,491.28125 A
2017-07-08T00:00:00-06:00,483.9375 A
2017-07-09T00:00:00-06:00,475.8541666666667 A
2017-07-10T00:00:00-06:00,490.5625 A
2017-07-11T00:00:00-06:00,499.8125 A
2017-07-12T00:00:00-06:00,468.3125 A
2017-07-13T00:00:00-06:00,466.8854166666667 A
2017-07-14T00:00:00-06:00,474.6770833333333 A
2017-07-15T00:00:00-06:00,466.65625 A
2017-07-16T00:00:00-06:00,461.28125 A
2017-07-17T00:00:00-06:00,476.3229166666667 A
2017-07-18T00:00:00-06:00,486.09375 A
2017-07-19T00:00:00-06:00,484.78125 A
2017-07-20T00:00:00-06:00,488 A
2017-07-21T00:00:00-06:00,485.4895833333333 A
2017-07-22T00:00:00-06:00,457.3645833333333 A
2017-07-23T00:00:00-06:00,454.8333333333333 A
2017-07-24T00:00:00-06:00,458.65625 A
2017-07-25T00:00:00-06:00,481.46875 A
2017-07-26T00:00:00-06:00,477.1875 A
2017-07-27T00:00:00-06:00,483.6979166666667 A
2017-07-28T00:00:00-06:00,476.3020833333333 A
2017-07-29T00:00:00-06:00,464.6145833333333 A
2017-07-30T00:00:00-06:00,470.4375 A
2017-07-31T00:00:00-06:00,494.7083333333333 A
2017-08-01T00:00:00-06:00,486.6458333333333 A
2017-08-02T00:00:00-06:00,488.8020833333333 A
2017-08-03T00:00:00-06:00,498.3541666666667 A
2017-08-04T00:00:00-06:00,482.3222222222222 A
2017-08-05T00:00:00-06:00,461.34375 A
2017-08-06T00:00:00-06:00,451.625 A
2017-08-07T00:00:00-06:00,465 A
2017-08-08T00:00:00-06:00,470.9479166666667 A
2017-08-09T00:00:00-06:00,470.6875 A
2017-08-10T00:00:00-06:00,464.9782608695652 A
2017-08-11T00:00:00-06:00,477.15625 A
2017-08-12T00:00:00-06:00,463.1684210526316 A
2017-08-13T00:00:00-06:00,440.1979166666667 A
2017-08-14T00:00:00-06:00,462.8229166666667 A
2017-08-15T00:00:00-06:00,444.3958333333333 A
2017-08-16T00:00:00-06:00,439.6458333333333 A
2017-08-17T00:00:00-06:00,465.9166666666667 A
2017-08-18T00:00:00-06:00,465.59375 A
2017-08-19T00:00:00-06:00,447.9895833333333 A
2017-08-20T00:00:00-06:00,450.2083333333333 A
2017-08-21T00:00:00-06:00,476.6354166666667 A
2017-08-22T00:00:00-06:00,471.0208333333333 A
2017-08-23T00:00:00-06:00,467.5729166666667 A
2017-08-24T00:00:00-06:00,475.7916666666667 A
2017-08-25T00:00:00-06:00,473.2708333333333 A
2017-08-26T00:00:00-06:00,451.0208333333333 A
2017-08-27T00:00:00-06:00,454.2083333333333 A
2017-08-28T00:00:00-06:00,469.1573033707865 A
2017-08-29T00:00:00-06:00,485.9010989010989 A
2017-08-30T00:00:00-06:00,484.8645833333333 A
2017-08-31T00:00:00-06:00,472.8854166666667 A
2017-09-01T00:00:00-06:00,475.5729166666667 A
2017-09-02T00:00:00-06:00,448.21875 A
