Timestamp,['1e8432a4-34a8c1af 0110-ECCLES STUDENT LIFE CNTR Power Meter (HL12) 316566 Real power']
2017-02-10T00:00:00-07:00,0.012561801820993423 kW
2017-02-11T00:00:00-07:00,0.012812676839530468 kW
2017-02-12T00:00:00-07:00,0.012611977756023407 kW
2017-02-13T00:00:00-07:00,0.012560379691421986 kW
2017-02-14T00:00:00-07:00,0.012546363286674023 kW
2017-02-15T00:00:00-07:00,0.01238669827580452 kW
2017-02-16T00:00:00-07:00,0.012591054663062096 kW
2017-02-17T00:00:00-07:00,0.012676574289798737 kW
2017-02-18T00:00:00-07:00,0.012619087472558022 kW
2017-02-19T00:00:00-07:00,0.01272675022482872 kW
2017-02-20T00:00:00-07:00,0.012562411837279797 kW
2017-02-21T00:00:00-07:00,0.01257460005581379 kW
2017-02-22T00:00:00-07:00,0.012598367407917976 kW
2017-02-23T00:00:00-07:00,0.012701763771474361 kW
2017-02-24T00:00:00-07:00,0.012646307237446308 kW
2017-02-25T00:00:00-07:00,0.012762095779180527 kW
2017-02-26T00:00:00-07:00,0.012509799562394619 kW
2017-02-27T00:00:00-07:00,0.012474047020077705 kW
2017-02-28T00:00:00-07:00,0.012715577147901058 kW
2017-03-01T00:00:00-07:00,0.012751735746860504 kW
2017-03-02T00:00:00-07:00,0.012715780176222324 kW
2017-03-03T00:00:00-07:00,0.012688965536653996 kW
2017-03-04T00:00:00-07:00,0.012576631270349026 kW
2017-03-05T00:00:00-07:00,0.012699326500296593 kW
2017-03-06T00:00:00-07:00,0.01267088670283556 kW
2017-03-07T00:00:00-07:00,0.012502486817538738 kW
2017-03-08T00:00:00-07:00,0.012605274096131325 kW
2017-03-09T00:00:00-07:00,0.012617462314665318 kW
2017-03-10T00:00:00-07:00,0.012571146711707115 kW
2017-03-11T00:00:00-07:00,0.012485016137361526 kW
2017-03-12T00:00:00-07:00,0.012500251643359661 kW
2017-03-13T00:00:00-06:00,0.01277895551174879 kW
2017-03-14T00:00:00-06:00,0.01284721028059721 kW
2017-03-15T00:00:00-06:00,0.012766158208251 kW
2017-03-16T00:00:00-06:00,0.012768596410751343 kW
2017-03-17T00:00:00-06:00,0.012715171091258526 kW
2017-03-18T00:00:00-06:00,0.012784847058355808 kW
2017-03-19T00:00:00-06:00,0.012807395309209824 kW
2017-03-20T00:00:00-06:00,0.012808411382138729 kW
2017-03-21T00:00:00-06:00,0.012738937512040138 kW
2017-03-22T00:00:00-06:00,0.012833396904170513 kW
2017-03-23T00:00:00-06:00,0.01280130073428154 kW
2017-03-24T00:00:00-06:00,0.012901447713375092 kW
2017-03-25T00:00:00-06:00,0.012743406929075718 kW
2017-03-26T00:00:00-06:00,0.012434232048690319 kW
2017-03-27T00:00:00-06:00,0.012722077779471874 kW
2017-03-28T00:00:00-06:00,0.01275986060500145 kW
2017-03-29T00:00:00-06:00,0.013021298684179783 kW
2017-03-30T00:00:00-06:00,0.012771845795214176 kW
2017-03-31T00:00:00-06:00,0.012796629220247269 kW
2017-04-01T00:00:00-06:00,0.01256485003978014 kW
2017-04-02T00:00:00-06:00,0.012669871561229229 kW
2017-04-03T00:00:00-06:00,0.012769002467393875 kW
2017-04-04T00:00:00-06:00,0.013015611097216606 kW
2017-04-05T00:00:00-06:00,0.012809020467102528 kW
2017-04-06T00:00:00-06:00,0.012844976037740707 kW
2017-04-07T00:00:00-06:00,0.012936387211084366 kW
2017-04-08T00:00:00-06:00,0.012762704864144325 kW
2017-04-09T00:00:00-06:00,0.012489891611039639 kW
2017-04-10T00:00:00-06:00,0.012686935253441334 kW
2017-04-11T00:00:00-06:00,0.012893524952232838 kW
2017-04-12T00:00:00-06:00,0.012795613147318363 kW
2017-04-13T00:00:00-06:00,0.013015205040574074 kW
2017-04-14T00:00:00-06:00,0.012753157876431942 kW
2017-04-15T00:00:00-06:00,0.012626806274056435 kW
2017-04-16T00:00:00-06:00,0.012489485554397106 kW
2017-04-17T00:00:00-06:00,0.012909776531159878 kW
2017-04-18T00:00:00-06:00,0.012712529860436916 kW
2017-04-19T00:00:00-06:00,0.012619087472558022 kW
2017-04-20T00:00:00-06:00,0.012829537503421307 kW
2017-04-21T00:00:00-06:00,0.012890275567770004 kW
2017-04-22T00:00:00-06:00,0.012537426315248013 kW
2017-04-23T00:00:00-06:00,0.012585570104420185 kW
2017-04-24T00:00:00-06:00,0.012734469026327133 kW
2017-04-25T00:00:00-06:00,0.013046487234532833 kW
2017-04-26T00:00:00-06:00,0.01285452302545309 kW
2017-04-27T00:00:00-06:00,0.01286691427230835 kW
2017-04-28T00:00:00-06:00,0.012760267592966557 kW
2017-04-29T00:00:00-06:00,0.012669261544942856 kW
2017-04-30T00:00:00-06:00,0.012525643222033978 kW
2017-05-01T00:00:00-06:00,0.012687544338405132 kW
2017-05-02T00:00:00-06:00,0.012995501048862934 kW
2017-05-03T00:00:00-06:00,0.012796426191926003 kW
2017-05-04T00:00:00-06:00,0.012918105348944664 kW
2017-05-05T00:00:00-06:00,0.012811255641281605 kW
2017-05-06T00:00:00-06:00,0.013004844076931477 kW
2017-05-07T00:00:00-06:00,0.012474047020077705 kW
2017-05-08T00:00:00-06:00,0.012911198660731316 kW
2017-05-09T00:00:00-06:00,0.012671496719121933 kW
2017-05-10T00:00:00-06:00,0.012679622508585453 kW
2017-05-11T00:00:00-06:00,0.01268449705094099 kW
2017-05-12T00:00:00-06:00,0.01281917653977871 kW
2017-05-13T00:00:00-06:00,0.012631071731448174 kW
2017-05-14T00:00:00-06:00,0.01256220880895853 kW
2017-05-15T00:00:00-06:00,0.012668855488300323 kW
2017-05-16T00:00:00-06:00,0.012850663624703884 kW
2017-05-17T00:00:00-06:00,0.012879508547484875 kW
2017-05-18T00:00:00-06:00,0.0127346720546484 kW
2017-05-19T00:00:00-06:00,0.012790331616997719 kW
2017-05-20T00:00:00-06:00,0.012664996087551117 kW
2017-05-21T00:00:00-06:00,0.012604461051523685 kW
2017-05-22T00:00:00-06:00,0.012839490547776222 kW
2017-05-23T00:00:00-06:00,0.012864070944488049 kW
2017-05-24T00:00:00-06:00,0.012809020467102528 kW
2017-05-25T00:00:00-06:00,0.01279398798942566 kW
2017-05-26T00:00:00-06:00,0.012719030492007732 kW
2017-05-27T00:00:00-06:00,0.012648744508624077 kW
2017-05-28T00:00:00-06:00,0.01277976855635643 kW
2017-05-29T00:00:00-06:00,0.012586991302669048 kW
2017-05-30T00:00:00-06:00,0.012736906297504902 kW
2017-05-31T00:00:00-06:00,0.012756002135574818 kW
2017-06-01T00:00:00-06:00,0.012751735746860504 kW
2017-06-02T00:00:00-06:00,0.012946747243404388 kW
2017-06-03T00:00:00-06:00,0.012455359101295471 kW
2017-06-04T00:00:00-06:00,0.0126115707680583 kW
2017-06-05T00:00:00-06:00,0.012794191017746925 kW
2017-06-06T00:00:00-06:00,0.012906120158731937 kW
2017-06-07T00:00:00-06:00,0.01279947254806757 kW
2017-06-08T00:00:00-06:00,0.012785862199962139 kW
2017-06-09T00:00:00-06:00,0.012911807745695114 kW
2017-06-10T00:00:00-06:00,0.012725531123578548 kW
2017-06-11T00:00:00-06:00,0.012651385739445686 kW
2017-06-12T00:00:00-06:00,0.01279520709067583 kW
2017-06-13T00:00:00-06:00,0.01284274086356163 kW
2017-06-14T00:00:00-06:00,0.012995297089219093 kW
2017-06-15T00:00:00-06:00,0.012946341186761856 kW
2017-06-16T00:00:00-06:00,0.012977827340364456 kW
2017-06-17T00:00:00-06:00,0.01278240978717804 kW
2017-06-18T00:00:00-06:00,0.012814708054065704 kW
2017-06-19T00:00:00-06:00,0.012648744508624077 kW
2017-06-20T00:00:00-06:00,0.012905714102089405 kW
2017-06-21T00:00:00-06:00,0.012680028565227985 kW
2017-06-22T00:00:00-06:00,0.012748485431075096 kW
2017-06-23T00:00:00-06:00,0.012891494669020176 kW
2017-06-24T00:00:00-06:00,0.012752547860145569 kW
2017-06-25T00:00:00-06:00,0.012608320452272892 kW
2017-06-26T00:00:00-06:00,0.012817349284887314 kW
2017-06-27T00:00:00-06:00,0.012844773009419441 kW
2017-06-28T00:00:00-06:00,0.01277082972228527 kW
2017-06-29T00:00:00-06:00,0.012700545601546764 kW
2017-06-30T00:00:00-06:00,0.012699935585260391 kW
2017-07-01T00:00:00-06:00,0.012974373996257782 kW
2017-07-02T00:00:00-06:00,0.012552863918244839 kW
2017-07-03T00:00:00-06:00,0.012806582264602184 kW
2017-07-04T00:00:00-06:00,0.012549410574138165 kW
2017-07-05T00:00:00-06:00,0.012608320452272892 kW
2017-07-06T00:00:00-06:00,0.012695669196546078 kW
2017-07-07T00:00:00-06:00,0.012808411382138729 kW
2017-07-08T00:00:00-06:00,0.012730405665934086 kW
2017-07-09T00:00:00-06:00,0.01280759833753109 kW
2017-07-10T00:00:00-06:00,0.01283359993249178 kW
2017-07-11T00:00:00-06:00,0.01280942652374506 kW
2017-07-12T00:00:00-06:00,0.012689168564975262 kW
2017-07-13T00:00:00-06:00,0.012883774936199188 kW
2017-07-14T00:00:00-06:00,0.012663573957979679 kW
2017-07-15T00:00:00-06:00,0.0125045171007514 kW
2017-07-16T00:00:00-06:00,0.012651791796088219 kW
2017-07-17T00:00:00-06:00,0.01260710135102272 kW
2017-07-18T00:00:00-06:00,0.012892916798591614 kW
2017-07-19T00:00:00-06:00,0.012713748961687088 kW
2017-07-20T00:00:00-06:00,0.012793581932783127 kW
2017-07-21T00:00:00-06:00,0.012671902775764465 kW
2017-07-22T00:00:00-06:00,0.012737719342112541 kW
2017-07-23T00:00:00-06:00,0.012509799562394619 kW
2017-07-24T00:00:00-06:00,0.012675762176513672 kW
2017-07-25T00:00:00-06:00,0.012782612815499306 kW
2017-07-26T00:00:00-06:00,0.012583334930241108 kW
2017-07-27T00:00:00-06:00,0.012828724458813667 kW
2017-07-28T00:00:00-06:00,0.012520971707999706 kW
2017-07-29T00:00:00-06:00,0.012698513455688953 kW
2017-07-30T00:00:00-06:00,0.012443576008081436 kW
2017-07-31T00:00:00-06:00,0.012609133496880531 kW
2017-08-01T00:00:00-06:00,0.012832583859562874 kW
2017-08-02T00:00:00-06:00,0.012620102614164352 kW
2017-08-03T00:00:00-06:00,0.012744219042360783 kW
2017-08-04T00:00:00-06:00,0.01278789434581995 kW
2017-08-05T00:00:00-06:00,0.012669464573264122 kW
2017-08-06T00:00:00-06:00,0.012773267924785614 kW
2017-08-07T00:00:00-06:00,0.012818161398172379 kW
2017-08-08T00:00:00-06:00,0.012557536363601685 kW
2017-08-09T00:00:00-06:00,0.01255042664706707 kW
2017-08-10T00:00:00-06:00,0.012513048946857452 kW
2017-08-11T00:00:00-06:00,0.012634322047233582 kW
2017-08-12T00:00:00-06:00,0.012775300070643425 kW
2017-08-13T00:00:00-06:00,0.012844366021454334 kW
2017-08-14T00:00:00-06:00,0.012862445786595345 kW
2017-08-15T00:00:00-06:00,0.012593897990882397 kW
2017-08-16T00:00:00-06:00,0.01277976855635643 kW
2017-08-17T00:00:00-06:00,0.012711920775473118 kW
2017-08-18T00:00:00-06:00,0.01265483908355236 kW
2017-08-19T00:00:00-06:00,0.012849241495132446 kW
2017-08-20T00:00:00-06:00,0.012604461051523685 kW
2017-08-21T00:00:00-06:00,0.01280678529292345 kW
2017-08-22T00:00:00-06:00,0.012868945486843586 kW
2017-08-23T00:00:00-06:00,0.012659917585551739 kW
2017-08-24T00:00:00-06:00,0.012843350879848003 kW
2017-08-25T00:00:00-06:00,0.012806582264602184 kW
2017-08-26T00:00:00-06:00,0.012666215188801289 kW
2017-08-27T00:00:00-06:00,0.01255123969167471 kW
2017-08-28T00:00:00-06:00,0.012861023657023907 kW
2017-08-29T00:00:00-06:00,0.012786675244569778 kW
2017-08-30T00:00:00-06:00,0.012758642435073853 kW
2017-08-31T00:00:00-06:00,0.012652198784053326 kW
2017-09-01T00:00:00-06:00,0.01260161679238081 kW
2017-09-02T00:00:00-06:00,0.012633712962269783 kW
2017-09-03T00:00:00-06:00,0.012541082687675953 kW
2017-09-04T00:00:00-06:00,0.012559161521494389 kW
2017-09-05T00:00:00-06:00,0.012660730630159378 kW
2017-09-06T00:00:00-06:00,0.012820395641028881 kW
2017-09-07T00:00:00-06:00,0.013129367493093014 kW
2017-09-08T00:00:00-06:00,0.012760267592966557 kW
2017-09-09T00:00:00-06:00,0.012995094060897827 kW
2017-09-10T00:00:00-06:00,0.01260629016906023 kW
2017-09-11T00:00:00-06:00,0.012815318070352077 kW
2017-09-12T00:00:00-06:00,0.012713342905044556 kW
2017-09-13T00:00:00-06:00,0.012769002467393875 kW
2017-09-14T00:00:00-06:00,0.012748688459396362 kW
2017-09-15T00:00:00-06:00,0.01295243576169014 kW
2017-09-16T00:00:00-06:00,0.012534785084426403 kW
2017-09-17T00:00:00-06:00,0.01265727635473013 kW
2017-09-18T00:00:00-06:00,0.012762908823788166 kW
2017-09-19T00:00:00-06:00,0.012863054871559143 kW
2017-09-20T00:00:00-06:00,0.01265199575573206 kW
2017-09-21T00:00:00-06:00,0.012805567122995853 kW
2017-09-22T00:00:00-06:00,0.01282384991645813 kW
2017-09-23T00:00:00-06:00,0.012620508670806885 kW
2017-09-24T00:00:00-06:00,0.012443779036402702 kW
2017-09-25T00:00:00-06:00,0.012779565528035164 kW
2017-09-26T00:00:00-06:00,0.012795410118997097 kW
2017-09-27T00:00:00-06:00,0.012727156281471252 kW
2017-09-28T00:00:00-06:00,0.01264935452491045 kW
2017-09-29T00:00:00-06:00,0.012685513123869896 kW
2017-09-30T00:00:00-06:00,0.012625587172806263 kW
2017-10-01T00:00:00-06:00,0.012673933990299702 kW
2017-10-02T00:00:00-06:00,0.012812676839530468 kW
2017-10-03T00:00:00-06:00,0.012754783034324646 kW
2017-10-04T00:00:00-06:00,0.012899213470518589 kW
2017-10-05T00:00:00-06:00,0.012822833843529224 kW
2017-10-06T00:00:00-06:00,0.012873617932200432 kW
2017-10-07T00:00:00-06:00,0.012702981941401958 kW
2017-10-08T00:00:00-06:00,0.012796426191926003 kW
2017-10-09T00:00:00-06:00,0.012853709980845451 kW
2017-10-10T00:00:00-06:00,0.0128102395683527 kW
2017-10-11T00:00:00-06:00,0.01281389594078064 kW
2017-10-12T00:00:00-06:00,0.012714358977973461 kW
2017-10-13T00:00:00-06:00,0.012680231593549252 kW
2017-10-14T00:00:00-06:00,0.012781799770891666 kW
2017-10-15T00:00:00-06:00,0.012741375714540482 kW
2017-10-16T00:00:00-06:00,0.012677590362727642 kW
2017-10-17T00:00:00-06:00,0.012841318733990192 kW
2017-10-18T00:00:00-06:00,0.01284721028059721 kW
2017-10-19T00:00:00-06:00,0.012855335138738155 kW
2017-10-20T00:00:00-06:00,0.012683684006333351 kW
2017-10-21T00:00:00-06:00,0.012451904825866222 kW
2017-10-22T00:00:00-06:00,0.012655854225158691 kW
2017-10-23T00:00:00-06:00,0.012801707722246647 kW
2017-10-24T00:00:00-06:00,0.012792565859854221 kW
2017-10-25T00:00:00-06:00,0.012747876346111298 kW
2017-10-26T00:00:00-06:00,0.012628227472305298 kW
2017-10-27T00:00:00-06:00,0.012697701342403889 kW
2017-10-28T00:00:00-06:00,0.012758642435073853 kW
2017-10-29T00:00:00-06:00,0.01259186677634716 kW
2017-10-30T00:00:00-06:00,0.012924605049192905 kW
2017-10-31T00:00:00-06:00,0.012825271114706993 kW
2017-11-01T00:00:00-06:00,0.012702981941401958 kW
