Timestamp,['1d0db2b5-6417c279 0025-SOCIAL & BEHAVIORAL SCIENCES Power Meter 300051 Current C']
2017-04-30T00:00:00-06:00,82.8529252690377 A
2017-05-01T00:00:00-06:00,98.59797696537441 A
2017-05-02T00:00:00-06:00,100.83103996439183 A
2017-05-03T00:00:00-06:00,96.85264535998621 A
2017-05-04T00:00:00-06:00,111.78987392339491 A
2017-05-05T00:00:00-06:00,177.68900717629327 A
2017-05-06T00:00:00-06:00,195.51056445969476 A
2017-05-07T00:00:00-06:00,167.64326248168945 A
2017-05-08T00:00:00-06:00,163.78105594800866 A
2017-05-09T00:00:00-06:00,203.69478874736362 A
2017-05-10T00:00:00-06:00,201.7052631055805 A
2017-05-11T00:00:00-06:00,173.90257096724076 A
2017-05-12T00:00:00-06:00,215.11192823823515 A
2017-05-13T00:00:00-06:00,76.71822196642557 A
2017-05-14T00:00:00-06:00,81.44939021658391 A
2017-05-15T00:00:00-06:00,90.8456039428711 A
2017-05-16T00:00:00-06:00,95.94197767518408 A
2017-05-17T00:00:00-06:00,83.90598839684355 A
2017-05-18T00:00:00-06:00,83.31832868156704 A
2017-05-19T00:00:00-06:00,124.98766195722621 A
2017-05-20T00:00:00-06:00,83.93012887400093 A
2017-05-21T00:00:00-06:00,88.54569298335484 A
2017-05-22T00:00:00-06:00,138.8064814703805 A
2017-05-23T00:00:00-06:00,207.26288497011427 A
2017-05-24T00:00:00-06:00,211.67358424846944 A
2017-05-25T00:00:00-06:00,180.1948795909613 A
2017-05-26T00:00:00-06:00,199.86811459047576 A
2017-05-27T00:00:00-06:00,118.67224053519112 A
2017-05-28T00:00:00-06:00,226.9987861580319 A
2017-05-29T00:00:00-06:00,213.52209776208755 A
2017-05-30T00:00:00-06:00,220.43305337693957 A
2017-05-31T00:00:00-06:00,225.61607318454318 A
2017-06-01T00:00:00-06:00,235.5473641935762 A
2017-06-02T00:00:00-06:00,213.22894261500218 A
2017-06-03T00:00:00-06:00,173.71594989937796 A
2017-06-04T00:00:00-06:00,183.90266115461077 A
2017-06-05T00:00:00-06:00,220.3291437043084 A
2017-06-06T00:00:00-06:00,210.12099901835123 A
2017-06-07T00:00:00-06:00,216.34040342966716 A
2017-06-08T00:00:00-06:00,222.98691550360786 A
2017-06-09T00:00:00-06:00,191.23027746283137 A
2017-06-10T00:00:00-06:00,169.58591882387796 A
2017-06-11T00:00:00-06:00,172.11694192091625 A
2017-06-12T00:00:00-06:00,173.1807417916251 A
2017-06-13T00:00:00-06:00,135.53507539961072 A
2017-06-14T00:00:00-06:00,200.35515735332783 A
2017-06-15T00:00:00-06:00,204.28610804345874 A
2017-06-16T00:00:00-06:00,213.55909276538426 A
2017-06-17T00:00:00-06:00,176.10678827497694 A
2017-06-18T00:00:00-06:00,173.59076894303442 A
2017-06-19T00:00:00-06:00,221.90259130795798 A
2017-06-20T00:00:00-06:00,231.90640432569717 A
2017-06-21T00:00:00-06:00,230.6312473243391 A
2017-06-22T00:00:00-06:00,103.61680114101357 A
2017-06-23T00:00:00-06:00,120.67595872476068 A
2017-06-24T00:00:00-06:00,108.09523972918626 A
2017-06-25T00:00:00-06:00,85.65423173501458 A
2017-06-26T00:00:00-06:00,214.49669292628153 A
2017-06-27T00:00:00-06:00,309.5746358235677 A
2017-06-28T00:00:00-06:00,313.8632976214091 A
2017-06-29T00:00:00-06:00,283.6389579772949 A
2017-06-30T00:00:00-06:00,270.2653606732686 A
2017-07-01T00:00:00-06:00,265.7386504809062 A
2017-07-02T00:00:00-06:00,268.36313072840375 A
2017-07-03T00:00:00-06:00,278.024129708608 A
2017-07-04T00:00:00-06:00,275.2463369369507 A
2017-07-05T00:00:00-06:00,285.48978837331134 A
2017-07-06T00:00:00-06:00,291.06741937001544 A
2017-07-07T00:00:00-06:00,298.3969373703003 A
2017-07-08T00:00:00-06:00,303.3864231109619 A
2017-07-09T00:00:00-06:00,315.40703264872235 A
2017-07-10T00:00:00-06:00,308.64506737391156 A
2017-07-11T00:00:00-06:00,285.28547016779584 A
2017-07-12T00:00:00-06:00,293.2840034166972 A
2017-07-13T00:00:00-06:00,298.9528039296468 A
2017-07-14T00:00:00-06:00,289.8148244222005 A
2017-07-15T00:00:00-06:00,284.7437087694804 A
2017-07-16T00:00:00-06:00,279.26336177190143 A
2017-07-17T00:00:00-06:00,290.8571523030599 A
2017-07-18T00:00:00-06:00,287.6668570836385 A
2017-07-19T00:00:00-06:00,273.24599599838257 A
2017-07-20T00:00:00-06:00,268.08555857340497 A
2017-07-21T00:00:00-06:00,266.35989538828534 A
2017-07-22T00:00:00-06:00,259.43242502212524 A
2017-07-23T00:00:00-06:00,250.30607096354166 A
2017-07-24T00:00:00-06:00,250.28417174021402 A
2017-07-25T00:00:00-06:00,273.9761315981547 A
2017-07-26T00:00:00-06:00,287.3624960581462 A
2017-07-27T00:00:00-06:00,286.21763531366986 A
2017-07-28T00:00:00-06:00,293.58296457926434 A
2017-07-29T00:00:00-06:00,278.7159261703491 A
2017-07-30T00:00:00-06:00,275.73751974105835 A
2017-07-31T00:00:00-06:00,280.52577686309814 A
2017-08-01T00:00:00-06:00,280.5450261433919 A
2017-08-02T00:00:00-06:00,283.12812519073486 A
2017-08-03T00:00:00-06:00,281.99558623631793 A
2017-08-04T00:00:00-06:00,280.5330186479547 A
2017-08-05T00:00:00-06:00,276.03388992945355 A
2017-08-06T00:00:00-06:00,285.9483167330424 A
2017-08-07T00:00:00-06:00,264.73775577545166 A
2017-08-08T00:00:00-06:00,235.19074000308387 A
2017-08-09T00:00:00-06:00,237.39129839445414 A
2017-08-10T00:00:00-06:00,239.2376256306966 A
2017-08-11T00:00:00-06:00,239.2946067651113 A
2017-08-12T00:00:00-06:00,215.928574491802 A
2017-08-13T00:00:00-06:00,217.92665943346526 A
2017-08-14T00:00:00-06:00,238.35114272435507 A
2017-08-15T00:00:00-06:00,230.93117169831928 A
2017-08-16T00:00:00-06:00,229.55215573310852 A
2017-08-17T00:00:00-06:00,234.52731529871622 A
2017-08-18T00:00:00-06:00,238.5352268624813 A
2017-08-19T00:00:00-06:00,210.75582496156085 A
2017-08-20T00:00:00-06:00,211.23302202726666 A
2017-08-21T00:00:00-06:00,236.87006775538126 A
2017-08-22T00:00:00-06:00,238.05951595306396 A
2017-08-23T00:00:00-06:00,235.9472620487213 A
2017-08-24T00:00:00-06:00,241.11900647481283 A
2017-08-25T00:00:00-06:00,264.0644571447885 A
2017-08-26T00:00:00-06:00,216.63378842002467 A
2017-08-27T00:00:00-06:00,218.79738275210062 A
2017-08-28T00:00:00-06:00,256.43074421498966 A
2017-08-29T00:00:00-06:00,272.1731673020583 A
2017-08-30T00:00:00-06:00,286.5443596839905 A
2017-08-31T00:00:00-06:00,273.5757537682851 A
2017-09-01T00:00:00-06:00,247.23629752538537 A
2017-09-02T00:00:00-06:00,212.7746781198602 A
2017-09-03T00:00:00-06:00,225.7300593617198 A
2017-09-04T00:00:00-06:00,257.3584217230479 A
2017-09-05T00:00:00-06:00,263.65800007184345 A
2017-09-06T00:00:00-06:00,261.77282096461244 A
2017-09-07T00:00:00-06:00,260.7245771884918 A
2017-09-08T00:00:00-06:00,263.94824827387095 A
2017-09-09T00:00:00-06:00,214.27415333623472 A
2017-09-10T00:00:00-06:00,210.92970554803009 A
2017-09-11T00:00:00-06:00,261.23645493356804 A
2017-09-12T00:00:00-06:00,261.3072790848581 A
2017-09-13T00:00:00-06:00,261.42415188728495 A
2017-09-14T00:00:00-06:00,259.89618828956117 A
2017-09-15T00:00:00-06:00,205.92093361302426 A
2017-09-16T00:00:00-06:00,164.61809660259047 A
2017-09-17T00:00:00-06:00,175.84570368131003 A
2017-09-18T00:00:00-06:00,251.88906129535877 A
2017-09-19T00:00:00-06:00,195.0553971140008 A
2017-09-20T00:00:00-06:00,211.16133495130038 A
2017-09-21T00:00:00-06:00,162.93398431006898 A
2017-09-22T00:00:00-06:00,118.86858109633128 A
2017-09-23T00:00:00-06:00,82.59861946105957 A
2017-09-24T00:00:00-06:00,81.34075435002644 A
2017-09-25T00:00:00-06:00,103.30429004869963 A
2017-09-26T00:00:00-06:00,154.5541543659411 A
2017-09-27T00:00:00-06:00,161.82372420461553 A
2017-09-28T00:00:00-06:00,184.3386717765562 A
2017-09-29T00:00:00-06:00,212.85867937405905 A
2017-09-30T00:00:00-06:00,174.78847080728283 A
2017-10-01T00:00:00-06:00,86.00818744782478 A
2017-10-02T00:00:00-06:00,94.86004678408305 A
2017-10-03T00:00:00-06:00,146.63583703835806 A
2017-10-04T00:00:00-06:00,178.7416552894994 A
2017-10-05T00:00:00-06:00,103.42926383018494 A
2017-10-06T00:00:00-06:00,150.8601368954307 A
2017-10-07T00:00:00-06:00,92.34148216247559 A
2017-10-08T00:00:00-06:00,86.18320241181746 A
2017-10-09T00:00:00-06:00,98.513842291581 A
2017-10-10T00:00:00-06:00,135.7531040392424 A
2017-10-11T00:00:00-06:00,179.31330291261065 A
2017-10-12T00:00:00-06:00,101.27114201595909 A
2017-10-13T00:00:00-06:00,104.146901289622 A
2017-10-14T00:00:00-06:00,82.99063781897227 A
2017-10-15T00:00:00-06:00,86.80071100275568 A
2017-10-16T00:00:00-06:00,105.5677262544632 A
2017-10-17T00:00:00-06:00,132.91124680701722 A
2017-10-18T00:00:00-06:00,172.919078218176 A
2017-10-19T00:00:00-06:00,187.5963090996993 A
2017-10-20T00:00:00-06:00,164.13982429504395 A
2017-10-21T00:00:00-06:00,88.60796475410461 A
2017-10-22T00:00:00-06:00,138.5985331083599 A
2017-10-23T00:00:00-06:00,161.7535112169054 A
