Timestamp,['1f7d6d12-0d501b34 0372-KENNECOTT MECH ENG BLDG Power Meter 300345 Current A']
2017-05-03T00:00:00-06:00,208.828125 A
2017-05-04T00:00:00-06:00,223.70182291666666 A
2017-05-05T00:00:00-06:00,248.4296875 A
2017-05-06T00:00:00-06:00,244.62239583333334 A
2017-05-07T00:00:00-06:00,231.78776041666666 A
2017-05-08T00:00:00-06:00,230.68229166666666 A
2017-05-09T00:00:00-06:00,223.32291666666666 A
2017-05-10T00:00:00-06:00,224.3984375 A
2017-05-11T00:00:00-06:00,250.97526041666666 A
2017-05-12T00:00:00-06:00,271.6692708333333 A
2017-05-13T00:00:00-06:00,160.97135416666666 A
2017-05-14T00:00:00-06:00,162.79036458333334 A
2017-05-15T00:00:00-06:00,203.41796875 A
2017-05-16T00:00:00-06:00,189.8515625 A
2017-05-17T00:00:00-06:00,196.57682291666666 A
2017-05-18T00:00:00-06:00,197.4296875 A
2017-05-19T00:00:00-06:00,189.3203125 A
2017-05-20T00:00:00-06:00,180.72916666666666 A
2017-05-21T00:00:00-06:00,171.19661458333334 A
2017-05-22T00:00:00-06:00,222.87109375 A
2017-05-23T00:00:00-06:00,250.42317708333334 A
2017-05-24T00:00:00-06:00,277.2630208333333 A
2017-05-25T00:00:00-06:00,226.90494791666666 A
2017-05-26T00:00:00-06:00,197.45963541666666 A
2017-05-27T00:00:00-06:00,179.72786458333334 A
2017-05-28T00:00:00-06:00,208.4609375 A
2017-05-29T00:00:00-06:00,237.50520833333334 A
2017-05-30T00:00:00-06:00,288.34765625 A
2017-05-31T00:00:00-06:00,294.2239583333333 A
2017-06-01T00:00:00-06:00,283.1953125 A
2017-06-02T00:00:00-06:00,259.5768229166667 A
2017-06-03T00:00:00-06:00,252.36588541666666 A
2017-06-04T00:00:00-06:00,271.84765625 A
2017-06-05T00:00:00-06:00,293.4153645833333 A
2017-06-06T00:00:00-06:00,297.7526041666667 A
2017-06-07T00:00:00-06:00,320.78125 A
2017-06-08T00:00:00-06:00,312.9908854166667 A
2017-06-09T00:00:00-06:00,278.9921875 A
2017-06-10T00:00:00-06:00,217.68359375 A
2017-06-11T00:00:00-06:00,247.78515625 A
2017-06-12T00:00:00-06:00,237.01692708333334 A
2017-06-13T00:00:00-06:00,213.34505208333334 A
2017-06-14T00:00:00-06:00,244.35677083333334 A
2017-06-15T00:00:00-06:00,283.0677083333333 A
2017-06-16T00:00:00-06:00,298.2994791666667 A
2017-06-17T00:00:00-06:00,248.265625 A
2017-06-18T00:00:00-06:00,250.59765625 A
2017-06-19T00:00:00-06:00,298.6966145833333 A
2017-06-20T00:00:00-06:00,314.1341145833333 A
2017-06-21T00:00:00-06:00,313.08984375 A
2017-06-22T00:00:00-06:00,292.0247395833333 A
2017-06-23T00:00:00-06:00,275.8359375 A
2017-06-24T00:00:00-06:00,258.2604166666667 A
2017-06-25T00:00:00-06:00,272.078125 A
2017-06-26T00:00:00-06:00,318.7096354166667 A
2017-06-27T00:00:00-06:00,309.31640625 A
2017-06-28T00:00:00-06:00,278.0833333333333 A
2017-06-29T00:00:00-06:00,267.8111979166667 A
2017-06-30T00:00:00-06:00,285.9309895833333 A
2017-07-01T00:00:00-06:00,267.75390625 A
2017-07-02T00:00:00-06:00,276.0364583333333 A
2017-07-03T00:00:00-06:00,314.4453125 A
2017-07-04T00:00:00-06:00,300.2044270833333 A
2017-07-05T00:00:00-06:00,333.3177083333333 A
2017-07-06T00:00:00-06:00,326.0442708333333 A
2017-07-07T00:00:00-06:00,329.5885416666667 A
2017-07-08T00:00:00-06:00,301.6458333333333 A
2017-07-09T00:00:00-06:00,298.49609375 A
2017-07-10T00:00:00-06:00,324.6354166666667 A
2017-07-11T00:00:00-06:00,316.1927083333333 A
2017-07-12T00:00:00-06:00,309.578125 A
2017-07-13T00:00:00-06:00,312.9817708333333 A
2017-07-14T00:00:00-06:00,305.2018229166667 A
2017-07-15T00:00:00-06:00,285.7434895833333 A
2017-07-16T00:00:00-06:00,295.5559895833333 A
2017-07-17T00:00:00-06:00,317.6822916666667 A
2017-07-18T00:00:00-06:00,315.5403645833333 A
2017-07-19T00:00:00-06:00,320.3072916666667 A
2017-07-20T00:00:00-06:00,321.8736979166667 A
2017-07-21T00:00:00-06:00,306.0833333333333 A
2017-07-22T00:00:00-06:00,294.6705729166667 A
2017-07-23T00:00:00-06:00,281.8020833333333 A
2017-07-24T00:00:00-06:00,296.5703125 A
2017-07-25T00:00:00-06:00,303.0911458333333 A
2017-07-26T00:00:00-06:00,307.1432291666667 A
2017-07-27T00:00:00-06:00,298.8151041666667 A
2017-07-28T00:00:00-06:00,294 A
2017-07-29T00:00:00-06:00,267.9440104166667 A
2017-07-30T00:00:00-06:00,277.5768229166667 A
2017-07-31T00:00:00-06:00,320.5703125 A
2017-08-01T00:00:00-06:00,334.3502604166667 A
2017-08-02T00:00:00-06:00,325.1015625 A
2017-08-03T00:00:00-06:00,325.1471354166667 A
2017-08-04T00:00:00-06:00,307.3612637362637 A
2017-08-05T00:00:00-06:00,275.3932291666667 A
2017-08-06T00:00:00-06:00,264.4895833333333 A
2017-08-07T00:00:00-06:00,287.8190104166667 A
2017-08-08T00:00:00-06:00,284.7161458333333 A
2017-08-09T00:00:00-06:00,286.2096354166667 A
2017-08-10T00:00:00-06:00,290.3284574468085 A
2017-08-11T00:00:00-06:00,298.13157894736844 A
2017-08-12T00:00:00-06:00,277.6510416666667 A
2017-08-13T00:00:00-06:00,273.4505208333333 A
2017-08-14T00:00:00-06:00,283.40625 A
2017-08-15T00:00:00-06:00,275.9348958333333 A
2017-08-16T00:00:00-06:00,270.83984375 A
2017-08-17T00:00:00-06:00,289.7916666666667 A
2017-08-18T00:00:00-06:00,300.6536458333333 A
2017-08-19T00:00:00-06:00,277.9908854166667 A
2017-08-20T00:00:00-06:00,285.53125 A
2017-08-21T00:00:00-06:00,317.71875 A
2017-08-22T00:00:00-06:00,315.7838541666667 A
