Timestamp,['1e71be51-f4c46ef6 0040-STUDENT SERVICES BLDG Power Meter (300089) Current A']
2017-04-30T00:00:00-06:00,421.4959707260132 A
2017-05-01T00:00:00-06:00,483.38580481211346 A
2017-05-02T00:00:00-06:00,488.36921469370526 A
2017-05-03T00:00:00-06:00,489.915597597758 A
2017-05-04T00:00:00-06:00,526.0140269597372 A
2017-05-05T00:00:00-06:00,582.6537068684896 A
2017-05-06T00:00:00-06:00,547.2818148930868 A
2017-05-07T00:00:00-06:00,525.7502110799154 A
2017-05-08T00:00:00-06:00,568.4401340484619 A
2017-05-09T00:00:00-06:00,566.3359785079956 A
2017-05-10T00:00:00-06:00,569.1935040156046 A
2017-05-11T00:00:00-06:00,576.2329581578573 A
2017-05-12T00:00:00-06:00,585.5645662943522 A
2017-05-13T00:00:00-06:00,403.75063610076904 A
2017-05-14T00:00:00-06:00,435.9411560694377 A
2017-05-15T00:00:00-06:00,544.3067881266276 A
2017-05-16T00:00:00-06:00,505.2375987370809 A
2017-05-17T00:00:00-06:00,390.79295921325684 A
2017-05-18T00:00:00-06:00,378.8020559946696 A
2017-05-19T00:00:00-06:00,427.11618010203046 A
2017-05-20T00:00:00-06:00,450.81466420491535 A
2017-05-21T00:00:00-06:00,489.97578080495197 A
2017-05-22T00:00:00-06:00,530.4935986200968 A
2017-05-23T00:00:00-06:00,571.1287575169614 A
2017-05-24T00:00:00-06:00,590.643939336141 A
2017-05-25T00:00:00-06:00,567.1986668904623 A
2017-05-26T00:00:00-06:00,551.6243683497111 A
2017-05-27T00:00:00-06:00,453.12702219109786 A
2017-05-28T00:00:00-06:00,507.69011974334717 A
2017-05-29T00:00:00-06:00,530.2535953521729 A
2017-05-30T00:00:00-06:00,591.2820180257162 A
2017-05-31T00:00:00-06:00,606.3537425994873 A
2017-06-01T00:00:00-06:00,601.005215326945 A
2017-06-02T00:00:00-06:00,585.272759437561 A
2017-06-03T00:00:00-06:00,553.1353991826376 A
2017-06-04T00:00:00-06:00,566.2710018157959 A
2017-06-05T00:00:00-06:00,610.9942321777344 A
2017-06-06T00:00:00-06:00,612.1370035807291 A
2017-06-07T00:00:00-06:00,625.7513771057129 A
2017-06-08T00:00:00-06:00,618.2883790334066 A
2017-06-09T00:00:00-06:00,601.6557610829672 A
2017-06-10T00:00:00-06:00,524.1110417048136 A
2017-06-11T00:00:00-06:00,534.3031962712606 A
2017-06-12T00:00:00-06:00,546.9603252410889 A
2017-06-13T00:00:00-06:00,470.9106979370117 A
2017-06-14T00:00:00-06:00,585.2378546396891 A
2017-06-15T00:00:00-06:00,591.6080958048502 A
2017-06-16T00:00:00-06:00,605.3836584091187 A
2017-06-17T00:00:00-06:00,551.374205271403 A
2017-06-18T00:00:00-06:00,511.2416687011719 A
2017-06-19T00:00:00-06:00,596.1146287918091 A
2017-06-20T00:00:00-06:00,629.7973836263021 A
2017-06-21T00:00:00-06:00,626.99236424764 A
2017-06-22T00:00:00-06:00,616.2427457173666 A
2017-06-23T00:00:00-06:00,599.9054679870605 A
2017-06-24T00:00:00-06:00,567.7647139231364 A
2017-06-25T00:00:00-06:00,577.5630957285563 A
2017-06-26T00:00:00-06:00,627.1185515721639 A
2017-06-27T00:00:00-06:00,627.7822507222494 A
2017-06-28T00:00:00-06:00,618.1911843617758 A
2017-06-29T00:00:00-06:00,610.0226313273112 A
2017-06-30T00:00:00-06:00,610.3689823150635 A
2017-07-01T00:00:00-06:00,567.6937395731608 A
2017-07-02T00:00:00-06:00,577.3466262817383 A
2017-07-03T00:00:00-06:00,612.0446634292603 A
2017-07-04T00:00:00-06:00,550.5486313501993 A
2017-07-05T00:00:00-06:00,601.1491060256958 A
2017-07-06T00:00:00-06:00,616.2736609776815 A
2017-07-07T00:00:00-06:00,648.0854533513387 A
2017-07-08T00:00:00-06:00,602.2775694529215 A
2017-07-09T00:00:00-06:00,597.2536907196045 A
2017-07-10T00:00:00-06:00,649.7307872772217 A
2017-07-11T00:00:00-06:00,645.8875033060709 A
2017-07-12T00:00:00-06:00,639.0677998860677 A
2017-07-13T00:00:00-06:00,638.2205581665039 A
2017-07-14T00:00:00-06:00,632.8157711029053 A
2017-07-15T00:00:00-06:00,591.076831817627 A
2017-07-16T00:00:00-06:00,593.1237875620524 A
2017-07-17T00:00:00-06:00,637.3799101511637 A
2017-07-18T00:00:00-06:00,649.931178410848 A
2017-07-19T00:00:00-06:00,658.0605742136637 A
2017-07-20T00:00:00-06:00,658.1522750854492 A
2017-07-21T00:00:00-06:00,647.0197677612305 A
2017-07-22T00:00:00-06:00,596.9961090087891 A
2017-07-23T00:00:00-06:00,586.9970842997233 A
2017-07-24T00:00:00-06:00,610.8676306406657 A
2017-07-25T00:00:00-06:00,653.0449053446451 A
2017-07-26T00:00:00-06:00,656.389591217041 A
2017-07-27T00:00:00-06:00,632.1582374572754 A
2017-07-28T00:00:00-06:00,624.3285064697266 A
2017-07-29T00:00:00-06:00,580.4275773366293 A
2017-07-30T00:00:00-06:00,583.177085240682 A
2017-07-31T00:00:00-06:00,642.6716845830282 A
2017-08-01T00:00:00-06:00,646.6681734720866 A
2017-08-02T00:00:00-06:00,645.1858520507812 A
