Timestamp,['1ee9af9c-a39337f4 0053-OLPIN UNION Power Meter (53-1) Current C']
2017-04-30T00:00:00-06:00,56.933864514033 A
2017-05-01T00:00:00-06:00,62.050018668174744 A
2017-05-02T00:00:00-06:00,62.91266886393229 A
2017-05-03T00:00:00-06:00,62.8123285373052 A
2017-05-04T00:00:00-06:00,61.14114695723339 A
2017-05-05T00:00:00-06:00,107.1983863512675 A
2017-05-06T00:00:00-06:00,60.51413361398797 A
2017-05-07T00:00:00-06:00,53.93038582801819 A
2017-05-08T00:00:00-06:00,96.24856976960835 A
2017-05-09T00:00:00-06:00,101.00812257465563 A
2017-05-10T00:00:00-06:00,65.27835822105408 A
2017-05-11T00:00:00-06:00,96.52356382211049 A
2017-05-12T00:00:00-06:00,58.300995667775474 A
2017-05-13T00:00:00-06:00,51.070198814074196 A
2017-05-14T00:00:00-06:00,49.310071190198265 A
2017-05-15T00:00:00-06:00,54.893829225239 A
2017-05-16T00:00:00-06:00,56.1445072889328 A
2017-05-17T00:00:00-06:00,60.50426125526428 A
2017-05-18T00:00:00-06:00,59.87369967008892 A
2017-05-19T00:00:00-06:00,59.91586756706238 A
2017-05-20T00:00:00-06:00,54.38014797369639 A
2017-05-21T00:00:00-06:00,50.06618197758993 A
2017-05-22T00:00:00-06:00,57.75244474411011 A
2017-05-23T00:00:00-06:00,90.70679211616516 A
2017-05-24T00:00:00-06:00,104.13334918022156 A
2017-05-25T00:00:00-06:00,102.58137285709381 A
2017-05-26T00:00:00-06:00,59.93427220980326 A
2017-05-27T00:00:00-06:00,51.69039829572042 A
2017-05-28T00:00:00-06:00,52.028425906566866 A
2017-05-29T00:00:00-06:00,53.55354789892832 A
2017-05-30T00:00:00-06:00,107.2335950533549 A
2017-05-31T00:00:00-06:00,108.0334316889445 A
2017-06-01T00:00:00-06:00,107.10281495253246 A
2017-06-02T00:00:00-06:00,105.69773626327515 A
2017-06-03T00:00:00-06:00,100.77527256806691 A
2017-06-04T00:00:00-06:00,99.61977589130402 A
2017-06-05T00:00:00-06:00,105.98908519744873 A
2017-06-06T00:00:00-06:00,108.8359882036845 A
2017-06-07T00:00:00-06:00,111.14348634084065 A
2017-06-08T00:00:00-06:00,110.82305769125621 A
2017-06-09T00:00:00-06:00,107.5001444419225 A
2017-06-10T00:00:00-06:00,99.84347438812256 A
2017-06-11T00:00:00-06:00,98.54170266787212 A
2017-06-12T00:00:00-06:00,75.22247083981831 A
2017-06-13T00:00:00-06:00,60.143078883488975 A
2017-06-14T00:00:00-06:00,92.45791439215343 A
2017-06-15T00:00:00-06:00,106.84651919205983 A
2017-06-16T00:00:00-06:00,108.12614556153615 A
2017-06-17T00:00:00-06:00,101.19941520690918 A
2017-06-18T00:00:00-06:00,96.33130621910095 A
2017-06-19T00:00:00-06:00,102.57917722066243 A
2017-06-20T00:00:00-06:00,111.38979689280193 A
2017-06-21T00:00:00-06:00,111.57724221547444 A
2017-06-22T00:00:00-06:00,110.15991385777791 A
2017-06-23T00:00:00-06:00,108.27523358662923 A
2017-06-24T00:00:00-06:00,102.25677625338237 A
2017-06-25T00:00:00-06:00,97.62388694286346 A
2017-06-26T00:00:00-06:00,108.59588917096455 A
2017-06-27T00:00:00-06:00,110.8996243874232 A
2017-06-28T00:00:00-06:00,109.49646047751109 A
2017-06-29T00:00:00-06:00,105.52770027417814 A
2017-06-30T00:00:00-06:00,102.99987659684147 A
2017-07-01T00:00:00-06:00,100.52896197636922 A
2017-07-02T00:00:00-06:00,99.41887315114339 A
2017-07-03T00:00:00-06:00,108.48171265920003 A
2017-07-04T00:00:00-06:00,102.9297243754069 A
2017-07-05T00:00:00-06:00,104.05592959860097 A
2017-07-06T00:00:00-06:00,114.40826841195424 A
2017-07-07T00:00:00-06:00,106.07662498249726 A
2017-07-08T00:00:00-06:00,109.32618526617686 A
2017-07-09T00:00:00-06:00,104.80512313048045 A
2017-07-10T00:00:00-06:00,111.00609866871554 A
2017-07-11T00:00:00-06:00,114.67266603310902 A
2017-07-12T00:00:00-06:00,113.38095549742381 A
2017-07-13T00:00:00-06:00,115.05331842104594 A
2017-07-14T00:00:00-06:00,113.5273824930191 A
2017-07-15T00:00:00-06:00,108.47800660133362 A
2017-07-16T00:00:00-06:00,103.95513705412547 A
2017-07-17T00:00:00-06:00,114.49356460571289 A
2017-07-18T00:00:00-06:00,115.38058865070343 A
2017-07-19T00:00:00-06:00,115.906556169192 A
2017-07-20T00:00:00-06:00,113.5048422018687 A
2017-07-21T00:00:00-06:00,114.27998510996501 A
2017-07-22T00:00:00-06:00,103.96638600031535 A
2017-07-23T00:00:00-06:00,102.18936236699422 A
2017-07-24T00:00:00-06:00,103.64559117952983 A
2017-07-25T00:00:00-06:00,112.33289098739624 A
2017-07-26T00:00:00-06:00,112.06377331415813 A
2017-07-27T00:00:00-06:00,110.77466134230296 A
2017-07-28T00:00:00-06:00,111.3238292535146 A
2017-07-29T00:00:00-06:00,108.27458659807841 A
2017-07-30T00:00:00-06:00,104.91008122762044 A
2017-07-31T00:00:00-06:00,113.05189482371013 A
2017-08-01T00:00:00-06:00,114.35088082154591 A
2017-08-02T00:00:00-06:00,113.69655319054921 A
2017-08-03T00:00:00-06:00,114.44308400154114 A
2017-08-04T00:00:00-06:00,112.58551691914653 A
2017-08-05T00:00:00-06:00,105.03384387493134 A
2017-08-06T00:00:00-06:00,102.82691578070323 A
2017-08-07T00:00:00-06:00,103.94006542364757 A
2017-08-08T00:00:00-06:00,104.81505437692006 A
2017-08-09T00:00:00-06:00,104.07505925496419 A
2017-08-10T00:00:00-06:00,108.13092844536963 A
2017-08-11T00:00:00-06:00,106.2768858273824 A
2017-08-12T00:00:00-06:00,102.31020943323772 A
2017-08-13T00:00:00-06:00,100.37453397115071 A
2017-08-14T00:00:00-06:00,106.13226560751598 A
2017-08-15T00:00:00-06:00,104.29281679789226 A
2017-08-16T00:00:00-06:00,102.70204162597656 A
2017-08-17T00:00:00-06:00,108.25324134031932 A
2017-08-18T00:00:00-06:00,107.92385176817577 A
2017-08-19T00:00:00-06:00,102.65095170338948 A
2017-08-20T00:00:00-06:00,100.86141403516133 A
2017-08-21T00:00:00-06:00,108.09129496415456 A
2017-08-22T00:00:00-06:00,108.97939654191335 A
2017-08-23T00:00:00-06:00,109.37231453259785 A
2017-08-24T00:00:00-06:00,105.60571436087291 A
2017-08-25T00:00:00-06:00,111.76367394129436 A
