Timestamp,['1ed629da-5de5bb71 0012-SUTTON BLDG POWER METER 480V (316601) Current C']
2017-05-05T00:00:00-06:00,311.6145833333333 A
2017-05-06T00:00:00-06:00,298.09375 A
2017-05-07T00:00:00-06:00,293.9479166666667 A
2017-05-08T00:00:00-06:00,306.75 A
2017-05-09T00:00:00-06:00,307.3854166666667 A
2017-05-10T00:00:00-06:00,305.0625 A
2017-05-11T00:00:00-06:00,311.4895833333333 A
2017-05-12T00:00:00-06:00,309.8125 A
2017-05-13T00:00:00-06:00,261.7708333333333 A
2017-05-14T00:00:00-06:00,271.3854166666667 A
2017-05-15T00:00:00-06:00,287.7916666666667 A
2017-05-16T00:00:00-06:00,293.5520833333333 A
2017-05-17T00:00:00-06:00,234.5 A
2017-05-18T00:00:00-06:00,222.27083333333334 A
2017-05-19T00:00:00-06:00,250.47916666666666 A
2017-05-20T00:00:00-06:00,280.3333333333333 A
2017-05-21T00:00:00-06:00,278.2916666666667 A
2017-05-22T00:00:00-06:00,294.78125 A
2017-05-23T00:00:00-06:00,313.7708333333333 A
2017-05-24T00:00:00-06:00,310.7291666666667 A
2017-05-25T00:00:00-06:00,306.75 A
2017-05-26T00:00:00-06:00,296.3333333333333 A
2017-05-27T00:00:00-06:00,278.34375 A
2017-05-28T00:00:00-06:00,289.7578947368421 A
2017-05-29T00:00:00-06:00,291.0520833333333 A
2017-05-30T00:00:00-06:00,314.4583333333333 A
2017-05-31T00:00:00-06:00,326.9791666666667 A
2017-06-01T00:00:00-06:00,314.625 A
2017-06-02T00:00:00-06:00,309.5625 A
2017-06-03T00:00:00-06:00,312.15625 A
2017-06-04T00:00:00-06:00,316.7083333333333 A
2017-06-05T00:00:00-06:00,326.3125 A
2017-06-06T00:00:00-06:00,329.7708333333333 A
2017-06-07T00:00:00-06:00,341.6458333333333 A
2017-06-08T00:00:00-06:00,332.1875 A
2017-06-09T00:00:00-06:00,319.71875 A
2017-06-10T00:00:00-06:00,293.8125 A
2017-06-11T00:00:00-06:00,305.2604166666667 A
2017-06-12T00:00:00-06:00,307.2604166666667 A
2017-06-13T00:00:00-06:00,303.0416666666667 A
2017-06-14T00:00:00-06:00,313.1041666666667 A
2017-06-15T00:00:00-06:00,317.0208333333333 A
2017-06-16T00:00:00-06:00,328.09375 A
2017-06-17T00:00:00-06:00,308.09375 A
2017-06-18T00:00:00-06:00,296.9375 A
2017-06-19T00:00:00-06:00,331.78125 A
2017-06-20T00:00:00-06:00,344.375 A
2017-06-21T00:00:00-06:00,352.34375 A
2017-06-22T00:00:00-06:00,331.59375 A
2017-06-23T00:00:00-06:00,312.5729166666667 A
2017-06-24T00:00:00-06:00,306.3854166666667 A
2017-06-25T00:00:00-06:00,319.3125 A
2017-06-26T00:00:00-06:00,349.46875 A
2017-06-27T00:00:00-06:00,336.4583333333333 A
2017-06-28T00:00:00-06:00,331.9895833333333 A
2017-06-29T00:00:00-06:00,315.6458333333333 A
2017-06-30T00:00:00-06:00,321.3854166666667 A
2017-07-01T00:00:00-06:00,310.2708333333333 A
2017-07-02T00:00:00-06:00,321.6458333333333 A
2017-07-03T00:00:00-06:00,344.96875 A
2017-07-04T00:00:00-06:00,343.3958333333333 A
2017-07-05T00:00:00-06:00,370.0208333333333 A
2017-07-06T00:00:00-06:00,367.96875 A
2017-07-07T00:00:00-06:00,371.15625 A
2017-07-08T00:00:00-06:00,359.7604166666667 A
2017-07-09T00:00:00-06:00,348.125 A
2017-07-10T00:00:00-06:00,372.3125 A
2017-07-11T00:00:00-06:00,367.1770833333333 A
2017-07-12T00:00:00-06:00,347.28125 A
2017-07-13T00:00:00-06:00,352.0416666666667 A
2017-07-14T00:00:00-06:00,353.46875 A
2017-07-15T00:00:00-06:00,343.7708333333333 A
2017-07-16T00:00:00-06:00,347.40625 A
2017-07-17T00:00:00-06:00,368.96875 A
2017-07-18T00:00:00-06:00,381.4375 A
2017-07-19T00:00:00-06:00,388.0208333333333 A
2017-07-20T00:00:00-06:00,390.1458333333333 A
2017-07-21T00:00:00-06:00,373.2395833333333 A
2017-07-22T00:00:00-06:00,352.3645833333333 A
2017-07-23T00:00:00-06:00,342.4895833333333 A
2017-07-24T00:00:00-06:00,345.71875 A
2017-07-25T00:00:00-06:00,378.0104166666667 A
2017-07-26T00:00:00-06:00,383.3333333333333 A
2017-07-27T00:00:00-06:00,360.0729166666667 A
2017-07-28T00:00:00-06:00,365.96875 A
2017-07-29T00:00:00-06:00,343.9479166666667 A
2017-07-30T00:00:00-06:00,340.5729166666667 A
2017-07-31T00:00:00-06:00,358.625 A
2017-08-01T00:00:00-06:00,362.4895833333333 A
2017-08-02T00:00:00-06:00,362.9791666666667 A
2017-08-03T00:00:00-06:00,364.6354166666667 A
2017-08-04T00:00:00-06:00,356.967032967033 A
2017-08-05T00:00:00-06:00,346.9479166666667 A
2017-08-06T00:00:00-06:00,335.8645833333333 A
2017-08-07T00:00:00-06:00,349.96875 A
2017-08-08T00:00:00-06:00,357.1770833333333 A
2017-08-09T00:00:00-06:00,357.21875 A
2017-08-10T00:00:00-06:00,347.6170212765957 A
2017-08-11T00:00:00-06:00,351.2736842105263 A
2017-08-12T00:00:00-06:00,339.9270833333333 A
2017-08-13T00:00:00-06:00,337.7684210526316 A
2017-08-14T00:00:00-06:00,350.7395833333333 A
2017-08-15T00:00:00-06:00,335.7708333333333 A
2017-08-16T00:00:00-06:00,331.12631578947367 A
2017-08-17T00:00:00-06:00,345.21875 A
2017-08-18T00:00:00-06:00,339.9375 A
2017-08-19T00:00:00-06:00,333.5578947368421 A
2017-08-20T00:00:00-06:00,338.3645833333333 A
2017-08-21T00:00:00-06:00,346.1458333333333 A
2017-08-22T00:00:00-06:00,351.8854166666667 A
2017-08-23T00:00:00-06:00,360.78125 A
2017-08-24T00:00:00-06:00,349.2083333333333 A
