Timestamp,['1cac6209-e8c0af9e 0009-WIDTSOE BLDG Power Meter 1(300028) VOLT C-N']
2017-04-27T00:00:00-06:00,283.3797920237662 V
2017-04-28T00:00:00-06:00,283.0934177706833 V
2017-04-29T00:00:00-06:00,283.419531951798 V
2017-04-30T00:00:00-06:00,283.03313500272145 V
2017-05-01T00:00:00-06:00,283.07460958915846 V
2017-05-02T00:00:00-06:00,282.9392918455306 V
2017-05-03T00:00:00-06:00,282.6765222073607 V
2017-05-04T00:00:00-06:00,282.71803133161126 V
2017-05-05T00:00:00-06:00,281.8491883889223 V
2017-05-06T00:00:00-06:00,281.5366156674381 V
2017-05-07T00:00:00-06:00,281.85340523668515 V
2017-05-08T00:00:00-06:00,282.58567256596734 V
2017-05-09T00:00:00-06:00,282.51311125901873 V
2017-05-10T00:00:00-06:00,281.98863306038567 V
2017-05-11T00:00:00-06:00,281.5405145931037 V
2017-05-12T00:00:00-06:00,281.79169110581006 V
2017-05-13T00:00:00-06:00,283.4447676221127 V
2017-05-14T00:00:00-06:00,281.9618692769633 V
2017-05-15T00:00:00-06:00,282.68620671278325 V
2017-05-16T00:00:00-06:00,283.3455946276005 V
2017-05-17T00:00:00-06:00,283.5870909793867 V
2017-05-18T00:00:00-06:00,283.18257508474215 V
2017-05-19T00:00:00-06:00,283.63100731198625 V
2017-05-20T00:00:00-06:00,282.2894989268693 V
2017-05-21T00:00:00-06:00,282.48590205183905 V
2017-05-22T00:00:00-06:00,282.4943089638987 V
2017-05-23T00:00:00-06:00,281.93894244277686 V
2017-05-24T00:00:00-06:00,281.6941178411224 V
2017-05-25T00:00:00-06:00,282.26986709390417 V
2017-05-26T00:00:00-06:00,282.7549074339006 V
2017-05-27T00:00:00-06:00,282.1047845402187 V
2017-05-28T00:00:00-06:00,281.7990462531258 V
2017-05-29T00:00:00-06:00,281.4672297926951 V
2017-05-30T00:00:00-06:00,281.1455667286834 V
2017-05-31T00:00:00-06:00,280.72785490209407 V
2017-06-01T00:00:00-06:00,281.766888553446 V
2017-06-02T00:00:00-06:00,281.73580282242574 V
2017-06-03T00:00:00-06:00,281.8503460884094 V
2017-06-04T00:00:00-06:00,281.66445212227956 V
2017-06-05T00:00:00-06:00,281.46475577199277 V
2017-06-06T00:00:00-06:00,281.6456147559438 V
2017-06-07T00:00:00-06:00,281.3781066048676 V
2017-06-08T00:00:00-06:00,281.56172341945177 V
2017-06-09T00:00:00-06:00,281.6490866744206 V
2017-06-10T00:00:00-06:00,281.2053881182143 V
2017-06-11T00:00:00-06:00,281.5912029330291 V
2017-06-12T00:00:00-06:00,282.10229808618897 V
2017-06-13T00:00:00-06:00,282.59558807586455 V
2017-06-14T00:00:00-06:00,281.7411708311237 V
2017-06-15T00:00:00-06:00,280.9446504114392 V
2017-06-16T00:00:00-06:00,281.54640199885023 V
2017-06-17T00:00:00-06:00,281.8533758334159 V
2017-06-18T00:00:00-06:00,282.0209787503095 V
2017-06-19T00:00:00-06:00,281.10676803480953 V
2017-06-20T00:00:00-06:00,280.34456311242053 V
2017-06-21T00:00:00-06:00,281.42028821710187 V
2017-06-22T00:00:00-06:00,281.42605943789425 V
2017-06-23T00:00:00-06:00,281.7407118533751 V
2017-06-24T00:00:00-06:00,281.8768489202318 V
2017-06-25T00:00:00-06:00,281.97283935546875 V
