Timestamp,['1f4f32b1-68ea807b Power Meter (4160V) 316611 Current C']
2017-05-19T00:00:00-06:00,4.8625 A
2017-05-20T00:00:00-06:00,17 A
2017-05-21T00:00:00-06:00,18.313953488372093 A
2017-05-22T00:00:00-06:00,23.64367816091954 A
2017-05-23T00:00:00-06:00,40.32954545454545 A
2017-05-24T00:00:00-06:00,41.05882352941177 A
2017-05-25T00:00:00-06:00,30.04 A
2017-05-26T00:00:00-06:00,19.11627906976744 A
2017-05-27T00:00:00-06:00,19.967032967032967 A
2017-05-28T00:00:00-06:00,32.1123595505618 A
2017-05-29T00:00:00-06:00,0.8636363636363636 A
2017-05-30T00:00:00-06:00,27.3 A
2017-05-31T00:00:00-06:00,46.328947368421055 A
2017-06-01T00:00:00-06:00,46.01724137931034 A
2017-06-02T00:00:00-06:00,32.614285714285714 A
2017-06-03T00:00:00-06:00,44.98888888888889 A
2017-06-04T00:00:00-06:00,45.65625 A
2017-06-05T00:00:00-06:00,51.32142857142857 A
2017-06-06T00:00:00-06:00,53.60227272727273 A
2017-06-07T00:00:00-06:00,55.44827586206897 A
2017-06-08T00:00:00-06:00,52.28888888888889 A
2017-06-09T00:00:00-06:00,43.5 A
2017-06-10T00:00:00-06:00,40.27906976744186 A
2017-06-11T00:00:00-06:00,43.50574712643678 A
2017-06-12T00:00:00-06:00,35.03409090909091 A
2017-06-13T00:00:00-06:00,16.298850574712645 A
2017-06-14T00:00:00-06:00,31.469135802469136 A
2017-06-15T00:00:00-06:00,45.75806451612903 A
2017-06-16T00:00:00-06:00,49.84615384615385 A
2017-06-17T00:00:00-06:00,44.19767441860465 A
2017-06-18T00:00:00-06:00,46.32222222222222 A
2017-06-19T00:00:00-06:00,64.71111111111111 A
2017-06-20T00:00:00-06:00,78.54878048780488 A
2017-06-21T00:00:00-06:00,75.69135802469135 A
2017-06-22T00:00:00-06:00,59.035714285714285 A
2017-06-23T00:00:00-06:00,54.78313253012048 A
2017-06-24T00:00:00-06:00,49.47727272727273 A
2017-06-25T00:00:00-06:00,65.13432835820896 A
2017-06-26T00:00:00-06:00,75.53968253968254 A
2017-06-27T00:00:00-06:00,69.32432432432432 A
2017-06-28T00:00:00-06:00,58.438202247191015 A
2017-06-29T00:00:00-06:00,54.825581395348834 A
2017-06-30T00:00:00-06:00,54.21348314606742 A
2017-07-01T00:00:00-06:00,56.01075268817204 A
2017-07-02T00:00:00-06:00,62.56 A
2017-07-03T00:00:00-06:00,76.84507042253522 A
2017-07-04T00:00:00-06:00,74.36170212765957 A
