Timestamp,['1fe6f971-7895b934 Power Meter 085220 (300186) Current A']
2017-05-01T00:00:00-06:00,88.52808971619338 A
2017-05-02T00:00:00-06:00,89.30641056941106 A
2017-05-03T00:00:00-06:00,89.92435875917093 A
2017-05-04T00:00:00-06:00,89.23026335866828 A
2017-05-05T00:00:00-06:00,90.50853701335627 A
2017-05-06T00:00:00-06:00,78.57419348275789 A
2017-05-07T00:00:00-06:00,79.81627876814022 A
2017-05-08T00:00:00-06:00,90.71604966528622 A
2017-05-09T00:00:00-06:00,90.35294090719783 A
2017-05-10T00:00:00-06:00,100.44999990463256 A
2017-05-11T00:00:00-06:00,109.85952395484561 A
2017-05-12T00:00:00-06:00,99.2829544760964 A
2017-05-13T00:00:00-06:00,79.41931819915771 A
2017-05-14T00:00:00-06:00,80.78139504720998 A
2017-05-15T00:00:00-06:00,92.88046010335286 A
2017-05-16T00:00:00-06:00,93.6741174136891 A
2017-05-17T00:00:00-06:00,90.49404807317825 A
2017-05-18T00:00:00-06:00,91.01785659790039 A
2017-05-19T00:00:00-06:00,85.74516107702767 A
2017-05-20T00:00:00-06:00,83.34941136977253 A
2017-05-21T00:00:00-06:00,82.84698771281414 A
2017-05-22T00:00:00-06:00,89.86551736415117 A
2017-05-23T00:00:00-06:00,88.64193536901986 A
2017-05-24T00:00:00-06:00,90.01976705151935 A
2017-05-25T00:00:00-06:00,89.02528749663254 A
2017-05-26T00:00:00-06:00,84.78235321044922 A
2017-05-27T00:00:00-06:00,71.63789472078022 A
2017-05-28T00:00:00-06:00,70.97088632704336 A
2017-05-29T00:00:00-06:00,77.16931828585538 A
2017-05-30T00:00:00-06:00,85.76774178781817 A
2017-05-31T00:00:00-06:00,85.67096775834278 A
2017-06-01T00:00:00-06:00,84.70348881566247 A
2017-06-02T00:00:00-06:00,82.50481883589043 A
2017-06-03T00:00:00-06:00,76.36067456877633 A
2017-06-04T00:00:00-06:00,74.76739095604938 A
2017-06-05T00:00:00-06:00,83.6719517591523 A
2017-06-06T00:00:00-06:00,87.40348815917969 A
2017-06-07T00:00:00-06:00,90.05657898752312 A
2017-06-08T00:00:00-06:00,85.76941160314223 A
2017-06-09T00:00:00-06:00,81.73974374624399 A
2017-06-10T00:00:00-06:00,77.81525434073755 A
2017-06-11T00:00:00-06:00,78.75820877302938 A
2017-06-12T00:00:00-06:00,84.16463396025867 A
2017-06-13T00:00:00-06:00,116.33295423334295 A
2017-06-14T00:00:00-06:00,141.04714366367884 A
2017-06-15T00:00:00-06:00,121.75483916908182 A
2017-06-16T00:00:00-06:00,112.8802473280165 A
2017-06-17T00:00:00-06:00,133.67011550377154 A
2017-06-18T00:00:00-06:00,138.46296258620274 A
2017-06-19T00:00:00-06:00,150.27179483266977 A
2017-06-20T00:00:00-06:00,147.8342090405916 A
2017-06-21T00:00:00-06:00,148.0074633697965 A
2017-06-22T00:00:00-06:00,146.2626670328776 A
2017-06-23T00:00:00-06:00,140.68142841884068 A
2017-06-24T00:00:00-06:00,138.28039161831725 A
2017-06-25T00:00:00-06:00,139.68035616193498 A
2017-06-26T00:00:00-06:00,152.9642859322684 A
2017-06-27T00:00:00-06:00,148.73799926757812 A
2017-06-28T00:00:00-06:00,148.8926472383387 A
2017-06-29T00:00:00-06:00,151.17631550839073 A
2017-06-30T00:00:00-06:00,148.3206899357938 A
2017-07-01T00:00:00-06:00,138.61290289766046 A
2017-07-02T00:00:00-06:00,141.93978520875336 A
2017-07-03T00:00:00-06:00,148.6400003051758 A
2017-07-04T00:00:00-06:00,140.86415128887825 A
2017-07-05T00:00:00-06:00,156.16436855272315 A
2017-07-06T00:00:00-06:00,155.54736890290914 A
2017-07-07T00:00:00-06:00,166.0500005086263 A
2017-07-08T00:00:00-06:00,143.2000013078962 A
2017-07-09T00:00:00-06:00,142.9749984741211 A
2017-07-10T00:00:00-06:00,143.23333231608072 A
2017-07-11T00:00:00-06:00,144.37999877929687 A
2017-07-12T00:00:00-06:00,139.6 A
2017-07-14T00:00:00-06:00,157.92500114440918 A
2017-07-15T00:00:00-06:00,136.62857055664062 A
2017-07-16T00:00:00-06:00,147.79999923706055 A
2017-07-17T00:00:00-06:00,156.5142865862165 A
2017-07-18T00:00:00-06:00,144.7750015258789 A
2017-07-19T00:00:00-06:00,145.51666768391928 A
