Timestamp,['1cc97212-037a490a 0051-STERLING SILL CNTR Power Meter Current C']
2017-04-28T00:00:00-06:00,58.81458350022634 A
2017-04-29T00:00:00-06:00,45.300000031789146 A
2017-04-30T00:00:00-06:00,48.56145817041397 A
2017-05-01T00:00:00-06:00,60.507291515668236 A
2017-05-02T00:00:00-06:00,62.356249849001564 A
2017-05-03T00:00:00-06:00,59.08541679382324 A
2017-05-04T00:00:00-06:00,58.91354155540466 A
2017-05-05T00:00:00-06:00,57.99791665871938 A
2017-05-06T00:00:00-06:00,53.69687501589457 A
2017-05-07T00:00:00-06:00,50.33020830154419 A
2017-05-08T00:00:00-06:00,59.061458349227905 A
2017-05-09T00:00:00-06:00,55.34270826975504 A
2017-05-10T00:00:00-06:00,58.81874990463257 A
2017-05-11T00:00:00-06:00,58.54895830154419 A
2017-05-12T00:00:00-06:00,56.94374998410543 A
2017-05-13T00:00:00-06:00,49.4406249721845 A
2017-05-14T00:00:00-06:00,48.18333319822947 A
2017-05-15T00:00:00-06:00,58.58020822207133 A
2017-05-16T00:00:00-06:00,61.74479162693024 A
2017-05-17T00:00:00-06:00,58.130208253860474 A
2017-05-18T00:00:00-06:00,58.44270837306976 A
2017-05-19T00:00:00-06:00,55.96458319822947 A
2017-05-20T00:00:00-06:00,47.797916650772095 A
2017-05-21T00:00:00-06:00,52.28958342472712 A
2017-05-22T00:00:00-06:00,58.112500111262 A
2017-05-23T00:00:00-06:00,59.0041663646698 A
2017-05-24T00:00:00-06:00,60.945833245913185 A
2017-05-25T00:00:00-06:00,61.94375014305115 A
2017-05-26T00:00:00-06:00,59.50208310286204 A
2017-05-27T00:00:00-06:00,49.06145842870077 A
2017-05-28T00:00:00-06:00,51.17604192097982 A
2017-05-29T00:00:00-06:00,51.840624888738 A
2017-05-30T00:00:00-06:00,60.28020830949148 A
2017-05-31T00:00:00-06:00,64.39270814259847 A
2017-06-01T00:00:00-06:00,66.67812482515971 A
2017-06-02T00:00:00-06:00,58.73854192097982 A
2017-06-03T00:00:00-06:00,50.74895842870077 A
2017-06-04T00:00:00-06:00,51.86041669050852 A
2017-06-05T00:00:00-06:00,60.17916655540466 A
2017-06-06T00:00:00-06:00,62.31874974568685 A
2017-06-07T00:00:00-06:00,60.85208304723104 A
2017-06-08T00:00:00-06:00,61.927083571751915 A
2017-06-09T00:00:00-06:00,56.987499952316284 A
2017-06-10T00:00:00-06:00,51.0291668176651 A
2017-06-11T00:00:00-06:00,51.13229159514109 A
2017-06-12T00:00:00-06:00,65.08749973773956 A
2017-06-13T00:00:00-06:00,62.53750010331472 A
2017-06-14T00:00:00-06:00,59.45104197661082 A
2017-06-15T00:00:00-06:00,60.901041746139526 A
2017-06-16T00:00:00-06:00,57.83020838101705 A
2017-06-17T00:00:00-06:00,51.36354148387909 A
2017-06-18T00:00:00-06:00,50.474999944368996 A
2017-06-19T00:00:00-06:00,59.51145855585734 A
2017-06-20T00:00:00-06:00,61.583333452542625 A
2017-06-21T00:00:00-06:00,62.00104161103567 A
2017-06-22T00:00:00-06:00,62.21666649977366 A
2017-06-23T00:00:00-06:00,61.67395822207133 A
2017-06-24T00:00:00-06:00,50.50312499205271 A
2017-06-25T00:00:00-06:00,50.56979167461395 A
2017-06-26T00:00:00-06:00,60.05312526226044 A
2017-06-27T00:00:00-06:00,59.63958319028219 A
2017-06-28T00:00:00-06:00,58.920833349227905 A
2017-06-29T00:00:00-06:00,58.443750301996864 A
2017-06-30T00:00:00-06:00,56.73541680971781 A
2017-07-01T00:00:00-06:00,50.74479158719381 A
2017-07-02T00:00:00-06:00,50.873958349227905 A
2017-07-03T00:00:00-06:00,55.76770842075348 A
2017-07-04T00:00:00-06:00,51.37291669845581 A
2017-07-05T00:00:00-06:00,61.45312472184499 A
2017-07-06T00:00:00-06:00,60.24062510331472 A
2017-07-07T00:00:00-06:00,59.97604159514109 A
2017-07-08T00:00:00-06:00,52.59895817438761 A
2017-07-09T00:00:00-06:00,53.010416746139526 A
2017-07-10T00:00:00-06:00,61.540624936421715 A
2017-07-11T00:00:00-06:00,63.33229192097982 A
2017-07-12T00:00:00-06:00,63.293750047683716 A
2017-07-13T00:00:00-06:00,63.471875150998436 A
2017-07-14T00:00:00-06:00,62.81354169050852 A
2017-07-15T00:00:00-06:00,54.51145839691162 A
2017-07-16T00:00:00-06:00,54.10624980926514 A
2017-07-17T00:00:00-06:00,63.846875111262 A
2017-07-18T00:00:00-06:00,62.73854168256124 A
2017-07-19T00:00:00-06:00,65.45520850022633 A
2017-07-20T00:00:00-06:00,63.206250270207725 A
2017-07-21T00:00:00-06:00,60.172916332880654 A
2017-07-22T00:00:00-06:00,51.88854169845581 A
2017-07-23T00:00:00-06:00,51.824999928474426 A
2017-07-24T00:00:00-06:00,52.206250031789146 A
2017-07-25T00:00:00-06:00,64.62812495231628 A
2017-07-26T00:00:00-06:00,63.14166637261709 A
2017-07-27T00:00:00-06:00,62.23333326975504 A
2017-07-28T00:00:00-06:00,61.650000055631004 A
2017-07-29T00:00:00-06:00,52.56145819028219 A
2017-07-30T00:00:00-06:00,52.489583333333336 A
2017-07-31T00:00:00-06:00,62.119791746139526 A
2017-08-01T00:00:00-06:00,61.288541634877525 A
2017-08-02T00:00:00-06:00,59.97916658719381 A
2017-08-03T00:00:00-06:00,57.96666689713796 A
2017-08-04T00:00:00-06:00,57.80659350720081 A
2017-08-05T00:00:00-06:00,50.98541661103567 A
2017-08-06T00:00:00-06:00,52.77395828564962 A
2017-08-07T00:00:00-06:00,60.79479157924652 A
2017-08-08T00:00:00-06:00,59.596875150998436 A
2017-08-09T00:00:00-06:00,62.35312477747599 A
2017-08-10T00:00:00-06:00,62.34680829149612 A
2017-08-11T00:00:00-06:00,60.78854159514109 A
2017-08-12T00:00:00-06:00,52.854166785875954 A
2017-08-13T00:00:00-06:00,53.81250003973643 A
2017-08-14T00:00:00-06:00,64.27395832538605 A
2017-08-15T00:00:00-06:00,62.260416785875954 A
2017-08-16T00:00:00-06:00,61.998958587646484 A
2017-08-17T00:00:00-06:00,62.91458320617676 A
2017-08-18T00:00:00-06:00,60.208333253860474 A
2017-08-19T00:00:00-06:00,52.89479156335195 A
2017-08-20T00:00:00-06:00,52.97916662693024 A
2017-08-21T00:00:00-06:00,62.889583110809326 A
2017-08-22T00:00:00-06:00,65.41145813465118 A
2017-08-23T00:00:00-06:00,63.410416642824806 A
2017-08-24T00:00:00-06:00,61.37083351612091 A
2017-08-25T00:00:00-06:00,60.84583322207133 A
2017-08-26T00:00:00-06:00,51.38854161898295 A
2017-08-27T00:00:00-06:00,51.53958340485891 A
2017-08-28T00:00:00-06:00,63.576343946559454 A
2017-08-29T00:00:00-06:00,64.86559115173996 A
2017-08-30T00:00:00-06:00,61.56666696071625 A
2017-08-31T00:00:00-06:00,64.46458335717519 A
2017-09-01T00:00:00-06:00,60.23854148387909 A
2017-09-02T00:00:00-06:00,51.715624928474426 A
2017-09-03T00:00:00-06:00,51.73645838101705 A
2017-09-04T00:00:00-06:00,51.95520842075348 A
2017-09-05T00:00:00-06:00,63.886458237965904 A
2017-09-06T00:00:00-06:00,63.19270809491476 A
2017-09-07T00:00:00-06:00,62.757291316986084 A
2017-09-08T00:00:00-06:00,61.09578941746762 A
2017-09-09T00:00:00-06:00,55.06145836909612 A
2017-09-10T00:00:00-06:00,51.61770844459534 A
2017-09-11T00:00:00-06:00,62.20416680971781 A
2017-09-12T00:00:00-06:00,62.871874928474426 A
2017-09-13T00:00:00-06:00,63.28437479337057 A
2017-09-14T00:00:00-06:00,67.02395816644032 A
2017-09-15T00:00:00-06:00,61.89479144414266 A
2017-09-16T00:00:00-06:00,49.67708337306976 A
2017-09-17T00:00:00-06:00,50.407291769981384 A
2017-09-18T00:00:00-06:00,60.17291647195816 A
2017-09-19T00:00:00-06:00,64.32916645208995 A
2017-09-20T00:00:00-06:00,60.03437519073486 A
2017-09-21T00:00:00-06:00,61.57291646798452 A
2017-09-22T00:00:00-06:00,55.64583353201548 A
2017-09-23T00:00:00-06:00,53.12083327770233 A
2017-09-24T00:00:00-06:00,52.99062474568685 A
2017-09-25T00:00:00-06:00,60.00833340485891 A
2017-09-26T00:00:00-06:00,59.25104173024496 A
2017-09-27T00:00:00-06:00,57.12499984105428 A
2017-09-28T00:00:00-06:00,63.73229189713796 A
2017-09-29T00:00:00-06:00,58.65625 A
2017-09-30T00:00:00-06:00,56.56250019868215 A
2017-10-01T00:00:00-06:00,52.094791650772095 A
2017-10-02T00:00:00-06:00,59.44687489668528 A
2017-10-03T00:00:00-06:00,60.79791657129923 A
2017-10-04T00:00:00-06:00,63.02812524636587 A
2017-10-05T00:00:00-06:00,59.199999968210854 A
2017-10-06T00:00:00-06:00,58.20208326975504 A
2017-10-07T00:00:00-06:00,49.57916669050852 A
2017-10-08T00:00:00-06:00,51.64583349227905 A
2017-10-09T00:00:00-06:00,56.13020849227905 A
2017-10-10T00:00:00-06:00,56.58229160308838 A
2017-10-11T00:00:00-06:00,58.73437511920929 A
2017-10-12T00:00:00-06:00,56.8541667064031 A
2017-10-13T00:00:00-06:00,55.774999936421715 A
2017-10-14T00:00:00-06:00,50.76250012715658 A
2017-10-15T00:00:00-06:00,49.57395827770233 A
2017-10-16T00:00:00-06:00,60.23541661103567 A
2017-10-17T00:00:00-06:00,60.83229152361552 A
2017-10-18T00:00:00-06:00,60.35312473773956 A
2017-10-19T00:00:00-06:00,62.80416667461395 A
2017-10-20T00:00:00-06:00,65.44479163487752 A
2017-10-21T00:00:00-06:00,49.117708245913185 A
2017-10-22T00:00:00-06:00,52.7291667064031 A
2017-10-23T00:00:00-06:00,61.28333322207133 A
2017-10-24T00:00:00-06:00,60.05312502384186 A
2017-10-25T00:00:00-06:00,61.28437523047129 A
2017-10-26T00:00:00-06:00,64.12916672229767 A
2017-10-27T00:00:00-06:00,62.45416637261709 A
2017-10-28T00:00:00-06:00,55.72812501589457 A
2017-10-29T00:00:00-06:00,55.84999986489614 A
2017-10-30T00:00:00-06:00,67.18645799160004 A
2017-10-31T00:00:00-06:00,50.97395851214727 A
2017-11-01T00:00:00-06:00,50.13854161898295 A
2017-11-02T00:00:00-06:00,49.94583338499069 A
2017-11-03T00:00:00-06:00,49.55104180177053 A
2017-11-04T00:00:00-06:00,32.49375009536743 A
2017-11-05T00:00:00-06:00,30.05900005340576 A
2017-11-06T00:00:00-07:00,49.91458320617676 A
2017-11-07T00:00:00-07:00,47.11041659116745 A
2017-11-08T00:00:00-07:00,45.54687495032946 A
2017-11-09T00:00:00-07:00,44.17499993244807 A
2017-11-10T00:00:00-07:00,45.64270830154419 A
2017-11-11T00:00:00-07:00,22.843750059604645 A
2017-11-12T00:00:00-07:00,24.94895835717519 A
2017-11-13T00:00:00-07:00,45.29270831743876 A
2017-11-14T00:00:00-07:00,45.744791785875954 A
2017-11-15T00:00:00-07:00,47.931250194708504 A
2017-11-16T00:00:00-07:00,52.19270810484886 A
2017-11-17T00:00:00-07:00,45.45416664083799 A
2017-11-18T00:00:00-07:00,22.936458259820938 A
2017-11-19T00:00:00-07:00,25.204166660706203 A
2017-11-20T00:00:00-07:00,47.997916489839554 A
2017-11-21T00:00:00-07:00,46.05729162693024 A
2017-11-22T00:00:00-07:00,41.38958340883255 A
2017-11-23T00:00:00-07:00,36.070833245913185 A
2017-11-24T00:00:00-07:00,34.82708330949148 A
2017-11-25T00:00:00-07:00,26.333333363135655 A
2017-11-26T00:00:00-07:00,28.029166450103123 A
2017-11-27T00:00:00-07:00,49.34583366910616 A
2017-11-28T00:00:00-07:00,42.96979174017906 A
2017-11-29T00:00:00-07:00,41.73333332935969 A
2017-11-30T00:00:00-07:00,42.1166667441527 A
2017-12-01T00:00:00-07:00,42.146874795357384 A
2017-12-02T00:00:00-07:00,23.834375003973644 A
2017-12-03T00:00:00-07:00,25.582291573286057 A
2017-12-04T00:00:00-07:00,47.03854159514109 A
2017-12-05T00:00:00-07:00,43.7645833392938 A
2017-12-06T00:00:00-07:00,43.847916742165886 A
2017-12-07T00:00:00-07:00,43.41041656335195 A
2017-12-08T00:00:00-07:00,40.442708333333336 A
2017-12-09T00:00:00-07:00,22.36458335320155 A
2017-12-10T00:00:00-07:00,22.42708334326744 A
2017-12-11T00:00:00-07:00,43.506250043710075 A
2017-12-12T00:00:00-07:00,44.336458295583725 A
2017-12-13T00:00:00-07:00,44.23854179183642 A
2017-12-14T00:00:00-07:00,40.60208345452944 A
2017-12-15T00:00:00-07:00,42.186458299557366 A
2017-12-16T00:00:00-07:00,25.5833334227403 A
2017-12-17T00:00:00-07:00,23.612499992052715 A
2017-12-18T00:00:00-07:00,44.94086007148989 A
2017-12-19T00:00:00-07:00,43.45833319425583 A
