Timestamp,['206e9e5b-70b3d10e 0046-LASSONDE STUDIOS Power Meter 316258 Current B']
2017-07-23T00:00:00-06:00,152.49556732177734 A
2017-07-24T00:00:00-06:00,149.7529559135437 A
2017-07-25T00:00:00-06:00,152.67112000783285 A
2017-07-26T00:00:00-06:00,151.95540603001913 A
2017-07-27T00:00:00-06:00,147.4386296322471 A
2017-07-28T00:00:00-06:00,146.40631548563638 A
2017-07-29T00:00:00-06:00,145.04414812723795 A
2017-07-30T00:00:00-06:00,152.10986502965292 A
2017-07-31T00:00:00-06:00,148.98586932818094 A
2017-08-01T00:00:00-06:00,149.13812065124512 A
2017-08-02T00:00:00-06:00,147.49892282485962 A
2017-08-03T00:00:00-06:00,144.84096654256186 A
2017-08-04T00:00:00-06:00,150.51424164824434 A
2017-08-05T00:00:00-06:00,143.03028217951456 A
2017-08-06T00:00:00-06:00,142.27691014607748 A
2017-08-07T00:00:00-06:00,140.08944845199585 A
2017-08-08T00:00:00-06:00,143.2339390118917 A
2017-08-09T00:00:00-06:00,141.55216964085898 A
2017-08-10T00:00:00-06:00,146.30754933458692 A
2017-08-11T00:00:00-06:00,145.07454681396484 A
2017-08-12T00:00:00-06:00,146.5926391283671 A
2017-08-13T00:00:00-06:00,147.66264645258585 A
2017-08-14T00:00:00-06:00,148.08044338226318 A
2017-08-15T00:00:00-06:00,144.93820786476135 A
2017-08-16T00:00:00-06:00,144.3527959982554 A
2017-08-17T00:00:00-06:00,169.96822214126587 A
2017-08-18T00:00:00-06:00,179.66457494099936 A
2017-08-19T00:00:00-06:00,174.48753881454468 A
2017-08-20T00:00:00-06:00,181.53938976923624 A
2017-08-21T00:00:00-06:00,190.08600012461343 A
2017-08-22T00:00:00-06:00,198.9679363568624 A
2017-08-23T00:00:00-06:00,199.09710343678793 A
2017-08-24T00:00:00-06:00,196.00303649902344 A
2017-08-25T00:00:00-06:00,193.36609665552774 A
2017-08-26T00:00:00-06:00,190.67936356862387 A
2017-08-27T00:00:00-06:00,195.612100760142 A
2017-08-28T00:00:00-06:00,196.7250218598739 A
2017-08-29T00:00:00-06:00,210.57379560573128 A
2017-08-30T00:00:00-06:00,201.78442255655924 A
2017-08-31T00:00:00-06:00,197.79967069625854 A
2017-09-01T00:00:00-06:00,193.47312466303507 A
2017-09-02T00:00:00-06:00,193.02393293380737 A
2017-09-03T00:00:00-06:00,192.73478617566698 A
2017-09-04T00:00:00-06:00,199.33861509958902 A
2017-09-05T00:00:00-06:00,202.22906494140625 A
2017-09-06T00:00:00-06:00,205.51194270451865 A
2017-09-07T00:00:00-06:00,200.15581957499185 A
2017-09-08T00:00:00-06:00,204.13063909652385 A
2017-09-09T00:00:00-06:00,199.32044553756714 A
2017-09-10T00:00:00-06:00,199.527694384257 A
2017-09-11T00:00:00-06:00,203.31629625956217 A
2017-09-12T00:00:00-06:00,200.08015521367392 A
2017-09-13T00:00:00-06:00,200.6339775721232 A
2017-09-14T00:00:00-06:00,201.9916230837504 A
2017-09-15T00:00:00-06:00,198.0194191380551 A
2017-09-16T00:00:00-06:00,185.2734818458557 A
2017-09-17T00:00:00-06:00,195.40052064259848 A
2017-09-18T00:00:00-06:00,204.54245567321777 A
2017-09-19T00:00:00-06:00,203.5769680341085 A
2017-09-20T00:00:00-06:00,204.72941986719766 A
2017-09-21T00:00:00-06:00,208.14829619725546 A
