Timestamp,['1cda76a6-a88b0f80 0014-TALMAGE BLDG Power Meter Current A']
2017-05-13T00:00:00-06:00,84.27361250983344 A
2017-05-14T00:00:00-06:00,99.60555691189236 A
2017-05-15T00:00:00-06:00,117.8847246699863 A
2017-05-16T00:00:00-06:00,113.55021033816867 A
2017-05-17T00:00:00-06:00,93.81111299726697 A
2017-05-18T00:00:00-06:00,97.48882117271424 A
2017-05-19T00:00:00-06:00,95.37340434392293 A
2017-05-20T00:00:00-06:00,96.87201554510328 A
2017-05-21T00:00:00-06:00,102.15347379048666 A
2017-05-22T00:00:00-06:00,110.21805766423543 A
2017-05-23T00:00:00-06:00,119.60465470949809 A
2017-05-24T00:00:00-06:00,121.97611316574944 A
2017-05-25T00:00:00-06:00,119.95048795276217 A
2017-05-26T00:00:00-06:00,114.25770975218879 A
2017-05-27T00:00:00-06:00,105.46937686602274 A
2017-05-28T00:00:00-06:00,119.81125164031982 A
2017-05-29T00:00:00-06:00,121.9711128340827 A
2017-05-30T00:00:00-06:00,132.11625192430284 A
2017-05-31T00:00:00-06:00,132.7829884952969 A
2017-06-01T00:00:00-06:00,132.49097487661572 A
2017-06-02T00:00:00-06:00,129.35972462760077 A
2017-06-03T00:00:00-06:00,119.97687668270535 A
2017-06-04T00:00:00-06:00,122.97916819254557 A
2017-06-05T00:00:00-06:00,133.19847457673814 A
2017-06-06T00:00:00-06:00,135.5709053516388 A
2017-06-07T00:00:00-06:00,135.55625234180027 A
2017-06-08T00:00:00-06:00,142.12916939523484 A
2017-06-09T00:00:00-06:00,141.42382187313504 A
2017-06-10T00:00:00-06:00,127.61133089932528 A
2017-06-11T00:00:00-06:00,131.88861367967394 A
2017-06-12T00:00:00-06:00,133.50021056599087 A
2017-06-13T00:00:00-06:00,116.27146064440409 A
2017-06-14T00:00:00-06:00,130.6562524901496 A
2017-06-15T00:00:00-06:00,125.9034742249383 A
2017-06-16T00:00:00-06:00,125.42361328336928 A
2017-06-17T00:00:00-06:00,122.27500163184271 A
2017-06-18T00:00:00-06:00,116.87152904934354 A
2017-06-19T00:00:00-06:00,131.35312729411655 A
2017-06-20T00:00:00-06:00,133.9490991062588 A
2017-06-21T00:00:00-06:00,139.07583644655017 A
2017-06-22T00:00:00-06:00,140.3141002760993 A
2017-06-23T00:00:00-06:00,134.65951642990112 A
2017-06-24T00:00:00-06:00,127.7614607334137 A
2017-06-25T00:00:00-06:00,128.5576411989 A
2017-06-26T00:00:00-06:00,134.72736402087742 A
2017-06-27T00:00:00-06:00,141.5030583381653 A
2017-06-28T00:00:00-06:00,141.04000250498453 A
2017-06-29T00:00:00-06:00,143.0776413705614 A
2017-06-30T00:00:00-06:00,137.26743332544962 A
2017-07-01T00:00:00-06:00,130.6904198275672 A
2017-07-02T00:00:00-06:00,129.182849878735 A
2017-07-03T00:00:00-06:00,133.59548837873672 A
2017-07-04T00:00:00-06:00,128.3061132007175 A
2017-07-05T00:00:00-06:00,142.05909979078504 A
2017-07-06T00:00:00-06:00,140.2670158704122 A
2017-07-07T00:00:00-06:00,138.42528047561646 A
