Timestamp,['1f4f36d7-3eef5bf2 Power Meter (LV) 316609 Real Power Total']
2017-05-27T00:00:00-06:00,170 kW
2017-05-28T00:00:00-06:00,164 kW
2017-05-29T00:00:00-06:00,176 kW
2017-05-30T00:00:00-06:00,219 kW
2017-05-31T00:00:00-06:00,234 kW
2017-06-01T00:00:00-06:00,234 kW
2017-06-02T00:00:00-06:00,205 kW
2017-06-03T00:00:00-06:00,173 kW
2017-06-04T00:00:00-06:00,160 kW
2017-06-05T00:00:00-06:00,216 kW
2017-06-06T00:00:00-06:00,234 kW
2017-06-07T00:00:00-06:00,227 kW
2017-06-08T00:00:00-06:00,238 kW
2017-06-09T00:00:00-06:00,217 kW
2017-06-10T00:00:00-06:00,168 kW
2017-06-11T00:00:00-06:00,169 kW
2017-06-12T00:00:00-06:00,221 kW
2017-06-13T00:00:00-06:00,236 kW
2017-06-14T00:00:00-06:00,231 kW
2017-06-15T00:00:00-06:00,222 kW
2017-06-16T00:00:00-06:00,228 kW
2017-06-17T00:00:00-06:00,169 kW
2017-06-18T00:00:00-06:00,167 kW
2017-06-19T00:00:00-06:00,227 kW
2017-06-20T00:00:00-06:00,245 kW
2017-06-21T00:00:00-06:00,222 kW
2017-06-22T00:00:00-06:00,227 kW
2017-06-23T00:00:00-06:00,214 kW
2017-06-24T00:00:00-06:00,168 kW
2017-06-25T00:00:00-06:00,172 kW
2017-06-26T00:00:00-06:00,229 kW
2017-06-27T00:00:00-06:00,235 kW
2017-06-28T00:00:00-06:00,222 kW
2017-06-29T00:00:00-06:00,211 kW
2017-06-30T00:00:00-06:00,238 kW
2017-07-01T00:00:00-06:00,174 kW
2017-07-02T00:00:00-06:00,164 kW
2017-07-03T00:00:00-06:00,203 kW
2017-07-04T00:00:00-06:00,175 kW
2017-07-05T00:00:00-06:00,218 kW
2017-07-06T00:00:00-06:00,223 kW
2017-07-07T00:00:00-06:00,202 kW
2017-07-08T00:00:00-06:00,167 kW
2017-07-09T00:00:00-06:00,154 kW
2017-07-10T00:00:00-06:00,148 kW
2017-07-11T00:00:00-06:00,209 kW
2017-07-12T00:00:00-06:00,184 kW
2017-07-14T00:00:00-06:00,233 kW
2017-07-15T00:00:00-06:00,172 kW
2017-07-16T00:00:00-06:00,176 kW
2017-07-17T00:00:00-06:00,213 kW
2017-07-18T00:00:00-06:00,164 kW
2017-07-19T00:00:00-06:00,223 kW
2017-07-20T00:00:00-06:00,213 kW
2017-07-21T00:00:00-06:00,215 kW
2017-07-22T00:00:00-06:00,172 kW
2017-07-23T00:00:00-06:00,154 kW
2017-07-24T00:00:00-06:00,171 kW
2017-07-25T00:00:00-06:00,215 kW
2017-07-26T00:00:00-06:00,231 kW
2017-07-27T00:00:00-06:00,220 kW
2017-07-28T00:00:00-06:00,173 kW
2017-07-29T00:00:00-06:00,165 kW
2017-07-30T00:00:00-06:00,158 kW
2017-07-31T00:00:00-06:00,171 kW
2017-08-01T00:00:00-06:00,219 kW
2017-08-02T00:00:00-06:00,157 kW
2017-08-03T00:00:00-06:00,178 kW
2017-08-04T00:00:00-06:00,202 kW
2017-08-05T00:00:00-06:00,152 kW
2017-08-06T00:00:00-06:00,156 kW
2017-08-07T00:00:00-06:00,194 kW
2017-08-08T00:00:00-06:00,193 kW
2017-08-09T00:00:00-06:00,177 kW
2017-08-10T00:00:00-06:00,152 kW
2017-08-11T00:00:00-06:00,186 kW
2017-08-12T00:00:00-06:00,158 kW
2017-08-13T00:00:00-06:00,144 kW
2017-08-14T00:00:00-06:00,194 kW
2017-08-15T00:00:00-06:00,184 kW
2017-08-16T00:00:00-06:00,179 kW
2017-08-17T00:00:00-06:00,200 kW
2017-08-18T00:00:00-06:00,158 kW
2017-08-19T00:00:00-06:00,164 kW
2017-08-20T00:00:00-06:00,163 kW
2017-08-21T00:00:00-06:00,189 kW
2017-08-22T00:00:00-06:00,198 kW
2017-08-23T00:00:00-06:00,191 kW
2017-08-24T00:00:00-06:00,198 kW
2017-08-25T00:00:00-06:00,205 kW
2017-08-26T00:00:00-06:00,156 kW
2017-08-27T00:00:00-06:00,153 kW
2017-08-28T00:00:00-06:00,222 kW
2017-08-29T00:00:00-06:00,191 kW
2017-08-30T00:00:00-06:00,227 kW
2017-08-31T00:00:00-06:00,215 kW
2017-09-01T00:00:00-06:00,215 kW
2017-09-02T00:00:00-06:00,147 kW
2017-09-03T00:00:00-06:00,152 kW
2017-09-04T00:00:00-06:00,163 kW
2017-09-05T00:00:00-06:00,212 kW
2017-09-06T00:00:00-06:00,204 kW
2017-09-07T00:00:00-06:00,189 kW
2017-09-08T00:00:00-06:00,219 kW
2017-09-09T00:00:00-06:00,165 kW
2017-09-10T00:00:00-06:00,147 kW
2017-09-11T00:00:00-06:00,195 kW
2017-09-12T00:00:00-06:00,201 kW
2017-09-13T00:00:00-06:00,212 kW
2017-09-14T00:00:00-06:00,201 kW
2017-09-15T00:00:00-06:00,225 kW
2017-09-16T00:00:00-06:00,160 kW
2017-09-17T00:00:00-06:00,158 kW
2017-09-18T00:00:00-06:00,208 kW
2017-09-19T00:00:00-06:00,161 kW
2017-09-20T00:00:00-06:00,202 kW
2017-09-21T00:00:00-06:00,169 kW
2017-09-22T00:00:00-06:00,237 kW
2017-09-23T00:00:00-06:00,168 kW
2017-09-24T00:00:00-06:00,178 kW
2017-09-25T00:00:00-06:00,225 kW
2017-09-26T00:00:00-06:00,221 kW
2017-09-27T00:00:00-06:00,240 kW
2017-09-28T00:00:00-06:00,214 kW
2017-09-29T00:00:00-06:00,209 kW
2017-09-30T00:00:00-06:00,174 kW
2017-10-01T00:00:00-06:00,160 kW
2017-10-02T00:00:00-06:00,229 kW
2017-10-03T00:00:00-06:00,221 kW
2017-10-04T00:00:00-06:00,181 kW
2017-10-05T00:00:00-06:00,210 kW
2017-10-06T00:00:00-06:00,219 kW
2017-10-07T00:00:00-06:00,164 kW
2017-10-08T00:00:00-06:00,165 kW
2017-10-09T00:00:00-06:00,208 kW
2017-10-10T00:00:00-06:00,206 kW
2017-10-11T00:00:00-06:00,206 kW
2017-10-12T00:00:00-06:00,211 kW
2017-10-13T00:00:00-06:00,219 kW
2017-10-14T00:00:00-06:00,183 kW
2017-10-15T00:00:00-06:00,168 kW
2017-10-16T00:00:00-06:00,245 kW
2017-10-17T00:00:00-06:00,254 kW
2017-10-18T00:00:00-06:00,260 kW
2017-10-19T00:00:00-06:00,248 kW
2017-10-20T00:00:00-06:00,227 kW
2017-10-21T00:00:00-06:00,180 kW
2017-10-22T00:00:00-06:00,176 kW
2017-10-23T00:00:00-06:00,237 kW
2017-10-24T00:00:00-06:00,252 kW
2017-10-25T00:00:00-06:00,255 kW
2017-10-26T00:00:00-06:00,254 kW
2017-10-27T00:00:00-06:00,229 kW
2017-10-28T00:00:00-06:00,186 kW
2017-10-29T00:00:00-06:00,171 kW
2017-10-30T00:00:00-06:00,254 kW
2017-10-31T00:00:00-06:00,215 kW
2017-11-01T00:00:00-06:00,249 kW
2017-11-02T00:00:00-06:00,233 kW
2017-11-03T00:00:00-06:00,230 kW
2017-11-04T00:00:00-06:00,181 kW
2017-11-05T00:00:00-06:00,188 kW
2017-11-06T00:00:00-07:00,242 kW
