Timestamp,['1ef4686a-44c65569 0070-QUINNEY COLLEGE OF LAW Power Meter 313199 Current A']
2017-04-30T00:00:00-06:00,92.743288397789 A
2017-05-01T00:00:00-06:00,122.71257241566975 A
2017-05-02T00:00:00-06:00,128.53414583206177 A
2017-05-03T00:00:00-06:00,122.07603693008423 A
2017-05-04T00:00:00-06:00,124.75161747137706 A
2017-05-05T00:00:00-06:00,130.34868009885153 A
2017-05-06T00:00:00-06:00,96.75650143623352 A
2017-05-07T00:00:00-06:00,63.43596803148588 A
2017-05-08T00:00:00-06:00,132.1396712064743 A
2017-05-09T00:00:00-06:00,119.71161146958669 A
2017-05-10T00:00:00-06:00,135.7615280946096 A
2017-05-11T00:00:00-06:00,123.75748705863953 A
2017-05-12T00:00:00-06:00,123.13736041386922 A
2017-05-13T00:00:00-06:00,89.24128115177155 A
2017-05-14T00:00:00-06:00,79.67347929875056 A
2017-05-15T00:00:00-06:00,124.73244790236156 A
2017-05-16T00:00:00-06:00,133.98720812797546 A
2017-05-17T00:00:00-06:00,158.25900753339133 A
2017-05-18T00:00:00-06:00,160.49898290634155 A
2017-05-19T00:00:00-06:00,135.30811591943106 A
2017-05-20T00:00:00-06:00,75.2191872994105 A
2017-05-21T00:00:00-06:00,66.23858412106831 A
2017-05-22T00:00:00-06:00,119.4105333884557 A
2017-05-23T00:00:00-06:00,122.68365812301636 A
2017-05-24T00:00:00-06:00,144.51318164666495 A
2017-05-25T00:00:00-06:00,129.46498847007751 A
2017-05-26T00:00:00-06:00,130.04169297218323 A
2017-05-27T00:00:00-06:00,80.79717769225438 A
2017-05-28T00:00:00-06:00,67.27392528454463 A
2017-05-29T00:00:00-06:00,105.47876632213593 A
2017-05-30T00:00:00-06:00,128.37139638264975 A
2017-05-31T00:00:00-06:00,126.93043041229248 A
2017-06-01T00:00:00-06:00,152.11535135904947 A
2017-06-02T00:00:00-06:00,121.60217046737671 A
2017-06-03T00:00:00-06:00,93.30967036883037 A
2017-06-04T00:00:00-06:00,73.1274757583936 A
2017-06-05T00:00:00-06:00,132.45652802785239 A
2017-06-06T00:00:00-06:00,135.80930693944296 A
2017-06-07T00:00:00-06:00,129.9522856871287 A
2017-06-08T00:00:00-06:00,131.1072177886963 A
2017-06-09T00:00:00-06:00,126.50842909018199 A
2017-06-10T00:00:00-06:00,89.13628212610881 A
2017-06-11T00:00:00-06:00,67.43806493282318 A
2017-06-12T00:00:00-06:00,134.72575255235037 A
2017-06-13T00:00:00-06:00,139.47135969003043 A
2017-06-14T00:00:00-06:00,116.44994242986043 A
2017-06-15T00:00:00-06:00,122.62036283810933 A
2017-06-16T00:00:00-06:00,118.56068007151286 A
2017-06-17T00:00:00-06:00,87.149223168691 A
2017-06-18T00:00:00-06:00,64.21222305297852 A
2017-06-19T00:00:00-06:00,130.14076964060465 A
2017-06-20T00:00:00-06:00,136.13066053390503 A
2017-06-21T00:00:00-06:00,132.1139259338379 A
2017-06-22T00:00:00-06:00,122.98272581895192 A
2017-06-23T00:00:00-06:00,122.57677125930786 A
2017-06-24T00:00:00-06:00,84.64380643765132 A
2017-06-25T00:00:00-06:00,62.027942111094795 A
2017-06-26T00:00:00-06:00,141.846599817276 A
2017-06-27T00:00:00-06:00,130.8826744556427 A
2017-06-28T00:00:00-06:00,129.34461760520935 A
2017-06-29T00:00:00-06:00,130.06368645032248 A
2017-06-30T00:00:00-06:00,127.61513058344524 A
2017-07-01T00:00:00-06:00,91.17071415980656 A
2017-07-02T00:00:00-06:00,64.91400041182835 A
2017-07-03T00:00:00-06:00,137.59909137090048 A
2017-07-04T00:00:00-06:00,124.46913989384969 A
2017-07-05T00:00:00-06:00,139.95252776145935 A
2017-07-06T00:00:00-06:00,144.017498254776 A
2017-07-07T00:00:00-06:00,135.15009427070618 A
2017-07-08T00:00:00-06:00,96.73024694124858 A
2017-07-09T00:00:00-06:00,68.10278931260109 A
2017-07-10T00:00:00-06:00,151.71558833122253 A
2017-07-11T00:00:00-06:00,149.7514045238495 A
2017-07-12T00:00:00-06:00,145.63636231422424 A
2017-07-13T00:00:00-06:00,141.88249651590982 A
2017-07-14T00:00:00-06:00,141.2533406416575 A
2017-07-15T00:00:00-06:00,95.39936353762944 A
2017-07-16T00:00:00-06:00,66.36433138449986 A
2017-07-17T00:00:00-06:00,152.90434670448303 A
2017-07-18T00:00:00-06:00,144.60572306315103 A
2017-07-19T00:00:00-06:00,165.42619188626608 A
2017-07-20T00:00:00-06:00,151.86494541168213 A
2017-07-21T00:00:00-06:00,131.2804605960846 A
2017-07-22T00:00:00-06:00,99.14322372277577 A
2017-07-23T00:00:00-06:00,69.62435517708461 A
2017-07-24T00:00:00-06:00,132.7543480793635 A
2017-07-25T00:00:00-06:00,148.92212669054666 A
2017-07-26T00:00:00-06:00,137.58694950739542 A
2017-07-27T00:00:00-06:00,136.4954048792521 A
2017-07-28T00:00:00-06:00,143.34095676740012 A
2017-07-29T00:00:00-06:00,88.89075742165248 A
2017-07-30T00:00:00-06:00,64.73376113176346 A
2017-07-31T00:00:00-06:00,136.58263222376505 A
2017-08-01T00:00:00-06:00,135.2798088391622 A
2017-08-02T00:00:00-06:00,139.6802416642507 A
2017-08-03T00:00:00-06:00,136.06322344144186 A
2017-08-04T00:00:00-06:00,141.1594526689131 A
2017-08-05T00:00:00-06:00,96.6386488477389 A
2017-08-06T00:00:00-06:00,70.4093217253685 A
2017-08-07T00:00:00-06:00,149.47903045018515 A
2017-08-08T00:00:00-06:00,141.484477519989 A
2017-08-09T00:00:00-06:00,146.04341252644858 A
2017-08-10T00:00:00-06:00,136.6491842066988 A
2017-08-11T00:00:00-06:00,136.53664406140646 A
2017-08-12T00:00:00-06:00,93.7340338031451 A
2017-08-13T00:00:00-06:00,71.35656537612279 A
2017-08-14T00:00:00-06:00,154.91415524482727 A
2017-08-15T00:00:00-06:00,132.32617942492166 A
2017-08-16T00:00:00-06:00,142.8666489124298 A
2017-08-17T00:00:00-06:00,134.14977749188742 A
2017-08-18T00:00:00-06:00,132.04598379135132 A
2017-08-19T00:00:00-06:00,91.4985073407491 A
2017-08-20T00:00:00-06:00,67.33712623516719 A
2017-08-21T00:00:00-06:00,144.86849085489908 A
2017-08-22T00:00:00-06:00,155.9460829893748 A
2017-08-23T00:00:00-06:00,154.3179953098297 A
2017-08-24T00:00:00-06:00,147.7659431298574 A
2017-08-25T00:00:00-06:00,146.40064811706543 A
2017-08-26T00:00:00-06:00,98.11701907714207 A
2017-08-27T00:00:00-06:00,66.99071288108826 A
2017-08-28T00:00:00-06:00,151.62130192347936 A
2017-08-29T00:00:00-06:00,152.7717717488607 A
2017-08-30T00:00:00-06:00,152.79647318522134 A
2017-08-31T00:00:00-06:00,156.79788120587668 A
2017-09-01T00:00:00-06:00,140.93729718526205 A
2017-09-02T00:00:00-06:00,98.85110936562221 A
2017-09-03T00:00:00-06:00,72.39949356882195 A
2017-09-04T00:00:00-06:00,128.00713721911112 A
2017-09-05T00:00:00-06:00,155.06100296974182 A
2017-09-06T00:00:00-06:00,159.0269783337911 A
2017-09-07T00:00:00-06:00,159.26615858078003 A
2017-09-08T00:00:00-06:00,154.93526077270508 A
2017-09-09T00:00:00-06:00,122.33138672510783 A
2017-09-10T00:00:00-06:00,72.18077387412389 A
2017-09-11T00:00:00-06:00,150.9926325480143 A
2017-09-12T00:00:00-06:00,154.73766295115152 A
2017-09-13T00:00:00-06:00,164.117964665095 A
2017-09-14T00:00:00-06:00,173.60032041867575 A
2017-09-15T00:00:00-06:00,159.2234744230906 A
2017-09-16T00:00:00-06:00,95.36146501700084 A
2017-09-17T00:00:00-06:00,74.79378773768742 A
2017-09-18T00:00:00-06:00,151.435098250707 A
2017-09-19T00:00:00-06:00,158.16290124257407 A
2017-09-20T00:00:00-06:00,147.0355409781138 A
2017-09-21T00:00:00-06:00,162.30285938580832 A
2017-09-22T00:00:00-06:00,177.44447875022888 A
2017-09-23T00:00:00-06:00,138.07311042149863 A
2017-09-24T00:00:00-06:00,178.10596148173013 A
2017-09-25T00:00:00-06:00,169.87966299057007 A
2017-09-26T00:00:00-06:00,142.02466400464377 A
2017-09-27T00:00:00-06:00,148.67957242329916 A
2017-09-28T00:00:00-06:00,157.7134404182434 A
2017-09-29T00:00:00-06:00,143.89389793078104 A
2017-09-30T00:00:00-06:00,116.45679783821106 A
2017-10-01T00:00:00-06:00,84.43554039796193 A
2017-10-02T00:00:00-06:00,175.26024691263834 A
2017-10-03T00:00:00-06:00,168.7468380133311 A
2017-10-04T00:00:00-06:00,149.41350166002908 A
2017-10-05T00:00:00-06:00,147.32654372851053 A
2017-10-06T00:00:00-06:00,138.904581228892 A
2017-10-07T00:00:00-06:00,96.75421396891277 A
2017-10-08T00:00:00-06:00,90.41867580016454 A
2017-10-09T00:00:00-06:00,166.61712209383646 A
2017-10-10T00:00:00-06:00,175.60179162025452 A
2017-10-11T00:00:00-06:00,150.46794549624124 A
2017-10-12T00:00:00-06:00,140.42037018140158 A
2017-10-13T00:00:00-06:00,157.34906562169394 A
2017-10-14T00:00:00-06:00,145.4015185435613 A
2017-10-15T00:00:00-06:00,137.08302732308707 A
2017-10-16T00:00:00-06:00,178.68247000376383 A
