Timestamp,['1da9834c-d2a8ee4d 0032-RICE-ECCLES STADIUM POWER METER (Main Stadium) 300075 Volts C-N']
2017-04-30T00:00:00-06:00,282.671223004659 V
2017-05-01T00:00:00-06:00,282.87474822998047 V
2017-05-02T00:00:00-06:00,282.7242784500122 V
2017-05-03T00:00:00-06:00,282.76993147532147 V
2017-05-04T00:00:00-06:00,282.70231419613486 V
2017-05-05T00:00:00-06:00,282.90889008839923 V
2017-05-06T00:00:00-06:00,282.5660874048869 V
2017-05-07T00:00:00-06:00,282.7205533981323 V
2017-05-08T00:00:00-06:00,282.76064771286985 V
2017-05-09T00:00:00-06:00,283.0098317999589 V
2017-05-10T00:00:00-06:00,282.885568300883 V
2017-05-11T00:00:00-06:00,282.4687566757202 V
2017-05-12T00:00:00-06:00,282.9452199935913 V
2017-05-13T00:00:00-06:00,283.11329714457196 V
2017-05-14T00:00:00-06:00,282.45554637908936 V
2017-05-15T00:00:00-06:00,282.81706206003827 V
2017-05-16T00:00:00-06:00,283.1246681614926 V
2017-05-17T00:00:00-06:00,283.2585646311442 V
2017-05-18T00:00:00-06:00,282.86592960357666 V
2017-05-19T00:00:00-06:00,283.30413977305096 V
2017-05-20T00:00:00-06:00,282.9363047281901 V
2017-05-21T00:00:00-06:00,282.83869584401447 V
2017-05-22T00:00:00-06:00,283.1337703581779 V
2017-05-23T00:00:00-06:00,282.9136673609416 V
2017-05-24T00:00:00-06:00,282.8944419225057 V
2017-05-25T00:00:00-06:00,283.0180314381917 V
2017-05-26T00:00:00-06:00,282.8559506734212 V
2017-05-27T00:00:00-06:00,282.80791250864667 V
2017-05-28T00:00:00-06:00,282.96205774943036 V
2017-05-29T00:00:00-06:00,282.90006764729816 V
2017-05-30T00:00:00-06:00,283.0647261937459 V
2017-05-31T00:00:00-06:00,282.9052282969157 V
2017-06-01T00:00:00-06:00,283.28033860524494 V
2017-06-02T00:00:00-06:00,283.0443420410156 V
2017-06-03T00:00:00-06:00,283.06445630391437 V
2017-06-04T00:00:00-06:00,282.9297046661377 V
2017-06-05T00:00:00-06:00,282.99720001220703 V
2017-06-06T00:00:00-06:00,283.14532534281415 V
2017-06-07T00:00:00-06:00,283.10113461812335 V
2017-06-08T00:00:00-06:00,283.14347044626874 V
2017-06-09T00:00:00-06:00,282.90148226420087 V
2017-06-10T00:00:00-06:00,282.6656675338745 V
2017-06-11T00:00:00-06:00,282.88501675923663 V
2017-06-12T00:00:00-06:00,283.00817648569745 V
2017-06-13T00:00:00-06:00,282.7968028386434 V
2017-06-14T00:00:00-06:00,282.70791657765704 V
2017-06-15T00:00:00-06:00,282.61479409535724 V
2017-06-16T00:00:00-06:00,282.51920890808105 V
2017-06-17T00:00:00-06:00,282.57823117574054 V
2017-06-18T00:00:00-06:00,282.5612624486287 V
2017-06-19T00:00:00-06:00,282.6662343343099 V
2017-06-20T00:00:00-06:00,282.6922601064046 V
2017-06-21T00:00:00-06:00,282.4632272720337 V
2017-06-22T00:00:00-06:00,282.69134585062665 V
2017-06-23T00:00:00-06:00,282.7218955357869 V
2017-06-24T00:00:00-06:00,282.03568840026855 V
2017-06-25T00:00:00-06:00,282.60173002878827 V
2017-06-26T00:00:00-06:00,282.63745816548663 V
2017-06-27T00:00:00-06:00,282.938406308492 V
2017-06-28T00:00:00-06:00,282.7582718531291 V
2017-06-29T00:00:00-06:00,282.9935776392619 V
2017-06-30T00:00:00-06:00,282.80022144317627 V
2017-07-01T00:00:00-06:00,282.6496458053589 V
2017-07-02T00:00:00-06:00,282.90553923576107 V
2017-07-03T00:00:00-06:00,282.7409324645996 V
2017-07-04T00:00:00-06:00,283.1322781244914 V
2017-07-05T00:00:00-06:00,282.9210837682088 V
2017-07-06T00:00:00-06:00,283.05804347991943 V
2017-07-07T00:00:00-06:00,282.8882481257121 V
2017-07-08T00:00:00-06:00,282.8868595759074 V
2017-07-09T00:00:00-06:00,282.87611961364746 V
2017-07-10T00:00:00-06:00,282.9050095876058 V
2017-07-11T00:00:00-06:00,283.0184310277303 V
2017-07-12T00:00:00-06:00,282.93055152893066 V
2017-07-13T00:00:00-06:00,283.22674051920575 V
2017-07-14T00:00:00-06:00,283.00476455688477 V
2017-07-15T00:00:00-06:00,282.9006799062093 V
2017-07-16T00:00:00-06:00,282.89841810862225 V
2017-07-17T00:00:00-06:00,282.83813054510887 V
2017-07-18T00:00:00-06:00,282.94972801208496 V
2017-07-19T00:00:00-06:00,282.98107210795087 V
2017-07-20T00:00:00-06:00,282.94707743326825 V
2017-07-21T00:00:00-06:00,282.8727871576945 V
2017-07-22T00:00:00-06:00,282.82728544194646 V
2017-07-23T00:00:00-06:00,282.9654960632324 V
2017-07-24T00:00:00-06:00,283.106427192688 V
2017-07-25T00:00:00-06:00,282.9973103205363 V
2017-07-26T00:00:00-06:00,282.8465639750163 V
2017-07-27T00:00:00-06:00,283.14756806691486 V
2017-07-28T00:00:00-06:00,282.8117853800456 V
2017-07-29T00:00:00-06:00,282.8842846552531 V
2017-07-30T00:00:00-06:00,283.1074816385905 V
2017-07-31T00:00:00-06:00,283.0146188735962 V
2017-08-01T00:00:00-06:00,283.11517492930096 V
2017-08-02T00:00:00-06:00,282.8461443583171 V
2017-08-03T00:00:00-06:00,282.9095506668091 V
2017-08-04T00:00:00-06:00,282.9226533696893 V
2017-08-05T00:00:00-06:00,282.8254788716634 V
2017-08-06T00:00:00-06:00,282.9088093439738 V
2017-08-07T00:00:00-06:00,282.837012608846 V
2017-08-08T00:00:00-06:00,282.9804906845093 V
2017-08-09T00:00:00-06:00,282.83216698964435 V
2017-08-10T00:00:00-06:00,282.9270384415336 V
2017-08-11T00:00:00-06:00,283.15281041463214 V
2017-08-12T00:00:00-06:00,282.9313103357951 V
2017-08-13T00:00:00-06:00,283.2397737503052 V
2017-08-14T00:00:00-06:00,283.1275520324707 V
2017-08-15T00:00:00-06:00,283.1634572347005 V
2017-08-16T00:00:00-06:00,282.7974599202474 V
2017-08-17T00:00:00-06:00,282.96261501312256 V
2017-08-18T00:00:00-06:00,283.05805619557697 V
2017-08-19T00:00:00-06:00,282.86410395304364 V
2017-08-20T00:00:00-06:00,283.2777846654256 V
2017-08-21T00:00:00-06:00,283.09698549906415 V
2017-08-22T00:00:00-06:00,283.0407174428304 V
2017-08-23T00:00:00-06:00,283.2042039235433 V
2017-08-24T00:00:00-06:00,283.0316330591838 V
