Timestamp,['1cd68676-65a877ee Power Meter (4160V) 316611 KWH Received']
2017-05-19T00:00:00-06:00,580 kWh
2017-05-20T00:00:00-06:00,2238 kWh
2017-05-21T00:00:00-06:00,2448 kWh
2017-05-22T00:00:00-06:00,3242 kWh
2017-05-23T00:00:00-06:00,5316 kWh
2017-05-24T00:00:00-06:00,5676 kWh
2017-05-25T00:00:00-06:00,3578 kWh
2017-05-26T00:00:00-06:00,2328 kWh
2017-05-27T00:00:00-06:00,2508 kWh
2017-05-28T00:00:00-06:00,4102 kWh
2017-05-29T00:00:00-06:00,44 kWh
2017-05-30T00:00:00-06:00,4106 kWh
2017-05-31T00:00:00-06:00,6768 kWh
2017-06-01T00:00:00-06:00,6438 kWh
2017-06-02T00:00:00-06:00,4814 kWh
2017-06-03T00:00:00-06:00,6314 kWh
2017-06-04T00:00:00-06:00,6704 kWh
2017-06-05T00:00:00-06:00,7332 kWh
2017-06-06T00:00:00-06:00,7626 kWh
2017-06-07T00:00:00-06:00,8110 kWh
2017-06-08T00:00:00-06:00,7628 kWh
2017-06-09T00:00:00-06:00,6108 kWh
2017-06-10T00:00:00-06:00,5390 kWh
2017-06-11T00:00:00-06:00,6038 kWh
2017-06-12T00:00:00-06:00,4516 kWh
2017-06-13T00:00:00-06:00,2290 kWh
2017-06-14T00:00:00-06:00,4352 kWh
2017-06-15T00:00:00-06:00,6380 kWh
2017-06-16T00:00:00-06:00,6966 kWh
2017-06-17T00:00:00-06:00,6196 kWh
2017-06-18T00:00:00-06:00,6500 kWh
2017-06-19T00:00:00-06:00,8714 kWh
2017-06-20T00:00:00-06:00,10480 kWh
2017-06-21T00:00:00-06:00,10252 kWh
2017-06-22T00:00:00-06:00,8348 kWh
2017-06-23T00:00:00-06:00,7146 kWh
2017-06-24T00:00:00-06:00,7274 kWh
2017-06-25T00:00:00-06:00,8062 kWh
2017-06-26T00:00:00-06:00,10130 kWh
2017-06-27T00:00:00-06:00,9502 kWh
2017-06-28T00:00:00-06:00,8580 kWh
2017-06-29T00:00:00-06:00,7240 kWh
2017-06-30T00:00:00-06:00,7250 kWh
2017-07-01T00:00:00-06:00,7476 kWh
2017-07-02T00:00:00-06:00,8512 kWh
2017-07-03T00:00:00-06:00,10216 kWh
2017-07-04T00:00:00-06:00,10260 kWh
2017-07-05T00:00:00-06:00,11356 kWh
2017-07-06T00:00:00-06:00,11744 kWh
2017-07-07T00:00:00-06:00,12076 kWh
2017-07-08T00:00:00-06:00,11576 kWh
2017-07-09T00:00:00-06:00,11014 kWh
2017-07-10T00:00:00-06:00,12330 kWh
2017-07-11T00:00:00-06:00,11298 kWh
2017-07-12T00:00:00-06:00,10684 kWh
2017-07-13T00:00:00-06:00,10660 kWh
2017-07-14T00:00:00-06:00,10332 kWh
2017-07-15T00:00:00-06:00,10592 kWh
2017-07-16T00:00:00-06:00,10978 kWh
2017-07-17T00:00:00-06:00,11710 kWh
2017-07-18T00:00:00-06:00,11860 kWh
2017-07-19T00:00:00-06:00,12894 kWh
2017-07-20T00:00:00-06:00,11734 kWh
2017-07-21T00:00:00-06:00,11340 kWh
2017-07-22T00:00:00-06:00,10312 kWh
2017-07-23T00:00:00-06:00,9608 kWh
2017-07-24T00:00:00-06:00,11046 kWh
2017-07-25T00:00:00-06:00,11314 kWh
2017-07-26T00:00:00-06:00,11868 kWh
2017-07-27T00:00:00-06:00,9088 kWh
2017-07-28T00:00:00-06:00,8506 kWh
2017-07-29T00:00:00-06:00,8410 kWh
2017-07-30T00:00:00-06:00,8986 kWh
2017-07-31T00:00:00-06:00,10532 kWh
2017-08-01T00:00:00-06:00,11332 kWh
2017-08-02T00:00:00-06:00,10548 kWh
2017-08-03T00:00:00-06:00,10818 kWh
2017-08-04T00:00:00-06:00,10606 kWh
2017-08-05T00:00:00-06:00,9704 kWh
2017-08-06T00:00:00-06:00,8804 kWh
2017-08-07T00:00:00-06:00,9524 kWh
2017-08-08T00:00:00-06:00,8832 kWh
2017-08-09T00:00:00-06:00,9026 kWh
2017-08-10T00:00:00-06:00,8846 kWh
2017-08-11T00:00:00-06:00,9694 kWh
2017-08-12T00:00:00-06:00,9508 kWh
2017-08-13T00:00:00-06:00,9190 kWh
2017-08-14T00:00:00-06:00,8724 kWh
2017-08-15T00:00:00-06:00,7394 kWh
2017-08-16T00:00:00-06:00,7694 kWh
2017-08-17T00:00:00-06:00,8570 kWh
2017-08-18T00:00:00-06:00,8846 kWh
2017-08-19T00:00:00-06:00,8504 kWh
2017-08-20T00:00:00-06:00,8990 kWh
2017-08-21T00:00:00-06:00,9658 kWh
2017-08-22T00:00:00-06:00,9398 kWh
2017-08-23T00:00:00-06:00,9086 kWh
2017-08-24T00:00:00-06:00,9036 kWh
2017-08-25T00:00:00-06:00,9540 kWh
2017-08-26T00:00:00-06:00,9428 kWh
2017-08-27T00:00:00-06:00,8792 kWh
2017-08-28T00:00:00-06:00,10762 kWh
2017-08-29T00:00:00-06:00,10300 kWh
2017-08-30T00:00:00-06:00,10450 kWh
2017-08-31T00:00:00-06:00,8946 kWh
2017-09-01T00:00:00-06:00,7564 kWh
2017-09-02T00:00:00-06:00,8016 kWh
2017-09-03T00:00:00-06:00,8298 kWh
2017-09-04T00:00:00-06:00,8634 kWh
2017-09-05T00:00:00-06:00,8904 kWh
2017-09-06T00:00:00-06:00,9290 kWh
2017-09-07T00:00:00-06:00,8712 kWh
2017-09-08T00:00:00-06:00,8592 kWh
2017-09-09T00:00:00-06:00,6866 kWh
2017-09-10T00:00:00-06:00,6978 kWh
2017-09-11T00:00:00-06:00,8494 kWh
2017-09-12T00:00:00-06:00,8442 kWh
2017-09-13T00:00:00-06:00,8268 kWh
2017-09-14T00:00:00-06:00,6944 kWh
2017-09-15T00:00:00-06:00,4998 kWh
2017-09-16T00:00:00-06:00,3684 kWh
2017-09-17T00:00:00-06:00,5020 kWh
2017-09-18T00:00:00-06:00,6432 kWh
2017-09-19T00:00:00-06:00,4440 kWh
2017-09-20T00:00:00-06:00,4374 kWh
2017-09-21T00:00:00-06:00,1918 kWh
2017-09-22T00:00:00-06:00,260 kWh
2017-09-23T00:00:00-06:00,374 kWh
2017-09-24T00:00:00-06:00,296 kWh
2017-09-25T00:00:00-06:00,1956 kWh
2017-09-26T00:00:00-06:00,1814 kWh
2017-09-27T00:00:00-06:00,3486 kWh
2017-09-28T00:00:00-06:00,3992 kWh
2017-09-29T00:00:00-06:00,4270 kWh
2017-09-30T00:00:00-06:00,3600 kWh
2017-10-01T00:00:00-06:00,1596 kWh
2017-10-02T00:00:00-06:00,208 kWh
2017-10-03T00:00:00-06:00,1862 kWh
2017-10-04T00:00:00-06:00,4276 kWh
2017-10-05T00:00:00-06:00,2696 kWh
2017-10-06T00:00:00-06:00,2780 kWh
2017-10-07T00:00:00-06:00,3532 kWh
2017-10-08T00:00:00-06:00,1580 kWh
2017-10-09T00:00:00-06:00,370 kWh
2017-10-10T00:00:00-06:00,1932 kWh
2017-10-11T00:00:00-06:00,3982 kWh
2017-10-12T00:00:00-06:00,1554 kWh
2017-10-13T00:00:00-06:00,2026 kWh
2017-10-14T00:00:00-06:00,738 kWh
2017-10-15T00:00:00-06:00,160 kWh
2017-10-16T00:00:00-06:00,1994 kWh
2017-10-17T00:00:00-06:00,3888 kWh
2017-10-18T00:00:00-06:00,4268 kWh
2017-10-19T00:00:00-06:00,4780 kWh
2017-10-20T00:00:00-06:00,4236 kWh
2017-10-21T00:00:00-06:00,950 kWh
2017-10-22T00:00:00-06:00,2064 kWh
2017-10-23T00:00:00-06:00,4014 kWh
2017-10-24T00:00:00-06:00,3924 kWh
2017-10-25T00:00:00-06:00,4014 kWh
2017-10-26T00:00:00-06:00,3864 kWh
2017-10-27T00:00:00-06:00,3810 kWh
2017-10-28T00:00:00-06:00,3830 kWh
2017-10-29T00:00:00-06:00,4020 kWh
2017-10-30T00:00:00-06:00,540 kWh
2017-10-31T00:00:00-06:00,0 kWh
2017-11-01T00:00:00-06:00,1784 kWh
2017-11-02T00:00:00-06:00,3326 kWh
2017-11-03T00:00:00-06:00,3826 kWh
2017-11-04T00:00:00-06:00,740 kWh
2017-11-05T00:00:00-06:00,142 kWh
2017-11-06T00:00:00-07:00,0 kWh
2017-11-07T00:00:00-07:00,0 kWh
2017-11-08T00:00:00-07:00,0 kWh
2017-11-09T00:00:00-07:00,738 kWh
2017-11-10T00:00:00-07:00,62 kWh
2017-11-11T00:00:00-07:00,134 kWh
2017-11-12T00:00:00-07:00,196 kWh
2017-11-13T00:00:00-07:00,270 kWh
2017-11-14T00:00:00-07:00,0 kWh
2017-11-15T00:00:00-07:00,222 kWh
2017-11-16T00:00:00-07:00,3042 kWh
2017-11-17T00:00:00-07:00,360 kWh
2017-11-18T00:00:00-07:00,254 kWh
2017-11-19T00:00:00-07:00,224 kWh
2017-11-20T00:00:00-07:00,310 kWh
2017-11-21T00:00:00-07:00,576 kWh
2017-11-22T00:00:00-07:00,762 kWh
2017-11-23T00:00:00-07:00,138 kWh
2017-11-24T00:00:00-07:00,344 kWh
2017-11-25T00:00:00-07:00,0 kWh
2017-11-26T00:00:00-07:00,1042 kWh
2017-11-27T00:00:00-07:00,2482 kWh
2017-11-28T00:00:00-07:00,102 kWh
2017-11-29T00:00:00-07:00,76 kWh
2017-11-30T00:00:00-07:00,62 kWh
2017-12-01T00:00:00-07:00,78 kWh
2017-12-02T00:00:00-07:00,100 kWh
2017-12-03T00:00:00-07:00,52 kWh
2017-12-04T00:00:00-07:00,0 kWh
2017-12-05T00:00:00-07:00,0 kWh
2017-12-06T00:00:00-07:00,0 kWh
2017-12-07T00:00:00-07:00,0 kWh
2017-12-08T00:00:00-07:00,0 kWh
2017-12-09T00:00:00-07:00,0 kWh
2017-12-10T00:00:00-07:00,0 kWh
2017-12-11T00:00:00-07:00,0 kWh
2017-12-12T00:00:00-07:00,0 kWh
2017-12-13T00:00:00-07:00,0 kWh
2017-12-14T00:00:00-07:00,0 kWh
2017-12-15T00:00:00-07:00,0 kWh
2017-12-16T00:00:00-07:00,0 kWh
2017-12-17T00:00:00-07:00,0 kWh
2017-12-18T00:00:00-07:00,0 kWh
2017-12-19T00:00:00-07:00,0 kWh
2017-12-20T00:00:00-07:00,0 kWh
2017-12-21T00:00:00-07:00,0 kWh
2017-12-22T00:00:00-07:00,0 kWh
2017-12-23T00:00:00-07:00,0 kWh
2017-12-24T00:00:00-07:00,0 kWh
2017-12-25T00:00:00-07:00,0 kWh
2017-12-26T00:00:00-07:00,0 kWh
2017-12-27T00:00:00-07:00,0 kWh
2017-12-28T00:00:00-07:00,0 kWh
2017-12-29T00:00:00-07:00,0 kWh
2017-12-30T00:00:00-07:00,0 kWh
2017-12-31T00:00:00-07:00,0 kWh
