Timestamp,['206e9e63-c40410ad 0046-LASSONDE STUDIOS Power Meter 316258 Current C']
2017-07-23T00:00:00-06:00,122.99298183123271 A
2017-07-24T00:00:00-06:00,126.73779781659444 A
2017-07-25T00:00:00-06:00,131.6972311337789 A
2017-07-26T00:00:00-06:00,129.2684529622396 A
2017-07-27T00:00:00-06:00,126.28657676295231 A
2017-07-28T00:00:00-06:00,119.82231426239014 A
2017-07-29T00:00:00-06:00,121.2525995572408 A
2017-07-30T00:00:00-06:00,121.04745125770569 A
2017-07-31T00:00:00-06:00,118.26703834533691 A
2017-08-01T00:00:00-06:00,118.41914908091228 A
2017-08-02T00:00:00-06:00,112.04552833239238 A
2017-08-03T00:00:00-06:00,115.48457829157512 A
2017-08-04T00:00:00-06:00,123.77400744092334 A
2017-08-05T00:00:00-06:00,123.31989240646362 A
2017-08-06T00:00:00-06:00,120.0554887453715 A
2017-08-07T00:00:00-06:00,122.07628202438354 A
2017-08-08T00:00:00-06:00,123.44263895352681 A
2017-08-09T00:00:00-06:00,123.44614815711975 A
2017-08-10T00:00:00-06:00,122.10329867423849 A
2017-08-11T00:00:00-06:00,123.52269530296326 A
2017-08-12T00:00:00-06:00,121.05068190892537 A
2017-08-13T00:00:00-06:00,121.68360098203023 A
2017-08-14T00:00:00-06:00,121.00336384773254 A
2017-08-15T00:00:00-06:00,124.65664736429851 A
2017-08-16T00:00:00-06:00,127.02182284990947 A
2017-08-17T00:00:00-06:00,151.69532386461893 A
2017-08-18T00:00:00-06:00,160.7827184200287 A
2017-08-19T00:00:00-06:00,167.36743553479513 A
2017-08-20T00:00:00-06:00,172.38356494903564 A
2017-08-21T00:00:00-06:00,176.55733633041382 A
2017-08-22T00:00:00-06:00,180.1594705581665 A
2017-08-23T00:00:00-06:00,182.4558736483256 A
2017-08-24T00:00:00-06:00,182.80259974797568 A
2017-08-25T00:00:00-06:00,177.83446391423544 A
2017-08-26T00:00:00-06:00,178.63378620147705 A
2017-08-27T00:00:00-06:00,192.16701904932657 A
2017-08-28T00:00:00-06:00,183.68841011293472 A
2017-08-29T00:00:00-06:00,187.22138271536878 A
2017-08-30T00:00:00-06:00,186.66544771194458 A
2017-08-31T00:00:00-06:00,183.1695729891459 A
2017-09-01T00:00:00-06:00,187.13904269536337 A
2017-09-02T00:00:00-06:00,182.41547091801962 A
2017-09-03T00:00:00-06:00,177.95973384126702 A
2017-09-04T00:00:00-06:00,191.39409828186035 A
2017-09-05T00:00:00-06:00,190.4706301689148 A
2017-09-06T00:00:00-06:00,191.8615312576294 A
2017-09-07T00:00:00-06:00,186.3047283490499 A
2017-09-08T00:00:00-06:00,191.1327243202611 A
2017-09-09T00:00:00-06:00,182.54567416508993 A
2017-09-10T00:00:00-06:00,185.12544043858847 A
2017-09-11T00:00:00-06:00,191.09932470321655 A
2017-09-12T00:00:00-06:00,185.70352522532144 A
2017-09-13T00:00:00-06:00,190.43002923329672 A
2017-09-14T00:00:00-06:00,189.41719261805216 A
2017-09-15T00:00:00-06:00,197.68846033999793 A
2017-09-16T00:00:00-06:00,182.85925388336182 A
2017-09-17T00:00:00-06:00,179.1317389011383 A
2017-09-18T00:00:00-06:00,188.97461318969727 A
2017-09-19T00:00:00-06:00,193.57092014948526 A
2017-09-20T00:00:00-06:00,194.21308739980063 A
2017-09-21T00:00:00-06:00,186.34454536437988 A
2017-09-22T00:00:00-06:00,191.00148423512778 A
2017-09-23T00:00:00-06:00,184.6364771525065 A
2017-09-24T00:00:00-06:00,187.9495293299357 A
2017-09-25T00:00:00-06:00,190.69912099838257 A
2017-09-26T00:00:00-06:00,190.1362346013387 A
