Timestamp,['1ce63dce-8321eb6f 0028-MARRIOTT CENTER FOR DANCE Power Meter Volts AN']
2017-04-30T00:00:00-06:00,122.47041098276775 V
2017-05-01T00:00:00-06:00,122.48293391863506 V
2017-05-02T00:00:00-06:00,122.44166088104248 V
2017-05-03T00:00:00-06:00,122.51722184816997 V
2017-05-04T00:00:00-06:00,122.51713093121846 V
2017-05-05T00:00:00-06:00,122.54296326637268 V
2017-05-06T00:00:00-06:00,122.37823971112569 V
2017-05-07T00:00:00-06:00,122.54254261652629 V
2017-05-08T00:00:00-06:00,122.56292041979339 V
2017-05-09T00:00:00-06:00,122.63729031880696 V
2017-05-10T00:00:00-06:00,122.49786257743835 V
2017-05-11T00:00:00-06:00,122.3864692846934 V
2017-05-12T00:00:00-06:00,122.56127905845642 V
2017-05-13T00:00:00-06:00,122.68469134966533 V
2017-05-14T00:00:00-06:00,122.37431852022807 V
2017-05-15T00:00:00-06:00,122.54961156845093 V
2017-05-16T00:00:00-06:00,122.73457797368367 V
2017-05-17T00:00:00-06:00,122.72923199335735 V
2017-05-18T00:00:00-06:00,122.50351556142171 V
2017-05-19T00:00:00-06:00,122.70451434453328 V
2017-05-20T00:00:00-06:00,122.57734354337056 V
2017-05-21T00:00:00-06:00,122.60859553019206 V
2017-05-22T00:00:00-06:00,122.67662024497986 V
2017-05-23T00:00:00-06:00,122.47191325823466 V
2017-05-24T00:00:00-06:00,122.5950095653534 V
2017-05-25T00:00:00-06:00,122.64589564005534 V
2017-05-26T00:00:00-06:00,122.78032183647156 V
2017-05-27T00:00:00-06:00,122.74920813242595 V
2017-05-28T00:00:00-06:00,122.74129112561543 V
2017-05-29T00:00:00-06:00,122.74845536549886 V
2017-05-30T00:00:00-06:00,122.76243511835735 V
2017-05-31T00:00:00-06:00,122.51859871546428 V
2017-06-01T00:00:00-06:00,122.64872765541077 V
2017-06-02T00:00:00-06:00,122.56005231539409 V
2017-06-03T00:00:00-06:00,122.58898027737935 V
2017-06-04T00:00:00-06:00,122.60627921422322 V
2017-06-05T00:00:00-06:00,122.5924608707428 V
2017-06-06T00:00:00-06:00,122.62429594993591 V
2017-06-07T00:00:00-06:00,122.65455865859985 V
2017-06-08T00:00:00-06:00,122.71989758809407 V
2017-06-09T00:00:00-06:00,122.6292434533437 V
2017-06-10T00:00:00-06:00,122.57888054847717 V
2017-06-11T00:00:00-06:00,122.7209238211314 V
2017-06-12T00:00:00-06:00,122.72053074836731 V
2017-06-13T00:00:00-06:00,122.61648305257161 V
2017-06-14T00:00:00-06:00,122.55657466252644 V
2017-06-15T00:00:00-06:00,122.53921167055766 V
2017-06-16T00:00:00-06:00,122.58564488093059 V
2017-06-17T00:00:00-06:00,122.65127333005269 V
