Timestamp,['203a263d-a6e28dc0 0066-SIMMONS PIONEER MEMORIAL THEATRE Power Meter Current B']
2017-08-12T00:00:00-06:00,365.7414406140645 A
2017-08-13T00:00:00-06:00,332.5215190251668 A
2017-08-14T00:00:00-06:00,364.8073670069377 A
2017-08-15T00:00:00-06:00,369.39521567026776 A
2017-08-16T00:00:00-06:00,373.20455773671466 A
2017-08-17T00:00:00-06:00,381.28552261988324 A
2017-08-18T00:00:00-06:00,405.8715130488078 A
2017-08-19T00:00:00-06:00,368.33803876241046 A
2017-08-20T00:00:00-06:00,385.4981412887573 A
2017-08-21T00:00:00-06:00,392.3781150182088 A
2017-08-22T00:00:00-06:00,410.12509218851727 A
2017-08-23T00:00:00-06:00,395.0467303593953 A
2017-08-24T00:00:00-06:00,405.0556112925212 A
2017-08-25T00:00:00-06:00,405.7180579503377 A
2017-08-26T00:00:00-06:00,382.66357739766437 A
2017-08-27T00:00:00-06:00,375.3730815251668 A
2017-08-28T00:00:00-06:00,423.36674333655316 A
2017-08-29T00:00:00-06:00,400.7239376601352 A
2017-08-30T00:00:00-06:00,386.47171179453534 A
2017-08-31T00:00:00-06:00,389.1980930964152 A
2017-09-01T00:00:00-06:00,381.3937457402547 A
2017-09-02T00:00:00-06:00,332.3773372968038 A
2017-09-03T00:00:00-06:00,324.47328090667725 A
2017-09-04T00:00:00-06:00,352.8975550333659 A
2017-09-05T00:00:00-06:00,406.7345185279846 A
2017-09-06T00:00:00-06:00,400.5574067433675 A
2017-09-07T00:00:00-06:00,441.76009464263916 A
2017-09-08T00:00:00-06:00,433.79914352741645 A
2017-09-09T00:00:00-06:00,405.0911445617676 A
2017-09-10T00:00:00-06:00,362.2729501724243 A
2017-09-11T00:00:00-06:00,444.35429032643634 A
2017-09-12T00:00:00-06:00,457.38941796620685 A
2017-09-13T00:00:00-06:00,450.84073702494305 A
2017-09-14T00:00:00-06:00,443.0458920796712 A
2017-09-15T00:00:00-06:00,421.5803343454997 A
2017-09-16T00:00:00-06:00,422.0039052963257 A
2017-09-17T00:00:00-06:00,329.2558577855428 A
2017-09-18T00:00:00-06:00,423.44523016611737 A
2017-09-19T00:00:00-06:00,421.7563543319702 A
2017-09-20T00:00:00-06:00,439.04676882425946 A
2017-09-21T00:00:00-06:00,421.911639213562 A
2017-09-22T00:00:00-06:00,429.7922528584798 A
2017-09-23T00:00:00-06:00,413.81861146291095 A
2017-09-24T00:00:00-06:00,303.3164486885071 A
2017-09-25T00:00:00-06:00,408.22872893015546 A
2017-09-26T00:00:00-06:00,385.9887933731079 A
2017-09-27T00:00:00-06:00,419.0736406644185 A
2017-09-28T00:00:00-06:00,428.82321039835614 A
2017-09-29T00:00:00-06:00,422.8397029240926 A
2017-09-30T00:00:00-06:00,420.2475996017456 A
2017-10-01T00:00:00-06:00,313.4768648147583 A
2017-10-02T00:00:00-06:00,328.88424857457477 A
2017-10-03T00:00:00-06:00,353.6269591649373 A
2017-10-04T00:00:00-06:00,380.3497428894043 A
2017-10-05T00:00:00-06:00,347.74793752034503 A
2017-10-06T00:00:00-06:00,359.7567386627197 A
2017-10-07T00:00:00-06:00,309.15048090616864 A
2017-10-08T00:00:00-06:00,282.86570914586383 A
2017-10-09T00:00:00-06:00,267.98139667510986 A
2017-10-10T00:00:00-06:00,320.5877061684926 A
2017-10-11T00:00:00-06:00,335.66501172383624 A
2017-10-12T00:00:00-06:00,274.1795268058777 A
2017-10-13T00:00:00-06:00,310.4908993244171 A
2017-10-14T00:00:00-06:00,318.591668287913 A
2017-10-15T00:00:00-06:00,219.1512991587321 A
2017-10-16T00:00:00-06:00,357.20052790641785 A
2017-10-17T00:00:00-06:00,363.84753410021466 A
2017-10-18T00:00:00-06:00,351.32669099171954 A
2017-10-19T00:00:00-06:00,368.9642177422841 A
2017-10-20T00:00:00-06:00,327.4513117472331 A
2017-10-21T00:00:00-06:00,278.5191098848979 A
2017-10-22T00:00:00-06:00,228.02353366216025 A
2017-10-23T00:00:00-06:00,335.9121741453807 A
2017-10-24T00:00:00-06:00,309.8186511993408 A
2017-10-25T00:00:00-06:00,344.87502034505206 A
2017-10-26T00:00:00-06:00,318.8926919301351 A
2017-10-27T00:00:00-06:00,317.69179757436115 A
2017-10-28T00:00:00-06:00,308.62807607650757 A
2017-10-29T00:00:00-06:00,254.35083039601645 A
