Timestamp,['206e9ea3-6d981b97 0046-LASSONDE STUDIOS Power Meter 316259 Current B']
2017-07-23T00:00:00-06:00,142.2430534362793 A
2017-07-24T00:00:00-06:00,138.13950522740683 A
2017-07-25T00:00:00-06:00,139.70112109184265 A
2017-07-26T00:00:00-06:00,140.5756946404775 A
2017-07-27T00:00:00-06:00,141.55601838764392 A
2017-07-28T00:00:00-06:00,145.89795517921448 A
2017-07-29T00:00:00-06:00,162.81428559621176 A
2017-07-30T00:00:00-06:00,165.63480106989542 A
2017-07-31T00:00:00-06:00,166.29548406600952 A
2017-08-01T00:00:00-06:00,163.1486333211263 A
2017-08-02T00:00:00-06:00,162.9796725908915 A
2017-08-03T00:00:00-06:00,163.88832394282022 A
2017-08-04T00:00:00-06:00,165.1951379461603 A
2017-08-05T00:00:00-06:00,157.77975034713745 A
2017-08-06T00:00:00-06:00,126.84325257937114 A
2017-08-07T00:00:00-06:00,123.1925437450409 A
2017-08-08T00:00:00-06:00,122.14662337303162 A
2017-08-09T00:00:00-06:00,120.5872106552124 A
2017-08-10T00:00:00-06:00,121.236776960657 A
2017-08-11T00:00:00-06:00,123.50720556577046 A
2017-08-12T00:00:00-06:00,119.3610417842865 A
2017-08-13T00:00:00-06:00,121.03689948717754 A
2017-08-14T00:00:00-06:00,120.23546608289082 A
2017-08-15T00:00:00-06:00,119.44058378537495 A
2017-08-16T00:00:00-06:00,121.12579743067424 A
2017-08-17T00:00:00-06:00,149.44738713900247 A
2017-08-18T00:00:00-06:00,169.7324481010437 A
2017-08-19T00:00:00-06:00,167.99052047729492 A
2017-08-20T00:00:00-06:00,170.4148874282837 A
2017-08-21T00:00:00-06:00,167.9628496170044 A
2017-08-22T00:00:00-06:00,168.92630592981973 A
2017-08-23T00:00:00-06:00,170.27127520243326 A
2017-08-24T00:00:00-06:00,160.6492257118225 A
2017-08-25T00:00:00-06:00,166.42018763224283 A
2017-08-26T00:00:00-06:00,169.6640303929647 A
2017-08-27T00:00:00-06:00,171.35955079396567 A
2017-08-28T00:00:00-06:00,170.10116117744036 A
2017-08-29T00:00:00-06:00,169.86761162870673 A
2017-08-30T00:00:00-06:00,169.01149543126425 A
2017-08-31T00:00:00-06:00,171.173525651296 A
2017-09-01T00:00:00-06:00,173.6277109781901 A
2017-09-02T00:00:00-06:00,168.05132563908896 A
2017-09-03T00:00:00-06:00,170.17631563227226 A
2017-09-04T00:00:00-06:00,167.62167390187582 A
2017-09-05T00:00:00-06:00,172.70991945266724 A
2017-09-06T00:00:00-06:00,171.88804626464844 A
2017-09-07T00:00:00-06:00,164.10685221354166 A
2017-09-08T00:00:00-06:00,149.7695265611013 A
2017-09-09T00:00:00-06:00,147.47991029421487 A
2017-09-10T00:00:00-06:00,148.55036211013794 A
2017-09-11T00:00:00-06:00,148.92867986361185 A
2017-09-12T00:00:00-06:00,147.2920627593994 A
2017-09-13T00:00:00-06:00,150.29000441233316 A
2017-09-14T00:00:00-06:00,150.62263854344687 A
2017-09-15T00:00:00-06:00,143.05481487073396 A
2017-09-16T00:00:00-06:00,140.78579648335776 A
2017-09-17T00:00:00-06:00,143.17159310976663 A
2017-09-18T00:00:00-06:00,147.3510888417562 A
2017-09-19T00:00:00-06:00,139.32421716054282 A
2017-09-20T00:00:00-06:00,137.1924684047699 A
2017-09-21T00:00:00-06:00,143.10557238260904 A
2017-09-22T00:00:00-06:00,138.5646952788035 A
2017-09-23T00:00:00-06:00,136.60364198684692 A
2017-09-24T00:00:00-06:00,140.12554105122885 A
2017-09-25T00:00:00-06:00,137.68363388379416 A
2017-09-26T00:00:00-06:00,134.09299937884012 A
2017-09-27T00:00:00-06:00,133.92156966527304 A
2017-09-28T00:00:00-06:00,134.16247717539468 A
2017-09-29T00:00:00-06:00,138.98383315404257 A
2017-09-30T00:00:00-06:00,137.13023177782694 A
2017-10-01T00:00:00-06:00,137.15480995178223 A
2017-10-02T00:00:00-06:00,137.47885870933533 A
2017-10-03T00:00:00-06:00,139.75199508666992 A
2017-10-04T00:00:00-06:00,140.55004016558328 A
2017-10-05T00:00:00-06:00,142.15239199002585 A
2017-10-06T00:00:00-06:00,142.90533097585043 A
2017-10-07T00:00:00-06:00,139.37732934951782 A
2017-10-08T00:00:00-06:00,140.62134091059366 A
2017-10-09T00:00:00-06:00,137.14170813560486 A
2017-10-10T00:00:00-06:00,137.67988618214926 A
2017-10-11T00:00:00-06:00,139.04562560717264 A
2017-10-12T00:00:00-06:00,135.6350933710734 A
2017-10-13T00:00:00-06:00,122.55584772427876 A
2017-10-14T00:00:00-06:00,137.2388292011462 A
2017-10-15T00:00:00-06:00,141.17828917503357 A
2017-10-16T00:00:00-06:00,119.17017738024394 A
2017-10-17T00:00:00-06:00,128.65141487121582 A
2017-10-18T00:00:00-06:00,143.7300544579824 A
2017-10-19T00:00:00-06:00,141.60062869389853 A
2017-10-20T00:00:00-06:00,146.01863741874695 A
2017-10-21T00:00:00-06:00,141.59049447377524 A
2017-10-22T00:00:00-06:00,144.14122502009073 A
2017-10-23T00:00:00-06:00,137.21733729044595 A
2017-10-24T00:00:00-06:00,139.71680053075156 A
2017-10-25T00:00:00-06:00,138.66159192721048 A
2017-10-26T00:00:00-06:00,137.6120013395945 A
2017-10-27T00:00:00-06:00,139.67200136184692 A
2017-10-28T00:00:00-06:00,138.25700243314108 A
2017-10-29T00:00:00-06:00,140.48991902669272 A
2017-10-30T00:00:00-06:00,138.77577328681946 A
2017-10-31T00:00:00-06:00,139.11502766609192 A
2017-11-01T00:00:00-06:00,146.77827739715576 A
2017-11-02T00:00:00-06:00,140.1814560095469 A
2017-11-03T00:00:00-06:00,142.41273832321167 A
2017-11-04T00:00:00-06:00,138.30966202418008 A
2017-11-05T00:00:00-06:00,109.51788131713867 A
2017-11-06T00:00:00-07:00,126.22373127937317 A
2017-11-07T00:00:00-07:00,140.17954222361246 A
2017-11-08T00:00:00-07:00,141.06726813316345 A
2017-11-09T00:00:00-07:00,141.7647387186686 A
2017-11-10T00:00:00-07:00,141.8459995587667 A
2017-11-11T00:00:00-07:00,138.94018975893655 A
2017-11-12T00:00:00-07:00,140.77496353785196 A
