Timestamp,['206e9e9f-e83a768d 0046-LASSONDE STUDIOS Power Meter 316259 Current A']
2017-07-23T00:00:00-06:00,141.90913693110147 A
2017-07-24T00:00:00-06:00,135.65382393201193 A
2017-07-25T00:00:00-06:00,136.89200472831726 A
2017-07-26T00:00:00-06:00,137.65941659609476 A
2017-07-27T00:00:00-06:00,139.0864114058645 A
2017-07-28T00:00:00-06:00,144.78720943133035 A
2017-07-29T00:00:00-06:00,161.51429271697998 A
2017-07-30T00:00:00-06:00,166.88958819707236 A
2017-07-31T00:00:00-06:00,165.52445268630981 A
2017-08-01T00:00:00-06:00,162.65146509806314 A
2017-08-02T00:00:00-06:00,163.18828884760538 A
2017-08-03T00:00:00-06:00,163.1405841509501 A
2017-08-04T00:00:00-06:00,164.08227455223 A
2017-08-05T00:00:00-06:00,155.83484514554343 A
2017-08-06T00:00:00-06:00,124.26471885045369 A
2017-08-07T00:00:00-06:00,118.92080163955688 A
2017-08-08T00:00:00-06:00,117.86268258094788 A
2017-08-09T00:00:00-06:00,118.68655228614807 A
2017-08-10T00:00:00-06:00,117.71761979448034 A
2017-08-11T00:00:00-06:00,120.94504817326863 A
2017-08-12T00:00:00-06:00,116.01963345209758 A
2017-08-13T00:00:00-06:00,119.22850688298543 A
2017-08-14T00:00:00-06:00,117.46462988853455 A
2017-08-15T00:00:00-06:00,116.33507959047954 A
2017-08-16T00:00:00-06:00,118.45432543754578 A
2017-08-17T00:00:00-06:00,146.38212672869363 A
2017-08-18T00:00:00-06:00,167.20630518595377 A
2017-08-19T00:00:00-06:00,166.21068636576334 A
2017-08-20T00:00:00-06:00,170.240132967631 A
2017-08-21T00:00:00-06:00,166.227498849233 A
2017-08-22T00:00:00-06:00,166.72187900543213 A
2017-08-23T00:00:00-06:00,168.01603635152182 A
2017-08-24T00:00:00-06:00,158.83243147532144 A
2017-08-25T00:00:00-06:00,164.0754631360372 A
2017-08-26T00:00:00-06:00,168.08262538909912 A
2017-08-27T00:00:00-06:00,171.56860526402792 A
2017-08-28T00:00:00-06:00,168.31092154461405 A
2017-08-29T00:00:00-06:00,168.29559358986475 A
2017-08-30T00:00:00-06:00,167.31075557072958 A
2017-08-31T00:00:00-06:00,169.21323188145956 A
2017-09-01T00:00:00-06:00,171.6640853881836 A
2017-09-02T00:00:00-06:00,166.98026657104492 A
2017-09-03T00:00:00-06:00,170.91282816136138 A
2017-09-04T00:00:00-06:00,165.53274774551392 A
2017-09-05T00:00:00-06:00,169.8672480583191 A
2017-09-06T00:00:00-06:00,169.5850419998169 A
2017-09-07T00:00:00-06:00,160.85071245829263 A
2017-09-08T00:00:00-06:00,146.8501934295005 A
2017-09-09T00:00:00-06:00,143.8020305633545 A
2017-09-10T00:00:00-06:00,147.4847855567932 A
2017-09-11T00:00:00-06:00,145.2449590365092 A
2017-09-12T00:00:00-06:00,144.24616638819376 A
2017-09-13T00:00:00-06:00,147.0041069984436 A
2017-09-14T00:00:00-06:00,146.2704642613729 A
2017-09-15T00:00:00-06:00,139.37226241262334 A
2017-09-16T00:00:00-06:00,138.24716138839722 A
2017-09-17T00:00:00-06:00,141.65059582392374 A
2017-09-18T00:00:00-06:00,144.1093103090922 A
2017-09-19T00:00:00-06:00,136.21791791915894 A
2017-09-20T00:00:00-06:00,133.7151815891266 A
2017-09-21T00:00:00-06:00,140.26416762669882 A
2017-09-22T00:00:00-06:00,135.68790785471597 A
2017-09-23T00:00:00-06:00,134.00075475374857 A
2017-09-24T00:00:00-06:00,139.4463702837626 A
2017-09-25T00:00:00-06:00,134.2486842473348 A
2017-09-26T00:00:00-06:00,131.87367129325867 A
2017-09-27T00:00:00-06:00,131.64259537061056 A
2017-09-28T00:00:00-06:00,130.36343495051065 A
2017-09-29T00:00:00-06:00,136.3586823940277 A
2017-09-30T00:00:00-06:00,133.73937829335532 A
2017-10-01T00:00:00-06:00,136.00941109657288 A
2017-10-02T00:00:00-06:00,134.83344149589539 A
2017-10-03T00:00:00-06:00,137.27697404225668 A
2017-10-04T00:00:00-06:00,138.2786912123362 A
2017-10-05T00:00:00-06:00,139.34510962168375 A
2017-10-06T00:00:00-06:00,140.14138007164001 A
2017-10-07T00:00:00-06:00,139.44156471888223 A
2017-10-08T00:00:00-06:00,141.29528562227884 A
2017-10-09T00:00:00-06:00,136.70796918869019 A
2017-10-10T00:00:00-06:00,136.02880493799844 A
2017-10-11T00:00:00-06:00,137.63141067822775 A
2017-10-12T00:00:00-06:00,134.20754750569662 A
2017-10-13T00:00:00-06:00,120.97469560305278 A
2017-10-14T00:00:00-06:00,137.21887881630346 A
2017-10-15T00:00:00-06:00,142.12449916203818 A
2017-10-16T00:00:00-06:00,116.41012263298035 A
2017-10-17T00:00:00-06:00,124.48815115292867 A
2017-10-18T00:00:00-06:00,140.8996905485789 A
2017-10-19T00:00:00-06:00,140.39106146494547 A
2017-10-20T00:00:00-06:00,144.2831086317698 A
2017-10-21T00:00:00-06:00,142.23062499364218 A
2017-10-22T00:00:00-06:00,146.27094944318137 A
2017-10-23T00:00:00-06:00,135.59486969312033 A
2017-10-24T00:00:00-06:00,137.89393854141235 A
2017-10-25T00:00:00-06:00,137.15028293927512 A
2017-10-26T00:00:00-06:00,135.77566679318747 A
2017-10-27T00:00:00-06:00,138.97864413261414 A
2017-10-28T00:00:00-06:00,138.7067173322042 A
2017-10-29T00:00:00-06:00,141.7952880859375 A
2017-10-30T00:00:00-06:00,136.9282066822052 A
2017-10-31T00:00:00-06:00,138.4138929049174 A
2017-11-01T00:00:00-06:00,143.53111481666565 A
2017-11-02T00:00:00-06:00,137.98123613993326 A
2017-11-03T00:00:00-06:00,141.43096590042114 A
2017-11-04T00:00:00-06:00,138.6981818675995 A
2017-11-05T00:00:00-06:00,110.25344566345215 A
2017-11-06T00:00:00-07:00,124.07124344507854 A
2017-11-07T00:00:00-07:00,138.32395132382712 A
2017-11-08T00:00:00-07:00,138.69513702392578 A
2017-11-09T00:00:00-07:00,138.3993071715037 A
2017-11-10T00:00:00-07:00,139.42003456751505 A
2017-11-11T00:00:00-07:00,138.20172810554504 A
2017-11-12T00:00:00-07:00,141.64256779352823 A
2017-11-13T00:00:00-07:00,142.397132396698 A
2017-11-14T00:00:00-07:00,153.8297584851583 A
2017-11-15T00:00:00-07:00,152.66618180274963 A
2017-11-16T00:00:00-07:00,138.45965027809143 A
2017-11-17T00:00:00-07:00,139.31936438878378 A
2017-11-18T00:00:00-07:00,104.79567702611287 A
2017-11-19T00:00:00-07:00,100.09208250045776 A
2017-11-20T00:00:00-07:00,125.77437090873718 A
2017-11-21T00:00:00-07:00,138.97682483990988 A
2017-11-22T00:00:00-07:00,133.29712073008218 A
2017-11-23T00:00:00-07:00,122.12105735143025 A
2017-11-24T00:00:00-07:00,124.33789539337158 A
2017-11-25T00:00:00-07:00,97.45321826140086 A
2017-11-26T00:00:00-07:00,73.8386351664861 A
2017-11-27T00:00:00-07:00,109.51452589035034 A
2017-11-28T00:00:00-07:00,138.0923192501068 A
2017-11-29T00:00:00-07:00,127.05512241522472 A
2017-11-30T00:00:00-07:00,137.65782459576926 A
2017-12-01T00:00:00-07:00,138.32675329844156 A
2017-12-02T00:00:00-07:00,137.59092529614767 A
2017-12-03T00:00:00-07:00,142.88398496309915 A
2017-12-04T00:00:00-07:00,136.7016623020172 A
2017-12-05T00:00:00-07:00,139.08160877227783 A
2017-12-06T00:00:00-07:00,137.60578775405884 A
2017-12-07T00:00:00-07:00,139.40309945742288 A
2017-12-08T00:00:00-07:00,139.89729364713034 A
2017-12-09T00:00:00-07:00,136.52494883537292 A
2017-12-10T00:00:00-07:00,140.7377111117045 A
2017-12-11T00:00:00-07:00,137.7569822470347 A
2017-12-12T00:00:00-07:00,141.8705082734426 A
2017-12-13T00:00:00-07:00,140.9611337184906 A
2017-12-14T00:00:00-07:00,139.55854471524557 A
2017-12-15T00:00:00-07:00,140.48423465092978 A
2017-12-16T00:00:00-07:00,137.83948381741843 A
2017-12-17T00:00:00-07:00,140.61585529645285 A
2017-12-18T00:00:00-07:00,141.4961391982212 A
2017-12-19T00:00:00-07:00,140.81076200803122 A
2017-12-20T00:00:00-07:00,140.12700804074606 A
2017-12-21T00:00:00-07:00,130.7062704563141 A
2017-12-22T00:00:00-07:00,130.7054189046224 A
2017-12-23T00:00:00-07:00,130.05711229642233 A
2017-12-24T00:00:00-07:00,133.78680864969888 A
2017-12-25T00:00:00-07:00,128.16564480463663 A
2017-12-26T00:00:00-07:00,129.72619557380676 A
2017-12-27T00:00:00-07:00,131.59362689654031 A
2017-12-28T00:00:00-07:00,128.06400648752847 A
2017-12-29T00:00:00-07:00,131.61348430315653 A
2017-12-30T00:00:00-07:00,132.61900464693704 A
2017-12-31T00:00:00-07:00,135.83946553866068 A
