Timestamp,"['1da983a9-b0ef8d83 0032-RICE-ECCLES STADIUM POWER METER (Main Stadium) 300075 Watts, 3-Ph total']"
2017-04-25T00:00:00-06:00,114.59610748291016 kW
2017-04-26T00:00:00-06:00,67.41053009033203 kW
2017-04-27T00:00:00-06:00,148.86105346679688 kW
2017-04-28T00:00:00-06:00,63.009185791015625 kW
2017-04-29T00:00:00-06:00,67.59593200683594 kW
2017-04-30T00:00:00-06:00,63.26356887817383 kW
2017-05-01T00:00:00-06:00,62.77034378051758 kW
2017-05-02T00:00:00-06:00,68.22926330566406 kW
2017-05-03T00:00:00-06:00,65.35429382324219 kW
2017-05-04T00:00:00-06:00,66.49357604980469 kW
2017-05-05T00:00:00-06:00,68.15052032470703 kW
2017-05-06T00:00:00-06:00,72.17913055419922 kW
2017-05-07T00:00:00-06:00,66.45471954345703 kW
2017-05-08T00:00:00-06:00,65.84121704101562 kW
2017-05-09T00:00:00-06:00,66.15145874023438 kW
2017-05-10T00:00:00-06:00,63.8283805847168 kW
2017-05-11T00:00:00-06:00,69.79195404052734 kW
2017-05-12T00:00:00-06:00,67.34583282470703 kW
2017-05-13T00:00:00-06:00,68.9827880859375 kW
2017-05-14T00:00:00-06:00,65.21914672851562 kW
2017-05-15T00:00:00-06:00,65.59192657470703 kW
2017-05-16T00:00:00-06:00,64.43719482421875 kW
2017-05-17T00:00:00-06:00,62.725555419921875 kW
2017-05-18T00:00:00-06:00,71.2342529296875 kW
2017-05-19T00:00:00-06:00,62.956382751464844 kW
2017-05-20T00:00:00-06:00,69.06519317626953 kW
2017-05-21T00:00:00-06:00,61.45703887939453 kW
2017-05-22T00:00:00-06:00,64.90888977050781 kW
2017-05-23T00:00:00-06:00,65.90016174316406 kW
2017-05-24T00:00:00-06:00,67.49429321289062 kW
2017-05-25T00:00:00-06:00,63.95073699951172 kW
2017-05-26T00:00:00-06:00,66.93555450439453 kW
2017-05-27T00:00:00-06:00,67.39382934570312 kW
2017-05-28T00:00:00-06:00,63.20668029785156 kW
2017-05-29T00:00:00-06:00,65.75656127929688 kW
2017-05-30T00:00:00-06:00,73.109619140625 kW
2017-05-31T00:00:00-06:00,75.18225860595703 kW
2017-06-01T00:00:00-06:00,67.10826873779297 kW
2017-06-02T00:00:00-06:00,66.11903381347656 kW
2017-06-03T00:00:00-06:00,69.75302124023438 kW
2017-06-04T00:00:00-06:00,66.91492462158203 kW
2017-06-05T00:00:00-06:00,83.768310546875 kW
2017-06-06T00:00:00-06:00,68.93956756591797 kW
2017-06-07T00:00:00-06:00,69.28593444824219 kW
2017-06-08T00:00:00-06:00,69.89724731445312 kW
2017-06-09T00:00:00-06:00,66.7777099609375 kW
2017-06-10T00:00:00-06:00,69.56279754638672 kW
2017-06-11T00:00:00-06:00,75.97901153564453 kW
2017-06-12T00:00:00-06:00,114.29972839355469 kW
2017-06-13T00:00:00-06:00,129.57217407226562 kW
2017-06-14T00:00:00-06:00,419.51123046875 kW
2017-06-15T00:00:00-06:00,375.23492431640625 kW
2017-06-16T00:00:00-06:00,425.984619140625 kW
2017-06-17T00:00:00-06:00,375.1888122558594 kW
2017-06-18T00:00:00-06:00,368.84442138671875 kW
2017-06-19T00:00:00-06:00,161.32562255859375 kW
2017-06-20T00:00:00-06:00,313.26531982421875 kW
2017-06-21T00:00:00-06:00,337.33966064453125 kW
2017-06-22T00:00:00-06:00,331.3987731933594 kW
2017-06-23T00:00:00-06:00,317.97882080078125 kW
2017-06-24T00:00:00-06:00,552.803955078125 kW
2017-06-25T00:00:00-06:00,359.9556884765625 kW
2017-06-26T00:00:00-06:00,71.34654235839844 kW
2017-06-27T00:00:00-06:00,103.74815368652344 kW
2017-06-28T00:00:00-06:00,64.03359985351562 kW
2017-06-29T00:00:00-06:00,62.47677993774414 kW
2017-06-30T00:00:00-06:00,61.350982666015625 kW
2017-07-01T00:00:00-06:00,64.74470520019531 kW
2017-07-02T00:00:00-06:00,62.24238204956055 kW
2017-07-03T00:00:00-06:00,74.38825988769531 kW
2017-07-04T00:00:00-06:00,64.3149642944336 kW
2017-07-05T00:00:00-06:00,63.46886444091797 kW
2017-07-06T00:00:00-06:00,61.89632034301758 kW
2017-07-07T00:00:00-06:00,64.49758911132812 kW
2017-07-08T00:00:00-06:00,63.08229064941406 kW
2017-07-09T00:00:00-06:00,58.867820739746094 kW
2017-07-10T00:00:00-06:00,61.25078201293945 kW
2017-07-11T00:00:00-06:00,60.68718719482422 kW
2017-07-12T00:00:00-06:00,61.976234436035156 kW
2017-07-13T00:00:00-06:00,66.05330657958984 kW
2017-07-14T00:00:00-06:00,64.24740600585938 kW
2017-07-15T00:00:00-06:00,66.2007064819336 kW
2017-07-16T00:00:00-06:00,65.2027816772461 kW
2017-07-17T00:00:00-06:00,67.83263397216797 kW
2017-07-18T00:00:00-06:00,67.33190155029297 kW
2017-07-19T00:00:00-06:00,74.03826141357422 kW
2017-07-20T00:00:00-06:00,65.72833251953125 kW
2017-07-21T00:00:00-06:00,66.02528381347656 kW
2017-07-22T00:00:00-06:00,67.76509094238281 kW
2017-07-23T00:00:00-06:00,63.542728424072266 kW
2017-07-24T00:00:00-06:00,66.70868682861328 kW
2017-07-25T00:00:00-06:00,61.69424819946289 kW
2017-07-26T00:00:00-06:00,62.38715744018555 kW
2017-07-27T00:00:00-06:00,72.26734924316406 kW
2017-07-28T00:00:00-06:00,61.86302947998047 kW
2017-07-29T00:00:00-06:00,66.32315826416016 kW
2017-07-30T00:00:00-06:00,62.58654022216797 kW
2017-07-31T00:00:00-06:00,67.85067749023438 kW
2017-08-01T00:00:00-06:00,73.32325744628906 kW
2017-08-02T00:00:00-06:00,75.99945831298828 kW
2017-08-03T00:00:00-06:00,73.88198852539062 kW
2017-08-04T00:00:00-06:00,72.49639892578125 kW
2017-08-05T00:00:00-06:00,320.0396423339844 kW
2017-08-06T00:00:00-06:00,66.48375701904297 kW
2017-08-07T00:00:00-06:00,75.30086517333984 kW
2017-08-08T00:00:00-06:00,67.16368865966797 kW
2017-08-09T00:00:00-06:00,69.74697875976562 kW
2017-08-10T00:00:00-06:00,69.51972961425781 kW
2017-08-11T00:00:00-06:00,63.81693649291992 kW
2017-08-12T00:00:00-06:00,68.18698120117188 kW
2017-08-13T00:00:00-06:00,61.145450592041016 kW
2017-08-14T00:00:00-06:00,309.7685852050781 kW
2017-08-15T00:00:00-06:00,63.10224914550781 kW
2017-08-16T00:00:00-06:00,307.26519775390625 kW
2017-08-17T00:00:00-06:00,67.2056884765625 kW
2017-08-18T00:00:00-06:00,121.24540710449219 kW
2017-08-19T00:00:00-06:00,311.31396484375 kW
2017-08-20T00:00:00-06:00,63.93492126464844 kW
2017-08-21T00:00:00-06:00,353.7454833984375 kW
2017-08-22T00:00:00-06:00,88.49964141845703 kW
2017-08-23T00:00:00-06:00,318.3180847167969 kW
2017-08-24T00:00:00-06:00,103.80252838134766 kW
2017-08-25T00:00:00-06:00,114.3556900024414 kW
2017-08-26T00:00:00-06:00,75.5732650756836 kW
2017-08-27T00:00:00-06:00,67.23846435546875 kW
2017-08-28T00:00:00-06:00,365.5675048828125 kW
2017-08-29T00:00:00-06:00,79.10505676269531 kW
2017-08-30T00:00:00-06:00,211.4861602783203 kW
2017-08-31T00:00:00-06:00,653.7786254882812 kW
2017-09-01T00:00:00-06:00,377.7469482421875 kW
2017-09-02T00:00:00-06:00,72.11791229248047 kW
2017-09-03T00:00:00-06:00,72.16825103759766 kW
2017-09-04T00:00:00-06:00,77.13728332519531 kW
2017-09-05T00:00:00-06:00,81.03539276123047 kW
2017-09-06T00:00:00-06:00,125.58281707763672 kW
2017-09-07T00:00:00-06:00,82.4092025756836 kW
2017-09-08T00:00:00-06:00,79.37408447265625 kW
2017-09-09T00:00:00-06:00,68.2308120727539 kW
2017-09-10T00:00:00-06:00,69.0656967163086 kW
2017-09-11T00:00:00-06:00,125.55753326416016 kW
2017-09-12T00:00:00-06:00,333.5021667480469 kW
2017-09-13T00:00:00-06:00,72.70793151855469 kW
2017-09-14T00:00:00-06:00,121.27680969238281 kW
2017-09-15T00:00:00-06:00,127.0240478515625 kW
2017-09-16T00:00:00-06:00,625.9976196289062 kW
2017-09-17T00:00:00-06:00,390.53851318359375 kW
2017-09-18T00:00:00-06:00,118.26905822753906 kW
2017-09-19T00:00:00-06:00,66.282470703125 kW
2017-09-20T00:00:00-06:00,68.56989288330078 kW
2017-09-21T00:00:00-06:00,115.67679595947266 kW
2017-09-22T00:00:00-06:00,110.78227233886719 kW
2017-09-23T00:00:00-06:00,56.68463134765625 kW
2017-09-24T00:00:00-06:00,57.83018112182617 kW
2017-09-25T00:00:00-06:00,74.28335571289062 kW
