Timestamp,['203f2685-978838b8 0097-DUMKE GYMNASTICS CNTR Power Meter Current C']
2017-06-17T00:00:00-06:00,63.95958197116852 A
2017-06-18T00:00:00-06:00,49.578216671943665 A
2017-06-19T00:00:00-06:00,66.98259246349335 A
2017-06-20T00:00:00-06:00,72.20685565471649 A
2017-06-21T00:00:00-06:00,69.97369317213695 A
2017-06-22T00:00:00-06:00,73.37770442167918 A
2017-06-23T00:00:00-06:00,57.940996845563255 A
2017-06-24T00:00:00-06:00,52.97830585638682 A
2017-06-25T00:00:00-06:00,58.55734467506409 A
2017-06-26T00:00:00-06:00,74.66161167621613 A
2017-06-27T00:00:00-06:00,66.07975669701894 A
2017-06-28T00:00:00-06:00,58.81892601648966 A
2017-06-29T00:00:00-06:00,56.70108783245087 A
2017-06-30T00:00:00-06:00,61.51172272364298 A
2017-07-01T00:00:00-06:00,55.9646848042806 A
2017-07-02T00:00:00-06:00,62.58315416177114 A
2017-07-03T00:00:00-06:00,79.57196048895518 A
2017-07-04T00:00:00-06:00,69.80529812971751 A
2017-07-05T00:00:00-06:00,84.03743199507396 A
2017-07-06T00:00:00-06:00,86.17824093500774 A
2017-07-07T00:00:00-06:00,81.45694037278493 A
2017-07-08T00:00:00-06:00,71.94376695156097 A
2017-07-09T00:00:00-06:00,66.93099470933278 A
2017-07-10T00:00:00-06:00,75.5250662167867 A
2017-07-11T00:00:00-06:00,73.19513142108917 A
2017-07-12T00:00:00-06:00,86.49097327391307 A
2017-07-13T00:00:00-06:00,74.21810722351074 A
2017-07-14T00:00:00-06:00,76.40288885434468 A
2017-07-15T00:00:00-06:00,65.16715590159099 A
2017-07-16T00:00:00-06:00,66.88278957207997 A
2017-07-17T00:00:00-06:00,76.16714155673981 A
2017-07-18T00:00:00-06:00,76.21199154853821 A
2017-07-19T00:00:00-06:00,76.42367200056712 A
2017-07-20T00:00:00-06:00,77.02796125411987 A
2017-07-21T00:00:00-06:00,73.86779002348582 A
2017-07-22T00:00:00-06:00,62.97545552253723 A
2017-07-23T00:00:00-06:00,61.95094724496206 A
2017-07-24T00:00:00-06:00,63.09979748725891 A
2017-07-25T00:00:00-06:00,75.76285473505656 A
2017-07-26T00:00:00-06:00,72.17096829414368 A
2017-07-27T00:00:00-06:00,66.27273829778035 A
2017-07-28T00:00:00-06:00,62.437349796295166 A
2017-07-29T00:00:00-06:00,57.97254510720571 A
2017-07-30T00:00:00-06:00,61.400380750497185 A
2017-07-31T00:00:00-06:00,75.62760742505391 A
2017-08-01T00:00:00-06:00,80.1734203894933 A
2017-08-02T00:00:00-06:00,74.30529522895813 A
2017-08-03T00:00:00-06:00,70.27590203285217 A
2017-08-04T00:00:00-06:00,65.12013647058508 A
2017-08-05T00:00:00-06:00,56.36182041962942 A
2017-08-06T00:00:00-06:00,54.849163015683494 A
2017-08-07T00:00:00-06:00,64.79880340894063 A
2017-08-08T00:00:00-06:00,52.21949847539266 A
2017-08-09T00:00:00-06:00,53.383034467697144 A
2017-08-10T00:00:00-06:00,52.5794689097303 A
2017-08-11T00:00:00-06:00,53.2645955880483 A
2017-08-12T00:00:00-06:00,55.024634540081024 A
2017-08-13T00:00:00-06:00,52.42117857682077 A
2017-08-14T00:00:00-06:00,49.23827842871348 A
2017-08-15T00:00:00-06:00,45.693664173285164 A
2017-08-16T00:00:00-06:00,50.16934529940287 A
2017-08-17T00:00:00-06:00,52.08694477876028 A
2017-08-18T00:00:00-06:00,54.07988472779592 A
2017-08-19T00:00:00-06:00,54.359396040439606 A
2017-08-20T00:00:00-06:00,53.47929998238882 A
2017-08-21T00:00:00-06:00,52.56384233633677 A
2017-08-22T00:00:00-06:00,56.49015720685323 A
2017-08-23T00:00:00-06:00,49.44786842664083 A
2017-08-24T00:00:00-06:00,57.97942532991108 A
2017-08-25T00:00:00-06:00,57.1695673863093 A
2017-08-26T00:00:00-06:00,57.6571090221405 A
2017-08-27T00:00:00-06:00,56.21443359057108 A
2017-08-28T00:00:00-06:00,65.10910320281982 A
2017-08-29T00:00:00-06:00,66.86537855414934 A
2017-08-30T00:00:00-06:00,65.0624947945277 A
2017-08-31T00:00:00-06:00,56.87684412797292 A
2017-09-01T00:00:00-06:00,55.006494681040444 A
2017-09-02T00:00:00-06:00,53.157228688398995 A
2017-09-03T00:00:00-06:00,55.04536704222361 A
2017-09-04T00:00:00-06:00,57.51828916867574 A
2017-09-05T00:00:00-06:00,67.40533697605133 A
2017-09-06T00:00:00-06:00,57.0213338136673 A
2017-09-07T00:00:00-06:00,61.83243076006571 A
2017-09-08T00:00:00-06:00,53.08528213500976 A
2017-09-09T00:00:00-06:00,43.600399335225426 A
2017-09-10T00:00:00-06:00,45.89692884683609 A
2017-09-11T00:00:00-06:00,55.589058796564736 A
2017-09-12T00:00:00-06:00,58.81051035722097 A
2017-09-13T00:00:00-06:00,49.267869194348656 A
2017-09-14T00:00:00-06:00,47.42509261767069 A
2017-09-15T00:00:00-06:00,44.30454921722412 A
2017-09-16T00:00:00-06:00,36.31165506442388 A
2017-09-17T00:00:00-06:00,38.022521018981934 A
