Timestamp,['1f4f32a9-e6835416 Power Meter (4160V) 316611 Current A']
2017-05-18T00:00:00-06:00,0 A
2017-05-19T00:00:00-06:00,4.85 A
2017-05-20T00:00:00-06:00,16.988372093023255 A
2017-05-21T00:00:00-06:00,18.337209302325583 A
2017-05-22T00:00:00-06:00,23.586206896551722 A
2017-05-23T00:00:00-06:00,40.18181818181818 A
2017-05-24T00:00:00-06:00,41.15294117647059 A
2017-05-25T00:00:00-06:00,30.173333333333332 A
2017-05-26T00:00:00-06:00,19.232558139534884 A
2017-05-27T00:00:00-06:00,19.98901098901099 A
2017-05-28T00:00:00-06:00,32.258426966292134 A
2017-05-29T00:00:00-06:00,0.8636363636363636 A
2017-05-30T00:00:00-06:00,27.255555555555556 A
2017-05-31T00:00:00-06:00,46.35526315789474 A
2017-06-01T00:00:00-06:00,45.96551724137931 A
2017-06-02T00:00:00-06:00,32.542857142857144 A
2017-06-03T00:00:00-06:00,44.888888888888886 A
2017-06-04T00:00:00-06:00,45.59375 A
2017-06-05T00:00:00-06:00,51.11904761904762 A
2017-06-06T00:00:00-06:00,53.28409090909091 A
2017-06-07T00:00:00-06:00,55.206896551724135 A
2017-06-08T00:00:00-06:00,52.166666666666664 A
2017-06-09T00:00:00-06:00,43.375 A
2017-06-10T00:00:00-06:00,40.30232558139535 A
2017-06-11T00:00:00-06:00,43.42528735632184 A
2017-06-12T00:00:00-06:00,35 A
2017-06-13T00:00:00-06:00,16.344827586206897 A
2017-06-14T00:00:00-06:00,31.432098765432098 A
2017-06-15T00:00:00-06:00,45.61290322580645 A
2017-06-16T00:00:00-06:00,49.76923076923077 A
2017-06-17T00:00:00-06:00,44.127906976744185 A
2017-06-18T00:00:00-06:00,46.166666666666664 A
2017-06-19T00:00:00-06:00,64.4 A
2017-06-20T00:00:00-06:00,78.4390243902439 A
2017-06-21T00:00:00-06:00,75.70370370370371 A
2017-06-22T00:00:00-06:00,59.083333333333336 A
2017-06-23T00:00:00-06:00,54.72289156626506 A
2017-06-24T00:00:00-06:00,49.45454545454545 A
2017-06-25T00:00:00-06:00,65.2089552238806 A
2017-06-26T00:00:00-06:00,75.53968253968254 A
2017-06-27T00:00:00-06:00,69.08108108108108 A
2017-06-28T00:00:00-06:00,58.325842696629216 A
2017-06-29T00:00:00-06:00,54.73255813953488 A
2017-06-30T00:00:00-06:00,54.17977528089887 A
2017-07-01T00:00:00-06:00,56.03225806451613 A
2017-07-02T00:00:00-06:00,62.626666666666665 A
2017-07-03T00:00:00-06:00,76.63380281690141 A
2017-07-04T00:00:00-06:00,74.34042553191489 A
2017-07-05T00:00:00-06:00,80.33695652173913 A
2017-07-06T00:00:00-06:00,72.05714285714286 A
2017-07-07T00:00:00-06:00,96.16666666666667 A
2017-07-08T00:00:00-06:00,79.85714285714286 A
2017-07-09T00:00:00-06:00,80.5 A
2017-07-10T00:00:00-06:00,95 A
2017-07-11T00:00:00-06:00,71.0909090909091 A
2017-07-12T00:00:00-06:00,64 A
2017-07-14T00:00:00-06:00,88.33333333333333 A
2017-07-15T00:00:00-06:00,68.11764705882354 A
2017-07-16T00:00:00-06:00,98.88888888888889 A
2017-07-17T00:00:00-06:00,81 A
2017-07-18T00:00:00-06:00,80.8 A
2017-07-19T00:00:00-06:00,85.83333333333333 A
2017-07-20T00:00:00-06:00,93.36363636363636 A
2017-07-21T00:00:00-06:00,77.17647058823529 A
2017-07-22T00:00:00-06:00,75.39473684210526 A
2017-07-23T00:00:00-06:00,73.33333333333333 A
2017-07-24T00:00:00-06:00,76.42857142857143 A
2017-07-25T00:00:00-06:00,82.6 A
2017-07-26T00:00:00-06:00,77.7 A
2017-07-27T00:00:00-06:00,62.285714285714285 A
2017-07-28T00:00:00-06:00,47.42857142857143 A
2017-07-29T00:00:00-06:00,51.888888888888886 A
2017-07-30T00:00:00-06:00,70.5 A
2017-07-31T00:00:00-06:00,80.875 A
2017-08-01T00:00:00-06:00,87.26666666666667 A
2017-08-02T00:00:00-06:00,76.28571428571429 A
2017-08-03T00:00:00-06:00,65.5 A
2017-08-04T00:00:00-06:00,67.14285714285714 A
2017-08-05T00:00:00-06:00,70.11111111111111 A
2017-08-06T00:00:00-06:00,62.111111111111114 A
2017-08-07T00:00:00-06:00,72 A
2017-08-08T00:00:00-06:00,76.125 A
2017-08-09T00:00:00-06:00,52.57142857142857 A
2017-08-10T00:00:00-06:00,77.42857142857143 A
2017-08-11T00:00:00-06:00,57 A
2017-08-12T00:00:00-06:00,66.94117647058823 A
2017-08-13T00:00:00-06:00,58.857142857142854 A
2017-08-14T00:00:00-06:00,57.5 A
2017-08-15T00:00:00-06:00,35.6 A
2017-08-16T00:00:00-06:00,62.875 A
2017-08-17T00:00:00-06:00,77.33333333333333 A
2017-08-18T00:00:00-06:00,29.666666666666668 A
2017-08-19T00:00:00-06:00,74.33333333333333 A
2017-08-20T00:00:00-06:00,54.375 A
2017-08-21T00:00:00-06:00,64.25 A
2017-08-22T00:00:00-06:00,82.66666666666667 A
2017-08-23T00:00:00-06:00,66.125 A
2017-08-24T00:00:00-06:00,68.9 A
2017-08-25T00:00:00-06:00,63.6 A
2017-08-26T00:00:00-06:00,51 A
2017-08-27T00:00:00-06:00,69.4 A
2017-08-28T00:00:00-06:00,65.9 A
2017-08-29T00:00:00-06:00,74.9090909090909 A
2017-08-30T00:00:00-06:00,73 A
2017-08-31T00:00:00-06:00,66.85714285714286 A
2017-09-01T00:00:00-06:00,51.44444444444444 A
2017-09-02T00:00:00-06:00,52.25 A
2017-09-03T00:00:00-06:00,57.86363636363637 A
2017-09-04T00:00:00-06:00,59.266666666666666 A
2017-09-05T00:00:00-06:00,73.66666666666667 A
2017-09-06T00:00:00-06:00,71.66666666666667 A
2017-09-07T00:00:00-06:00,59.93333333333333 A
2017-09-08T00:00:00-06:00,49.125 A
2017-09-09T00:00:00-06:00,50.111111111111114 A
2017-09-10T00:00:00-06:00,37.42857142857143 A
2017-09-11T00:00:00-06:00,41 A
2017-09-12T00:00:00-06:00,64.7 A
2017-09-13T00:00:00-06:00,55.1764705882353 A
2017-09-14T00:00:00-06:00,49.5 A
2017-09-15T00:00:00-06:00,33.166666666666664 A
2017-09-16T00:00:00-06:00,26.90909090909091 A
2017-09-17T00:00:00-06:00,35.54545454545455 A
2017-09-18T00:00:00-06:00,48.285714285714285 A
2017-09-19T00:00:00-06:00,33.5 A
2017-09-20T00:00:00-06:00,28 A
2017-09-21T00:00:00-06:00,16.5 A
2017-09-22T00:00:00-06:00,0 A
2017-09-23T00:00:00-06:00,3.4444444444444446 A
2017-09-24T00:00:00-06:00,5.083333333333333 A
2017-09-25T00:00:00-06:00,16.928571428571427 A
2017-09-26T00:00:00-06:00,22.4 A
2017-09-27T00:00:00-06:00,51 A
2017-09-28T00:00:00-06:00,28.6 A
2017-09-29T00:00:00-06:00,32.63636363636363 A
2017-09-30T00:00:00-06:00,13.75 A
2017-10-01T00:00:00-06:00,24 A
2017-10-02T00:00:00-06:00,0 A
2017-10-03T00:00:00-06:00,19.333333333333332 A
2017-10-04T00:00:00-06:00,29.5 A
2017-10-05T00:00:00-06:00,17.5 A
2017-10-06T00:00:00-06:00,22.666666666666668 A
2017-10-07T00:00:00-06:00,18.11111111111111 A
2017-10-08T00:00:00-06:00,10.666666666666666 A
2017-10-09T00:00:00-06:00,0 A
2017-10-10T00:00:00-06:00,31.666666666666668 A
2017-10-11T00:00:00-06:00,27.62121212121212 A
2017-10-12T00:00:00-06:00,14.121951219512194 A
2017-10-13T00:00:00-06:00,15.24468085106383 A
2017-10-14T00:00:00-06:00,5.947916666666667 A
2017-10-15T00:00:00-06:00,0.6458333333333334 A
2017-10-16T00:00:00-06:00,16.125 A
2017-10-17T00:00:00-06:00,30.645833333333332 A
2017-10-18T00:00:00-06:00,32.3125 A
2017-10-19T00:00:00-06:00,35.333333333333336 A
2017-10-20T00:00:00-06:00,31.9468085106383 A
2017-10-21T00:00:00-06:00,9.03125 A
2017-10-22T00:00:00-06:00,15.947368421052632 A
2017-10-23T00:00:00-06:00,32.739583333333336 A
2017-10-24T00:00:00-06:00,30.822916666666668 A
2017-10-25T00:00:00-06:00,32.864583333333336 A
2017-10-26T00:00:00-06:00,31.135416666666668 A
2017-10-27T00:00:00-06:00,29.958333333333332 A
2017-10-28T00:00:00-06:00,31.852631578947367 A
2017-10-29T00:00:00-06:00,31.48421052631579 A
2017-10-30T00:00:00-06:00,4.5625 A
2017-10-31T00:00:00-06:00,0 A
2017-11-01T00:00:00-06:00,14.191489361702128 A
2017-11-02T00:00:00-06:00,25.677083333333332 A
2017-11-03T00:00:00-06:00,31.532608695652176 A
2017-11-04T00:00:00-06:00,7.138297872340425 A
2017-11-05T00:00:00-06:00,1.45 A
2017-11-06T00:00:00-07:00,0 A
2017-11-07T00:00:00-07:00,0 A
2017-11-08T00:00:00-07:00,0 A
2017-11-09T00:00:00-07:00,5.59375 A
2017-11-10T00:00:00-07:00,0.6 A
2017-11-11T00:00:00-07:00,1.1979166666666667 A
2017-11-12T00:00:00-07:00,1.4842105263157894 A
2017-11-13T00:00:00-07:00,2.2916666666666665 A
2017-11-14T00:00:00-07:00,0 A
2017-11-15T00:00:00-07:00,2.2395833333333335 A
2017-11-16T00:00:00-07:00,24.291666666666668 A
2017-11-17T00:00:00-07:00,2.9166666666666665 A
2017-11-18T00:00:00-07:00,2.9583333333333335 A
2017-11-19T00:00:00-07:00,1.8125 A
2017-11-20T00:00:00-07:00,1.5208333333333333 A
2017-11-21T00:00:00-07:00,5.4375 A
2017-11-22T00:00:00-07:00,7.385416666666667 A
2017-11-23T00:00:00-07:00,0.6041666666666666 A
2017-11-24T00:00:00-07:00,2.5319148936170213 A
2017-11-25T00:00:00-07:00,0 A
2017-11-26T00:00:00-07:00,8.3125 A
2017-11-27T00:00:00-07:00,20.166666666666668 A
2017-11-28T00:00:00-07:00,1.4895833333333333 A
2017-11-29T00:00:00-07:00,0.8842105263157894 A
2017-11-30T00:00:00-07:00,0.28421052631578947 A
2017-12-01T00:00:00-07:00,0.8541666666666666 A
2017-12-02T00:00:00-07:00,0.5833333333333334 A
2017-12-03T00:00:00-07:00,0.3125 A
2017-12-04T00:00:00-07:00,0 A
2017-12-05T00:00:00-07:00,0 A
2017-12-06T00:00:00-07:00,0 A
2017-12-07T00:00:00-07:00,0 A
2017-12-08T00:00:00-07:00,0 A
2017-12-09T00:00:00-07:00,0 A
2017-12-10T00:00:00-07:00,0 A
2017-12-11T00:00:00-07:00,0 A
2017-12-12T00:00:00-07:00,0 A
2017-12-13T00:00:00-07:00,0 A
2017-12-14T00:00:00-07:00,0 A
2017-12-15T00:00:00-07:00,0 A
2017-12-16T00:00:00-07:00,0 A
2017-12-17T00:00:00-07:00,0 A
2017-12-18T00:00:00-07:00,0 A
2017-12-19T00:00:00-07:00,0 A
2017-12-20T00:00:00-07:00,0 A
2017-12-21T00:00:00-07:00,0 A
2017-12-22T00:00:00-07:00,0 A
2017-12-23T00:00:00-07:00,0 A
2017-12-24T00:00:00-07:00,0 A
2017-12-25T00:00:00-07:00,0 A
2017-12-26T00:00:00-07:00,0 A
2017-12-27T00:00:00-07:00,0 A
2017-12-28T00:00:00-07:00,0 A
2017-12-29T00:00:00-07:00,0 A
2017-12-30T00:00:00-07:00,0 A
2017-12-31T00:00:00-07:00,0 A
