Timestamp,['1cbacaa6-7439e31a 0036-FILM & MEDIA ARTS BLDG Power Meter (300084) Current A']
2017-03-01T00:00:00-07:00,90.76178820927937 A
2017-03-02T00:00:00-07:00,94.51080481211345 A
2017-03-03T00:00:00-07:00,77.52040493488312 A
2017-03-04T00:00:00-07:00,60.709555308024086 A
2017-03-05T00:00:00-07:00,62.40370980898539 A
2017-03-06T00:00:00-07:00,91.16849907239278 A
2017-03-07T00:00:00-07:00,90.62093504269917 A
2017-03-08T00:00:00-07:00,87.8813374042511 A
2017-03-09T00:00:00-07:00,82.08922449747722 A
2017-03-10T00:00:00-07:00,77.7017209927241 A
2017-03-11T00:00:00-07:00,62.33278512954712 A
2017-03-12T00:00:00-07:00,56.797367469124175 A
2017-03-13T00:00:00-06:00,66.81171532471974 A
2017-03-14T00:00:00-06:00,67.21842233339946 A
2017-03-15T00:00:00-06:00,68.09766848882039 A
2017-03-16T00:00:00-06:00,64.55677819252014 A
2017-03-17T00:00:00-06:00,64.86219461758931 A
2017-03-18T00:00:00-06:00,61.072699864705406 A
2017-03-19T00:00:00-06:00,57.153109192848206 A
2017-03-20T00:00:00-06:00,78.90495876471202 A
2017-03-21T00:00:00-06:00,86.4033811489741 A
2017-03-22T00:00:00-06:00,84.42004470030467 A
2017-03-23T00:00:00-06:00,77.55551461378734 A
2017-03-24T00:00:00-06:00,75.0361477136612 A
2017-03-25T00:00:00-06:00,60.15148071448008 A
2017-03-26T00:00:00-06:00,63.54722877343496 A
2017-03-27T00:00:00-06:00,89.99205613136292 A
2017-03-28T00:00:00-06:00,83.36682979265849 A
2017-03-29T00:00:00-06:00,95.7141875161065 A
2017-03-30T00:00:00-06:00,101.90911933051215 A
2017-03-31T00:00:00-06:00,80.92682007948558 A
2017-04-01T00:00:00-06:00,60.46466565132141 A
2017-04-02T00:00:00-06:00,59.86182260513306 A
2017-04-03T00:00:00-06:00,84.77509502569835 A
2017-04-04T00:00:00-06:00,87.04226362705231 A
2017-04-05T00:00:00-06:00,102.70433139801025 A
2017-04-06T00:00:00-06:00,96.35019934177399 A
2017-04-07T00:00:00-06:00,91.86343971888225 A
2017-04-08T00:00:00-06:00,76.73723816871643 A
2017-04-09T00:00:00-06:00,74.43756445248921 A
2017-04-10T00:00:00-06:00,105.07702048619588 A
2017-04-11T00:00:00-06:00,96.19999917348225 A
2017-04-12T00:00:00-06:00,98.23908646901448 A
2017-04-13T00:00:00-06:00,92.36406409740448 A
2017-04-14T00:00:00-06:00,96.25804924964905 A
2017-04-15T00:00:00-06:00,89.52955571810405 A
2017-04-16T00:00:00-06:00,78.14980705579121 A
2017-04-17T00:00:00-06:00,104.4463142156601 A
2017-04-18T00:00:00-06:00,108.56188186009724 A
2017-04-19T00:00:00-06:00,110.51736879348755 A
2017-04-20T00:00:00-06:00,107.13908664385478 A
2017-04-21T00:00:00-06:00,97.55075860023499 A
2017-04-22T00:00:00-06:00,84.76974701881409 A
2017-04-23T00:00:00-06:00,82.21307444572449 A
2017-04-24T00:00:00-06:00,96.54179688294728 A
2017-04-25T00:00:00-06:00,90.68441724777222 A
2017-04-26T00:00:00-06:00,86.90860164165497 A
2017-04-27T00:00:00-06:00,87.80803751945496 A
2017-04-28T00:00:00-06:00,85.54240552584331 A
2017-04-29T00:00:00-06:00,78.17632917563121 A
2017-04-30T00:00:00-06:00,74.48346253236134 A
2017-05-01T00:00:00-06:00,91.94472912947337 A
2017-05-02T00:00:00-06:00,89.78781855106354 A
2017-05-03T00:00:00-06:00,83.51003992557526 A
2017-05-04T00:00:00-06:00,83.23381074269612 A
2017-05-05T00:00:00-06:00,78.9537855386734 A
2017-05-06T00:00:00-06:00,70.48326130708058 A
2017-05-07T00:00:00-06:00,66.85813478628795 A
2017-05-08T00:00:00-06:00,72.92629226048787 A
2017-05-09T00:00:00-06:00,70.58099473652086 A
2017-05-10T00:00:00-06:00,66.88980603218079 A
2017-05-11T00:00:00-06:00,71.19423294067383 A
2017-05-12T00:00:00-06:00,68.62062541643779 A
2017-05-13T00:00:00-06:00,58.11265508333842 A
2017-05-14T00:00:00-06:00,57.31259274482727 A
2017-05-15T00:00:00-06:00,71.46988773345947 A
2017-05-16T00:00:00-06:00,71.3218765258789 A
2017-05-17T00:00:00-06:00,69.20580859978993 A
2017-05-18T00:00:00-06:00,66.561252673467 A
2017-05-19T00:00:00-06:00,67.63168475502415 A
2017-05-20T00:00:00-06:00,62.82347126801809 A
2017-05-21T00:00:00-06:00,61.40238205591837 A
2017-05-22T00:00:00-06:00,73.31624571482341 A
2017-05-23T00:00:00-06:00,75.45384601751964 A
2017-05-24T00:00:00-06:00,73.96535646915436 A
2017-05-25T00:00:00-06:00,65.5973379611969 A
2017-05-26T00:00:00-06:00,67.63462507724762 A
2017-05-27T00:00:00-06:00,59.735918839772545 A
2017-05-28T00:00:00-06:00,61.667404095331825 A
2017-05-29T00:00:00-06:00,61.527314146359764 A
2017-05-30T00:00:00-06:00,77.13313249746959 A
2017-05-31T00:00:00-06:00,70.50766813755035 A
2017-06-01T00:00:00-06:00,71.56720117727916 A
2017-06-02T00:00:00-06:00,68.92811512947083 A
2017-06-03T00:00:00-06:00,60.69421001275381 A
2017-06-04T00:00:00-06:00,61.372873425483704 A
2017-06-05T00:00:00-06:00,71.01868840058644 A
2017-06-06T00:00:00-06:00,75.77006737391154 A
2017-06-07T00:00:00-06:00,77.35932648181915 A
2017-06-08T00:00:00-06:00,81.14012908935547 A
2017-06-09T00:00:00-06:00,63.39702101548513 A
2017-06-10T00:00:00-06:00,65.17574155330658 A
2017-06-11T00:00:00-06:00,60.081264654795326 A
2017-06-12T00:00:00-06:00,64.2510865132014 A
2017-06-13T00:00:00-06:00,71.47576292355855 A
2017-06-14T00:00:00-06:00,75.91989004611969 A
2017-06-15T00:00:00-06:00,78.50002042452495 A
2017-06-16T00:00:00-06:00,74.24236476421356 A
2017-06-17T00:00:00-06:00,66.29357810815175 A
2017-06-18T00:00:00-06:00,61.53410955270132 A
2017-06-19T00:00:00-06:00,77.47308444976807 A
2017-06-20T00:00:00-06:00,85.08394587039948 A
2017-06-21T00:00:00-06:00,77.18204840024312 A
2017-06-22T00:00:00-06:00,76.644025127093 A
2017-06-23T00:00:00-06:00,72.71360842386882 A
2017-06-24T00:00:00-06:00,67.01462574799855 A
2017-06-25T00:00:00-06:00,64.9159603913625 A
2017-06-26T00:00:00-06:00,77.46459746360779 A
2017-06-27T00:00:00-06:00,80.81948065757751 A
2017-06-28T00:00:00-06:00,76.6227707862854 A
2017-06-29T00:00:00-06:00,70.89600813388824 A
2017-06-30T00:00:00-06:00,62.04932328065237 A
2017-07-01T00:00:00-06:00,60.74435245990753 A
2017-07-02T00:00:00-06:00,58.23970607916514 A
2017-07-03T00:00:00-06:00,67.54464356104533 A
2017-07-04T00:00:00-06:00,65.7123788992564 A
2017-07-05T00:00:00-06:00,67.49303789933522 A
2017-07-06T00:00:00-06:00,75.59603182474773 A
2017-07-07T00:00:00-06:00,65.53223093350728 A
2017-07-08T00:00:00-06:00,56.75354357560476 A
2017-07-09T00:00:00-06:00,55.81472555796305 A
2017-07-10T00:00:00-06:00,67.46988264719646 A
2017-07-11T00:00:00-06:00,74.6473095814387 A
2017-07-12T00:00:00-06:00,82.37747553984325 A
2017-07-13T00:00:00-06:00,79.7402291695277 A
2017-07-14T00:00:00-06:00,76.11601622899373 A
2017-07-15T00:00:00-06:00,68.17352588971455 A
2017-07-16T00:00:00-06:00,62.9455813964208 A
2017-07-17T00:00:00-06:00,71.99389771620433 A
2017-07-18T00:00:00-06:00,77.13493498166402 A
2017-07-19T00:00:00-06:00,78.08635131518047 A
2017-07-20T00:00:00-06:00,73.81157505512238 A
2017-07-21T00:00:00-06:00,73.00099070866902 A
2017-07-22T00:00:00-06:00,56.013179103533425 A
2017-07-23T00:00:00-06:00,66.9354871114095 A
2017-07-24T00:00:00-06:00,57.361947774887085 A
2017-07-25T00:00:00-06:00,65.46132055918376 A
2017-07-26T00:00:00-06:00,72.37958844502766 A
2017-07-27T00:00:00-06:00,78.99089348316193 A
2017-07-28T00:00:00-06:00,74.80096630255382 A
2017-07-29T00:00:00-06:00,67.79652472337087 A
2017-07-30T00:00:00-06:00,65.2029306491216 A
2017-07-31T00:00:00-06:00,82.40896085898082 A
2017-08-01T00:00:00-06:00,76.813937942187 A
2017-08-02T00:00:00-06:00,75.7513560851415 A
2017-08-03T00:00:00-06:00,76.65148671468098 A
2017-08-04T00:00:00-06:00,74.48615260700603 A
2017-08-05T00:00:00-06:00,66.86477609475453 A
2017-08-06T00:00:00-06:00,64.87759323914845 A
2017-08-07T00:00:00-06:00,70.54934597015381 A
2017-08-08T00:00:00-06:00,71.7591673930486 A
2017-08-09T00:00:00-06:00,77.13068882624309 A
2017-08-10T00:00:00-06:00,68.70726532631733 A
2017-08-11T00:00:00-06:00,72.22053484121959 A
2017-08-12T00:00:00-06:00,62.88843317826589 A
2017-08-13T00:00:00-06:00,62.29054590066274 A
2017-08-14T00:00:00-06:00,72.38388339678447 A
2017-08-15T00:00:00-06:00,80.14603447914124 A
2017-08-16T00:00:00-06:00,76.08043706417084 A
2017-08-17T00:00:00-06:00,74.80095219612122 A
2017-08-18T00:00:00-06:00,76.67290969689687 A
2017-08-19T00:00:00-06:00,68.00945874055226 A
2017-08-20T00:00:00-06:00,66.83741839726765 A
2017-08-21T00:00:00-06:00,83.18756091594696 A
2017-08-22T00:00:00-06:00,88.52616302172343 A
2017-08-23T00:00:00-06:00,85.92255139350891 A
2017-08-24T00:00:00-06:00,81.7961272795995 A
2017-08-25T00:00:00-06:00,80.1558582385381 A
2017-08-26T00:00:00-06:00,75.94900353749593 A
2017-08-27T00:00:00-06:00,73.84073797861735 A
2017-08-28T00:00:00-06:00,86.38332292307977 A
2017-08-29T00:00:00-06:00,88.50164528303249 A
2017-08-30T00:00:00-06:00,98.60211547215779 A
2017-08-31T00:00:00-06:00,95.11280957857768 A
2017-09-01T00:00:00-06:00,91.13260221481323 A
2017-09-02T00:00:00-06:00,77.904465675354 A
2017-09-03T00:00:00-06:00,72.84295288721721 A
2017-09-04T00:00:00-06:00,73.2198228041331 A
2017-09-05T00:00:00-06:00,88.94565693537395 A
2017-09-06T00:00:00-06:00,97.08561102549235 A
2017-09-07T00:00:00-06:00,93.04549797375996 A
2017-09-08T00:00:00-06:00,91.17907812240276 A
2017-09-09T00:00:00-06:00,82.58038751284282 A
2017-09-10T00:00:00-06:00,74.47643494606018 A
2017-09-11T00:00:00-06:00,98.59284273783366 A
2017-09-12T00:00:00-06:00,98.28762237230937 A
2017-09-13T00:00:00-06:00,94.39218306541443 A
2017-09-14T00:00:00-06:00,90.40364865461986 A
2017-09-15T00:00:00-06:00,87.8603743314743 A
2017-09-16T00:00:00-06:00,73.13289745648702 A
2017-09-17T00:00:00-06:00,71.18663318951924 A
2017-09-18T00:00:00-06:00,93.9491806825002 A
2017-09-19T00:00:00-06:00,87.37620989481609 A
2017-09-20T00:00:00-06:00,95.69773427645366 A
2017-09-21T00:00:00-06:00,90.52640159924825 A
2017-09-22T00:00:00-06:00,84.94963816801707 A
2017-09-23T00:00:00-06:00,73.14291242758433 A
2017-09-24T00:00:00-06:00,69.13371658325195 A
2017-09-25T00:00:00-06:00,86.31305368741353 A
2017-09-26T00:00:00-06:00,91.91103096803029 A
2017-09-27T00:00:00-06:00,93.71477790673573 A
2017-09-28T00:00:00-06:00,95.55982530117035 A
2017-09-29T00:00:00-06:00,88.57294539610545 A
2017-09-30T00:00:00-06:00,76.76711507638295 A
2017-10-01T00:00:00-06:00,76.51025215784709 A
