Timestamp,['1cca747d-a3a60633 0062-WARNOCK ENGR BLDG Power Meter 316606 Volts AN']
2017-05-01T00:00:00-06:00,123.14652777777778 V
2017-05-02T00:00:00-06:00,123.17361111111111 V
2017-05-03T00:00:00-06:00,123.22916666666667 V
2017-05-04T00:00:00-06:00,123.26944444444445 V
2017-05-05T00:00:00-06:00,123.29305555555555 V
2017-05-06T00:00:00-06:00,123.30555555555556 V
2017-05-07T00:00:00-06:00,123.27569444444444 V
2017-05-08T00:00:00-06:00,123.18943661971831 V
2017-05-09T00:00:00-06:00,123.18611111111112 V
2017-05-10T00:00:00-06:00,123.15277777777777 V
2017-05-11T00:00:00-06:00,123.07291666666667 V
2017-05-12T00:00:00-06:00,123.23263888888889 V
2017-05-13T00:00:00-06:00,123.44166666666666 V
2017-05-14T00:00:00-06:00,123.19027777777778 V
2017-05-15T00:00:00-06:00,123.20555555555555 V
2017-05-16T00:00:00-06:00,123.27272727272727 V
2017-05-17T00:00:00-06:00,123.27777777777777 V
2017-05-18T00:00:00-06:00,123.02847222222222 V
2017-05-19T00:00:00-06:00,123.26388888888889 V
2017-05-20T00:00:00-06:00,123.34027777777777 V
2017-05-21T00:00:00-06:00,123.22361111111111 V
2017-05-22T00:00:00-06:00,123.21458333333334 V
2017-05-23T00:00:00-06:00,123.09652777777778 V
2017-05-24T00:00:00-06:00,123.25763888888889 V
2017-05-25T00:00:00-06:00,123.16597222222222 V
2017-05-26T00:00:00-06:00,123.29166666666667 V
2017-05-27T00:00:00-06:00,123.38263888888889 V
2017-05-28T00:00:00-06:00,123.33333333333333 V
2017-05-29T00:00:00-06:00,123.31944444444444 V
2017-05-30T00:00:00-06:00,123.31180555555555 V
2017-05-31T00:00:00-06:00,123.13263888888889 V
2017-06-01T00:00:00-06:00,123.27708333333334 V
2017-06-02T00:00:00-06:00,123.08472222222223 V
2017-06-03T00:00:00-06:00,123.28472222222223 V
2017-06-04T00:00:00-06:00,123.14652777777778 V
2017-06-05T00:00:00-06:00,123.09027777777777 V
2017-06-06T00:00:00-06:00,123.14652777777778 V
2017-06-07T00:00:00-06:00,123.20138888888889 V
2017-06-08T00:00:00-06:00,123.27083333333333 V
2017-06-09T00:00:00-06:00,123.24305555555556 V
2017-06-10T00:00:00-06:00,123.22569444444444 V
2017-06-11T00:00:00-06:00,123.22307692307692 V
2017-06-12T00:00:00-06:00,123.30555555555556 V
2017-06-13T00:00:00-06:00,123.16388888888889 V
2017-06-14T00:00:00-06:00,123.11875 V
2017-06-15T00:00:00-06:00,123.15486111111112 V
2017-06-16T00:00:00-06:00,123.15069444444444 V
2017-06-17T00:00:00-06:00,123.15972222222223 V
2017-06-18T00:00:00-06:00,123.27083333333333 V
2017-06-19T00:00:00-06:00,123.11111111111111 V
2017-06-20T00:00:00-06:00,123.09722222222223 V
2017-06-21T00:00:00-06:00,123.1875 V
2017-06-22T00:00:00-06:00,123.27916666666667 V
2017-06-23T00:00:00-06:00,123.2625 V
2017-06-24T00:00:00-06:00,123.22361111111111 V
2017-06-25T00:00:00-06:00,123.33333333333333 V
2017-06-26T00:00:00-06:00,123.1430781129157 V
2017-06-27T00:00:00-06:00,123.26041666666667 V
2017-06-28T00:00:00-06:00,123.15625 V
2017-06-29T00:00:00-06:00,123.23958333333333 V
2017-06-30T00:00:00-06:00,123.15625 V
2017-07-01T00:00:00-06:00,123.14583333333333 V
2017-07-02T00:00:00-06:00,123.26041666666667 V
2017-07-03T00:00:00-06:00,123.16666666666667 V
2017-07-04T00:00:00-06:00,123.32291666666667 V
2017-07-05T00:00:00-06:00,123.26041666666667 V
2017-07-06T00:00:00-06:00,123.26041666666667 V
2017-07-07T00:00:00-06:00,123.20833333333333 V
2017-07-08T00:00:00-06:00,123.22105263157894 V
2017-07-09T00:00:00-06:00,123.29166666666667 V
2017-07-10T00:00:00-06:00,123.21875 V
2017-07-11T00:00:00-06:00,123.16666666666667 V
2017-07-12T00:00:00-06:00,123.16666666666667 V
2017-07-13T00:00:00-06:00,123.29166666666667 V
2017-07-14T00:00:00-06:00,123.23958333333333 V
2017-07-15T00:00:00-06:00,123.20833333333333 V
2017-07-16T00:00:00-06:00,123.19791666666667 V
2017-07-17T00:00:00-06:00,123.17708333333333 V
2017-07-18T00:00:00-06:00,123.125 V
2017-07-19T00:00:00-06:00,123.17894736842105 V
2017-07-20T00:00:00-06:00,123.125 V
2017-07-21T00:00:00-06:00,123.09375 V
2017-07-22T00:00:00-06:00,123.13541666666667 V
