Timestamp,['1cac6eaa-c5f5c516 0011-BROWNING BLDG Power Meter 311945 VOLT C-N']
2017-04-08T00:00:00-06:00,123.1522022565206 V
2017-04-09T00:00:00-06:00,123.2665781180064 V
2017-04-10T00:00:00-06:00,123.05082186592949 V
2017-04-11T00:00:00-06:00,123.03987128999498 V
2017-04-12T00:00:00-06:00,122.88043913841247 V
2017-04-13T00:00:00-06:00,122.80976115862528 V
2017-04-14T00:00:00-06:00,123.05023763444689 V
2017-04-15T00:00:00-06:00,122.85280309253268 V
2017-04-16T00:00:00-06:00,123.22534528838264 V
2017-04-17T00:00:00-06:00,122.97435513430788 V
2017-04-18T00:00:00-06:00,122.91930803192986 V
2017-04-19T00:00:00-06:00,122.91054459677802 V
2017-04-20T00:00:00-06:00,122.99502449565463 V
2017-04-21T00:00:00-06:00,122.84098522398207 V
2017-04-22T00:00:00-06:00,122.89420743518406 V
2017-04-23T00:00:00-06:00,122.84690799713135 V
2017-04-24T00:00:00-06:00,123.01111003028022 V
2017-04-25T00:00:00-06:00,122.88369412952 V
2017-04-26T00:00:00-06:00,122.82371326022678 V
2017-04-27T00:00:00-06:00,122.97059773339166 V
2017-04-28T00:00:00-06:00,122.85751414299011 V
2017-04-29T00:00:00-06:00,123.04790417883132 V
2017-04-30T00:00:00-06:00,122.8429577085707 V
2017-05-01T00:00:00-06:00,122.76721370079353 V
2017-05-02T00:00:00-06:00,122.70962976349725 V
2017-05-03T00:00:00-06:00,122.75636695755853 V
2017-05-04T00:00:00-06:00,122.73141092194452 V
2017-05-05T00:00:00-06:00,122.79865860409207 V
2017-05-06T00:00:00-06:00,122.80912056499058 V
2017-05-07T00:00:00-06:00,122.83777783181932 V
2017-05-08T00:00:00-06:00,122.82060407555622 V
2017-05-09T00:00:00-06:00,122.84890919911356 V
2017-05-10T00:00:00-06:00,122.78074785868327 V
2017-05-11T00:00:00-06:00,122.59602801005046 V
2017-05-12T00:00:00-06:00,122.80409532123142 V
2017-05-13T00:00:00-06:00,123.05576785405476 V
2017-05-14T00:00:00-06:00,122.74196328587003 V
2017-05-15T00:00:00-06:00,122.74329119788275 V
2017-05-16T00:00:00-06:00,122.87344189749824 V
2017-05-17T00:00:00-06:00,122.94927869372897 V
2017-05-18T00:00:00-06:00,122.7900578127967 V
2017-05-19T00:00:00-06:00,122.9863495402866 V
2017-05-20T00:00:00-06:00,122.88420579168532 V
2017-05-21T00:00:00-06:00,122.86331009334988 V
2017-05-22T00:00:00-06:00,122.90090478261313 V
2017-05-23T00:00:00-06:00,122.80984768867492 V
2017-05-24T00:00:00-06:00,122.83560768233406 V
2017-05-25T00:00:00-06:00,122.85444901784261 V
2017-05-26T00:00:00-06:00,122.88575807147556 V
2017-05-27T00:00:00-06:00,122.94083755281237 V
2017-05-28T00:00:00-06:00,122.97460925305693 V
2017-05-29T00:00:00-06:00,122.95529556804233 V
2017-05-30T00:00:00-06:00,122.96593875355191 V
2017-05-31T00:00:00-06:00,122.82551959885491 V
2017-06-01T00:00:00-06:00,122.96915692753262 V
2017-06-02T00:00:00-06:00,122.7562425772349 V
2017-06-03T00:00:00-06:00,122.91783613628812 V
2017-06-04T00:00:00-06:00,122.86627417670356 V
2017-06-05T00:00:00-06:00,122.8818336645762 V
2017-06-06T00:00:00-06:00,122.87410767343309 V
2017-06-07T00:00:00-06:00,122.85945648617215 V
2017-06-08T00:00:00-06:00,122.96978162659539 V
2017-06-09T00:00:00-06:00,122.8487326780955 V
2017-06-10T00:00:00-06:00,122.84928938578697 V
2017-06-11T00:00:00-06:00,122.84251141018338 V
2017-06-12T00:00:00-06:00,122.96706320396143 V
2017-06-13T00:00:00-06:00,122.89844070010714 V
2017-06-14T00:00:00-06:00,122.79868303934732 V
2017-06-15T00:00:00-06:00,122.80297595130072 V
2017-06-16T00:00:00-06:00,122.85356412993536 V
2017-06-17T00:00:00-06:00,122.93303522004021 V
2017-06-18T00:00:00-06:00,122.97515706486172 V
2017-06-19T00:00:00-06:00,122.94044285880194 V
2017-06-20T00:00:00-06:00,122.8634732723236 V
2017-06-21T00:00:00-06:00,122.76762724452549 V
2017-06-22T00:00:00-06:00,122.86113619804382 V
2017-06-23T00:00:00-06:00,122.80420042227506 V
2017-06-24T00:00:00-06:00,122.88882268799676 V
2017-06-25T00:00:00-06:00,122.98593493567573 V
2017-06-26T00:00:00-06:00,122.76925901307 V
2017-06-27T00:00:00-06:00,122.88741816944547 V
2017-06-28T00:00:00-06:00,122.83876946237352 V
2017-06-29T00:00:00-06:00,122.92779799567329 V
2017-06-30T00:00:00-06:00,122.82572942843778 V
2017-07-01T00:00:00-06:00,122.806770796246 V
2017-07-02T00:00:00-06:00,122.9284656100803 V
2017-07-03T00:00:00-06:00,122.85635119014316 V
2017-07-04T00:00:00-06:00,122.99588672248252 V
2017-07-05T00:00:00-06:00,122.88816796408759 V
2017-07-06T00:00:00-06:00,122.87699993451436 V
2017-07-07T00:00:00-06:00,122.89236884646945 V
2017-07-08T00:00:00-06:00,122.82606522242229 V
2017-07-09T00:00:00-06:00,122.82953680886163 V
2017-07-10T00:00:00-06:00,122.81946213797119 V
2017-07-11T00:00:00-06:00,122.8578236579895 V
2017-07-12T00:00:00-06:00,122.88340755038791 V
2017-07-13T00:00:00-06:00,122.99253002272712 V
