Timestamp,['1cac6e94-ebfa7e7c 0011-BROWNING BLDG Power Meter 311945 VOLT A-N']
2017-04-27T00:00:00-06:00,123.0094624268172 V
2017-04-28T00:00:00-06:00,122.84178074730767 V
2017-04-29T00:00:00-06:00,123.0215717792511 V
2017-04-30T00:00:00-06:00,122.83934928046332 V
2017-05-01T00:00:00-06:00,122.78302138646444 V
2017-05-02T00:00:00-06:00,122.74802559746637 V
2017-05-03T00:00:00-06:00,122.81480248239305 V
2017-05-04T00:00:00-06:00,122.82752946747674 V
2017-05-05T00:00:00-06:00,122.84972564379375 V
2017-05-06T00:00:00-06:00,122.82583472993639 V
2017-05-07T00:00:00-06:00,122.79903875986734 V
2017-05-08T00:00:00-06:00,122.75966062719658 V
2017-05-09T00:00:00-06:00,122.7947377787696 V
2017-05-10T00:00:00-06:00,122.76617347340853 V
2017-05-11T00:00:00-06:00,122.55784032210614 V
2017-05-12T00:00:00-06:00,122.7809473214007 V
2017-05-13T00:00:00-06:00,122.94316728285736 V
2017-05-14T00:00:00-06:00,122.63656884829203 V
2017-05-15T00:00:00-06:00,122.63133000797696 V
2017-05-16T00:00:00-06:00,122.76358404159546 V
2017-05-17T00:00:00-06:00,122.85445876121521 V
2017-05-18T00:00:00-06:00,122.69335165023804 V
2017-05-19T00:00:00-06:00,122.88774516847398 V
2017-05-20T00:00:00-06:00,122.77038613425361 V
2017-05-21T00:00:00-06:00,122.7068161699507 V
2017-05-22T00:00:00-06:00,122.72564747103226 V
2017-05-23T00:00:00-06:00,122.60612354808383 V
2017-05-24T00:00:00-06:00,122.7005436261495 V
2017-05-25T00:00:00-06:00,122.67316278881496 V
2017-05-26T00:00:00-06:00,122.71920135286119 V
2017-05-27T00:00:00-06:00,122.77173013157315 V
2017-05-28T00:00:00-06:00,122.80755372408615 V
2017-05-29T00:00:00-06:00,122.75873540772332 V
2017-05-30T00:00:00-06:00,122.78555963834127 V
2017-05-31T00:00:00-06:00,122.62209916644626 V
2017-06-01T00:00:00-06:00,122.77486191325717 V
2017-06-02T00:00:00-06:00,122.57646859486898 V
2017-06-03T00:00:00-06:00,122.76309285693698 V
2017-06-04T00:00:00-06:00,122.71319520166966 V
2017-06-05T00:00:00-06:00,122.68614658249749 V
2017-06-06T00:00:00-06:00,122.68761447272921 V
2017-06-07T00:00:00-06:00,122.63892550597679 V
2017-06-08T00:00:00-06:00,122.76631208525764 V
2017-06-09T00:00:00-06:00,122.67251113127601 V
2017-06-10T00:00:00-06:00,122.6936654302809 V
2017-06-11T00:00:00-06:00,122.69027038150364 V
2017-06-12T00:00:00-06:00,122.76536634233263 V
2017-06-13T00:00:00-06:00,122.69638811217413 V
2017-06-14T00:00:00-06:00,122.5819172276391 V
