Timestamp,"['206e9eed-8cd5e342 0046-LASSONDE STUDIOS Power Meter 316259 Watts, 3-Ph total']"
2017-07-19T00:00:00-06:00,140.4084014892578 kW
2017-07-20T00:00:00-06:00,135.718994140625 kW
2017-07-21T00:00:00-06:00,127.8282241821289 kW
2017-07-22T00:00:00-06:00,126.27401733398438 kW
2017-07-23T00:00:00-06:00,128.92555236816406 kW
2017-07-24T00:00:00-06:00,124.69501495361328 kW
2017-07-25T00:00:00-06:00,127.23527526855469 kW
2017-07-26T00:00:00-06:00,138.30410766601562 kW
2017-07-27T00:00:00-06:00,160.42813110351562 kW
2017-07-28T00:00:00-06:00,148.182861328125 kW
2017-07-29T00:00:00-06:00,144.20518493652344 kW
2017-07-30T00:00:00-06:00,155.5537872314453 kW
2017-07-31T00:00:00-06:00,147.94805908203125 kW
2017-08-01T00:00:00-06:00,147.03909301757812 kW
2017-08-02T00:00:00-06:00,167.562255859375 kW
2017-08-03T00:00:00-06:00,158.60296630859375 kW
2017-08-04T00:00:00-06:00,158.52284240722656 kW
2017-08-05T00:00:00-06:00,148.50308227539062 kW
2017-08-06T00:00:00-06:00,116.75541687011719 kW
2017-08-07T00:00:00-06:00,113.04959106445312 kW
2017-08-08T00:00:00-06:00,110.98526000976562 kW
2017-08-09T00:00:00-06:00,115.2828369140625 kW
2017-08-10T00:00:00-06:00,109.99371337890625 kW
2017-08-11T00:00:00-06:00,111.30213165283203 kW
2017-08-12T00:00:00-06:00,117.59735107421875 kW
2017-08-13T00:00:00-06:00,111.96428680419922 kW
2017-08-14T00:00:00-06:00,108.1002426147461 kW
2017-08-15T00:00:00-06:00,117.14282989501953 kW
2017-08-16T00:00:00-06:00,124.02609252929688 kW
2017-08-17T00:00:00-06:00,162.0759735107422 kW
2017-08-18T00:00:00-06:00,160.64549255371094 kW
2017-08-19T00:00:00-06:00,164.06654357910156 kW
2017-08-20T00:00:00-06:00,155.9180908203125 kW
2017-08-21T00:00:00-06:00,157.85911560058594 kW
2017-08-22T00:00:00-06:00,157.96714782714844 kW
2017-08-23T00:00:00-06:00,160.27040100097656 kW
2017-08-24T00:00:00-06:00,155.36279296875 kW
2017-08-25T00:00:00-06:00,170.03176879882812 kW
2017-08-26T00:00:00-06:00,153.38441467285156 kW
2017-08-27T00:00:00-06:00,168.7171630859375 kW
2017-08-28T00:00:00-06:00,168.8145294189453 kW
2017-08-29T00:00:00-06:00,167.76666259765625 kW
2017-08-30T00:00:00-06:00,175.99562072753906 kW
2017-08-31T00:00:00-06:00,177.92628479003906 kW
2017-09-01T00:00:00-06:00,163.65005493164062 kW
2017-09-02T00:00:00-06:00,168.4996337890625 kW
2017-09-03T00:00:00-06:00,166.86495971679688 kW
2017-09-04T00:00:00-06:00,165.51673889160156 kW
2017-09-05T00:00:00-06:00,171.82513427734375 kW
2017-09-06T00:00:00-06:00,159.65869140625 kW
2017-09-07T00:00:00-06:00,152.9871368408203 kW
2017-09-08T00:00:00-06:00,158.065673828125 kW
2017-09-09T00:00:00-06:00,142.02122497558594 kW
2017-09-10T00:00:00-06:00,171.77291870117188 kW
2017-09-11T00:00:00-06:00,141.7752227783203 kW
2017-09-12T00:00:00-06:00,144.00518798828125 kW
2017-09-13T00:00:00-06:00,148.44668579101562 kW
2017-09-14T00:00:00-06:00,151.294189453125 kW
2017-09-15T00:00:00-06:00,148.36334228515625 kW
2017-09-16T00:00:00-06:00,136.4298095703125 kW
2017-09-17T00:00:00-06:00,143.43795776367188 kW
2017-09-18T00:00:00-06:00,148.97689819335938 kW
2017-09-19T00:00:00-06:00,143.29632568359375 kW
