Timestamp,['1cac61ad-3487261b 0009-WIDTSOE BLDG Power Meter 1(300028) KW Total']
2017-04-23T00:00:00-06:00,36.17590441063598 kW
2017-04-24T00:00:00-06:00,33.972770734120296 kW
2017-04-25T00:00:00-06:00,33.27876709339799 kW
2017-04-26T00:00:00-06:00,32.48688178364882 kW
2017-04-27T00:00:00-06:00,31.919458639555543 kW
2017-04-28T00:00:00-06:00,32.477022761746674 kW
2017-04-29T00:00:00-06:00,28.56460608859864 kW
2017-04-30T00:00:00-06:00,28.981143817504208 kW
2017-05-01T00:00:00-06:00,35.25734431518442 kW
2017-05-02T00:00:00-06:00,36.10902691470257 kW
2017-05-03T00:00:00-06:00,42.80648960435834 kW
2017-05-04T00:00:00-06:00,40.013594035660844 kW
2017-05-05T00:00:00-06:00,70.13061945323597 kW
2017-05-06T00:00:00-06:00,66.79236411032848 kW
2017-05-07T00:00:00-06:00,57.919913164796704 kW
2017-05-08T00:00:00-06:00,42.71609673632521 kW
2017-05-09T00:00:00-06:00,47.271476466280575 kW
2017-05-10T00:00:00-06:00,50.626813108523706 kW
2017-05-11T00:00:00-06:00,56.761892748960726 kW
2017-05-12T00:00:00-06:00,63.554605251031894 kW
2017-05-13T00:00:00-06:00,18.765305594018237 kW
2017-05-14T00:00:00-06:00,36.1384705929514 kW
2017-05-15T00:00:00-06:00,34.14677621690203 kW
2017-05-16T00:00:00-06:00,23.975821922885046 kW
2017-05-17T00:00:00-06:00,24.223735818653168 kW
2017-05-18T00:00:00-06:00,22.817257032173625 kW
2017-05-19T00:00:00-06:00,23.271986639300994 kW
2017-05-20T00:00:00-06:00,40.205228878734296 kW
2017-05-21T00:00:00-06:00,33.171870708388276 kW
2017-05-22T00:00:00-06:00,44.07058509621353 kW
2017-05-23T00:00:00-06:00,53.769073312271466 kW
2017-05-24T00:00:00-06:00,62.546226208430724 kW
2017-05-25T00:00:00-06:00,43.441257086065114 kW
2017-05-26T00:00:00-06:00,32.171508015924026 kW
2017-05-27T00:00:00-06:00,39.91025177788958 kW
2017-05-28T00:00:00-06:00,48.44420393772702 kW
2017-05-29T00:00:00-06:00,60.67064075458927 kW
2017-05-30T00:00:00-06:00,75.14901602644619 kW
2017-05-31T00:00:00-06:00,81.12066149207179 kW
2017-06-01T00:00:00-06:00,66.30278716779414 kW
2017-06-02T00:00:00-06:00,60.98820469577013 kW
2017-06-03T00:00:00-06:00,50.93955349503845 kW
2017-06-04T00:00:00-06:00,53.24959648197449 kW
2017-06-05T00:00:00-06:00,69.17871990830803 kW
2017-06-06T00:00:00-06:00,70.9843041438084 kW
