Timestamp,['1cdbb658-cdc50375 0087-THATCHER BLDG Power Meter (301205) KW Total']
2017-03-18T00:00:00-06:00,240.00169372558594 kW
2017-03-19T00:00:00-06:00,247.1675567626953 kW
2017-03-20T00:00:00-06:00,242.25820922851562 kW
2017-03-21T00:00:00-06:00,249.39590454101562 kW
2017-03-22T00:00:00-06:00,250.60072326660156 kW
2017-03-23T00:00:00-06:00,240.2293243408203 kW
2017-03-24T00:00:00-06:00,261.3312683105469 kW
2017-03-25T00:00:00-06:00,236.97015380859375 kW
2017-03-26T00:00:00-06:00,239.0069580078125 kW
2017-03-27T00:00:00-06:00,249.63345336914062 kW
2017-03-28T00:00:00-06:00,245.69601440429688 kW
2017-03-29T00:00:00-06:00,243.70297241210938 kW
2017-03-30T00:00:00-06:00,239.94992065429688 kW
2017-03-31T00:00:00-06:00,237.88864135742188 kW
2017-04-01T00:00:00-06:00,234.71218872070312 kW
2017-04-02T00:00:00-06:00,232.21856689453125 kW
2017-04-03T00:00:00-06:00,227.9428253173828 kW
2017-04-04T00:00:00-06:00,226.28662109375 kW
2017-04-05T00:00:00-06:00,235.09800720214844 kW
2017-04-06T00:00:00-06:00,229.06304931640625 kW
2017-04-07T00:00:00-06:00,230.26992797851562 kW
2017-04-08T00:00:00-06:00,204.18118286132812 kW
2017-04-09T00:00:00-06:00,219.39675903320312 kW
2017-04-10T00:00:00-06:00,244.01258850097656 kW
2017-04-11T00:00:00-06:00,236.6617431640625 kW
2017-04-12T00:00:00-06:00,227.87567138671875 kW
2017-04-13T00:00:00-06:00,234.74203491210938 kW
2017-04-14T00:00:00-06:00,240.1713409423828 kW
2017-04-15T00:00:00-06:00,223.76559448242188 kW
2017-04-16T00:00:00-06:00,222.5255126953125 kW
2017-04-17T00:00:00-06:00,226.42465209960938 kW
2017-04-18T00:00:00-06:00,221.72959899902344 kW
2017-04-19T00:00:00-06:00,224.07159423828125 kW
2017-04-20T00:00:00-06:00,224.43197631835938 kW
2017-04-21T00:00:00-06:00,215.47523498535156 kW
2017-04-22T00:00:00-06:00,220.6796112060547 kW
2017-04-23T00:00:00-06:00,216.48902893066406 kW
2017-04-24T00:00:00-06:00,240.74143981933594 kW
2017-04-25T00:00:00-06:00,225.846923828125 kW
2017-04-26T00:00:00-06:00,229.52137756347656 kW
2017-04-27T00:00:00-06:00,228.5093536376953 kW
2017-04-28T00:00:00-06:00,240.5714111328125 kW
2017-04-29T00:00:00-06:00,232.73828125 kW
2017-04-30T00:00:00-06:00,209.06776428222656 kW
2017-05-01T00:00:00-06:00,198.76806640625 kW
2017-05-02T00:00:00-06:00,217.19052124023438 kW
2017-05-03T00:00:00-06:00,222.77896118164062 kW
2017-05-04T00:00:00-06:00,226.01466369628906 kW
2017-05-05T00:00:00-06:00,217.68064880371094 kW
2017-05-06T00:00:00-06:00,209.04229736328125 kW
2017-05-07T00:00:00-06:00,194.44496154785156 kW
2017-05-08T00:00:00-06:00,208.64883422851562 kW
2017-05-09T00:00:00-06:00,214.69638061523438 kW
2017-05-10T00:00:00-06:00,221.8769989013672 kW
2017-05-11T00:00:00-06:00,210.6928253173828 kW
2017-05-12T00:00:00-06:00,221.50613403320312 kW
2017-05-13T00:00:00-06:00,205.75184631347656 kW
2017-05-14T00:00:00-06:00,196.1369171142578 kW
2017-05-15T00:00:00-06:00,212.64364624023438 kW
2017-05-16T00:00:00-06:00,211.87171936035156 kW
2017-05-17T00:00:00-06:00,204.61212158203125 kW
2017-05-18T00:00:00-06:00,215.54220581054688 kW
2017-05-19T00:00:00-06:00,249.8039093017578 kW
2017-05-20T00:00:00-06:00,249.18202209472656 kW
2017-05-21T00:00:00-06:00,256.25262451171875 kW
2017-05-22T00:00:00-06:00,257.8968505859375 kW
2017-05-23T00:00:00-06:00,254.16104125976562 kW
2017-05-24T00:00:00-06:00,260.2120361328125 kW
2017-05-25T00:00:00-06:00,272.66436767578125 kW
2017-05-26T00:00:00-06:00,253.14060974121094 kW
2017-05-27T00:00:00-06:00,250.443359375 kW
2017-05-28T00:00:00-06:00,246.12667846679688 kW
2017-05-29T00:00:00-06:00,267.17889404296875 kW
2017-05-30T00:00:00-06:00,270.13836669921875 kW
2017-05-31T00:00:00-06:00,265.7250061035156 kW
2017-06-01T00:00:00-06:00,247.09056091308594 kW
2017-06-02T00:00:00-06:00,252.34262084960938 kW
2017-06-03T00:00:00-06:00,242.03419494628906 kW
2017-06-04T00:00:00-06:00,254.17979431152344 kW
2017-06-05T00:00:00-06:00,255.33114624023438 kW
2017-06-06T00:00:00-06:00,261.2723693847656 kW
