Timestamp,['201d14f7-e3f2286a 0070-QUINNEY COLLEGE OF LAW Power Meter E-1 313200 Volts A-B']
2017-05-25T00:00:00-06:00,213.58393383026123 V
2017-05-26T00:00:00-06:00,213.62735176086426 V
2017-05-27T00:00:00-06:00,213.6840507105777 V
2017-05-28T00:00:00-06:00,213.79928652445474 V
2017-05-29T00:00:00-06:00,213.68008057276407 V
2017-05-30T00:00:00-06:00,213.7256647745768 V
2017-05-31T00:00:00-06:00,213.4409883817037 V
2017-06-01T00:00:00-06:00,213.63657410939535 V
2017-06-02T00:00:00-06:00,213.49858236312866 V
2017-06-03T00:00:00-06:00,213.64071353276572 V
2017-06-04T00:00:00-06:00,213.48548571268717 V
2017-06-05T00:00:00-06:00,213.42013438542685 V
2017-06-06T00:00:00-06:00,213.4369265238444 V
2017-06-07T00:00:00-06:00,213.49389298756918 V
2017-06-08T00:00:00-06:00,213.6215098698934 V
2017-06-09T00:00:00-06:00,213.43003352483115 V
2017-06-10T00:00:00-06:00,213.5232974688212 V
2017-06-11T00:00:00-06:00,213.6279902458191 V
2017-06-12T00:00:00-06:00,213.57753054300943 V
2017-06-13T00:00:00-06:00,213.4028056462606 V
2017-06-14T00:00:00-06:00,213.3528264363607 V
2017-06-15T00:00:00-06:00,213.4209025700887 V
2017-06-16T00:00:00-06:00,213.36011266708374 V
2017-06-17T00:00:00-06:00,213.5393115679423 V
2017-06-18T00:00:00-06:00,213.59855779012045 V
2017-06-19T00:00:00-06:00,213.39065647125244 V
2017-06-20T00:00:00-06:00,213.39410956700644 V
2017-06-21T00:00:00-06:00,213.21876621246338 V
2017-06-22T00:00:00-06:00,213.44737736384073 V
2017-06-23T00:00:00-06:00,213.46654240290323 V
2017-06-24T00:00:00-06:00,213.56917762756348 V
2017-06-25T00:00:00-06:00,213.7454573313395 V
2017-06-26T00:00:00-06:00,213.28345568974814 V
2017-06-27T00:00:00-06:00,213.49133443832397 V
2017-06-28T00:00:00-06:00,213.36489582061768 V
2017-06-29T00:00:00-06:00,213.49202251434326 V
2017-06-30T00:00:00-06:00,213.3490835825602 V
2017-07-01T00:00:00-06:00,213.4518984158834 V
2017-07-02T00:00:00-06:00,213.59442329406738 V
2017-07-03T00:00:00-06:00,213.30487696329752 V
2017-07-04T00:00:00-06:00,213.72583373387656 V
2017-07-05T00:00:00-06:00,213.49912436803183 V
2017-07-06T00:00:00-06:00,213.42950121561685 V
2017-07-07T00:00:00-06:00,213.4783444404602 V
2017-07-08T00:00:00-06:00,213.53253730138144 V
2017-07-09T00:00:00-06:00,213.53561433156332 V
2017-07-10T00:00:00-06:00,213.3735030492147 V
2017-07-11T00:00:00-06:00,213.44730488459268 V
2017-07-12T00:00:00-06:00,213.45699183146158 V
2017-07-13T00:00:00-06:00,213.70111258824667 V
2017-07-14T00:00:00-06:00,213.578266620636 V
2017-07-15T00:00:00-06:00,213.57563066482544 V
2017-07-16T00:00:00-06:00,213.53485933939615 V
