Timestamp,"['1eb2a10d-58e721b1 0074-BUSINESS CLASSROOM BLDG Power Meter (208V) Watts, 3-Ph total']"
2017-04-25T00:00:00-06:00,5.952572345733643 kW
2017-04-26T00:00:00-06:00,4.7036871910095215 kW
2017-04-27T00:00:00-06:00,5.102998733520508 kW
2017-04-28T00:00:00-06:00,4.616274833679199 kW
2017-04-29T00:00:00-06:00,3.1059305667877197 kW
2017-04-30T00:00:00-06:00,3.051365613937378 kW
2017-05-01T00:00:00-06:00,4.709697723388672 kW
2017-05-02T00:00:00-06:00,5.9725446701049805 kW
2017-05-03T00:00:00-06:00,4.95181941986084 kW
2017-05-04T00:00:00-06:00,4.9138078689575195 kW
2017-05-05T00:00:00-06:00,4.443609237670898 kW
2017-05-06T00:00:00-06:00,3.528735399246216 kW
2017-05-07T00:00:00-06:00,3.443051338195801 kW
2017-05-08T00:00:00-06:00,4.255953311920166 kW
2017-05-09T00:00:00-06:00,5.325870037078857 kW
2017-05-10T00:00:00-06:00,5.504579067230225 kW
2017-05-11T00:00:00-06:00,4.9115824699401855 kW
2017-05-12T00:00:00-06:00,4.917372226715088 kW
2017-05-13T00:00:00-06:00,3.209353446960449 kW
2017-05-14T00:00:00-06:00,3.0844640731811523 kW
2017-05-15T00:00:00-06:00,5.288409233093262 kW
2017-05-16T00:00:00-06:00,4.164897918701172 kW
2017-05-17T00:00:00-06:00,5.123225688934326 kW
2017-05-18T00:00:00-06:00,5.268061637878418 kW
2017-05-19T00:00:00-06:00,5.152946949005127 kW
2017-05-20T00:00:00-06:00,3.6612937450408936 kW
2017-05-21T00:00:00-06:00,3.284187078475952 kW
2017-05-22T00:00:00-06:00,4.607263565063477 kW
2017-05-23T00:00:00-06:00,5.384789943695068 kW
2017-05-24T00:00:00-06:00,4.497654914855957 kW
2017-05-25T00:00:00-06:00,6.37966775894165 kW
2017-05-26T00:00:00-06:00,3.904127836227417 kW
2017-05-27T00:00:00-06:00,2.9588353633880615 kW
2017-05-28T00:00:00-06:00,2.948195457458496 kW
2017-05-29T00:00:00-06:00,3.191211462020874 kW
2017-05-30T00:00:00-06:00,4.288949489593506 kW
2017-05-31T00:00:00-06:00,4.713622093200684 kW
2017-06-01T00:00:00-06:00,5.261792182922363 kW
2017-06-02T00:00:00-06:00,5.222373008728027 kW
2017-06-03T00:00:00-06:00,3.1976728439331055 kW
2017-06-04T00:00:00-06:00,3.2015113830566406 kW
2017-06-05T00:00:00-06:00,5.767104625701904 kW
2017-06-06T00:00:00-06:00,5.7444963455200195 kW
2017-06-07T00:00:00-06:00,4.670886993408203 kW
2017-06-08T00:00:00-06:00,5.675764083862305 kW
2017-06-09T00:00:00-06:00,5.114376068115234 kW
2017-06-10T00:00:00-06:00,3.1069462299346924 kW
2017-06-11T00:00:00-06:00,3.0243730545043945 kW
2017-06-12T00:00:00-06:00,4.460690498352051 kW
2017-06-13T00:00:00-06:00,5.345705032348633 kW
2017-06-14T00:00:00-06:00,5.286849498748779 kW
2017-06-15T00:00:00-06:00,5.5887064933776855 kW
2017-06-16T00:00:00-06:00,4.27490758895874 kW
2017-06-17T00:00:00-06:00,3.0732719898223877 kW
2017-06-18T00:00:00-06:00,3.1614975929260254 kW
2017-06-19T00:00:00-06:00,5.5015339851379395 kW
2017-06-20T00:00:00-06:00,5.481378078460693 kW
2017-06-21T00:00:00-06:00,5.376689434051514 kW
2017-06-22T00:00:00-06:00,4.6746602058410645 kW
2017-06-23T00:00:00-06:00,4.424509048461914 kW
2017-06-24T00:00:00-06:00,3.186953544616699 kW
2017-06-25T00:00:00-06:00,3.1938724517822266 kW
2017-06-26T00:00:00-06:00,5.476914882659912 kW
2017-06-27T00:00:00-06:00,5.012688159942627 kW
2017-06-28T00:00:00-06:00,5.615849018096924 kW
2017-06-29T00:00:00-06:00,4.56549596786499 kW
2017-06-30T00:00:00-06:00,4.602889537811279 kW
2017-07-01T00:00:00-06:00,3.3755075931549072 kW
2017-07-02T00:00:00-06:00,3.4342615604400635 kW
2017-07-03T00:00:00-06:00,4.3839192390441895 kW
2017-07-04T00:00:00-06:00,3.367934465408325 kW
2017-07-05T00:00:00-06:00,5.088337421417236 kW
