Timestamp,['1cbae955-d84e370e 0038-ART BLDG Power Meter 300086 Volts CA']
2017-04-27T00:00:00-06:00,206.91571984820897 V
2017-04-28T00:00:00-06:00,206.725205358488 V
2017-04-29T00:00:00-06:00,207.04878531561957 V
2017-04-30T00:00:00-06:00,206.71870336532592 V
2017-05-01T00:00:00-06:00,206.8326414320204 V
2017-05-02T00:00:00-06:00,206.63609147486048 V
2017-05-03T00:00:00-06:00,206.88459032906425 V
2017-05-04T00:00:00-06:00,206.7090955628289 V
2017-05-05T00:00:00-06:00,206.58254782358804 V
2017-05-06T00:00:00-06:00,206.83870721393163 V
2017-05-07T00:00:00-06:00,206.69898013008967 V
2017-05-08T00:00:00-06:00,206.96761200486569 V
2017-05-09T00:00:00-06:00,207.24049474928114 V
2017-05-10T00:00:00-06:00,207.2929775979784 V
2017-05-11T00:00:00-06:00,207.06654827329848 V
2017-05-12T00:00:00-06:00,206.87398960325453 V
2017-05-13T00:00:00-06:00,206.75100206798976 V
2017-05-14T00:00:00-06:00,206.45679552290176 V
2017-05-15T00:00:00-06:00,206.84683016671076 V
2017-05-16T00:00:00-06:00,206.75964869393243 V
2017-05-17T00:00:00-06:00,206.9086701075236 V
2017-05-18T00:00:00-06:00,206.93788361019557 V
2017-05-19T00:00:00-06:00,207.2363900926378 V
2017-05-20T00:00:00-06:00,206.740061155955 V
2017-05-21T00:00:00-06:00,206.76506925159032 V
2017-05-22T00:00:00-06:00,206.97580766180806 V
2017-05-23T00:00:00-06:00,207.12055636511909 V
2017-05-24T00:00:00-06:00,206.84873570336237 V
2017-05-25T00:00:00-06:00,206.78617442448933 V
2017-05-26T00:00:00-06:00,207.06911435657076 V
2017-05-27T00:00:00-06:00,207.11558776431613 V
2017-05-28T00:00:00-06:00,207.2156238132053 V
2017-05-29T00:00:00-06:00,206.87442905637954 V
2017-05-30T00:00:00-06:00,206.96928254233467 V
2017-05-31T00:00:00-06:00,207.0688185383662 V
2017-06-01T00:00:00-06:00,207.042841377815 V
2017-06-02T00:00:00-06:00,206.91256696901195 V
2017-06-03T00:00:00-06:00,207.1003161324395 V
2017-06-04T00:00:00-06:00,207.06566251118977 V
2017-06-05T00:00:00-06:00,206.91199916203817 V
2017-06-06T00:00:00-06:00,207.11025178697375 V
2017-06-07T00:00:00-06:00,207.0314241197374 V
2017-06-08T00:00:00-06:00,207.00405645370483 V
2017-06-09T00:00:00-06:00,207.17926976945665 V
2017-06-10T00:00:00-06:00,206.93751611709595 V
2017-06-11T00:00:00-06:00,207.08109050326877 V
2017-06-12T00:00:00-06:00,207.0951751009137 V
2017-06-13T00:00:00-06:00,207.12334992090862 V
2017-06-14T00:00:00-06:00,207.37971003850302 V
2017-06-15T00:00:00-06:00,207.1513499153985 V
2017-06-16T00:00:00-06:00,207.16890878677367 V
2017-06-17T00:00:00-06:00,207.11012387805516 V
2017-06-18T00:00:00-06:00,207.27783741795247 V
2017-06-19T00:00:00-06:00,207.3060201327006 V
2017-06-20T00:00:00-06:00,207.2070642153422 V
2017-06-21T00:00:00-06:00,207.176244714525 V
2017-06-22T00:00:00-06:00,207.13196025424534 V
2017-06-23T00:00:00-06:00,207.2739052136739 V
2017-06-24T00:00:00-06:00,207.3951387279476 V
2017-06-25T00:00:00-06:00,207.23359118567572 V
2017-06-26T00:00:00-06:00,207.12749826382594 V
2017-06-27T00:00:00-06:00,207.26779715220133 V
2017-06-28T00:00:00-06:00,207.00893624623617 V
2017-06-29T00:00:00-06:00,207.18905131022134 V
2017-06-30T00:00:00-06:00,207.49243513743082 V
2017-07-01T00:00:00-06:00,207.32667382558188 V
2017-07-02T00:00:00-06:00,207.43671814600626 V
2017-07-03T00:00:00-06:00,207.2461779912313 V
2017-07-04T00:00:00-06:00,207.16093365351358 V
2017-07-05T00:00:00-06:00,207.14177719751993 V
2017-07-06T00:00:00-06:00,207.13927268981934 V
2017-07-07T00:00:00-06:00,207.3754793802897 V
2017-07-08T00:00:00-06:00,207.39148410161337 V
2017-07-09T00:00:00-06:00,207.13286558787027 V
2017-07-10T00:00:00-06:00,207.18395566940308 V
2017-07-11T00:00:00-06:00,207.30830176671347 V
2017-07-12T00:00:00-06:00,207.2892910639445 V
2017-07-13T00:00:00-06:00,207.18085861206055 V
2017-07-14T00:00:00-06:00,206.94402678807577 V
2017-07-15T00:00:00-06:00,207.1112445195516 V
2017-07-16T00:00:00-06:00,207.11213763554892 V
2017-07-17T00:00:00-06:00,207.09330940246582 V
2017-07-18T00:00:00-06:00,207.4413514137268 V
